transnacionalnoj	transnacionalan	Agpfsly
razini	razina	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
122/13	122/13	Mds
)	)	Z
.	.	Z

Članak	članak	Ncmsn
19.	19.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmog	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
01/14	01/14	Mdc
-	-	Z
01/194	01/194	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
524	524	Mdc
-	-	Z
03	03	Mdc
-	-	Z
01	01	Mdc
-	-	Z
01/2	01/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
23	23	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
10.	10.	Mdo
kolovoza	kolovoz	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
prof.	prof.	Y
dr.	dr.	Y
sc.	sc.	Y
Mirando	Mirando	Npfsn
Mrsić	Mrsić	Npfsn
,	,	Z
dr.	dr.	Y
med	med	Ncmsan
.	.	Z
,	,	Z
v.	v.	Y
r.	r.	Y

