sredstvima	sredstvo	Ncnpi
i	i	Cc
na	na	Sa
koji	koji	Pi-msan
način	način	Ncmsan
utvrđeni	utvrditi	Appmpny
mjesto	mjesto	Ncnsa
i	i	Cc
vrijeme	vrijeme	Ncnsa
dogovora	dogovor	Ncmpg
kako	kako	Cs
to	taj	Pd-nsn
piše	pisati	Vmr3s
u	u	Sl
pravomoćnoj	pravomoćan	Agpfsly
izreci	izreka	Ncfsl
presude	presuda	Ncfsg
.	.	Z

Kao	kao	Cs
što	što	Cs
je	biti	Var3s
već	već	Rgp
rečeno	reći	Appnsny
,	,	Z
u	u	Sl
obrazloženju	obrazloženje	Ncnsl
prvostupanjske	prvostupanjski	Agpfsgy
presude	presuda	Ncfsg
također	također	Rgp
nema	nemati	Vmr3s
nijedne	nijedan	Agpfpay
riječi	riječ	Ncfpa
o	o	Sl
načinu	način	Ncmsl
na	na	Sa
koji	koji	Pi-msan
je	biti	Var3s
došlo	doći	Vmp-sn
do	do	Sg
inkriminiranog	inkriminiran	Agpmsgy
dogovora	dogovor	Ncmsg
.	.	Z

349.	349.	Mdo

Nadalje	nadalje	Rgp
,	,	Z
u	u	Sl
pravomoćnoj	pravomoćan	Agpfsly
izreci	izreka	Ncfsl
presude	presuda	Ncfsg
Županijski	županijski	Agpmsny
sud	sud	Ncmsn
u	u	Sl
Zagrebu	Zagreb	Npmsl
proglasio	proglasiti	Vmp-sm
je	biti	Var3s
podnositelja	podnositelj	Ncmpg
krivim	kriv	Cs
što	što	Cs
je	biti	Var3s
sa	sa	Si
Z.		Agpmpiy
T.	t	Ncmpi
Hernadijem	Hernadij	Npmsi
,	,	Z
predsjednikom	predsjednik	Ncmsi
Uprave	uprava	Ncfsg
MOL-a	MOL-a	Npfsg
,	,	Z
dogovorio	dogovoriti	Vmp-sm
da	da	Cs
će	htjeti	Var3s
za	za	Sa
iznos	iznos	Ncmsan
od	od	Sg
10	10	Mdc
milijuna	milijun	Ncmpg
eura	euro	Ncmpg
(	(	Z
istaknuti	istaknuti	Agpmsny
dio	dio	Ncmsn
