ovlasti	ovlast	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
291.	291.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
KZ	KZ	Npfsn
/	/	Z
11	11	Mdc
,	,	Z
što	što	Pi3n-n
je	biti	Var3s
uostalom	uostalom	Rgp
pravilno	pravilno	Rgp
uočio	uočiti	Vmp-sm
i	i	Cc
prvostupanjski	prvostupanjski	Agpmsayn
sud	sud	Ncmsan
.	.	Z

Međutim	međutim	Rgp
,	,	Z
taj	taj	Pd-msn
sud	sud	Ncmsn
je	biti	Var3s
potom	potom	Rgp
pogrešno	pogrešan	Agpnsny
zaključio	zaključiti	Vmp-sm
da	da	Cs
je	biti	Var3s
KZ	KZ	Npmsn
/	/	Z
11	11	Mdc
stroži	strog	Agcmsny
.	.	Z

Naime	naime	Qo
,	,	Z
neovisno	neovisno	Rgp
o	o	Sl
tome	taj	Pd-nsl
što	što	Pi3n-n
je	biti	Var3s
za	za	Sa
kazneno	kazneni	Agpnsay
djelo	djelo	Ncnsa
iz	iz	Sg
članka	članak	Ncmsg
291.	291.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
KZ	KZ	Npfsn
/	/	Z
11	11	Mdc
propisana	propisati	Appfsny
stroža	strog	Agcfsny
kazna	kazna	Ncfsn
(	(	Z
kazna	kazna	Ncfsn
zatvora	zatvor	Ncmsg
od	od	Sg
jedne	jedan	Mlcfsg
do	do	Sg
dvanaest	dvanaest	Mlc
godina	godina	Ncfpg
)	)	Z
od	od	Sg
one	onaj	Pd-fsg
koja	koji	Pi-fsn
je	biti	Var3s
propisana	propisati	Appfsny
za	za	Sa
kazneno	kazneni	Agpnsay
djelo	djelo	Ncnsa
iz	iz	Sg
članka	članak	Ncmsg
337.	337.	Mdo
stavak	stavak	Ncmsn
4.	4.	Mdo
KZ	KZ	Npfsn
/	/	Z
97	97	Mdc
(	(	Z
kazna	kazna	Ncfsn
zatvora	zatvor	Ncmsg
od	od	Sg
jedne	jedan	Mlcfsg
do	do	Sg
deset	deset	Mlc
godina	godina	Ncfpg
)	)	Z
,	,	Z
valja	valjati	Vmr3s
imati	imati	Vmn
na	na	Sl
umu	um	Ncmsl
da	da	Cs
prema	prema	Sl
pravnom	pravni	Agpnsly
shvaćanju	shvaćanje	Ncnsl
Kaznenog	kazneni	Agpmsgy
odjela	odjel	Ncmsg
Vrhovnog	vrhovni	Agpmsgy
suda	sud	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
broj	broj	Ncmsn
Su-IV	su-ia	Ncfsg
k-4	k-4	Mdo
/	/	Z
2012	2012	Mdc
-	-	Z
57	57	Mdc
od	od	Sg
27.	27.	Mdo
prosinca	prosinac	Ncmsg
2012.	2012.	Mdo
o	o	Sl
visinama	visina	Ncfpl
neodređenih	neodređen	Agpfpgy
vrijednosti	vrijednost	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
zakonsko	zakonski	Agpnsny
obilježje	obilježje	Ncnsn
kaznenih	kazneni	Agpnpgy
djela	djelo	Ncnpg
,	,	Z
zakonsko	zakonski	Agpnsny
obilježje	obilježje	Ncnsn
‘	‘	Z
znatna	znatan	Agpfsny
imovinska	imovinski	Agpfsny
korist	korist	Ncfsn
’	’	Z
,	,	Z
odnosno	odnosno	Rgp
‘	‘	Z
znatna	znatan	Agpfsny
šteta	šteta	Ncfsn
’	’	Z
kod	kod	Sg
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
291.	291.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
KZ	KZ	Npfsn
/	/	Z
11	11	Mdc
postoji	postojati	Vmr3s
kada	kada	Cs
vrijednost	vrijednost	Ncfsn
imovinske	imovinski	Agpfsgy
koristi	korist	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
štete	šteta	Ncfsg
prelazi	prelaziti	Vmr3s
60.000,00	60.000,00	Mdc
kuna	kuna	Ncfpg
,	,	Z
dok	dok	Cs
je	biti	Var3s
prema	prema	Sl
ranijem	raniji	Agpnsly
pravnom	pravni	Agpnsly
shvaćanju	shvaćanje	Ncnsl
ovoga	ovaj	Pd-msg
suda	sud	Ncmsg
vrijednost	vrijednost	Ncfsn
‘	‘	Z
znatne	znatan	Agpfsgy
imovinske	imovinski	Agpfsgy
koristi	korist	Ncfsg
’	’	Z
kod	kod	Sg
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
337.	337.	Mdo
stavak	stavak	Ncmsn
4.	4.	Mdo
KZ	KZ	Npfsn
/	/	Z
97	97	Mdc
postojala	postojati	Vmp-sf
kada	kada	Cs
vrijednost	vrijednost	Ncfsa
te	te	Cc
imovinske	imovinski	Agpfsgy
koristi	korist	Ncfsg
prelazi	prelaziti	Vmr3s
iznos	iznos	Ncmsan
od	od	Sg
30.000,00	30.000,00	Mdc
kuna	kuna	Ncfpg
.	.	Z

Kako	kako	Cs
je	biti	Var3s
,	,	Z
dakle	dakle	Cc
,	,	Z
povišen	povisiti	Appmsnn
imovinski	imovinski	Agpmsny
limit	limit	Ncmsn
potreban	potreban	Agpmsnn
za	za	Sa
ostvarenje	ostvarenje	Ncnsa
kvalificiranog	kvalificiran	Agpmsgy
oblika	oblik	Ncmsg
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
,	,	Z
to	taj	Pd-nsn
je	biti	Var3s
KZ	KZ	Npmsn
