uključujući	uključivati	Rr
i	i	Cc
porezne	porezni	Agpfpay
prijave	prijava	Ncfpa
za	za	Sa
2010.	2010.	Mdo
godinu	godina	Ncfsa
«	«	Z
.	.	Z

278.	278.	Mdo

Kad	kad	Cs
je	biti	Var3s
riječ	riječ	Ncfsn
o	o	Sl
prethodno	prethodno	Rgp
navedenim	naveden	Agpfply
činjenicama	činjenica	Ncfpl
,	,	Z
u	u	Sl
prvostupanjskoj	prvostupanjski	Agpfsly
presudi	presuda	Ncfsl
Županijskog	županijski	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Zagrebu	Zagreb	Npmsl
utvrđeno	utvrditi	Appnsny
je	biti	Var3s
da	da	Cs
su	biti	Var3p
one	onaj	Pd-fpn
nesporne	nesporan	Agpfpny
:	:	Z

»	»	Z
U	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
djelo	djelo	Ncnsa
pod	pod	Si
točkom	točka	Ncfsi
2.	2.	Mdo
izreke	izreka	Ncfpn
presude	presuda	Ncfsg
nesporno	nesporno	Rgp
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
...	...	Z
da	da	Cs
su	biti	Var3p
zaključeni	zaključiti	Appmpny
Ugovori	ugovor	Ncmpn
o	o	Sl
savjetodavnim	savjetodavan	Agpfply
uslugama	usluga	Ncfpl
između	između	Sg
društava	društvo	Ncnpg
s	sa	Sg
Cipra	Cipar	Npmsg
i	i	Cc
društva	društvo	Ncnsg
Xenoplast	Xenoplast	Npmsn
&	&	Z
Shipping	Shipping	Npmsn
AG	AG	Npmsn
iz	iz	Sg
Švicarske	Švicarska	Npfsg
i	i	Cc
to	taj	Pd-nsn
03.	03.	Mdo
lipnja	lipanj	Ncmsg
2009.	2009.	Mdo
godine	godina	Ncfsg
Ugovor	ugovor	Ncmsn
o	o	Sl
savjetodavnim	savjetodavan	Agpfply
uslugama	usluga	Ncfpl
između	između	Sg
društava	društvo	Ncnpg
Ceroma	Cerom	Npmsg
Holdings	holdings	Agpmsny
Limited	limited	Ncmsn
,	,	Z
Cipar	Cipar	Npmsn
i	i	Cc
XenopIast	XenopIast	Npmsn
&	&	Z
Shipping	Shipping	Npmsn
AG	AG	Npmsn
,	,	Z
Švicarska	Švicarska	Npfsn
,	,	Z
a	a	Cc
04.	04.	Mdo
lipnja	lipanj	Ncmsg
2009.	2009.	Mdo
godine	godina	Ncfsg
Ugovor	ugovor	Ncmsan
o	o	Sl
savjetodavnim	savjetodavan	Agpfply
i	i	Cc
drugim	drugi	Mlofpl
uslugama	usluga	Ncfpl
između	između	Sg
društava	društvo	Ncnpg
Hangarn	Hangarn	Npmsn
Oil	Oil	Npmsn
Products	Products	Npmsn
Trading	Trading	Npmsn
Ltd.	Ltd.	Y
,	,	Z
Cipar	Cipar	Npmsn
i	i	Cc
Xenoplast	Xenoplast	Npmsn
&	&	Z
Shipping	Shipping	Npmsn
AG	AG	Npmsn
,	,	Z
Švicarska	Švicarska	Npfsn
,	,	Z
nakon	nakon	Sg
čega	što	Pi3n-g
je	biti	Var3s
17.	17.	Mdo
lipnja	lipanj	Ncmsg
2009.	2009.	Mdo
godine	godina	Ncfsg
društvo	društvo	Ncnsn
Hangarn	Hangarn	Npmsn
Oil	Oil	Npmsn
Products	Products	Npmsn
Trading	Trading	Npmsn
Ltd.	Ltd.	Y
,	,	Z
Cipar	Cipar	Npmsn
na	na	Sa
račun	račun	Ncmsan
društva	društvo	Ncnsg
Xenoplast	Xenoplast	Xf
&	&	Z
Shipping	Shipping	Npmsn
AG	AG	Npmsn
iz	iz	Sg
Švicarske	Švicarska	Npfsg
uplatilo	uplatiti	Vmp-sn
iznos	iznos	Ncmsan
od	od	Sg
2,600.000,00	2,600.000,00	Mdc
eura	euro	Ncmpg
,	,	Z
a	a	Cc
društvo	društvo	Ncnsn
Ceroma	Cerom	Npmsg
Holdings	Holdings	Npmsn
Limited	limited	Ncmsn
,	,	Z
Cipar	Cipar	Npmsn
na	na	Sa
račun	račun	Ncmsan
društva	društvo	Ncnsg
Xenoplast	Xenoplast	Xf
&	&	Z
Shipping	Shipping	Npmsn
AG	AG	Npmsn
,	,	Z
Švicarska	Švicarska	Npfsn
,	,	Z
iznos	iznos	Ncmsn
od	od	Sg
2,400.000,00	2,400.000,00	Mdc
