kakve	kakav	Pi-mpa
koristi	koristiti	Vmr3s
da	da	Cs
u	u	Sl
granicama	granica	Ncfpl
svoje	svoj	Px-fsg
ovlasti	ovlast	Ncfsg
obavi	obaviti	Vmr3s
službenu	služben	Agpfsay
ili	ili	Cc
drugu	drugi	Mlofsa
radnju	radnja	Ncfsa
koju	koji	Pi-fsa
ne	ne	Qz
bi	biti	Vaa3s
smjela	smjeti	Vmp-sf
obaviti	obaviti	Vmn
,	,	Z
...	...	Z

kaznit	kazniti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
kaznom	kazna	Ncfsi
zatvora	zatvor	Ncmsg
od	od	Sg
jedne	jedan	Mlcfsg
do	do	Sg
osam	osam	Mlc
godina	godina	Ncfpg
.	.	Z

(...)	(...)	Ncfsn

(	(	Z
4	4	Mdc
)	)	Z
Primljeni	primljen	Agpmsny
dar	dar	Ncmsn
ili	ili	Cc
druga	drugi	Mlofsn
imovinska	imovinski	Agpfsny
korist	korist	Ncfsn
oduzet	oduzeti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
.	.	Z
«	«	Z

287.	287.	Mdo

Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
je	biti	Var3s
u	u	Sl
presudi	presuda	Ncfsl
broj	broj	Ncmsn
:	:	Z
I	i	Cc
Kž	Kž	Y
Us	Us	Y
60/2010	60/2010	Mdc
-	-	Z
6	6	Mdc
od	od	Sg
5.	5.	Mdo
lipnja	lipanj	Ncmsg
2013.	2013.	Mdo
istaknuo	istaknuti	Vmp-sm
da	da	Cs
»	i	Agpnpay
kaznena	kazneni	Agpnpay
djela	djelo	Ncnpa
primanja	primanje	Ncnsg
i	i	Cc
davanja	davanje	Ncnsg
mita	mit	Ncmsg
za	za	Sa
društvo	društvo	Ncnsa
koje	koji	Pi-nsn
želi	željeti	Vmr3s
biti	biti	Van
pravna	pravni	Agpfsny
država	država	Ncfsn
spadaju	spadati	Vmr3p
među	među	Sa
najopasnija	najopasniji	Agpnpay
kaznena	kazneni	Agpnpay
djela	djelo	Ncnpa
:	:	Z
ona	on	Pp3fsn
negiraju	negirati	Vmr3p
jednu	jedan	Mlcfsa
od	od	Sg
temeljnih	temeljan	Agpfpgy
vrijednosti	vrijednost	Ncfpg
civiliziranog	civiliziran	Agpnsgy
društva	društvo	Ncnsg
–	–	Z
jednakost	jednakost	Ncfsa
građana	građanin	Ncmpg
.	.	Z

Primanje	primanje	Ncnsn
mita	mit	Ncmsg
dovodi	dovoditi	Vmr3s
