ovlaštena	ovlastiti	Appfsny
isto	isto	Rgp
donijeti	donijeti	Vmn
bez	bez	Sg
provedbe	provedba	Ncfsg
ispitnog	ispitan	Agpmsgy
postupka	postupak	Ncmsg
i	i	Cc
to	taj	Pd-nsn
na	na	Sl
podlozi	podloga	Ncfsl
podataka	podatak	Ncmpg
koji	koji	Pi-mpn
postoje	postojati	Vmr3p
u	u	Sl
trenutku	trenutak	Ncmsl
njegovog	njegov	Ps3nsg
donošenja	donošenje	Ncnsg
te	te	Cc
naknadno	naknadno	Rgp
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
utvrđenom	utvrditi	Agpnsly
činjeničnom	činjeničan	Agpnsly
stanju	stanje	Ncnsl
,	,	Z
nakon	nakon	Sg
okončanja	okončanje	Ncnsg
postupka	postupak	Ncmsg
potpunim	potpun	Agpnsiy
rješenjem	rješenje	Ncnsi
riješiti	riješiti	Vmn
ovu	ovaj	Pd-fsa
stvar	stvar	Ncfsa
u	u	Sl
cjelini	cjelina	Ncfsl
.	.	Z

Nadalje	nadalje	Rgp
,	,	Z
suprotno	suprotno	Rgp
navodima	navod	Ncmpd
tužitelja	tužitelj	Ncmpg
osporeno	osporiti	Appnsny
rješenje	rješenje	Ncnsn
sadrži	sadržati	Vmr3s
sve	sav	Agpmpay
elemente	element	Ncmpa
propisane	propisati	Agpmpay
odredbom	odredba	Ncfsi
članka	članak	Ncmsg
98.	98.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
općem	opći	Agpmsly
upravnom	upravan	Agpmsly
postupku	postupak	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
47/09.	47/09.	Mds
)	)	Z
i	i	Cc
isto	isti	Agpnsny
je	biti	Var3s
obrazloženo	obrazložiti	Appnsny
sukladno	sukladno	Rgp
stavku	stavak	Ncmsl
5.	5.	Mdo
navedenog	naveden	Agpmsgy
članka	članak	Ncmsg
Zakona	zakon	Ncmsg
.	.	Z

Slijedom	slijed	Ncmsi
navedenog	navesti	Appnsgy
valjalo	valjati	Vmp-sn
je	biti	Var3s
pozivom	poziv	Ncmsi
na	na	Sa
odredbu	odredba	Ncfsa
članka	članak	Ncmsg
57.	57.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpmply
sporovima	spor	Ncmpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
20/10.	20/10.	Mds
,	,	Z
143/12.	143/12.	Mds
i	i	Cc
152/14.	152/14.	Mdo
)	)	Z
odlučiti	odlučiti	Vmn
kao	kao	Cs
u	u	Sl
izreci	izreka	Ncfsl
.	.	Z

Odluka	odluka	Ncfsn
o	o	Sl
objavi	objava	Ncfsl
presude	presuda	Ncfsg
temelji	temeljiti	Vmr3s
se	sebe	Px--sa
na	na	Sl
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
14.	14.	Mdo
stavak	stavak	Ncmsn
8.	8.	Mdo
ZEK-a	ZEK	Npmsg
.	.	Z

Broj	broj	Ncmsn
:	:	Z
UsII-38	UsII-38	Mds
/	/	Z
2012	2012	Mdc
-	-	Z
8	8	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
14.	14.	Mdo
srpnja	srpanj	Ncmsg
2015.	2015.	Mdo

Predsjednica	predsjednica	Ncfsn
vijeća	vijećati	Vmr3s
Marina	Marina	Npfsn
Kosović	Kosović	Npfsn
Marković	Marković	Npfsn
,	,	Z
v.	v.	Y
r.	r.	Y

