kaljužna	kaljui	Agpnsgy
ulja	ulje	Ncnsg
13	13	Mdc
05	05	Mdc
sadržaj	sadržaj	Ncmsan
iz	iz	Sg
separatora	separator	Ncmsg
ulje	ulje	Ncnsn
/	/	Z
voda	voda	Ncfsn
13	13	Mdc
07	07	Mdc
otpad	otpad	Ncmsan
od	od	Sg
tekućih	tekući	Agpnpgy
goriva	gorivo	Ncnpg
13	13	Mdc
08	08	Mdc
zauljeni	zauljiti	Appmsayn
otpad	otpad	Ncmsan
koji	koji	Pi-msn
nije	biti	Var3s
specificiran	specificirati	Appmsnn
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
14	14	Mdc
OTPAD	otpad	Ncmsn
OD	od	Sg
ORGANSKIH	organski	Agpnpgy
OTAPALA	otapalo	Ncnpg
,	,	Z
RASHLADNIH	rashladni	Agpmpgy
I	i	Cc
POTISNIH	potisnii	Agpfpay
TVARI	tvar	Ncfpa
(	(	Z
osim	osim	Sg
07	07	Mdc
i	i	Cc
08	08	Mdc
)	)	Z
14	14	Mdc
06	06	Mdc
otpadna	otpadni	Agpnpay
organska	organski	Agpnpay
otapala	otapalo	Ncnpa
,	,	Z
rashladne	rashladni	Agpfpay
tvari	tvar	Ncfpa
i	i	Cc
potisne	potisnuti	Vmr3s
tvari	tvar	Ncfpa
za	za	Sa
pjene	pjena	Ncfpa
i	i	Cc
aerosole	aerosol	Ncmpa
15	15	Mdc
OTPADNA	otpadni	Agpfsny
AMBALAŽA	ambalaža	Ncfsn
;	;	Z
APSORBENSI	APSORBENS	Npmpn
,	,	Z
TKANINE	tkanina	Ncfpa
ZA	za	Sa
BRISANJE	brisanje	Ncnsa
,	,	Z
FILTARSKI	filtarski	Agpmpny
MATERIJALI	materijal	Ncmpn
I	i	Cc
ZAŠTITNA	zaštitni	Agpfsny
ODJEĆA	odjeća	Ncfsn
KOJA	koji	Pi-fsn
NIJE	biti	Var3s
SPECIFICIRANA	specificirati	Appfsny
NA	na	Sa
DRUGI	drugi	Mlomsan
NAČIN	način	Ncmsan
15	15	Mdc
01	01	Mdc
ambalaža	ambalaža	Ncfpg
(	(	Z
uključujući	uključivati	Rr
odvojeno	odvojiti	Appnsny
sakupljenu	sakupiti	Agpfsay
ambalažu	ambalaža	Ncfsa
iz	iz	Sg
komunalnog	komunalan	Agpmsgy
otpada	otpad	Ncmsg
)	)	Z
15	15	Mdc
02	02	Mdc
apsorbensi	apsorbensa	Ncfpg
,	,	Z
filtarski	filtarski	Agpmpny
materijali	materijal	Ncmpn
,	,	Z
tkanine	tkanina	Ncfpa
za	za	Sa
brisanje	brisanje	Ncnsa
i	i	Cc
zaštitna	zaštitni	Agpfsny
odjeća	odjeća	Ncfsn
16	16	Mdc
OTPAD	otpad	Ncmsn
KOJI	koji	Pi-msn
NIJE	biti	Var3s
DRUGDJE	drugdje	Rgp
SPECIFICIRAN	specificirati	Appmsnn
U	u	Sl
KATALOGU	katalog	Ncmsl
16	16	Mdc
01	01	Mdc
otpadna	otpadni	Agpnpay
vozila	vozilo	Ncnpa
iz	iz	Sg
različitih	različit	Agpmpgy
načina	način	Ncmpg
prijevoza	prijevoz	Ncmsg
(	(	Z
uključujući	uključivati	Rr
necestovnu	necestovan	Agpfsay
mehanizaciju	mehanizacija	Ncfsa
)	)	Z
i	i	Cc
otpad	otpad	Ncmsan
od	od	Sg
rastavljanja	rastavljanje	Ncnsg
otpadnih	otpadni	Agpnpgy
vozila	vozilo	Ncnpg
i	i	Cc
od	od	Sg
održavanja	održavanje	Ncnsg
vozila	vozilo	Ncnsg
(	(	Z
osim	osim	Sg
13	13	Mdc
,	,	Z
14	14	Mdc
,	,	Z
16	16	Mdc
06	06	Mdc
i	i	Cc
16	16	Mdc
08	08	Mdc
)	)	Z
16	16	Mdc
02	02	Mdc
otpad	otpad	Ncmsan
iz	iz	Sg
električne	električan	Agpfsgy
i	i	Cc
elektroničke	elektronički	Agpfsgy
opreme	oprema	Ncfsg
16	16	Mdc
03	03	Mdc
šarže	šarža	Ncfpn
koje	koji	Pi-fpn
nisu	biti	Var3p
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
specifikacijom	specifikacija	Ncfsi
i	i	Cc
nekorišteni	nekorišten	Agpmpny
proizvodi	proizvod	Ncmpn
16	16	Mdc
04	04	Mdc
otpad	otpad	Ncmsan
od	od	Sg
eksplozivnih	eksplozivan	Agpmpgy
predmeta	predmet	Ncmpg
16	16	Mdc
05	05	Mdc
plinovi	plin	Ncmpn
u	u	Sl
posudama	posuda	Ncfpl
pod	pod	Si
tlakom	tlak	Ncmsi
i	i	Cc
odbačene	odbaciti	Appfpny
kemikalije	kemikalija	Ncfpn
16	16	Mdc
06	06	Mdc
baterije	baterija	Ncfsg
i	i	Cc
akumulatori	akumulator	Ncmpn
16	16	Mdc
07	07	Mdc
otpad	otpad	Ncmsan
iz	iz	Sg
cisterni	cisterna	Ncfpg
za	za	Sa
prijevoz	prijevoz	Ncmsan
,	,	Z
spremnika	spremnik	Ncmsg
za	za	Sa
skladištenje	skladištenje	Ncnsa
i	i	Cc
od	od	Sg
čišćenja	čišćenje	Ncnsg
bačava	bačva	Ncfpg
(	(	Z
osim	osim	Sg
05	05	Mdc
i	i	Cc
13	13	Mdc
)	)	Z
16	16	Mdc
08	08	Mdc
istrošeni	istrošiti	Appmpny
katalizatori	katalizator	Ncmpn
16	16	Mdc
09	09	Mdc
oksidirajuće	oksidirajući	Agpfsgy
tvari	tvar	Ncfsg
16	16	Mdc
10	10	Mdc
vodeni	voden	Agpmsny
tekući	tekući	Agpmsny
otpad	otpad	Ncmsn
namijenjen	namijeniti	Appmsnn
za	za	Sa
obradu	obrada	Ncfsa
izvan	izvan	Sg
mjesta	mjesto	Ncnsg
nastanka	nastanak	Ncmsg
16	16	Mdc
11	11	Mdc
otpadne	otpadni	Agpfsgy
obloge	obloga	Ncfsg
i	i	Cc
vatrostalni	vatrostalan	Agpmsny
otpad	otpad	Ncmsn
17	17	Mdc
GRAĐEVINSKI	građevinski	Agpmsny
OTPAD	otpad	Ncmsn
I	i	Cc
OTPAD	otpad	Ncmsan
OD	od	Sg
RUŠENJA	rušenje	Ncnsg
OBJEKATA	objekt	Ncmpg
(	(	Z
UKLJUČUJUĆI	uključivati	Rr
ISKOPANU	ISKOPAN	Npmsl
ZEMLJU	zemlja	Ncfsa
S	sa	Sg
ONEČIŠĆENIH	onečišćen	Agpfpgy
LOKACIJA	lokacija	Ncfpg
)	)	Z
17	17	Mdc
01	01	Mdc
beton	beton	Ncmsan
,	,	Z
cigle	cigla	Ncfpa
,	,	Z
crijep	crijep	Ncmsan
/	/	Z
pločice	pločica	Ncfsg
i	i	Cc
keramika	keramika	Ncfsn
17	17	Mdc
02	02	Mdc
drvo	drvo	Ncnsa
,	,	Z
staklo	staklo	Ncnsn
i	i	Cc
plastika	plastika	Ncfsn
17	17	Mdc
03	03	Mdc
mješavine	mješavina	Ncfsg
bitumena	bitumen	Ncmsg
,	,	Z
ugljeni	ugljeni	Agpmsny
katran	katran	Ncmsn
i	i	Cc
proizvodi	proizvod	Ncmpn
koji	koji	Pi-mpn
sadrže	sadržati	Vmr3p
katran	katran	Ncmsan
17	17	Mdc
04	04	Mdc
metali	metati	Vmp-pm
(	(	Z
uključujući	uključivati	Rr
njihove	njihov	Ps3fpa
legure	legura	Ncfpa
)	)	Z
17	17	Mdc
05	05	Mdc
zemlja	zemlja	Ncfpg
(	(	Z
uključujući	uključivati	Rr
iskopanu	iskopati	Agpfsay
zemlju	zemlja	Ncfsa
s	sa	Sg
onečišćenih	onečišćen	Agpfpgy
lokacija	lokacija	Ncfpg
)	)	Z
,	,	Z
kamenje	kamenje	Ncnsn
i	i	Cc
otpad	otpad	Ncmsan
od	od	Sg
jaružanja	jaružanje	Ncnsg
17	17	Mdc
06	06	Mdc
izolacijski	izolacijski	Agpmpny
materijali	materijal	Ncmpn
i	i	Cc
građevinski	građevinski	Agpmpny
materijali	materijal	Ncmpn
koji	koji	Pi-msn
sadrži	sadržati	Vmr3s
azbest	azbest	Ncmsan
17	17	Mdc
08	08	Mdc
građevinski	građevinski	Agpmsayn
materijal	materijal	Ncmsan
na	na	Sl
bazi	baza	Ncfsl
gipsa	gips	Ncmsg
17	17	Mdc
09	09	Mdc
ostali	ostali	Agpmsayn
građevinski	građevinski	Agpmsayn
otpad	otpad	Ncmsan
i	i	Cc
otpad	otpad	Ncmsan
od	od	Sg
rušenja	rušenje	Ncnsg
objekata	objekt	Ncmpg
18	18	Mdc
OTPAD	otpad	Ncmsn
KOJI	koji	Pi-msn
NASTAJE	nastajati	Vmr3s
KOD	kod	Sg
ZAŠTITE	zaštita	Ncfsg
ZDRAVLJA	zdravlje	Ncnsg
LJUDI	čovjek	Ncmpg
I	i	Cc
ŽIVOTINJA	životinja	Ncfpg
I	i	Cc
/	/	Z
ILI	ili	Cc
SRODNIH	srodan	Agpnpgy
ISTRAŽIVANJA	istraživanje	Ncnpg
(	(	Z
osim	osim	Sg
otpada	otpad	Ncmsg
iz	iz	Sg
kuhinja	kuhinja	Ncfpg
i	i	Cc
restorana	restoran	Ncmpg
koji	koji	Pi-mpn
ne	ne	Qz
potječe	potjecati	Vmr3s
iz	iz	Sg
neposredne	neposredan	Agpfsgy
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
)	)	Z
18	18	Mdc
01	01	Mdc
otpad	otpad	Ncmsan
od	od	Sg
njege	njega	Ncfsg
novorođenčadi	novorođenče	Ncfsg
,	,	Z
dijagnosticiranja	dijagnosticiranje	Ncnsg
,	,	Z
liječenja	liječenje	Ncnsg
ili	ili	Cc
prevencije	prevencija	Ncfsg
bolesti	bolest	Ncfsg
kod	kod	Sg
ljudi	čovjek	Ncmpg
18	18	Mdc
02	02	Mdc
otpad	otpad	Ncmsan
od	od	Sg
istraživanja	istraživanje	Ncnsg
,	,	Z
dijagnosticiranja	dijagnosticiranje	Ncnsg
,	,	Z
liječenja	liječenje	Ncnsg
ili	ili	Cc
prevencije	prevencija	Ncfsg
bolesti	bolest	Ncfsg
u	u	Sa
životinja	životinja	Ncfpg
19	19	Mdc
OTPAD	otpad	Ncmsn
IZ	iz	Sg
GRAĐEVINA	građevina	Ncfpg
ZA	za	Sa
GOSPODARENJE	gospodarenje	Ncnsa
OTPADOM	otpad	Ncmsi
,	,	Z
UREĐAJA	uređaj	Ncmpg
ZA	za	Sa
PROČIŠĆAVANJE	pročišćavanje	Ncnsa
OTPADNIH	otpadni	Agpfpgy
VODA	voda	Ncfpg
IZVAN	izvan	Sg
MJESTA	mjesto	Ncnsg
NASTANKA	nastanak	Ncmsg
I	i	Cc
PRIPREMU	priprema	Ncfsa
PITKE	pitak	Agpfsgy
VODE	voda	Ncfsg
I	i	Cc
VODE	voda	Ncfsg
ZA	za	Sa
INDUSTRIJSKU	industrijski	Agpfsay
UPORABU	uporaba	Ncfsa
19	19	Mdc
01	01	Mdc
otpad	otpad	Ncmsan
od	od	Sg
spaljivanja	spaljivanje	Ncnsg
ili	ili	Cc
pirolize	piroliza	Ncfsg
otpada	otpadati	Vmr3s
19	19	Mdc
02	02	Mdc
otpad	otpad	Ncmsan
od	od	Sg
fizikalno	fizikalno	Rgp
/	/	Z
kemijskih	kemijski	Agpfpgy
obrada	obrada	Ncfpg
otpada	otpad	Ncmsg
(	(	Z
uključujući	uključivati	Rr
uklanjanje	uklanjanje	Ncnsa
kroma	krom	Ncmsg
,	,	Z
uklanjanje	uklanjanje	Ncnsa
cijanida	cijanid	Ncmpg
,	,	Z
neutralizaciju	neutralizacija	Ncfsa
)	)	Z
19	19	Mdc
03	03	Mdc
stabilizirani	stabilizirati	Appmpny
/	/	Z
ukrućeni	ukrutiti	Agpmsayn
otpad	otpad	Ncmsan
19	19	Mdc
04	04	Mdc
vitrificirani	vitrificiran	Agpmsny
otpad	otpad	Ncmsn
i	i	Cc
otpad	otpad	Ncmsan
od	od	Sg
vitrifikacije	vitrifikacija	Ncfsg
19	19	Mdc
05	05	Mdc
otpad	otpad	Ncmsan
od	od	Sg
aerobne	aeroban	Agpfsgy
obrade	obrada	Ncfsg
krutog	krut	Agpmsgy
otpada	otpad	Ncmsg
19	19	Mdc
06	06	Mdc
otpad	otpad	Ncmsan
od	od	Sg
