sulfidne	sulfidni	Agpfsgy
rude	ruda	Ncfsg
koja	koji	Pi-fsn
uzrokuje	uzrokovati	Vmr3s
stvaranje	stvaranje	Ncnsa
kiselina	kiselina	Ncfpg
V1	V1	Y
01	01	Mdc
03	03	Mdc
05	05	Mdc
*	*	Z
ostala	ostali	Agpfsny
jalovina	jalovina	Ncfsn
koja	koji	Pi-fsn
sadrži	sadržati	Vmr3s
opasne	opasan	Agpfpay
tvari	tvar	Ncfpa
V1	V1	Mdc
01	01	Mdc
03	03	Mdc
06	06	Mdc
otpadna	otpadni	Agpfsny
jalovina	jalovina	Ncfsn
koja	koji	Pi-fsn
nije	biti	Var3s
navedena	naveden	Agpfsny
pod	pod	Sa
01	01	Mdc
03	03	Mdc
04	04	Mdc
*	*	Z
i	i	Cc
01	01	Mdc
03	03	Mdc
05	05	Mdc
*	*	Z
V1	V1	Y
01	01	Mdc
03	03	Mdc
07	07	Mdc
*	*	Z
ostali	ostali	Agpmsayn
otpad	otpad	Ncmsan
od	od	Sg
fizikalne	fizikalan	Agpfsgy
i	i	Cc
kemijske	kemijski	Agpfsgy
obrade	obrada	Ncfsg
metalnih	metalan	Agpfpgy
mineralnih	mineralan	Agpfpgy
sirovina	sirovina	Ncfpg
,	,	Z
koji	koji	Pi-msn
sadrži	sadržati	Vmr3s
opasne	opasan	Agpfpay
tvari	tvar	Ncfpa
V2	V2	Mdc
01	01	Mdc
03	03	Mdc
08	08	Mdc
otpad	otpad	Ncmsan
u	u	Sl
obliku	oblik	Ncmsl
prašine	prašina	Ncfsg
i	i	Cc
praha	prah	Ncmsg
,	,	Z
koji	koji	Pi-msn
nije	biti	Var3s
naveden	navesti	Appmsnn
pod	pod	Sa
01	01	Mdc
03	03	Mdc
07	07	Mdc
*	*	Z
V2	V2	Y
01	01	Mdc
03	03	Mdc
09	09	Mdc
crveni	crven	Agpmsayn
mulj	mulj	Ncmsan
iz	iz	Sg
proizvodnje	proizvodnja	Ncfsg
aluminija	aluminij	Ncmpg
,	,	Z
različit	različit	Agpmsnn
od	od	Sg
otpada	otpad	Ncmsg
navedenog	navesti	Appmsgy
pod	pod	Ncmsan
01	01	Mdc
03	03	Mdc
07	07	Mdc
V2	V2	Y
01	01	Mdc
03	03	Mdc
10	10	Mdc
*	*	Z
crveni	crven	Agpmsayn
mulj	mulj	Ncmsan
iz	iz	Sg
proizvodnje	proizvodnja	Ncfsg
aluminija	aluminij	Ncmsg
koji	koji	Pi-msn
sadržava	sadržavati	Vmr3s
opasne	opasan	Agpfpay
tvari	tvar	Ncfpa
koje	koji	Pi-fpn
nisu	biti	Var3p
otpad	otpad	Ncmsn
naveden	navesti	Appmsnn
pod	pod	Sa
01	01	Mdc
03	03	Mdc
07	07	Mdc
*	*	Z
V2	V2	Y
01	01	Mdc
03	03	Mdc
99	99	Mdc
otpad	otpad	Ncmsn
koji	koji	Pi-msn
nije	biti	Var3s
specificiran	specificirati	Appmsnn
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
N	N	X
01	01	Mdc
04	04	Mdc
otpad	otpad	Ncmsan
od	od	Sg
fizikalne	fizikalan	Agpfsgy
i	i	Cc
kemijske	kemijski	Agpfsgy
obrade	obrada	Ncfsg
nemetalnih	nemetalan	Agpfpgy
mineralnih	mineralan	Agpfpgy
sirovina	sirovina	Ncfpg
01	01	Mdc
04	04	Mdc
07	07	Mdc
*	*	Z
otpad	otpad	Ncmsan
od	od	Sg
fizikalne	fizikalan	Agpfsgy
i	i	Cc
kemijske	kemijski	Agpfsgy
obrade	obrada	Ncfsg
nemetalnih	nemetalan	Agpfpgy
mineralnih	mineralan	Agpfpgy
sirovina	sirovina	Ncfpg
,	,	Z
koji	koji	Pi-msn
sadrži	sadržati	Vmr3s
opasne	opasan	Agpfpay
tvari	tvar	Ncfpa
V3	V3	Mdc
01	01	Mdc
04	04	Mdc
08	08	Mdc
otpadni	otpadni	Agpmsayn
šljunak	šljunak	Ncmsan
i	i	Cc
drobljeni	drobiti	Agpmsayn
kamen	kamen	Ncmsan
,	,	Z
koji	koji	Pi-msn
nisu	biti	Var3p
navedeni	navesti	Appmpny
pod	pod	Sa
01	01	Mdc
04	04	Mdc
07	07	Mdc
*	*	Z
V3	V3	Y
01	01	Mdc
04	04	Mdc
09	09	Mdc
otpadni	otpadni	Agpmsayn
pijesak	pijesak	Ncmsan
i	i	Cc
gline	glina	Ncfsg
N	i	Agpnsny
01	01	Mdc
04	04	Mdc
10	10	Mdc
otpad	otpad	Ncmsan
u	u	Sl
obliku	oblik	Ncmsl
prašine	prašina	Ncfsg
i	i	Cc
praha	prah	Ncmsg
,	,	Z
koji	koji	Pi-msn
nije	biti	Var3s
naveden	navesti	Appmsnn
pod	pod	Sa
01	01	Mdc
04	04	Mdc
07	07	Mdc
*	*	Z
V3	V3	Y
01	01	Mdc
04	04	Mdc
11	11	Mdc
otpad	otpad	Ncmsan
od	od	Sg
prerade	prerada	Ncfsg
potaše	potaša	Ncfsg
i	i	Cc
kamene	kamen	Agpfsgy
soli	sol	Ncfsg
koji	koji	Pi-msn
nije	biti	Var3s
naveden	navesti	Appmsnn
pod	pod	Sa
01	01	Mdc
04	04	Mdc
07	07	Mdc
*	*	Z
V3	V3	Y
01	01	Mdc
04	04	Mdc
12	12	Mdc
jalovina	jalovina	Ncfpg
i	i	Cc
ostali	ostali	Agpmsayn
otpad	otpad	Ncmsan
od	od	Sg
ispiranja	ispiranje	Ncnsg
i	i	Cc
čišćenja	čišćenje	Ncnsg
ruda	rudo	Ncnsg
,	,	Z
koji	koji	Pi-mpn
nisu	biti	Var3p
navedeni	navesti	Appmpny
pod	pod	Sa
01	01	Mdc
04	04	Mdc
07	07	Mdc
*	*	Z
i	i	Cc
01	01	Mdc
04	04	Mdc
11	11	Mdc
V3	V3	Y
01	01	Mdc
04	04	Mdc
13	13	Mdc
otpad	otpad	Ncmsan
od	od	Sg
rezanja	rezanje	Ncnsg
i	i	Cc
piljenja	piljenje	Ncnsg
kamena	kamen	Ncmsg
,	,	Z
koji	koji	Pi-msn
nije	biti	Var3s
naveden	navesti	Appmsnn
pod	pod	Sa
01	01	Mdc
04	04	Mdc
07	07	Mdc
*	*	Z
V3	V3	Y
01	01	Mdc
04	04	Mdc
99	99	Mdc
otpad	otpad	Ncmsn
koji	koji	Pi-msn
nije	biti	Var3s
specificiran	specificirati	Appmsnn
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
N	N	X
01	01	Mdc
05	05	Mdc
isplačni	isplačan	Agpmpny
muljevi	mulj	Ncmpn
i	i	Cc
ostali	ostali	Agpmsayn
otpad	otpad	Ncmsan
od	od	Sg
bušenja	bušenje	Ncnsg
01	01	Mdc
05	05	Mdc
04	04	Mdc
isplačni	isplačan	Agpmpny
muljevi	mulj	Ncmpn
i	i	Cc
ostali	ostali	Agpmsayn
otpad	otpad	Ncmsan
od	od	Sg
bušenja	bušenje	Ncnsg
,	,	Z
koji	koji	Pi-mpn
sadrže	sadržati	Vmr3p
slatku	sladak	Agpfsay
vodu	voda	Ncfsa
N	N	Y
01	01	Mdc
05	05	Mdc
05	05	Mdc
*	*	Z
isplačni	isplačan	Agpmpny
muljevi	mulj	Ncmpn
i	i	Cc
ostali	ostali	Agpmsayn
otpad	otpad	Ncmsan
od	od	Sg
bušenja	bušenje	Ncnsg
,	,	Z
koji	koji	Pi-mpn
sadrže	sadržati	Vmr3p
ulja	ulje	Ncnpa
V4	V4	Mdc
01	01	Mdc
05	05	Mdc
06	06	Mdc
*	*	Z
isplačni	isplačan	Agpmpny
muljevi	mulj	Ncmpn
i	i	Cc
ostali	ostali	Agpmsayn
otpad	otpad	Ncmsan
od	od	Sg
bušenja	bušenje	Ncnsg
,	,	Z
koji	koji	Pi-mpn
sadrže	sadržati	Vmr3p
opasne	opasan	Agpfpay
tvari	tvar	Ncfpa
V4	V4	Mdc
01	01	Mdc
05	05	Mdc
07	07	Mdc
isplačni	isplačan	Agpmpny
muljevi	mulj	Ncmpn
i	i	Cc
ostali	ostali	Agpmsayn
otpad	otpad	Ncmsan
od	od	Sg
bušenja	bušenje	Ncnsg
,	,	Z
koji	koji	Pi-mpn
sadrže	sadržati	Vmr3p
barit	bariti	Vmn
i	i	Cc
nisu	biti	Var3p
navedeni	navesti	Appmpny
pod	pod	Sa
01	01	Mdc
05	05	Mdc
05	05	Mdc
*	*	Z
i	i	Cc
01	01	Mdc
05	05	Mdc
06	06	Mdc
*	*	Z
V4	V4	Y
01	01	Mdc
05	05	Mdc
08	08	Mdc
isplačni	isplačan	Agpmpny
muljevi	mulj	Ncmpn
i	i	Cc
ostali	ostali	Agpmsayn
otpad	otpad	Ncmsan
od	od	Sg
bušenja	bušenje	Ncnsg
,	,	Z
koji	koji	Pi-mpn
sadrže	sadržati	Vmr3p
kloride	klorid	Ncmpa
i	i	Cc
nisu	biti	Var3p
navedeni	navesti	Appmpny
pod	pod	Sa
01	01	Mdc
05	05	Mdc
05	05	Mdc
*	*	Z
i	i	Cc
01	01	Mdc
05	05	Mdc
06	06	Mdc
*	*	Z
V4	V4	Y
01	01	Mdc
05	05	Mdc
99	99	Mdc
otpad	otpad	Ncmsn
koji	koji	Pi-msn
nije	biti	Var3s
specificiran	specificirati	Appmsnn
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
N	nti	Vmr3s
02	02	Mdc
OTPAD	otpad	Ncmsn
IZ	iz	Sg
POLJOPRIVREDE	poljoprivreda	Ncfsg
,	,	Z
HORTIKULTURE	hortikultura	Ncfsg
,	,	Z
PROIZVODNJE	proizvodnja	Ncfsg
VODENIH	voden	Agpfpgy
KULTURA	kultura	Ncfpg
,	,	Z
ŠUMARSTVA	šumarstvo	Ncnsg
,	,	Z
LOVSTVA	lovstvo	Ncnsg
I	i	Cc
RIBARSTVA	ribarstvo	Ncnsg
,	,	Z
PRIPREMANJA	pripremanje	Ncnsg
I	i	Cc
PRERADE	prerada	Ncfsg
HRANE	hrana	Ncfsg
02	02	Mdc
01	01	Mdc
otpad	otpad	Ncmsan
iz	iz	Sg
poljoprivrede	poljoprivreda	Ncfsg
,	,	Z
hortikulture	hortikultura	Ncfsg
,	,	Z
proizvodnje	proizvodnja	Ncfsg
vodenih	voden	Agpfpgy
kultura	kultura	Ncfpg
,	,	Z
šumarstva	šumarstvo	Ncnsg
,	,	Z
lovstva	lovstvo	Ncnsg
i	i	Cc
ribarstva	ribarstvo	Ncnsg
02	02	Mdc
01	01	Mdc
01	01	Mdc
muljevi	mulj	Ncmpn
od	od	Sg
pranja	pranje	Ncnsg
i	i	Cc
čišćenja	čišćenje	Ncnsg
N	N	Y
02	02	Mdc
01	01	Mdc
02	02	Mdc
otpadna	otpadni	Agpnpay
životinjska	životinjski	Agpnpay
tkiva	tkivo	Ncnpa
N	N	Y
02	02	Mdc
01	01	Mdc
03	03	Mdc
otpadna	otpadni	Agpnpay
biljna	biljan	Agpnpay
tkiva	tkivo	Ncnpa
N	N	Y
02	02	Mdc
01	01	Mdc
04	04	Mdc
otpadna	otpadni	Agpfsny
plastika	plastika	Ncfsn
(	(	Z
isključujući	isključivati	Rr
ambalažu	ambalaža	Ncfsa
)	)	Z
N	N	Y
02	02	Mdc
01	01	Mdc
06	06	Mdc
životinjske	životinjski	Agpfpay
fekalije	fekalije	Ncfpa
,	,	Z
urin	urin	Ncmsn
i	i	Cc
gnoj	gnoj	Ncmsan
(	(	Z
uključujući	uključivati	Rr
onečišćenu	onečišćen	Agpfsay
slamu	slama	Ncfsa
)	)	Z
i	i	Cc
efluenti	efluento	Ncmpg
,	,	Z
koji	koji	Pi-msn
se	sebe	Px--sa
posebno	posebno	Rgp
sakupljaju	sakupljati	Vmr3p
i	i	Cc
obrađuju	obrađivati	Vmr3p
izvan	izvan	Sg
mjesta	mjesto	Ncnsg
njihova	njihov	Ps3msg
nastanka	nastanak	Ncmsg
N	N	Y
02	02	Mdc
01	01	Mdc
07	07	Mdc
otpad	otpad	Ncmsan
iz	iz	Sg
šumarstva	šumarstvo	Ncnsg
N	N	Y
02	02	Mdc
01	01	Mdc
08	08	Mdc
*	*	Z
otpad	otpad	Ncmsn
od	od	Sg
kemikalija	kemikalija	Ncfpg
koje	koji	Pi-fpn
se	sebe	Px--sa
koriste	koristiti	Vmr3p
u	u	Sl
poljoprivredi	poljoprivreda	Ncfsl
,	,	Z
koji	koji	Pi-msn
sadrži	sadržati	Vmr3s
opasne	opasan	Agpfpay
tvari	tvar	Ncfpa
V5	V5	Mdc
02	02	Mdc
01	01	Mdc
09	09	Mdc
otpad	otpad	Ncmsn
od	od	Sg
kemikalija	kemikalija	Ncfpg
koje	koji	Pi-fpn
se	sebe	Px--sa
koriste	koristiti	Vmr3p
u	u	Sl
poljoprivredi	poljoprivreda	Ncfsl
,	,	Z
koji	koji	Pi-msn
nije	biti	Var3s
naveden	navesti	Appmsnn
pod	pod	Sa
02	02	Mdc
01	01	Mdc
08	08	Mdc
*	*	Z
V5	V5	Y
02	02	Mdc
01	01	Mdc
10	10	Mdc
otpadni	otpadni	Agpmsayn
metal	metal	Ncmsan
N	N	Y
02	02	Mdc
01	01	Mdc
99	99	Mdc
otpad	otpad	Ncmsn
koji	koji	Pi-msn
nije	biti	Var3s
specificiran	specificirati	Appmsnn
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
N	N	X
02	02	Mdc
02	02	Mdc
otpad	otpad	Ncmsan
od	od	Sg
pripremanja	pripremanje	Ncnsg
i	i	Cc
prerade	prerada	Ncfsg
mesa	meso	Ncnsg
,	,	Z
ribe	riba	Ncfsg
i	i	Cc
drugih	drugi	Mlofpg
namirnica	namirnica	Ncfpg
životinjskog	životinjski	Agpnsgy
podrijetla	podrijetlo	Ncnsg
02	02	Mdc
02	02	Mdc
01	01	Mdc
muljevi	mulj	Ncmpn
od	od	Sg
ispiranja	ispiranje	Ncnsg
i	i	Cc
čišćenja	čišćenje	Ncnsg
N	N	Y
02	02	Mdc
02	02	Mdc
02	02	Mdc
otpadno	otpadni	Agpnsny
životinjsko	životinjski	Agpnsny
tkivo	tkivo	Ncnsn
N	N	Y
02	02	Mdc
02	02	Mdc
03	03	Mdc
materijali	materijal	Ncmpn
neprikladni	neprikladan	Agpmpny
za	za	Sa
potrošnju	potrošnja	Ncfsa
ili	ili	Cc
preradu	prerada	Ncfsa
N	N	Y
02	02	Mdc
02	02	Mdc
04	04	Mdc
muljevi	mulj	Ncmpn
od	od	Sg
obrade	obrada	Ncfsg
efluenata	efluent	Ncmpg
na	na	Sl
mjestu	mjesto	Ncnsl
njihova	njihov	Ps3msg
nastanka	nastanak	Ncmsg
N	N	Y
02	02	Mdc
02	02	Mdc
99	99	Mdc
otpad	otpad	Ncmsn
koji	koji	Pi-msn
nije	biti	Var3s
specificiran	specificirati	Appmsnn
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
N	N	X
02	02	Mdc
03	03	Mdc
otpad	otpad	Ncmsan
od	od	Sg
pripremanja	pripremanje	Ncnsg
i	i	Cc
prerade	prerada	Ncfsg
voća	voće	Ncnsg
,	,	Z
povrća	povrće	Ncnsg
,	,	Z
žitarica	žitarica	Ncfsn
,	,	Z
jestivih	jestiv	Agpnpgy
ulja	ulje	Ncnpg
,	,	Z
