vlakana	vlakana	Npfsn
N	N	Y
04	04	Mdc
02	02	Mdc
99	99	Mdc
otpad	otpad	Ncmsn
koji	koji	Pi-msn
nije	biti	Var3s
specificiran	specificirati	Appmsnn
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
N	nti	Vmr3s
05	05	Mdc
OTPAD	otpad	Ncmsan
OD	od	Sg
RAFINIRANJA	rafiniranje	Ncnsg
NAFTE	nafta	Ncfsg
,	,	Z
PROČIŠĆAVANJA	pročišćavanje	Ncnsg
PRIRODNOG	prirodan	Agpmsgy
PLINA	plin	Ncmsg
I	i	Cc
PIROLITIČKE	pirolitički	Agpfsgy
OBRADE	obrada	Ncfsg
UGLJENA	ugljen	Ncmsg
05	05	Mdc
01	01	Mdc
otpad	otpad	Ncmsan
od	od	Sg
rafiniranja	rafiniranje	Ncnsg
nafte	nafta	Ncfsg
05	05	Mdc
01	01	Mdc
02	02	Mdc
*	*	Z
muljevi	mulj	Ncmpn
od	od	Sg
odsoljavanja	odsoljavanje	Ncnsg
O4	O4	Mdc
05	05	Mdc
01	01	Mdc
03	03	Mdc
*	*	Z
muljevi	mulj	Ncmpn
sa	sa	Sg
dna	dno	Ncnsg
spremnika	spremnik	Ncmpg
O4	O4	Y
05	05	Mdc
01	01	Mdc
04	04	Mdc
*	*	Z
kiseli	kiseo	Agpmpny
muljevi	mulj	Ncmpn
iz	iz	Sg
alkilacije	alkilacija	Ncfsg
O4	O4	Mdc
05	05	Mdc
01	01	Mdc
05	05	Mdc
*	*	Z
razlivena	razliti	Appfsny
nafta	nafta	Ncfsn
O4	O4	Mdc
05	05	Mdc
01	01	Mdc
06	06	Mdc
*	*	Z
zauljeni	zauljiti	Appmpny
muljevi	mulj	Ncmpn
od	od	Sg
održavanja	održavanje	Ncnsg
postrojenja	postrojenje	Ncnsg
i	i	Cc
opreme	oprema	Ncfsg
O4	O4	Mdc
05	05	Mdc
01	01	Mdc
07	07	Mdc
*	*	Z
kiseli	kiseo	Agpmpny
katrani	katran	Ncmpn
O4	O4	Y
05	05	Mdc
01	01	Mdc
08	08	Mdc
*	*	Z
ostali	ostali	Agpmpny
katrani	katran	Ncmpn
O4	O4	Y
05	05	Mdc
01	01	Mdc
09	09	Mdc
*	*	Z
muljevi	mulj	Ncmpn
od	od	Sg
obrade	obrada	Ncfsg
efluenata	efluent	Ncmpg
na	na	Sl
mjestu	mjesto	Ncnsl
njihova	njihov	Ps3msg
nastanka	nastanak	Ncmsg
,	,	Z
koji	koji	Pi-mpn
sadrže	sadržati	Vmr3p
opasne	opasan	Agpfpay
tvari	tvar	Ncfpa
V10	V10	Mdc
05	05	Mdc
01	01	Mdc
10	10	Mdc
muljevi	mulj	Ncmpn
od	od	Sg
obrade	obrada	Ncfsg
efluenata	efluent	Ncmpg
na	na	Sl
mjestu	mjesto	Ncnsl
njihova	njihov	Ps3msg
nastanka	nastanak	Ncmsg
,	,	Z
koji	koji	Pi-mpn
nisu	biti	Var3p
navedeni	navesti	Appmpny
pod	pod	Sa
05	05	Mdc
01	01	Mdc
09	09	Mdc
*	*	Z
V10	V10	Y
05	05	Mdc
01	01	Mdc
11	11	Mdc
*	*	Z
otpad	otpad	Ncmsan
od	od	Sg
čišćenja	čišćenje	Ncnsg
goriva	gorivo	Ncnsg
lužinama	lužina	Ncfpd
O4	O4	Y
05	05	Mdc
01	01	Mdc
12	12	Mdc
*	*	Z
ulja	ulje	Ncnpn
koja	koji	Pi-npn
sadrže	sadržati	Vmr3p
kiseline	kiselina	Ncfpa
O5	O5	Mdc
05	05	Mdc
01	01	Mdc
13	13	Mdc
muljevi	mulj	Ncmpn
od	od	Sg
napojne	napojan	Agpfsgy
vode	voda	Ncfsg
za	za	Sa
kotlove	kotao	Ncmpa
N	N	Y
05	05	Mdc
01	01	Mdc
14	14	Mdc
otpad	otpad	Ncmsan
iz	iz	Sg
rashladnih	rashladni	Agpmpgy
stupova	stup	Ncmpg
N	N	Y
05	05	Mdc
01	01	Mdc
15	15	Mdc
*	*	Z
istrošena	istrošiti	Appfsny
glina	glina	Ncfsn
za	za	Sa
filtraciju	filtracija	Ncfsa
O4	O4	Mdc
05	05	Mdc
01	01	Mdc
16	16	Mdc
otpad	otpad	Ncmsan
koji	koji	Pi-msn
sadrži	sadržati	Vmr3s
sumpor	sumpor	Ncmsan
iz	iz	Sg
procesa	proces	Ncmsg
odsumporavanja	odsumporavanje	Ncnsg
nafte	nafta	Ncfsg
N	i	Agpnsny
05	05	Mdc
01	01	Mdc
17	17	Mdc
bitumen	bitumen	Ncmsn
N	N	Y
05	05	Mdc
01	01	Mdc
99	99	Mdc
otpad	otpad	Ncmsn
koji	koji	Pi-msn
nije	biti	Var3s
specificiran	specificirati	Appmsnn
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
N	N	X
