skladanog	skladati	Agpnsgy
glazbenog	glazben	Agpnsgy
djela	djelo	Ncnsg
,	,	Z
fragmenta	fragment	Ncmsg
glazbenog	glazben	Agpnsgy
djela	djelo	Ncnsg
,	,	Z
glazbenog	glazben	Agpmsgy
motiva	motiv	Ncmsg
ili	ili	Cc
kraće	kratak	Agcfpay
fraze	fraza	Ncfpa
za	za	Sa
najavu	najava	Ncfsa
i	i	Cc
/	/	Z
ili	ili	Cc
odjavu	odjava	Ncfsa
programa	program	Ncmsg
ili	ili	Cc
emisije	emisija	Ncfsg
(	(	Z
glazbeni	glazben	Agpmsny
signal	signal	Ncmsn
,	,	Z
špica	špica	Ncfsn
i	i	Cc
slično	sličan	Agpnsay
)	)	Z
za	za	Sa
razdvajanje	razdvajanje	Ncnsa
dijelova	dio	Ncmpg
iste	isti	Agpfsgy
emisije	emisija	Ncfsg
ili	ili	Cc
za	za	Sa
razdvajanje	razdvajanje	Ncnsa
različitih	različit	Agpfpgy
emisija	emisija	Ncfpg
(	(	Z
jingle	jingl	Agpfsny
i	i	Cc
slično	sličan	Agpnsay
)	)	Z
,	,	Z
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
kategoriju	kategorija	Ncfsa
ili	ili	Cc
izvođački	izvođački	Agpmsny
sastav	sastav	Ncmsn
)	)	Z
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Operni	operni	Agpmsny
pjevač	pjevač	Ncmsn

a	a	Cc
)	)	Z
4	4	Mdc
glavne	glavni	Agpfsgy
uloge	uloga	Ncfsg
u	u	Sa
najmanje	malo	Rgs
10	10	Mdc
izvedbi	izvedba	Ncfpg
u	u	Sl
profesionalnim	profesionalan	Agpfply
opernim	operni	Agpfply
produkcijama	produkcija	Ncfpl
nacionalnih	nacionalan	Agpnpgy
kazališta	kazalište	Ncnpg
ili	ili	Cc

b	b	Npmsn
)	)	Z
6	6	Mdc
različitih	različit	Agpfpgy
srednjih	srednji	Agpfpgy
uloga	uloga	Ncfpg
u	u	Sa
najmanje	malo	Rgs
10	10	Mdc
izvedbi	izvedba	Ncfpg
u	u	Sl
profesionalnim	profesionalan	Agpfply
produkcijama	produkcija	Ncfpl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Koncertni	koncertni	Agpmsny
pjevač	pjevač	Ncmsn
klasične	klasičan	Agpfsgy
glazbe	glazba	Ncfsg

6	6	Mdc
profiliranih	profilirati	Agpmpgy
