_____________________________________	_____________________________________	Ncfsn

VII	vii	Mrc
.	.	Z

Prilozi	prilog	Ncmpn
(	(	Z
zaokružiti	zaokružiti	Vmn
broj	broj	Ncmsan
ispred	ispred	Sg
vrste	vrsta	Ncfsg
priloga	prilog	Ncmsg
)	)	Z

1.	1.	Mdo
Ako	ako	Cs
se	sebe	Px--sa
otvoreni	otvoren	Agpmsny
stečajni	stečajni	Agpmsny
postupak	postupak	Ncmsn
provodi	provoditi	Vmr3s

a	a	Cc
)	)	Z
izvadak	izvadak	Ncmsan
iz	iz	Sg
očevidnika	očevidnik	Ncmpg
pismena	pismena	Ncnpg
dostavljenih	dostaviti	Appnpgy
preko	preko	Sg
mrežne	mrežni	Agpfsgy
stranice	stranica	Ncfsg
e-Oglasna	e-oglasan	Agpfsny
ploča	ploča	Ncfsn
suda	sud	Ncmsg
iz	iz	Sg
kojeg	koji	Pi-msg
je	biti	Var3s
vidljiv	vidljiv	Agpmsnn
datum	datum	Ncmsn
objave	objava	Ncfsg
rješenja	rješenje	Ncnsg
o	o	Sl
utvrđivanju	utvrđivanje	Ncnsl
tražbina	tražbina	Ncfpg
,	,	Z

b	b	Npmsn
)	)	Z
datum	datum	Ncmsan
izdavanja	izdavanje	Ncnsg
potvrde	potvrda	Ncfsg
o	o	Sl
pravomoćnosti	pravomoćnost	Ncfsl
presude	presuda	Ncfsg
kojom	koji	Pi-fsi
je	biti	Var3s
utvrđena	utvrditi	Appfsny
visina	visina	Ncfsn
potraživanja	potraživanje	Ncnsg
i	i	Cc
isplatni	isplatan	Agpmsayn
red	red	Ncmsan
,	,	Z

c	C	Npmsn
)	)	Z
ugovor	ugovor	Ncmsan
o	o	Sl
radu	rad	Ncmsl
ili	ili	Cc
drugi	drugi	Mlomsan
dokaz	dokaz	Ncmsan
o	o	Sl
zasnovanom	zasnovan	Agpmsly
radnom	radni	Agpmsly
odnosu	odnos	Ncmsl
,	,	Z

d	i	Agpfsny
)	)	Z
odluka	odluka	Ncfsn
odnosno	odnosno	Rgp
drugi	drugi	Mlomsan
dokaz	dokaz	Ncmsan
o	o	Sl
prestanku	prestanak	Ncmsl
radnog	radni	Agpmsgy
odnosa	odnos	Ncmsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
radni	radni	Agpmsny
odnos	odnos	Ncmsn
prestao	prestati	Vmp-sm
,	,	Z

e	e	I
)	)	Z
prijava	prijava	Ncfsn
o	o	Sl
početku	početak	Ncmsl
i	i	Cc
prestanku	prestanak	Ncmsl
svojstva	svojstvo	Ncnsg
osiguranika	osiguranik	Ncmpg
u	u	Sa
HZMO	hzmo	Agpmsayn
kod	kod	Sg
poslodavca	poslodavac	Ncmsg
nad	nad	Si
kojim	koji	Pi-msi
je	biti	Var3s
otvoren	otvoriti	Appmsnn
stečaj	stečaj	Ncmsn
,	,	Z

f	f	Npmsn
)	)	Z
potvrda	potvrda	Ncfsn
stečajnog	stečajni	Agpmsgy
upravitelja	upravitelj	Ncmsg
o	o	Sl
kontinuiranom	kontinuiran	Agpnsly
trajanju	trajanje	Ncnsl
radnog	radni	Agpmsgy
odnosa	odnos	Ncmsg
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
prijenosa	prijenos	Ncmsg
ugovora	ugovor	Ncmsg
o	o	Sl
radu	rad	Ncmsl
na	na	Sa
novog	nov	Agpmsgy
poslodavca	poslodavac	Ncmsg
,	,	Z

g	g	Npmsn
)	)	Z
povijesni	povijesni	Agpmsny
izvadak	izvadak	Ncmsn
iz	iz	Sg
sudskog	sudski	Agpmsgy
registra	registar	Ncmsg
za	za	Sa
poslodavca	poslodavac	Ncmsan
nad	nad	Si
kojim	koji	Pi-msi
je	biti	Var3s
otvoren	otvoriti	Appmsnn
stečaj	stečaj	Ncmsn
,	,	Z

h	h	Npmsn
)	)	Z
rješenje	rješenje	Ncnsn
trgovačkog	trgovački	Agpmsgy
suda	sud	Ncmsg
o	o	Sl
utvrđenim	utvrditi	Agpnply
potraživanjima	potraživanje	Ncnpl
,	,	Z

i	i	Cc
)	)	Z
popis	popis	Ncmsan
priznatih	priznati	Appmpgy
potraživanja	potraživanje	Ncnsg
koji	koji	Pi-msn
je	biti	Var3s
sastavio	sastaviti	Vmp-sm
stečajni	stečajni	Agpmsny
upravitelj	upravitelj	Ncmsn
,	,	Z
po	po	Sl
vrsti	vrsta	Ncfsl
tražbine	tražbina	Ncfsg
i	i	Cc
razdoblju	razdoblje	Ncnsl
za	za	Sa
koje	koji	Pi-mpa
je	biti	Var3s
tražbina	tražbina	Ncfsn
priznata	priznati	Appfsny
,	,	Z

j	j	Npmsn
)	)	Z
potvrda	potvrda	Ncfsn
poslodavca	poslodavac	Ncmsg
o	o	Sl
neisplaćenim	neisplaćen	Agpnply
potraživanjima	potraživanje	Ncnpl
prema	prema	Sl
vrsti	vrsta	Ncfsl
tražbine	tražbina	Ncfsg
za	za	Sa
posljednja	posljednji	Agpmsgn
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
prije	prije	Sg
otvaranja	otvaranje	Ncnsg
stečaja	stečaj	Ncmsg
odnosno	odnosno	Rgp
prestanka	prestanak	Ncmsg
radnog	radni	Agpmsgy
odnosa	odnos	Ncmsg
,	,	Z

k	k	Mds
)	)	Z
pravomoćnu	pravomoćan	Agpfsay
presudu	presuda	Ncfsa
o	o	Sl
dosuđenoj	dosuditi	Agpfsly
naknadi	naknada	Ncfsl
štete	šteta	Ncfsg
zbog	zbog	Sg
ozljede	ozljeda	Ncfsg
na	na	Sl
radu	rad	Ncmsl
ili	ili	Cc
profesionalne	profesionalan	Agpfsgy
bolesti	bolest	Ncfsg
,	,	Z

l	l	Npmsn
)	)	Z
potvrdu	potvrda	Ncfsa
o	o	Sl
osobnom	osoban	Agpmsly
identifikacijskom	identifikacijski	Agpmsly
broju	broj	Ncmsl
ili	ili	Cc
neku	neki	Pi-fsa
drugu	drugi	Mlofsa
javnu	javan	Agpfsay
ispravu	isprava	Ncfsa
koja	koji	Pi-fsn
sadrži	sadržati	Vmr3s
podatak	podatak	Ncmsan
o	o	Sl
osobnom	osoban	Agpmsly
identifikacijskom	identifikacijski	Agpmsly
broju	broj	Ncmsl
.	.	Z

2.	2.	Mdo
Ako	ako	Cs
se	sebe	Px--sa
otvoreni	otvoren	Agpmsny
stečajni	stečajni	Agpmsny
postupak	postupak	Ncmsn
ne	ne	Qz
provodi	provoditi	Vmr3s

a	a	Cc
)	)	Z
izvadak	izvadak	Ncmsan
iz	iz	Sg
očevidnika	očevidnik	Ncmpg
pismena	pismena	Ncnpg
dostavljenih	dostaviti	Appnpgy
preko	preko	Sg
mrežne	mrežni	Agpfsgy
stranice	stranica	Ncfsg
e-Oglasna	e-oglasan	Agpfsny
ploča	ploča	Ncfsn
suda	sud	Ncmsg
iz	iz	Sg
kojeg	koji	Pi-msg
je	biti	Var3s
vidljiv	vidljiv	Agpmsnn
datum	datum	Ncmsn
objave	objava	Ncfsg
rješenja	rješenje	Ncnsg
o	o	Sl
zaključenju	zaključenje	Ncnsl
stečajnog	stečajni	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z

b	b	Npmsn
)	)	Z
ugovor	ugovor	Ncmsan
o	o	Sl
radu	rad	Ncmsl
ili	ili	Cc
drugi	drugi	Mlomsan
dokaz	dokaz	Ncmsan
o	o	Sl
zasnovanom	zasnovan	Agpmsly
radnom	radni	Agpmsly
odnosu	odnos	Ncmsl
,	,	Z

c	C	Npmsn
)	)	Z
odluka	odluka	Ncfsn
odnosno	odnosno	Rgp
drugi	drugi	Mlomsan
dokaz	dokaz	Ncmsan
o	o	Sl
prestanku	prestanak	Ncmsl
radnog	radni	Agpmsgy
odnosa	odnos	Ncmsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
radni	radni	Agpmsny
odnos	odnos	Ncmsn
prestao	prestati	Vmp-sm
,	,	Z

d	d	Ncnsn
)	)	Z
prijava	prijava	Ncfsn
o	o	Sl
početku	početak	Ncmsl
i	i	Cc
prestanku	prestanak	Ncmsl
svojstva	svojstvo	Ncnsg
osiguranika	osiguranik	Ncmpg
u	u	Sa
HZMO	hzmo	Agpmsayn
kod	kod	Sg
poslodavca	poslodavac	Ncmsg
nad	nad	Si
kojim	koji	Pi-msi
je	biti	Var3s
otvoren	otvoriti	Appmsnn
stečaj	stečaj	Ncmsn
,	,	Z

e	e	I
)	)	Z
potvrda	potvrda	Ncfsn
stečajnog	stečajni	Agpmsgy
upravitelja	upravitelj	Ncmsg
o	o	Sl
kontinuiranom	kontinuiran	Agpnsly
trajanju	trajanje	Ncnsl
radnog	radni	Agpmsgy
odnosa	odnos	Ncmsg
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
prijenosa	prijenos	Ncmsg
ugovora	ugovor	Ncmsg
o	o	Sl
radu	rad	Ncmsl
na	na	Sa
novog	nov	Agpmsgy
poslodavca	poslodavac	Ncmsg
,	,	Z

f	f	Npmsn
)	)	Z
povijesni	povijesni	Agpmsny
izvadak	izvadak	Ncmsn
iz	iz	Sg
sudskog	sudski	Agpmsgy
registra	registar	Ncmsg
za	za	Sa
poslodavca	poslodavac	Ncmsan
nad	nad	Si
kojim	koji	Pi-msi
je	biti	Var3s
otvoren	otvoriti	Appmsnn
stečaj	stečaj	Ncmsn
,	,	Z

g	g	Agpmpay
)	)	Z
obračune	obračun	Agpfpny
plaće	plaća	Ncfpn
,	,	Z
naknade	naknada	Ncfpa
plaće	plaća	Ncfsg
i	i	Cc
otpremnine	otpremnina	Ncfpa
koje	koji	Pi-fpa
je	biti	Var3s
poslodavac	poslodavac	Ncmsn
bio	biti	Vap-sm
dužan	dužan	Agpmsnn
isplatiti	isplatiti	Vmn
u	u	Sa
posljednja	posljednji	Agpmsgn
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
prije	prije	Sg
otvaranja	otvaranje	Ncnsg
stečaja	stečaj	Ncmsg
odnosno	odnosno	Rgp
prije	prije	Sg
prestanka	prestanak	Ncmsg
radnog	radni	Agpmsgy
odnosa	odnos	Ncmsg
,	,	Z

h	h	Npmsn
)	)	Z
IBAN	iban	Agpmsnn
broj	broj	Ncmsn
tekućeg	tekući	Agpmsgy
računa	račun	Ncmsg
radnika	radnik	Ncmpg
,	,	Z
naziv	naziv	Ncmsn
i	i	Cc
sjedište	sjedište	Ncnsn
banke	banka	Ncfsg
,	,	Z

i	i	Cc
)	)	Z
IBAN	iban	Agpmsnn
broj	broj	Ncmsn
zaštićenog	zaštititi	Agpmsgy
računa	račun	Ncmsg
iz	iz	Sg
čl.	čl.	Y
212.	212.	Mdo

Ovršnog	ovršni	Agpmsgy
zakona	zakon	Ncmsg
,	,	Z
naziv	naziv	Ncmsn
i	i	Cc
sjedište	sjedište	Ncnsn
banke	banka	Ncfsg
,	,	Z

j	j	Npmsn
)	)	Z
presliku	preslika	Ncfsa
obrasca	obrazac	Ncmsg
PK	PK	Npmsn
,	,	Z

k	k	Ncnsn
)	)	Z
