funkcionalnom	funkcionalan	Agpnsly
području	područje	Ncnsl
(	(	Z
IFP	IFP	Npmsn
)	)	Z
te	te	Cc
obnašanje	obnašanje	Ncnsa
dužnosti	dužnost	Ncfsg
prvog	prvi	Mlomsg
dočasnika	dočasnik	Ncmsg
za	za	Sa
upućivanje	upućivanje	Ncnsa
na	na	Sa
Program	program	Ncmsan
napredne	napredan	Agpfsgy
dočasničke	dočasnički	Agpfsgy
izobrazbe	izobrazba	Ncfsg
i	i	Cc
Program	program	Ncmsn
visoke	visok	Agpfsgy
dočasničke	dočasnički	Agpfsgy
izobrazbe	izobrazba	Ncfsg

–	–	Pd-fsg
godine	godina	Ncfsg
provedene	provesti	Appfpny
u	u	Sl
činu	čin	Ncmsl

–		Agpfpgy
ocjena	ocjena	Ncfpg
prethodno	prethodno	Rgp
završene	završen	Agpfsgy
izobrazbe	izobrazba	Ncfsg
;	;	Z
osim	osim	Cs
za	za	Sa
prvu	prvi	Mlofsa
razinu	razina	Ncfsa
slijedno-rastuće	slijedno-rastući	Agpfsgy
dočasničke	dočasnički	Agpfsgy
i	i	Cc
časničke	časnički	Agpfsgy
izobrazbe	izobrazba	Ncfsg

–	–	Z
službena	služben	Agpfsny
ocjena	ocjena	Ncfsn
u	u	Sa
posljednje	posljednji	Agpnsay
dvije	dva	Mlcf-a
ocjenjivane	ocjenjivati	Agpfsgy
godine	godina	Ncfsg

–	–	Agpmsny
rezultat	rezultat	Ncmsn
na	na	Sl
ulaznom	ulazan	Agpnsly
testiranju	testiranje	Ncnsl
;	;	Z
za	za	Sa
slijedno-rastuće	slijedno-rastuća	Ncfpa
dočasničke	dočasnički	Agpfsgy
izobrazbe	izobrazba	Ncfsg
i	i	Cc
treću	treći	Mlofsa
razinu	razina	Ncfsa
slijedno-rastuće	slijedno-rastući	Agpfsgy
časničke	časnički	Agpfsgy
izobrazbe	izobrazba	Ncfsg
za	za	Sa
Program	program	Ncmsan
integranske	integranski	Agpfsgy
zapovjedno-stožerne	zapovjedno-stožeran	Agpfsgy
izobrazbe	izobrazba	Ncfsg

–	i	Agpnsay
znanje	znanje	Ncnsa
stranog	stran	Agpmsgy
jezika	jezik	Ncmsg
;	;	Z
za	za	Sa
treću	treći	Mlofsa
i	i	Cc
četvrtu	četvrti	Mlofsa
razinu	razina	Ncfsa
slijedno-rastuće	slijedno-rastući	Agpfsgy
dočasničke	dočasnički	Agpfsgy
odnosno	odnosno	Rgp
časničke	časnički	Agpfsgy
izobrazbe	izobrazba	Ncfsg

–		Agcnsay
sudjelovanje	sudjelovanje	Ncnsa
u	u	Sl
operacijama	operacija	Ncfpl
potpore	potpora	Ncfsg
miru	mir	Ncmsl
,	,	Z
operacijama	operacija	Ncfpl
odgovora	odgovor	Ncmsg
na	na	Sa
krize	kriza	Ncfpa
,	,	Z
humanitarnim	humanitaran	Agpfply
operacijama	operacija	Ncfpl
i	i	Cc
drugima	drugi	Mlofpl
aktivnostima	aktivnost	Ncfpl
u	u	Sl
inozemstvu	inozemstvo	Ncnsl

–	–	Agpmsny
prioritet	prioritet	Ncmsn
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Vrednovanje	vrednovanje	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
