neposredno	neposredan	Agpnsny
uz	uz	Sa
mjesto	mjesto	Ncnsa
smještaja	smještaj	Ncmsg
ili	ili	Cc
s	sa	Sg
mjesta	mjesto	Ncnsg
na	na	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
premješta	premještati	Vmr3s
splav	splav	Ncmsn
za	za	Sa
spašavanje	spašavanje	Ncnsa
prije	prije	Sg
spuštanja	spuštanje	Ncnsg
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
zahtjevima	zahtjev	Ncmpi
navedenim	naveden	Agpmpiy
u	u	Sl
2.7.5.	2.7.	Agpfply

4.3.2	4.3.2	Mdc
Na	na	Sl
teretnim	teretan	Agpmply
brodovima	brod	Ncmpl
bruto	bruti	Agpfsgy
tonaže	tonaža	Ncfsg
20.000	20.000	Mdc
i	i	Cc
više	mnogo	Rgc
,	,	Z
brodice	brodica	Ncfpn
za	za	Sa
spašavanje	spašavanje	Ncnsa
moraju	morati	Vmr3p
se	sebe	Px--sa
moći	moći	Vmn
spustiti	spustiti	Vmn
i	i	Cc
,	,	Z
ako	ako	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
pomoću	pomoć	Sg
vezaljki	vezaljka	Ncfpg
,	,	Z
dok	dok	Cs
brod	brod	Ncmsn
plovi	ploviti	Vmr3s
naprijed	naprijed	Rgp
pri	pri	Sl
brzini	brzina	Ncfsl
do	do	Sg
5	5	Mdc
čvorova	čvor	Ncmpg
u	u	Sl
mirnoj	miran	Agpfsly
vodi	voda	Ncfsl
.	.	Z

PRILOG	prilog	Ncmsn
V.	V.	Mro

ZAHTJEVI	zahtjev	Ncmpn
ZA	za	Sa
DRUGE	drugi	Agpmpay
TIPOVE	tip	Ncmpa
BRODOVA	brod	Ncmpg

5.1	5.1	Agpmpny
BRODOVI	brod	Ncmpn
POSEBNE	poseban	Agpfsgy
NAMJENE	namjena	Ncfsg

5.1.1	5.1.1	Agpmpny
Brodovi	brod	Ncmpn
posebne	poseban	Agpfsgy
namjene	namjena	Ncfsg
na	na	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
više	mnogo	Rgc
od	od	Sg
50	50	Mdc
članova	član	Ncmpg
posebnog	poseban	Agpnsgy
osoblja	osoblje	Ncnsg
moraju	morati	Vmr3p
biti	biti	Van
opremljeni	opremiti	Appmpny
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
zahtjevima	zahtjev	Ncmpi
za	za	Sa
putničke	putnički	Agpmpay
brodove	brod	Ncmpa
koji	koji	Pi-mpn
obavljaju	obavljati	Vmr3p
međunarodna	međunarodni	Agpnpay
putovanja	putovanje	Ncnpa
koja	koji	Pi-npn
nisu	biti	Var3p
kratka	kratak	Agpnpay
međunarodna	međunarodni	Agpnpay
putovanja	putovanje	Ncnpa
.	.	Z

Brodovi	brod	Ncmpn
predviđeni	predvidjeti	Appmpny
za	za	Sa
plovidbu	plovidba	Ncfsa
u	u	Sl
području	područje	Ncnsl
5	5	Mdc
,	,	Z
6	6	Mdc
,	,	Z
7	7	Mdc
i	i	Cc
8	8	Mdc
,	,	Z
moraju	morati	Vmr3p
biti	biti	Van
opremljeni	opremiti	Appmpny
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
zahtjevima	zahtjev	Ncmpi
za	za	Sa
putničke	putnički	Agpmpay
brodove	brod	Ncmpa
predviđene	predvidjeti	Agpmpay
za	za	Sa
plovidbu	plovidba	Ncfsa
u	u	Sl
tim	tim	Ncmsan
područjima	područje	Ncnpl
.	.	Z

5.1.2	5.1.2	Agpmpny
Brodovi	brod	Ncmpn
posebne	poseban	Agpfsgy
namjene	namjena	Ncfsg
na	na	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
do	do	Sg
,	,	Z
uključivo	uključivo	Rgp
50	50	Mdc
članova	član	Ncmpg
posebnog	poseban	Agpnsgy
osoblja	osoblje	Ncnsg
moraju	morati	Vmr3p
biti	biti	Van
opremljeni	opremiti	Appmpny
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
zahtjevima	zahtjev	Ncmpi
za	za	Sa
teretne	teretan	Agpmpay
brodove	brod	Ncmpa
.	.	Z

5.1.3	5.1.3	Mdc
Ako	ako	Cs
brodovi	brod	Ncmpn
navedeni	navesti	Appmpny
u	u	Sl
5.2.2	5.2.a	Ncfsl
udovoljavaju	udovoljavati	Vmr3p
zahtjevima	zahtjev	Ncmpi
za	za	Sa
pregrađivanje	pregrađivanje	Ncnsa
,	,	Z
navedenim	naveden	Agpmply
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Pravilima	pravilo	Ncmpi
,	,	Z
Dio	dio	Ncmsn
5.	5.	Mdo
–	–	Z
Pregrađivanje	pregrađivanje	Ncnsn
,	,	Z
2.1.4.5	2.1.4.i	Agpnsny
,	,	Z
opremaju	opremati	Vmr3p
se	sebe	Px--sa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
5.2.1.	5.2.1.	Mds

5.1.4	5.1.4	Mdc
Školski	školski	Agpmpny
brodovi	brod	Ncmpn
na	na	Sa
jedra	jedro	Ncnpa
,	,	Z
na	na	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
ukrcano	ukrcati	Appnsny
50	50	Mdc
i	i	Cc
više	mnogo	Rgc
članova	član	Ncmpg
posebnog	poseban	Agpnsgy
osoblja	osoblje	Ncnsg
(	(	Z
vježbenika	vježbenik	Ncmpg
)	)	Z
,	,	Z
moraju	morati	Vmr3p
se	sebe	Px--sa
opremiti	opremiti	Vmn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
3.1.1.5	3.1.1.5	Mds
i	i	Cc
,	,	Z
pored	pored	Sg
toga	taj	Pd-nsg
,	,	Z
hidro-termo	hidro-termo	Sl
odijelima	odijelo	Ncnpl
za	za	Sa
sve	sav	Agpfpay
osobe	osoba	Ncfpa
na	na	Sl
brodu	brod	Ncmsl
.	.	Z

5.1.5	5.1.5	Agpmpny
Brodovi	brod	Ncmpn
posebne	poseban	Agpfsgy
namjene	namjena	Ncfsg
područja	područje	Ncnsg
plovidbe	plovidba	Ncfsg
4	4	Mdc
,	,	Z
5	5	Mdc
,	,	Z
6	6	Mdc
,	,	Z
7	7	Mdc
i	i	Cc
8	8	Mdc
opremaju	opremati	Vmr3p
se	sebe	Px--sa
osobnim	osoban	Agpnpiy
sredstvima	sredstvo	Ncnpi
za	za	Sa
spašavanje	spašavanje	Ncnsa
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
zahtjevima	zahtjev	Ncmpi
za	za	Sa
teretne	teretan	Agpmpay
brodove	brod	Ncmpa
osim	osim	Sg
tankera	tanker	Ncmpg
,	,	Z
tankera	tanker	Ncmsg
za	za	Sa
kemikalije	kemikalija	Ncfpa
i	i	Cc
brodova	brod	Ncmpg
za	za	Sa
ukapljene	ukapljeni	Agpmpay
plinove	plin	Ncmpa
,	,	Z
predviđene	predvidjeti	Ncfpa
za	za	Sa
plovidbu	plovidba	Ncfsa
u	u	Sl
tim	tim	Ncmsan
područjima	područje	Ncnpl
.	.	Z

5.2	5.2	Pd-mpn
BRODOVI	brod	Ncmpn
ZA	za	Sa
TEHNIČKE	tehnički	Agpfpay
NAMJENE	namjena	Ncfpa

5.2.1	5.2.1	Agpmsny
Spasilački	spasilački	Agpmsny
,	,	Z
protupožarni	protupožarni	Agpmpny
i	i	Cc
pilotski	pilotski	Agpmpny
brodovi	brod	Ncmpn
,	,	Z
te	te	Cc
