ulaganja	ulaganje	Ncnpn
u	u	Sl
inozemstvu	inozemstvo	Ncnsl
6.	6.	Mdo
Udio	udjel	Ncmsn
u	u	Sl
ostaloj	ostali	Agpfsly
sveobuhvatnoj	sveobuhvatan	Agpfsly
dobiti	dobit	Ncfsl
/	/	Z
gubitku	gubitak	Ncmsd
društava	društvo	Ncnpg
povezanih	povezan	Agpmpgy
sudjelujućim	sudjelujući	Agpmsiy
interesom	interes	Ncmsi
7.	7.	Mdo
Aktuarski	aktuarski	Agpmpny
dobici	dobitak	Ncmpn
/	/	Z
gubici	gubitak	Ncmpn
po	po	Sl
planovima	plan	Ncmpl
definiranih	definirati	Agpnpgy
primanja	primanje	Ncnpg
8.	8.	Mdo
Ostale	ostali	Agpfsgy
nevlasničke	nevlasnički	Agpfpay
promjene	promjena	Ncfpa
kapitala	kapital	Ncmsg
III	III	Mrc
POREZ	porez	Ncmsan
NA	na	Sa
OSTALU	ostali	Agpfsay
SVEOBUHVATNU	sveobuhvatan	Agpfsay
DOBIT	dobit	Ncfsa
RAZDOBLJA	razdoblje	Ncnsg
IV	IV	Cc
NETO	neto	Agpnsay
OSTALA	ostati	Vmp-sf
SVEOBUHVATNA	sveobuhvatan	Agpfsny
DOBIT	dobit	Ncfsn
ILI	ili	Cc
GUBITAK	gubitak	Ncmsan
V	V	X
SVEOBUHVATNA	sveobuhvatan	Agpfsny
DOBIT	dobit	Ncfsn
ILI	ili	Cc
GUBITAK	gubitak	Ncmsan
RAZDOBLJA	razdoblje	Ncnsg
DODATAK	dodatak	Ncmsn
Izvještaju	izvještaj	Ncmsd
o	o	Sl
ostaloj	ostali	Agpfsly
sveobuhvatnoj	sveobuhvatan	Agpfsly
dobiti	dobit	Ncfsl
(	(	Z
popunjava	popunjavati	Vmr3s
poduzetnik	poduzetnik	Ncmsn
koji	koji	Pi-msn
sastavlja	sastavljati	Vmr3s
konsolidirane	konsolidirati	Appfpny
godišnje	godišnje	Rgp
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
)	)	Z
VI	vi	Pp2-pn
SVEOBUHVATNA	sveobuhvatan	Agpfsny
DOBIT	dobit	Ncfsn
ILI	ili	Cc
GUBITAK	gubitak	Ncmsan
RAZDOBLJA	razdoblje	Ncnsg
1.	1.	Mdo
Pripisana	Pripisan	Npmsay
imateljima	imatelj	Ncmpi
kapitala	kapital	Ncmsg
matice	matica	Ncfsg
2.	2.	Mdo
Pripisana	pripisati	Appfsny
manjinskom	manjinski	Agpfsiy
(	(	Z
nekontrolirajućem	nekontrolirajući	Agpmsly
)	)	Z
interesu	interes	Ncmsl

IZVJEŠTAJ	izvještaj	Ncmsn
O	o	Sl
NOVČANIM	novčan	Agpmply
TOKOVIMA	tok	Ncmpl

INDIREKTNA	indirektan	Agpfsny
METODA	metoda	Ncfsn

Oznaka	oznaka	Ncfsn
pozicije	pozicija	Ncfsg
Naziv	naziv	Ncmsn
pozicije	pozicija	Ncfsg
NOVČANI	novčan	Agpmpny
TOKOVI	tok	Ncmpn
OD	od	Sg
POSLOVNIH	poslovan	Agpfpgy
AKTIVNOSTI	aktivnost	Ncfpg
1.	1.	Mdo
Dobit	dobit	Ncfsn
prije	prije	Sg
oporezivanja	oporezivanje	Ncnsg
