zaprimljenog	zaprimiti	Agpmsgy
zahtjeva	zahtjev	Ncmsg
obavezan	obavezan	Agpmsnn
je	biti	Var3s
izaći	izaći	Vmn
na	na	Sa
adresu	adresa	Ncfsa
navedenu	navesti	Appfsay
u	u	Sl
zahtjevu	zahtjev	Ncmsl
i	i	Cc
prikupiti	prikupiti	Vmn
sve	sav	Agpmpay
podatke	podatak	Ncmpa
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
člankom	članak	Ncmsi
5.	5.	Mdo
stavcima	stavak	Ncmpi
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Posjednik	posjednik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dati	dati	Vmn
djelatniku	djelatnik	Ncmsd
HPA	HPA	Sa
sve	sav	Agpmpay
tražene	tražen	Agpmpay
podatke	podatak	Ncmpa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Djelatnik	djelatnik	Ncmsn
HPA	HP	Npmsg
i	i	Cc
posjednik	posjednik	Ncmsn
dužni	dužan	Agpmpny
su	biti	Var3p
se	sebe	Px--sa
potpisati	potpisati	Vmn
na	na	Sa
ispunjene	ispunjen	Agpmpay
obrasce	obrazac	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavaka	stavak	Ncmpg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

Djelatnik	djelatnik	Ncmsn
HPA	HP	Npmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
,	,	Z
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
7	7	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmpg
prikupljanja	prikupljanje	Ncnsg
podataka	podatak	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
unijeti	unijeti	Vmn
u	u	Sa
računalnu	računalni	Agpfsay
bazu	baza	Ncfsa
Registra	registar	Ncmsg
farmi	farma	Ncfpg
podatke	podatak	Ncmpa
i	i	Cc
obrasce	obrazac	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Promjena	promjena	Ncfsn
podataka	podatak	Ncmpg
o	o	Sl
farmi	farma	Ncfsl

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Posjednik	posjednik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
svaku	svaki	Pi-fsa
promjenu	promjena	Ncfsa
podataka	podatak	Ncmpg
o	o	Sl
farmi	farma	Ncfsl
i	i	Cc
posjedniku	posjednik	Ncmsl
propisanu	propisati	Appfsay
člankom	članak	Ncmsi
5.	5.	Mdo
stavkom	stavak	Ncmsi
6.	6.	Mdo
točkom	točka	Ncfsi
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
prijaviti	prijaviti	Vmn
HPA-u	HPA	Npmsd
najkasnije	kasno	Rgs
7	7	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
nastale	nastao	Agpfsgy
promjene	promjena	Ncfsg
na	na	Sl
obrascu	obrazac	Ncmsl
»	»	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
promjenu	promjena	Ncfsa
podataka	podatak	Ncmpg
o	o	Sl
farmi	farma	Ncfsl
«	«	Z
čiji	čiji	Pi-msn
se	sebe	Px--sa
primjer	primjer	Ncmsn
nalazi	nalaziti	Vmr3s
na	na	Sl
službenim	služben	Agpfply
web	web	Agpfply
stranicama	stranica	Ncfpl
Ministarstva	ministarstvo	Ncnsg
i	i	Cc
HPA	HP	Npmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Promjene	promjena	Ncfsg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
dodatne	dodatan	Agpmpay
podatke	podatak	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
6.	6.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
podtočke	podtočka	Ncfsg
(	(	Z
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
posjednik	posjednik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
prijaviti	prijaviti	Vmn
u	u	Sl
HPA	HPA	Npfsl
najkasnije	kasno	Rgs
7	7	Mdc
dana	dan	Ncmpg
od	od	Sg
nastale	nastao	Agpfsgy
promjene	promjena	Ncfsg
na	na	Sl
obrascu	obrazac	Ncmsl
»	»	Z
Promjena	promjena	Ncfsn
dodatnih	dodatan	Agpmpgy
podataka	podatak	Ncmpg
o	o	Sl
farmi	farma	Ncfsl
«	«	Z
čiji	čiji	Pi-msn
se	sebe	Px--sa
primjer	primjer	Ncmsn
nalazi	nalaziti	Vmr3s
na	na	Sl
službenim	služben	Agpfply
web	web	Agpfply
stranicama	stranica	Ncfpl
