ulozi	ulog	Ncmpn
vlasnika	vlasnik	Ncmpg
zemljišta	zemljište	Ncnsg
i	i	Cc
građevina	građevina	Ncfpg
,	,	Z
s	sa	Si
iznimkom	iznimka	Ncfsi
vlasnika	vlasnik	Ncmpg
izvanteritorijalnih	izvanteritorijalan	Agpfpgy
enklava	enklava	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
dio	dio	Ncmsn
ekonomskog	ekonomski	Agpnsgy
područja	područje	Ncnsg
drugih	drugi	Mlofpg
država	država	Ncfpg
ili	ili	Cc
su	biti	Var3p
neovisne	neovisan	Agpfpny
države	država	Ncfpn
.	.	Z

2.09.	2.09.	Mdo

U	u	Sl
slučaju	slučaj	Ncmsl
jedinica	jedinica	Ncfpg
koje	koji	Pi-fpn
nisu	biti	Var3p
kućanstva	kućanstvo	Ncnsg
,	,	Z
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
sve	sav	Agpfpay
transakcije	transakcija	Ncfpa
izuzev	izuzev	Sg
onih	onaj	Pd-fpg
vezanih	vezan	Agpfpgy
uz	uz	Sa
vlasništvo	vlasništvo	Ncnsa
nad	nad	Si
zemljištem	zemljište	Ncnsi
i	i	Cc
građevinama	građevina	Ncfpl
,	,	Z
razlikuju	razlikovati	Vmr3p
se	sebe	Px--sa
sljedeća	sljedeći	Agpmsgn
dva	dva	Mlc
slučaja	slučaj	Ncmsg
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
aktivnost	aktivnost	Ncfsn
se	sebe	Px--sa
odvija	odvijati	Vmr3s
isključivo	isključivo	Rgp
na	na	Sl
ekonomskom	ekonomski	Agpnsly
području	područje	Ncnsl
države	država	Ncfsg
:	:	Z
jedinice	jedinica	Ncfpa
koje	koji	Pi-fpn
izvode	izvoditi	Vmr3p
tu	taj	Pd-fsa
aktivnost	aktivnost	Ncfsa
,	,	Z
su	biti	Var3p
rezidentne	rezidentan	Agpfpny
jedinice	jedinica	Ncfpn
te	taj	Pd-fsg
zemlje	zemlja	Ncfsg
;	;	Z

(	(	Z
b	b	X
)	)	Z
aktivnost	aktivnost	Ncfsn
se	sebe	Px--sa
,	,	Z
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
jedne	jedan	Agpfsgy
godine	godina	Ncfsg
ili	ili	Cc
dulje	dugo	Rgc
,	,	Z
odvija	odvijati	Vmr3s
na	na	Sl
ekonomskim	ekonomski	Agpnply
područjima	područje	Ncnpl
nekoliko	nekoliko	Rgp
zemalja	zemlja	Ncfpg
:	:	Z
rezidentnom	rezidentan	Agpfsiy
jedinicom	jedinica	Ncfsi
se	sebe	Px--sa
smatra	smatrati	Vmr3s
samo	samo	Rgp
onaj	onaj	Pd-msn
dio	dio	Ncmsn
jedinice	jedinica	Ncfsg
koji	koji	Pi-msn
na	na	Sl
ekonomskom	ekonomski	Agpnsly
području	područje	Ncnsl
te	taj	Pd-fsg
zemlje	zemlja	Ncfsg
ima	imati	Vmr3s
središte	središte	Ncnsa
prevladavajućeg	prevladavajući	Agpmsgy
ekonomskog	ekonomski	Agpmsgy
interesa	interes	Ncmsg
.	.	Z

Rezidentna	rezidentan	Agpfsny
institucionalna	institucionalan	Agpfsny
jedinica	jedinica	Ncfsn
može	moći	Vmr3s
biti	biti	Van
uvjetno	uvjetno	Rgp
rezidentna	rezidentan	Agpfsny
jedinica	jedinica	Ncfsn
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
godine	godina	Ncfsg
dana	dan	Ncmpg
ili	ili	Cc
dulje	dugo	Rgc
aktivnost	aktivnost	Ncfsa
obavlja	obavljati	Vmr3s
jedinica	jedinica	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
rezidentna	rezidentan	Agpfsny
u	u	Sl
drugoj	drugi	Mlofsl
državi	država	Ncfsl
.	.	Z

Ako	ako	Cs
se	sebe	Px--sa
aktivnost	aktivnost	Ncfsn
obavlja	obavljati	Vmr3s
kraće	kratko	Rgc
od	od	Sg
godine	godina	Ncfsg
dana	dan	Ncmpg
,	,	Z
aktivnost	aktivnost	Ncfsn
ostaje	ostajati	Vmr3s
dio	dio	Ncmsan
