pritužbi	pritužba	Ncfsl
,	,	Z
a	a	Cc
tako	tako	Rgp
i	i	Qo
u	u	Sl
predmetnom	predmetni	Agpmsly
zahtjevu	zahtjev	Ncmsl
o	o	Sl
kojem	koji	Pi-msl
je	biti	Var3s
odlučeno	odlučiti	Appnsny
osporenom	osporiti	Agpfsiy
odlukom	odluka	Ncfsi
i	i	Cc
u	u	Sl
tužbi	tužba	Ncfsl
,	,	Z
u	u	Sl
bitnome	bitan	Agpmsly
navodi	navoditi	Vmr3s
da	da	Cs
su	biti	Var3p
ponavljana	ponavljati	Appnpny
pozivanja	pozivanje	Ncnpn
tužiteljice	tužiteljica	Ncfsg
od	od	Sg
strane	strana	Ncfsg
operatora	operator	Ncmsg
(	(	Z
ovdje	ovdje	Rgp
zainteresirane	zainteresiran	Agpfpny
osobe	osoba	Ncfpn
)	)	Z
u	u	Sl
prosincu	prosinac	Ncmsl
2013.	2013.	Mdo
nastavljena	nastaviti	Appfsny
nakon	nakon	Cs
što	što	Cs
je	biti	Var3s
tužiteljica	tužiteljica	Ncfsn
s	sa	Si
tim	taj	Pd-nsi
u	u	Sl
vezi	veza	Ncfsl
pozvala	pozvati	Vmp-sf
službu	služba	Ncfsa
za	za	Sa
korisnike	korisnik	Ncmpa
operatora	operator	Ncmpg
(	(	Z
ovdje	ovdje	Rgp
zainteresirane	zainteresiran	Agpfpny
osobe	osoba	Ncfpn
)	)	Z
,	,	Z
a	a	Cc
potom	potom	Rgp
i	i	Cc
otišla	otići	Vmp-sf
u	u	Sa
prostorije	prostorija	Ncfpa
operatora	operator	Ncmpg
u	u	Sl
Splitu	Split	Npmsl
,	,	Z
navodeći	navoditi	Rr
da	da	Cs
ne	ne	Qz
spori	sporiti	Vmr3s
navedenu	naveden	Agpfsay
povećanu	povećan	Agpfsay
potrošnju	potrošnja	Ncfsa
te	te	Cc
je	biti	Var3s
istu	isti	Agpfsay
spremna	spreman	Agpfsny
odmah	odmah	Rgp
podmiriti	podmiriti	Vmn
,	,	Z
i	i	Cc
tražeći	tražiti	Rr
obustavu	obustava	Ncfsa
navedenih	naveden	Agpmpgy
poziva	poziv	Ncmpg
operatora	operator	Ncmpg
(	(	Z
ovdje	ovdje	Rgp
zainteresirane	zainteresiran	Agpfpny
osobe	osoba	Ncfpn
)	)	Z
,	,	Z
a	a	Cc
kojim	koji	Pi-msi
ponavljanim	ponavljati	Appnply
pozivanjima	pozivanje	Ncnpl
govornog	govorni	Agpmsgy
automata	automat	Ncmsg
operatora	operator	Ncmsg
(	(	Z
ovdje	ovdje	Rgp
zainteresirane	zainteresiran	Agpfpny
osobe	osoba	Ncfpn
)	)	Z
se	sebe	Px--sa
tužiteljica	tužiteljica	Ncfsn
smatra	smatrati	Vmr3s
povrijeđenom	povrijeđen	Agpfsiy
i	i	Cc
oštećenom	oštetiti	Ncfsi
.	.	Z

Slijedom	slijed	Ncmsi
navedenog	naveden	Agpmsgy
,	,	Z
i	i	Cc
po	po	Sl
ocjeni	ocjena	Ncfsl
ovog	ovaj	Pd-msg
suda	sud	Ncmsg
,	,	Z
a	a	Cc
kako	kako	Cs
je	biti	Var3s
predmetnim	predmetni	Agpnply
pozivanjima	pozivanje	Ncnpl
govornog	govorni	Agpmsgy
automata	automat	Ncmsg
operator	operator	Ncmsn
izvršavao	izvršavati	Vmp-sm
obvezu	obveza	Ncfsa
iz	iz	Sg
citiranog	citirati	Agpmsgy
članka	članak	Ncmsg
24.	24.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
Pravilnika	pravilnik	Ncmsg
,	,	Z
to	taj	Pd-nsn
u	u	Sl
okviru	okvir	Ncmsl
ovdje	ovdje	Rgp
predmetne	predmetni	Agpfsgy
tuženikove	tuženikov	Agpfsgy
nadležnosti	nadležnost	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
51.	51.	Mdo

ZEK-a	ZEK	Npmsg
,	,	Z
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
ne	ne	Qz
postoji	postojati	Vmr3s
pravno	pravni	Agpnsny
uporište	uporište	Ncnsn
za	za	Sa
utvrđivanje	utvrđivanje	Ncnsa
odgovornosti	odgovornost	Ncfsg
zainteresirane	zainteresiran	Agpfsgy
osobe	osoba	Ncfsg
(	(	Z
operatora	operator	Ncmsg
)	)	Z
.	.	Z

Tužiteljici	tužiteljica	Ncfsl
je	biti	Var3s
navesti	navesti	Vmn
da	da	Cs
ovaj	ovaj	Pd-msn
sud	sud	Ncmsn
ima	imati	Vmr3s
u	u	Sl
vidu	vid	Ncmsl
njene	njen	Ps3fsg
tvrdnje	tvrdnja	Ncfsg
kako	kako	Cs
su	biti	Var3p
navedena	navesti	Appnpny
ponavljana	ponavljati	Appnpny
pozivanja	pozivanje	Ncnpn
tužiteljice	tužiteljica	Ncfsg
od	od	Sg
strane	strana	Ncfsg
operatora	operator	Ncmsg
(	(	Z
ovdje	ovdje	Rgp
zainteresirane	zainteresiran	Agpfpny
osobe	osoba	Ncfpn
)	)	Z
u	u	Sl
prosincu	prosinac	Ncmsl
2013.	2013.	Mdo
nastavljena	nastaviti	Appfsny
nakon	nakon	Cs
što	što	Cs
je	biti	Var3s
tužiteljica	tužiteljica	Ncfsn
s	sa	Si
tim	taj	Pd-nsi
u	u	Sl
vezi	veza	Ncfsl
pozvala	pozvati	Vmp-sf
službu	služba	Ncfsa
za	za	Sa
korisnike	korisnik	Ncmpa
operatora	operator	Ncmpg
(	(	Z
ovdje	ovdje	Rgp
zainteresirane	zainteresiran	Agpfpny
osobe	osoba	Ncfpn
)	)	Z
,	,	Z
a	a	Cc
potom	potom	Rgp
i	i	Cc
otišla	otići	Vmp-sf
u	u	Sa
prostorije	prostorija	Ncfpa
operatora	operator	Ncmpg
u	u	Sl
Splitu	Split	Npmsl
,	,	Z
navodeći	navoditi	Rr
da	da	Cs
ne	ne	Qz
spori	sporiti	Vmr3s
navedenu	naveden	Agpfsay
povećanu	povećan	Agpfsay
potrošnju	potrošnja	Ncfsa
te	te	Cc
je	biti	Var3s
istu	isti	Agpfsay
spremna	spreman	Agpfsny
odmah	odmah	Rgp
podmiriti	podmiriti	Vmn
i	i	Cc
tražeći	tražiti	Rr
obustavu	obustava	Ncfsa
navedenih	naveden	Agpmpgy
poziva	poziv	Ncmpg
operatora	operator	Ncmpg
(	(	Z
ovdje	ovdje	Rgp
zainteresirane	zainteresiran	Agpfpny
osobe	osoba	Ncfpn
)	)	Z
,	,	Z
a	a	Cc
kojim	koji	Pi-msi
ponavljanim	ponavljati	Appnply
pozivanjima	pozivanje	Ncnpl
govornog	govorni	Agpmsgy
automata	automat	Ncmsg
operatora	operator	Ncmsg
(	(	Z
ovdje	ovdje	Rgp
zainteresirane	zainteresiran	Agpfpny
osobe	osoba	Ncfpn
)	)	Z
se	sebe	Px--sa
tužiteljica	tužiteljica	Ncfsn
smatra	smatrati	Vmr3s
povrijeđenom	povrijeđen	Agpfsiy
i	i	Cc
oštećenom	oštetiti	Ncfsi
.	.	Z

Međutim	međutim	Rgp
,	,	Z
u	u	Sl
prethodno	prethodno	Rgp
navedenim	naveden	Agpfply
okolnostima	okolnost	Ncfpl
kada	kada	Cs
se	sebe	Px--sa
radilo	raditi	Vmp-sn
o	o	Sa
pozivanja	pozivanje	Ncnpa
govornog	govorni	Agpmsgy
automata	automat	Ncmsg
operatora	operator	Ncmsg
(	(	Z
ovdje	ovdje	Rgp
zainteresirane	zainteresiran	Agpfpny
osobe	osoba	Ncfpn
)	)	Z
u	u	Sl
ispunjenju	ispunjenje	Ncnsl
propisane	propisati	Agpfsgy
obveze	obveza	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
24.	24.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
Pravilnika	pravilnik	Ncmsg
,	,	Z
navedene	naveden	Agpfpny
tvrdnje	tvrdnja	Ncfpn
tužiteljice	tužiteljica	Ncfpn
nisu	biti	Var3p
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
ovdje	ovdje	Rgp
predmetnom	predmetni	Agpfsiy
(	(	Z
upravnopravnom	upravnopravan	Agpmsly
)	)	Z
tuženikovom	tuženikov	Ncnsi
nadležnosti	nadležnost	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
51.	51.	Mdo

ZEK-a	ZEK	Npmsg
nego	nego	Cc
se	sebe	Px--sa
te	taj	Pd-fpn
tvrdnje	tvrdnja	Ncfpn
tiču	ticati	Vmr3p
eventualnog	eventualan	Agpnsgy
postojanja	postojanje	Ncnsg
(	(	Z
građanskopravne	građanskopravna	Ncfpn
)	)	Z
