koristiti	koristiti	Vmn
za	za	Sa
zadovoljavanje	zadovoljavanje	Ncnsa
potrebe	potreba	Ncfsg
prehrane	prehrana	Ncfsg
djeteta	dijete	Ncnsg
koje	koji	Pi-fpa
je	biti	Var3s
član	član	Ncmsn
kućanstva	kućanstvo	Ncnsg
korisnika	korisnik	Ncmpg
zajamčene	zajamčiti	Appfpny
minimalne	minimalan	Agpfsgy
naknade	naknada	Ncfsg
,	,	Z
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
dužan	dužan	Agpmsnn
je	biti	Var3s
o	o	Sl
tome	taj	Pd-nsl
obavijestiti	obavijestiti	Vmn
nadležno	nadležan	Agpnsay
tijelo	tijelo	Ncnsa
iz	iz	Sg
članka	članak	Ncmsg
100.	100.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
obavijestiti	obavijestiti	Vmn
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
iz	iz	Sg
članka	članak	Ncmsg
100.	100.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
o	o	Sl
svakoj	svaki	Pi-fsl
promjeni	promjena	Ncfsl
na	na	Sl
strani	strana	Ncfsl
korisnika	korisnik	Ncmpg
o	o	Sl
kojoj	koji	Pi-fsl
ima	imati	Vmr3s
saznanje	saznanje	Ncnsa
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
utječe	utjecati	Vmr3s
na	na	Sa
daljnje	daljnji	Agpnsay
korištenje	korištenje	Ncnsa
ili	ili	Cc
na	na	Sa
visinu	visina	Ncfsa
zajamčene	zajamčiti	Agpfpay
minimalne	minimalan	Agpfpay
naknade	naknada	Ncfpa
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Način	način	Ncmsan
suradnje	suradnja	Ncfsg
centara	centar	Ncmpg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
100.	100.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
u	u	Sl
postupku	postupak	Ncmsl
priznanja	priznanje	Ncnsg
prava	pravo	Ncnsg
na	na	Sa
zajamčenu	zajamčiti	Agpfsay
minimalnu	minimalan	Agpfsay
naknadu	naknada	Ncfsa
i	i	Cc
praćenju	praćenje	Ncnsl
materijalnih	materijalan	Agpmpgy
i	i	Cc
drugih	drugi	Mlofpg
socijalnih	socijalan	Agpfpgy
prilika	prilika	Ncfpg
korisnika	korisnik	Ncmpg
zajamčene	zajamčiti	Appfsgy
minimalne	minimalan	Agpfsgy
naknade	naknada	Ncfsg
te	te	Cc
sadržaj	sadržaj	Ncmsan
i	i	Cc
način	način	Ncmsan
vođenja	vođenje	Ncnsg
evidencije	evidencija	Ncfsg
i	i	Cc
dokumentacije	dokumentacija	Ncfsg
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
100.	100.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
o	o	Sl
korisnicima	korisnik	Ncmpl
zajamčene	zajamčiti	Appfpny
minimalne	minimalan	Agpfpny
naknade	naknada	Ncfpn
pravilnikom	pravilnik	Ncmsi
će	htjeti	Var3s
propisati	propisati	Vmn
ministar	ministar	Ncmsn
nadležan	nadležan	Agpmsann
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Kategoriju	kategorija	Ncfsa
korisnika	korisnik	Ncmpg
zajamčene	zajamčiti	Appfpny
minimalne	minimalan	Agpfpny
naknade	naknada	Ncfpn
za	za	Sa
koje	koji	Pi-mpa
je	biti	Var3s
centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
obvezan	obvezan	Agpmsnn
izraditi	izraditi	Vmn
individualni	individualan	Agpmsayn
plan	plan	Ncmsan
skrbi	skrb	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
obvezni	obvezan	Agpmsny
sadržaj	sadržaj	Ncmsn
individualnog	individualan	Agpmsgy
plana	plan	Ncmsg
skrbi	skrb	Ncfsg
te	te	Cc
smjernice	smjernica	Ncfsg
za	za	Sa
praćenje	praćenje	Ncnsa
materijalnih	materijalan	Agpmpgy
i	i	Cc
drugih	drugi	Mlofpg
socijalnih	socijalan	Agpfpgy
prilika	prilika	Ncfpg
korisnika	korisnik	Ncmpg
propisat	propisati	Vmn
će	htjeti	Var3s
pravilnikom	pravilnik	Ncmsi
ministar	ministar	Ncmsn
nadležan	nadležan	Agpmsann
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

Članak	članak	Ncmsn
30.	30.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Iznos	iznos	Ncmsn
zajamčene	zajamčiti	Appfpay
minimalne	minimalan	Agpfpay
naknade	naknada	Ncfpa
za	za	Sa
samca	samac	Ncmsay
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
sljedećim	sljedeći	Agpmply
iznosima	iznos	Ncmpl
:	:	Z

–	i	Agpnsny
za	za	Sa
radno	radni	Agpnsay
nesposobnog	nesposoban	Agpmsgy
samca	samac	Ncmsg
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
115	115	Mdc
%	%	Z
osnovice	osnovica	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
27.	27.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

–	i	Agpnsny
za	za	Sa
radno	radni	Agpnsay
sposobnog	sposoban	Agpmsgy
samca	samac	Ncmsg
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
100	100	Mdc
%	%	Z
osnovice	osnovica	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
27.	27.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iznos	iznos	Ncmsn
zajamčene	zajamčiti	Appfpay
minimalne	minimalan	Agpfpay
naknade	naknada	Ncfpa
za	za	Sa
kućanstvo	kućanstvo	Ncnsa
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
iznosu	iznos	Ncmsl
koji	koji	Pi-msn
predstavlja	predstavljati	Vmr3s
zbroj	zbroj	Ncmsan
udjela	udjel	Ncmsg
za	za	Sa
svakog	svaki	Pi-msay
člana	član	Ncmsg
kućanstva	kućanstvo	Ncnsg
,	,	Z
s	sa	Si
tim	taj	Pd-nsi
da	da	Cs
udjeli	udjel	Ncmpn
članova	član	Ncmpg
kućanstva	kućanstvo	Ncnsg
iznose	iznos	Ncfsg
:	:	Z

–	i	Agpnsny
za	za	Sa
samohranog	samohran	Agpmsayy
roditelja	roditelj	Ncmsay
:	:	Z
100	100	Mdc
%	%	Z
osnovice	osnovica	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
27.	27.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

–	i	Agpnsny
za	za	Sa
odraslog	odrastao	Agpmsayy
člana	član	Ncmsay
kućanstva	kućanstvo	Ncnsg
:	:	Z
60	60	Mdc
%	%	Z
osnovice	osnovica	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
27.	27.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

–	i	Agpnsny
za	za	Sa
dijete	dijete	Ncnsa
:	:	Z
40	40	Mdc
%	%	Z
osnovice	osnovica	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
27.	27.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

–	i	Agpnsny
za	za	Sa
dijete	dijete	Ncnsa
samohranog	samohran	Agpmsgy
roditelja	roditelj	Ncmsg
,	,	Z
odnosno	odnosni	Agpnsny
dijete	dijete	Ncnsn
u	u	Sl
jednoroditeljskoj	jednoroditeljski	Agpfsly
obitelji	obitelj	Ncfsl
:	:	Z
55	55	Mdc
%	%	Z
osnovice	osnovica	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
27.	27.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Visina	visina	Ncfsn
zajamčene	zajamčiti	Appfpny
minimalne	minimalan	Agpfpny
naknade	naknada	Ncfpn
za	za	Sa
svaki	svaki	Pi-msan
pojedini	pojedini	Agpmsayn
mjesec	mjesec	Ncmsan
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
rješenjem	rješenje	Ncnsi
na	na	Sa
način	način	Ncmsan
da	da	Cs
:	:	Z

–	–	Agpmsny
mjesečni	mjesečan	Agpmsny
iznos	iznos	Ncmsn
zajamčene	zajamčiti	Appfsgy
minimalne	minimalan	Agpfpay
naknade	naknada	Ncfpa
za	za	Sa
svaki	svaki	Pi-msan
pojedini	pojedini	Agpmsayn
mjesec	mjesec	Ncmsan
počevši	početi	Rr
od	od	Sg
mjeseca	mjesec	Ncmsg
u	u	Sl
kojem	koji	Pi-msl
je	biti	Var3s
pokrenut	pokrenuti	Appmsnn
postupak	postupak	Ncmsn
za	za	Sa
priznanje	priznanje	Ncnsa
prava	pravo	Ncnpg
na	na	Sa
zajamčenu	zajamčiti	Agpfsay
minimalnu	minimalan	Agpfsay
naknadu	naknada	Ncfsa
do	do	Sg
mjeseca	mjesec	Ncmsg
koji	koji	Pi-msn
prethodi	prethoditi	Vmr3s
mjesecu	mjesec	Ncmsd
u	u	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
donosi	donositi	Vmr3s
rješenje	rješenje	Ncnsn
o	o	Sl
priznanju	priznanje	Ncnsl
prava	pravo	Ncnsg
na	na	Sa
zajamčenu	zajamčiti	Agpfsay
minimalnu	minimalan	Agpfsay
naknadu	naknada	Ncfsa
predstavlja	predstavljati	Vmr3s
razliku	razlika	Ncfsa
između	između	Sg
iznosa	iznos	Ncmsg
zajamčene	zajamčiti	Appfpny
minimalne	minimalan	Agpfpny
naknade	naknada	Ncfpn
određene	odrediti	Appfpny
stavcima	stavak	Ncmpi
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
prihoda	prihod	Ncmpg
samca	samac	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
kućanstva	kućanstvo	Ncnsg
u	u	Sl
svakom	svaki	Pi-msl
pojedinom	pojedini	Agpmsly
mjesecu	mjesec	Ncmsl
počevši	početi	Rr
od	od	Sg
mjeseca	mjesec	Ncmsg
u	u	Sl
kojem	koji	Pi-msl
je	biti	Var3s
pokrenut	pokrenuti	Appmsnn
postupak	postupak	Ncmsn
za	za	Sa
priznanje	priznanje	Ncnsa
prava	pravo	Ncnpg
na	na	Sa
zajamčenu	zajamčiti	Agpfsay
minimalnu	minimalan	Agpfsay
naknadu	naknada	Ncfsa
do	do	Sg
mjeseca	mjesec	Ncmsg
koji	koji	Pi-msn
prethodi	prethoditi	Vmr3s
mjesecu	mjesec	Ncmsd
u	u	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
donosi	donositi	Vmr3s
rješenje	rješenje	Ncnsn

–	–	Agpmsny
mjesečni	mjesečan	Agpmsny
iznos	iznos	Ncmsn
zajamčene	zajamčiti	Appfsgy
minimalne	minimalan	Agpfsgy
naknade	naknada	Ncfsg
za	za	Sa
mjesec	mjesec	Ncmsan
u	u	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
donosi	donositi	Vmr3s
rješenje	rješenje	Ncnsa
te	te	Cc
za	za	Sa
razdoblje	razdoblje	Ncnsa
nakon	nakon	Sg
donošenja	donošenje	Ncnsg
rješenja	rješenje	Ncnsg
predstavlja	predstavljati	Vmr3s
razliku	razlika	Ncfsa
između	između	Sg
iznosa	iznos	Ncmsg
zajamčene	zajamčiti	Appfpny
minimalne	minimalan	Agpfpny
naknade	naknada	Ncfpn
određene	odrediti	Appfpny
stavcima	stavak	Ncmpi
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
prihoda	prihod	Ncmpg
samca	samac	Ncmsay
ili	ili	Cc
kućanstva	kućanstvo	Ncnsg
u	u	Sl
mjesecu	mjesec	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
donosi	donositi	Vmr3s
rješenje	rješenje	Ncnsn
o	o	Sl
priznanju	priznanje	Ncnsl
prava	pravo	Ncnsg
na	na	Sa
zajamčenu	zajamčiti	Agpfsay
minimalnu	minimalan	Agpfsay
naknadu	naknada	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Iznos	iznos	Ncmsn
zajamčene	zajamčiti	Appfpay
minimalne	minimalan	Agpfpay
naknade	naknada	Ncfpa
za	za	Sa
kućanstvo	kućanstvo	Ncnsa
uvećava	uvećavati	Vmr3s
se	sebe	Px--sa
za	za	Sa
troškove	trošak	Ncmpa
smještaja	smještaj	Ncmsg
člana	član	Ncmsg
kućanstva	kućanstvo	Ncnsg
u	u	Sa
učenički	učenički	Agpmsayn
dom	dom	Ncmsan
za	za	Sa
vrijeme	vrijeme	Ncnsa
trajanja	trajanje	Ncnsg
školske	školski	Agpfsgy
godine	godina	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Iznos	iznos	Ncmsn
zajamčene	zajamčiti	Agpfsgy
minimalne	minimalan	Agpfsgy
naknade	naknada	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
za	za	Sa
