knjige	knjiga	Ncfpa
izdanih	izdan	Agpmpgy
računa	račun	Ncmpg
odnosno	odnosno	Rgp
isprave	isprava	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
kojih	koji	Pi-mpg
se	sebe	Px--sa
može	moći	Vmr3s
nedvojbeno	nedvojbeno	Rgp
spoznati	spoznati	Vmn
poslovni	poslovan	Agpmsayn
događaj	događaj	Ncmsan
sukladno	sukladno	Rgp
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
;	;	Z

–	i	Agpmpay
račune	račun	Ncmpa
odnosno	odnosno	Rgp
preslike	preslika	Ncfpa
računa	račun	Ncmsg
za	za	Sa
sve	sav	Agpfpay
količine	količina	Ncfpa
kupljene	kupiti	Agpfpay
mlađi	mlađ	Ncfpa
i	i	Cc
/	/	Z
ili	ili	Cc
predkonzumne	predkonzuman	Agpfpay
ribe	riba	Ncfpa
odnosno	odnosno	Rgp
školjkaša	školjkaš	Ncmpg
i	i	Cc
otpremnice	otpremnica	Ncfpa
uz	uz	Sa
račune	račun	Ncmpa
,	,	Z
odnosno	odnosno	Rgp
preslike	preslika	Ncfsg
otpremnica	otpremnica	Ncfpg
;	;	Z

–	i	Agpfsay
internu	interni	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
o	o	Sl
stavljanju	stavljanje	Ncnsl
u	u	Sa
daljnju	daljnji	Agpfsay
proizvodnju	proizvodnja	Ncfsa
u	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
Zahtjev	zahtjev	Ncmsn
za	za	Sa
poticaje	poticaj	Ncmpa
za	za	Sa
kategorije	kategorija	Ncfpa
poticanja	poticanje	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točaka	točka	Ncfpg
a	a	Cc
)	)	Z
,	,	Z
b	b	Npmsn
)	)	Z
,	,	Z
c	C	Npmsn
)	)	Z
i	i	Cc
f	i	Agpnsny
)	)	Z
sadrži	sadržati	Vmr3s
proizvode	proizvod	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
stavljeni	staviti	Appmpny
u	u	Sa
daljnju	daljnji	Agpfsay
proizvodnju	proizvodnja	Ncfsa
te	te	Cc
za	za	Sa
riblju	riblji	Agpfsay
mlađ	mlađ	Ncfsa
.	.	Z

–	–	Agpmsny
primjerak	primjerak	Ncmsn
deklaracije	deklaracija	Ncfsg
za	za	Sa
riblje	riblji	Agpmpay
proizvode	proizvod	Ncmpa
koja	koji	Pi-fsn
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
na	na	Sl
ambalaži	ambalaža	Ncfsl
tih	taj	Pd-mpg
proizvoda	proizvod	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Kada	kada	Cs
korisnik	korisnik	Ncmsn
kupuje	kupovati	Vmr3s
mlađ	mlađ	Ncfsa
i	i	Cc
/	/	Z
ili	ili	Cc
predkonzumnu	predkonzuman	Agpfsay
ribu	riba	Ncfsa
odnosno	odnosno	Rgp
školjkaše	školjkaš	Ncmpa
za	za	Sa
vlastitu	vlastit	Agpfsay
proizvodnju	proizvodnja	Ncfsa
,	,	Z
za	za	Sa
tu	taj	Pd-fsa
količinu	količina	Ncfsa
ne	ne	Qz
može	moći	Vmr3s
ostvariti	ostvariti	Vmn
poticaj	poticaj	Ncmsan
,	,	Z
a	a	Cc
to	taj	Pd-nsn
će	htjeti	Var3s
prikazati	prikazati	Vmn
u	u	Sl
obračunskom	obračunski	Agpnsly
razdoblju	razdoblje	Ncnsl
listopad	listopad	Ncmsn
–	–	Z
prosinac	prosinac	Ncmsn
,	,	Z
za	za	Sa
svu	sav	Agpfsay
količinu	količina	Ncfsa
kupljenu	kupiti	Appfsay
u	u	Sl
tekućoj	tekući	Agpfsly
kalendarskoj	kalendarski	Agpfsly
godini	godina	Ncfsl
,	,	Z
tako	tako	Cs
da	da	Cs
će	htjeti	Var3p
količinu	količina	Ncfsa
kupljene	kupiti	Agpfsgy
mlađi	mlađ	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
predkonzumne	predkonzuman	Agpfpay
ribe	riba	Ncfpa
odnosno	odnosno	Rgp
školjkaša	školjkaš	Ncmpg
prilikom	prilikom	Sg
obračuna	obračun	Ncmsg
poticaja	poticaj	Ncmpg
oduzeti	oduzeti	Vmn
od	od	Sg
ukupne	ukupan	Agpfsgy
količine	količina	Ncfsg
uzgojene	uzgojiti	Agpfsgy
i	i	Cc
prodane	prodati	Appfpny
ribe	riba	Ncfpn
odnosno	odnosno	Rgp
školjkaša	školjkaš	Ncmpg
za	za	Sa
to	taj	Pd-nsa
razdoblje	razdoblje	Ncnsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Kod	kod	Sg
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
razdoblje	razdoblje	Ncnsa
listopad	listopad	Ncmsan
–	–	Z
prosinac	prosinac	Ncmsn
2014.	2014.	Mdo
godine	godina	Ncfsg
,	,	Z
korisnik	korisnik	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
kupio	kupiti	Vmp-sm
mlađ	mlađ	Ncfsa
i	i	Cc
/	/	Z
ili	ili	Cc
predkonzumnu	predkonzuman	Agpfsay
ribu	riba	Ncfsa
odnosno	odnosno	Rgp
školjkaše	školjkaš	Ncmpa
za	za	Sa
vlastitu	vlastit	Agpfsay
proizvodnju	proizvodnja	Ncfsa
tijekom	tijekom	Sg
2014.	2014.	Mdo
godine	godina	Ncfsg
,	,	Z
mora	morati	Vmr3s
svu	sav	Agpfsay
količinu	količina	Ncfsa
kupljene	kupiti	Agpfsgy
mlađi	mlađ	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
predkonzumne	predkonzuman	Agpfpay
ribe	riba	Ncfpa
odnosno	odnosno	Rgp
školjkaša	školjkaš	Ncmpg
prilikom	prilikom	Sg
obračuna	obračun	Ncmsg
poticaja	poticaj	Ncmpg
oduzeti	oduzeti	Vmn
od	od	Sg
ukupne	ukupan	Agpfsgy
količine	količina	Ncfsg
uzgojene	uzgojiti	Agpfsgy
i	i	Cc
prodane	prodati	Appfpny
ribe	riba	Ncfpn
odnosno	odnosno	Rgp
školjkaša	školjkaš	Ncmpg
za	za	Sa
to	taj	Pd-nsa
razdoblje	razdoblje	Ncnsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
za	za	Sa
poticaje	poticaj	Ncmpa
za	za	Sa
uzgoj	uzgoj	Ncmsan
slatkovodne	slatkovodan	Agpfsgy
ribe	riba	Ncfsg
II	ii	Mrc
.	.	Z
skupine	skupina	Ncfsg
,	,	Z
podnositelj	podnositelj	Ncmsn
ne	ne	Qz
dostavlja	dostavljati	Vmr3s
navedenu	naveden	Agpfsay
prateću	prateći	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Zahtjevi	zahtjev	Ncmpn
za	za	Sa
poticaje	poticaj	Ncmpa
podnose	podnositi	Vmr3p
se	sebe	Px--sa
Upravi	upraviti	Vmr3s
ribarstva	ribarstvo	Ncnsg
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

–	i	Agpnsny
za	za	Sa
1.	1.	Mdo
obračunsko	obračunski	Agpnsay
razdoblje	razdoblje	Ncnsa
siječanj	siječanj	Ncmsn
–	–	Z
ožujak	ožujak	Ncmsn
,	,	Z
do	do	Sg
30.	30.	Mdo
travnja	travanj	Ncmsg
;	;	Z

–	i	Agpnsny
za	za	Sa
2.	2.	Mdo
obračunsko	obračunski	Agpnsay
razdoblje	razdoblje	Ncnsa
travanj	travanj	Ncmsn
–	–	Z
lipanj	lipanj	Ncmsn
,	,	Z
do	do	Sg
31.	31.	Mdo
srpnja	srpanj	Ncmsg
;	;	Z

–	i	Agpnsny
za	za	Sa
3.	3.	Mdo
obračunsko	obračunski	Agpnsay
razdoblje	razdoblje	Ncnsa
srpanj	srpanj	Ncmsn
–	–	Z
rujan	rujan	Ncmsn
,	,	Z
do	do	Sg
31.	31.	Mdo
listopada	listopad	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
za	za	Sa
poticaje	poticaj	Ncmpa
za	za	Sa
4.	4.	Mdo
obračunsko	obračunski	Agpnsay
razdoblje	razdoblje	Ncnsa
listopad	listopad	Ncmsn
–	–	Z
prosinac	prosinac	Ncmsn
2014.	2014.	Mdo
godine	godina	Ncfsg
,	,	Z
Zahtjev	zahtjev	Ncmsn
za	za	Sa
poticaje	poticaj	Ncmpa
se	sebe	Px--sa
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
do	do	Sg
15.	15.	Mdo
veljače	veljača	Ncfsg
2015.	2015.	Mdo
godine	godina	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
Zahtjev	zahtjev	Ncmsn
za	za	Sa
poticaje	poticaj	Ncmpa
za	za	Sa
uzgoj	uzgoj	Ncmsan
slatkovodne	slatkovodan	Agpfsgy
ribe	riba	Ncfsg
II	ii	Mrc
.	.	Z
skupine	skupina	Ncfsg
,	,	Z
dostavlja	dostavljati	Vmr3s
se	sebe	Px--sa
jednom	jednom	Rgp
godišnje	godišnje	Rgp
,	,	Z
najkasnije	kasno	Rgs
do	do	Sg
15.	15.	Mdo
veljače	veljača	Ncfsg
2015.	2015.	Mdo
godine	godina	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
je	biti	Var3s
podnositelj	podnositelj	Ncmsn
ovlaštenik	ovlaštenik	Ncmsn
više	mnogo	Rgc
povlastica	povlastica	Ncfpg
za	za	Sa
gospodarski	gospodarski	Agpmsayn
ribolov	ribolov	Ncmsan
ili	ili	Cc
više	mnogo	Rgc
povlastica	povlastica	Ncfpg
za	za	Sa
uzgoj	uzgoj	Ncmsan
ili	ili	Cc
akvakulturu	akvakultura	Ncfsa
,	,	Z
može	moći	Vmr3s
ostvariti	ostvariti	Vmn
pravo	pravo	Ncnsa
na	na	Sa
sufinanciranje	sufinanciranje	Ncnsa
po	po	Sl
svakoj	svaki	Agpfsly
povlastici	povlastica	Ncfsl
koje	koji	Pi-mpa
je	biti	Var3s
ovlaštenik	ovlaštenik	Ncmsn
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
za	za	Sa
svaku	svaki	Pi-fsa
povlasticu	povlastica	Ncfsa
ne	ne	Qz
mora	morati	Vmr3s
podnijeti	podnijeti	Vmn
zasebni	zaseban	Agpmsayn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
poticaje	poticaj	Ncmpa
,	,	Z
ali	ali	Cc
isto	isto	Rgp
mora	morati	Vmr3s
biti	biti	Van
razvidno	razvidan	Agpnsny
iz	iz	Sg
obrasca	obrazac	Ncmsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
poticaje	poticaj	Ncmpa
te	te	Cc
prateće	prateći	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
podnositelj	podnositelj	Ncmsn
podnosi	podnositi	Vmr3s
Zahtjev	zahtjev	Ncmsan
za	za	Sa
poticaje	poticaj	Ncmpa
po	po	Sl
različitim	različit	Agpfply
kategorijama	kategorija	Ncfpl
proizvodnje	proizvodnja	Ncfsg
,	,	Z
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
jedan	jedan	Mlcmsn
obračun	obračun	Ncmsan
iznosa	iznos	Ncmpg
poticaja	poticaj	Ncmpg
uz	uz	Sa
Zahtjev	zahtjev	Ncmsan
za	za	Sa
poticaje	poticaj	Ncmpa
iz	iz	Sg
kojih	koji	Pi-mpg
je	biti	Var3s
isto	isti	Agpnsny
razvidno	razvidan	Agpnsny
.	.	Z

III	III	Mrc
.	.	Z

KONTROLA	kontrola	Ncfsn
ZAHTJEVA	zahtjev	Ncmpg

Administrativna	administrativan	Agpfsny
kontrola	kontrola	Ncfsn

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Administrativnu	administrativan	Agpfsay
kontrolu	kontrola	Ncfsa
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
poticaje	poticaj	Ncmpa
provodi	provoditi	Vmr3s
Uprava	uprava	Ncfsn
ribarstva	ribarstvo	Ncnsg
pri	pri	Sl
čemu	što	Pi3n-l
utvrđuje	utvrđivati	Vmr3s
pravovremenost	pravovremenost	Ncfsa
i	i	Cc
potpunost	potpunost	Ncfsa
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
poticaje	poticaj	Ncmpa
te	te	Cc
udovoljavanje	udovoljavanje	Ncnsa
uvjetima	uvjet	Ncmpi
propisanim	propisati	Appmply
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
što	što	Pi3n-n
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
uvidom	uvid	Ncmsi
u	u	Sa
službene	služben	Agpfpay
evidencije	evidencija	Ncfpa
koje	koji	Pi-fpa
vodi	voditi	Vmr3s
Ministarstvo	ministarstvo	Ncnsa
i	i	Cc
u	u	Sa
Zahtjev	zahtjev	Ncmsan
za	za	Sa
poticaje	poticaj	Ncmpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
nepotpune	nepotpun	Agpfpay
ali	ali	Cc
pravodobno	pravodobno	Rgp
podnesene	podnesen	Agpmpay
Zahtjeve	zahtjev	Ncmpa
za	za	Sa
poticaje	poticaj	Ncmpa
od	od	Sg
podnositelja	podnositelj	Ncmpg
se	sebe	Px--sa
Zahtjevom	zahtjev	Ncmsi
za	za	Sa
dopunu	dopuna	Ncfsa
traži	tražiti	Vmr3s
dostavljanje	dostavljanje	Ncnsa
dodatne	dodatan	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
,	,	Z
obrazloženje	obrazloženje	Ncnsn
,	,	Z
tumačenje	tumačenje	Ncnsn
ili	ili	Cc
ispravak	ispravak	Ncmsan
podataka	podatak	Ncmpg
potrebnih	potreban	Agpmpgy
za	za	Sa
dovršenje	dovršenje	Ncnsa
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
poticaje	poticaj	Ncmpa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Podnositelj	podnositelj	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
traženo	tražiti	Appnsny
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
dostaviti	dostaviti	Vmn
preporučenom	preporučiti	Agpfsiy
poštom	pošta	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
sedam	sedam	Mlc
kalendarskih	kalendarski	Agpmpgy
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
zaprimanja	zaprimanje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
dopunu	dopuna	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Potpuni	potpun	Agpmpny
,	,	Z
provjereni	provjeriti	Appmpny
i	i	Cc
pravovremeno	pravovremeno	Rgp
dopunjeni	dopuniti	Appmpny
Zahtjevi	zahtjev	Ncmpn
za	za	Sa
poticaje	poticaj	Ncmpa
ulaze	ulaziti	Vmr3p
u	u	Sa
daljnju	daljnji	Agpfsay
obradu	obrada	Ncfsa
te	te	Cc
se	sebe	Px--sa
vrši	vršiti	Vmr3s
njihov	njihov	Ps3msan
konačni	konačan	Agpmsayn
obračun	obračun	Ncmsan
i	i	Cc
izrađuje	izrađivati	Vmr3s
tablični	tablični	Agpmsny
prikaz	prikaz	Ncmsn
odobrenih	odobren	Agpmpgy
iznosa	iznos	Ncmpg
poticaja	poticaj	Ncmpg
po	po	Sl
korisniku	korisnik	Ncmsl
.	.	Z

Neudovoljavanje	neudovoljavanje	Ncnsn
uvjetima	uvjet	Ncmpi
za	za	Sa
ostvarenje	ostvarenje	Ncnsa
poticaja	poticaj	Ncmpg
u	u	Sl
ribarstvu	ribarstvo	Ncnsl

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Neudovoljavanjem	neudovoljavanje	Ncnsi
uvjeta	uvjet	Ncmpg
za	za	Sa
ostvarenje	ostvarenje	Ncnsa
poticaja	poticaj	Ncmpg
u	u	Sl
ribarstvu	ribarstvo	Ncnsl
podrazumijeva	podrazumijevati	Vmr3s
se	sebe	Px--sa
:	:	Z

a.	ai	Agpnsay
neispunjavanje	neispunjavanje	Ncnsa
uvjeta	uvjet	Ncmpg
i	i	Cc
kriterija	kriterij	Ncmpg
propisanih	propisati	Appmpgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
,	,	Z

b.	b.	Y
namjerno	namjeran	Agpnsay
davanje	davanje	Ncnsa
krivih	kriv	Agpmpgy
podataka	podatak	Ncmpg
u	u	Sl
Zahtjevu	zahtjev	Ncmsl
za	za	Sa

