naručiteljima	naručitelj	Ncmpd
i	i	Cc
kupcima	kupac	Ncmpi
,	,	Z
kao	kao	Cs
i	i	Qo
evidencije	evidencija	Ncfpa
o	o	Sl
kretanju	kretanje	Ncnsl
duhanske	duhanski	Agpfsgy
sirovine	sirovina	Ncfsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
odobrenja	odobrenje	Ncnsg
za	za	Sa
poslovanje	poslovanje	Ncnsa
s	sa	Si
duhanskom	duhanski	Agpfsiy
sirovinom	sirovina	Ncfsi
dužan	dužan	Agpmsnn
je	biti	Var3s
voditi	voditi	Vmn
i	i	Cc
čuvati	čuvati	Vmn
evidencije	evidencija	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
na	na	Sa
način	način	Ncmsan
da	da	Cs
u	u	Sl
svakom	svaki	Pi-msl
trenutku	trenutak	Ncmsl
može	moći	Vmr3s
iskazati	iskazati	Vmn
stanje	stanje	Ncnsa
,	,	Z
odnosno	odnosni	Agpnsny
kretanje	kretanje	Ncnsn
duhanske	duhanski	Agpfsgy
sirovine	sirovina	Ncfsg
.	.	Z

Nadležni	nadležan	Agpmsny
carinski	carinski	Agpmsny
ured	ured	Ncmsn
može	moći	Vmr3s
u	u	Sl
bilo	bilo	Qo
kojem	koji	Pi-msl
trenutku	trenutak	Ncmsl
zatražiti	zatražiti	Vmn
od	od	Sg
korisnika	korisnik	Ncmpg
odobrenja	odobrenje	Ncnsg
za	za	Sa
poslovanje	poslovanje	Ncnsa
s	sa	Si
duhanskom	duhanski	Agpfsiy
sirovinom	sirovina	Ncfsi
uvid	uvid	Ncmsan
u	u	Sa
evidenciju	evidencija	Ncfsa
,	,	Z
odnosno	odnosno	Rgp
obvezati	obvezati	Vmn
korisnika	korisnik	Ncmpg
odobrenja	odobrenje	Ncnsg
na	na	Sa
dostavu	dostava	Ncfsa
iste	isti	Agpfsgy
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ministar	ministar	Ncmsn
financija	financije	Ncfpg
pravilnikom	pravilnik	Ncmsi
propisuje	propisivati	Vmr3s
posebnosti	posebnost	Ncfpa
provedbe	provedba	Ncfsg
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Članak	članak	Ncmsn
73.	73.	Mdo
c	C	X

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
postupanje	postupanje	Ncnsn
protivno	protivno	Rgp
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ili	ili	Cc
duhanskim	duhanski	Agpmply
propisima	propis	Ncmpl
,	,	Z
a	a	Cc
koje	koji	Pi-nsn
ima	imati	Vmr3s
za	za	Sa
posljedicu	posljedica	Ncfsa
nezakonitu	nezakonit	Agpfsay
proizvodnju	proizvodnja	Ncfsa
,	,	Z
preradu	prerada	Ncfsa
,	,	Z
posjedovanje	posjedovanje	Ncnsa
,	,	Z
skladištenje	skladištenje	Ncnsn
,	,	Z
promet	promet	Ncmsan
ili	ili	Cc
na	na	Sa
bilo	bilo	Qo
koji	koji	Pi-msan
drugi	drugi	Mlomsan
način	način	Ncmsan
nezakonito	nezakonito	Rgp
činjenično	činjenično	Rgp
ili	ili	Cc
pravno	pravni	Agpnsay
raspolaganje	raspolaganje	Ncnsa
duhanskom	duhanski	Agpfsiy
sirovinom	sirovina	Ncfsi
,	,	Z
smatra	smatrati	Vmr3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
duhanska	duhanski	Agpfsny
sirovina	sirovina	Ncfsn
predmet	predmet	Ncmsn
nezakonitog	nezakonit	Agpnsgy
postupanja	postupanje	Ncnsg
i	i	Cc
da	da	Cs
je	biti	Var3s
namijenjena	namijeniti	Appfsny
korištenju	korištenje	Ncfsn
za	za	Sa
savijanje	savijanje	Ncnsa
cigareta	cigareta	Ncfpg
te	te	Cc
za	za	Sa
svaku	svaki	Pi-fsa
količinu	količina	Ncfsa
duhanske	duhanski	Agpfsgy
sirovine	sirovina	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
predmet	predmet	Ncmsan
takvog	takav	Pd-nsg
postupanja	postupanje	Ncnsg
nastaje	nastajati	Vmr3s
obveza	obveza	Ncfsn
obračunavanja	obračunavanje	Ncnsg
i	i	Cc
plaćanja	plaćanje	Ncnsg
trošarine	trošarina	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Obračun	obračun	Ncmsn
trošarine	trošarina	Ncfsg
određuje	određivati	Vmr3s
se	sebe	Px--sa
prema	prema	Sl
trošarinskoj	trošarinski	Agpfsly
osnovici	osnovica	Ncfsl
i	i	Cc
visini	visina	Ncfsl
trošarine	trošarina	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
propisana	propisati	Appfsny
na	na	Sa
sitno	sitno	Rgp
rezani	rezati	Agpmsayn
duhan	duhan	Ncmsan
za	za	Sa
savijanje	savijanje	Ncnsa
cigareta	cigareta	Ncfpg
.	.	Z

Smatra	smatrati	Vmr3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
duhanska	duhanski	Agpfsny
sirovina	sirovina	Ncfsn
predmet	predmet	Ncmsn
nezakonitog	nezakonit	Agpnsgy
postupanja	postupanje	Ncnsg
ako	ako	Cs
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
postupa	postupati	Vmr3s
s	sa	Si
duhanskom	duhanski	Agpfsiy
sirovinom	sirovina	Ncfsi
ne	ne	Qz
može	moći	Vmr3s
dokazati	dokazati	Vmn
pravilnost	pravilnost	Ncfsa
stjecanja	stjecanje	Ncnsg
,	,	Z
posjedovanja	posjedovanje	Ncnsg
i	i	Cc
svakog	svaki	Pi-msg
drugog	drugi	Mlomsg
činjeničnog	činjeničan	Agpmsgy
ili	ili	Cc
pravnog	pravni	Agpnsgy
raspolaganja	raspolaganje	Ncnsg
,	,	Z
a	a	Cc
iz	iz	Sg
okolnosti	okolnost	Ncfsg
slučaja	slučaj	Ncmsg
proizlazi	proizlaziti	Vmr3s
da	da	Cs
je	biti	Var3s
s	sa	Si
duhanskom	duhanski	Agpfsiy
sirovinom	sirovina	Ncfsi
nezakonito	nezakonito	Rgp
postupano	postupati	Appnsny
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Obveznik	obveznik	Ncmsn
plaćanja	plaćanje	Ncnsg
trošarine	trošarina	Ncfsg
na	na	Sa
duhansku	duhanski	Agpfsay
sirovinu	sirovina	Ncfsa
je	biti	Var3s
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
postupala	postupati	Vmp-sf
protivno	protivno	Rgp
odredbama	odredba	Ncfpd
članaka	članak	Ncmpg
73.	73.	Mdo
a	a	Cc
i	i	Qo
73.	73.	Mdo
b	b	Sg
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ili	ili	Cc
duhanskim	duhanski	Agpmply
propisima	propis	Ncmpl
,	,	Z
a	a	Cc
koje	koji	Pi-nsn
ima	imati	Vmr3s
za	za	Sa
posljedicu	posljedica	Ncfsa
nezakonito	nezakonit	Agpnsay
posjedovanje	posjedovanje	Ncnsa
,	,	Z
skladištenje	skladištenje	Ncnsn
,	,	Z
promet	promet	Ncmsn
ili	ili	Cc
raspolaganje	raspolaganje	Ncnsn
duhanskom	duhanski	Agpfsiy
sirovinom	sirovina	Ncfsi
,	,	Z
kao	kao	Cs
i	i	Qo
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
sudjelovala	sudjelovati	Vmp-sf
u	u	Sl
tim	taj	Pd-fpl
radnjama	radnja	Ncfpl
.	.	Z

Obveznik	obveznik	Ncmsn
plaćanja	plaćanje	Ncnsg
trošarine	trošarina	Ncfsg
na	na	Sa
duhansku	duhanski	Agpfsay
sirovinu	sirovina	Ncfsa
smatra	smatrati	Vmr3s
se	sebe	Px--sa
trošarinskim	trošarinski	Agpmsiy
obveznikom	obveznik	Ncmsi
.	.	Z

Ako	ako	Cs
je	biti	Var3s
više	mnogo	Rgc
osoba	osoba	Ncfpg
odgovorno	odgovoran	Agpnsny
za	za	Sa
plaćanje	plaćanje	Ncnsa
trošarine	trošarina	Ncfsg
,	,	Z
za	za	Sa
plaćanje	plaćanje	Ncnsa
odgovaraju	odgovarati	Vmr3p
solidarno	solidarno	Rgp
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Trošarinu	trošarina	Ncfsa
na	na	Sa
duhansku	duhanski	Agpfsay
sirovinu	sirovina	Ncfsa
obračunava	obračunavati	Vmr3s
nadležni	nadležan	Agpmsny
carinski	carinski	Agpmsny
ured	ured	Ncmsn
prema	prema	Sl
trošarinskoj	trošarinski	Agpfsly
osnovici	osnovica	Ncfsl
i	i	Cc
visini	visina	Ncfsl
trošarine	trošarina	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
