raspolaganja	raspolaganje	Ncnsg
,	,	Z
a	a	Cc
iz	iz	Sg
okolnosti	okolnost	Ncfsg
slučaja	slučaj	Ncmsg
proizlazi	proizlaziti	Vmr3s
da	da	Cs
je	biti	Var3s
s	sa	Si
energentima	energent	Ncmpi
i	i	Cc
proizvodima	proizvod	Ncmpi
nezakonito	nezakonito	Rgp
postupano	postupati	Appnsny
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
prilikom	prilikom	Sg
provedbe	provedba	Ncfsg
nadzora	nadzor	Ncmsg
ili	ili	Cc
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
utvrdi	utvrditi	Vmr3s
povreda	povreda	Ncfsn
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
i	i	Cc
izbjegavanje	izbjegavanje	Ncnsa
plaćanja	plaćanje	Ncnsg
trošarine	trošarina	Ncfsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
energentima	energent	Ncmpi
i	i	Cc
proizvodima	proizvod	Ncmpi
koji	koji	Pi-mpn
nisu	biti	Var3p
navedeni	navesti	Appmpny
u	u	Sl
stavku	stavak	Ncmsl
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ali	ali	Cc
su	biti	Var3p
namijenjeni	namijeniti	Appmpny
i	i	Cc
/	/	Z
ili	ili	Cc
ponuđeni	ponuditi	Appmpny
kao	kao	Cs
gorivo	goriv	Agpnsny
za	za	Sa
grijanje	grijanje	Ncnsa
,	,	Z
odnosno	odnosno	Rgp
kao	kao	Cs
pogonsko	pogonski	Agpnsny
gorivo	gorivo	Ncnsn
,	,	Z
Carinska	carinski	Agpfsny
uprava	uprava	Ncfsn
će	htjeti	Var3s
o	o	Sl
tome	taj	Pd-nsl
obavijestiti	obavijestiti	Vmn
Europsku	europski	Agpfsay
komisiju	komisija	Ncfsa
te	te	Cc
će	htjeti	Var3s
se	sebe	Px--sa
,	,	Z
po	po	Sl
potrebi	potreba	Ncfsl
i	i	Cc
temeljem	temelj	Ncmsi
odluke	odluka	Ncfsg
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
,	,	Z
propisom	propis	Ncmsi
iz	iz	Sg
članka	članak	Ncmsg
115.	115.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
proširiti	proširiti	Vmn
popis	popis	Ncmsan
energenata	energent	Ncmpg
na	na	Sa
koje	koji	Pi-fpn
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
odredbe	odredba	Ncfpn
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Ministar	ministar	Ncmsn
financija	financije	Ncfpg
pravilnikom	pravilnik	Ncmsi
propisuje	propisivati	Vmr3s
posebnosti	posebnost	Ncfpa
provedbe	provedba	Ncfsg
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Članak	članak	Ncmsn
91.	91.	Mdo
b	b	X

(	(	Z
1	1	Mdc
)	)	Z
Smatra	smatrati	Vmr3s
se	sebe	Px--sa
da	da	Cs
su	biti	Var3p
energenti	energent	Ncmpn
iz	iz	Sg
članka	članak	Ncmsg
83.	83.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
a	a	Cc
koji	koji	Pi-mpn
nisu	biti	Var3p
navedeni	navesti	Appmpny
u	u	Sl
članku	članak	Ncmsl
84.	84.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
namijenjeni	namijeniti	Appmpny
nezakonitom	nezakonit	Agpnsly
korištenju	korištenje	Ncnsl
kao	kao	Cs
pogonsko	pogonski	Agpnsny
gorivo	gorivo	Ncnsn
,	,	Z
kao	kao	Cs
dodatak	dodatak	Ncmsn
ili	ili	Cc
sredstvo	sredstvo	Ncnsn
za	za	Sa
poboljšanje	poboljšanje	Ncnsa
pogonskih	pogonski	Agpnpgy
goriva	gorivo	Ncnpg
ili	ili	Cc
kao	kao	Cs
gorivo	goriv	Agpnsny
za	za	Sa
grijanje	grijanje	Ncnsa
ako	ako	Cs
se	sebe	Px--sa
u	u	Sl
provedbi	provedba	Ncfsl
nadzora	nadzor	Ncmsg
utvrdi	utvrda	Ncfpg
da	da	Cs
su	biti	Var3p
predmet	predmet	Ncmsn
protupravnog	protupravan	Agpnsgy
otuđenja	otuđenje	Ncnsg
,	,	Z
obavljanja	obavljanje	Ncnsg
nezakonite	nezakonit	Agpfsgy
trgovine	trgovina	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
neregistrirane	neregistriran	Agpfpay
djelatnosti	djelatnost	Ncfpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ne	ne	Qz
isključujući	isključivati	Rr
primjenu	primjena	Ncfsa
drugih	drugi	Mlofpg
odredbi	odredba	Ncfpg
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nastaje	nastajati	Vmr3s
obveza	obveza	Ncfsn
obračunavanja	obračunavanje	Ncnsg
i	i	Cc
plaćanja	plaćanje	Ncnsg
trošarine	trošarina	Ncfsg
,	,	Z
a	a	Cc
obveznik	obveznik	Ncmsn
plaćanja	plaćanje	Ncnsg
trošarine	trošarina	Ncfsg
je	biti	Var3s
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
izvršila	izvršiti	Vmp-sf
protupravno	protupravan	Agpnsay
otuđenje	otuđenje	Ncnsa
energenata	energent	Ncmpg
,	,	Z
obavljala	obavljati	Vmp-sf
nezakonitu	nezakonit	Agpfsay
trgovinu	trgovina	Ncfsa
i	i	Cc
/	/	Z
ili	ili	Cc
neregistriranu	neregistriran	Agpfsay
djelatnost	djelatnost	Ncfsa
s	sa	Si
energentima	energent	Ncmpi
,	,	Z
kao	kao	Cs
i	i	Qo
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
sudjelovala	sudjelovati	Vmp-sf
u	u	Sl
tim	taj	Pd-fpl
radnjama	radnja	Ncfpl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Trošarinu	trošarina	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
rješenjem	rješenje	Ncnsi
obračunava	obračunavati	Vmr3s
nadležni	nadležan	Agpmsny
carinski	carinski	Agpmsny
ured	ured	Ncmsn
.	.	Z

Smatra	smatrati	Vmr3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
obveza	obveza	Ncfsn
obračunavanja	obračunavanje	Ncnsg
trošarine	trošarina	Ncfsg
nastala	nastati	Vmp-sf
na	na	Sa
dan	dan	Ncmsan
kada	kada	Cs
je	biti	Var3s
proveden	provesti	Appmsnn
nadzor	nadzor	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Ako	ako	Cs
se	sebe	Px--sa
prilikom	prilikom	Sg
obračuna	obračun	Ncmsg
trošarine	trošarina	Ncfsg
ne	ne	Qz
može	moći	Vmr3s
utvrditi	utvrditi	Vmn
točna	točan	Agpfsny
namjena	namjena	Ncfsn
energenta	energent	Ncmsg
,	,	Z
smatra	smatrati	Vmr3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
on	on	Pp3msn
namijenjen	namijeniti	Appmsnn
za	za	Sa
svrhe	svrha	Ncfpa
za	za	Sa
koje	koji	Pi-fpa
je	biti	Var3s
propisan	propisati	Appmsnn
najviši	visok	Agsmsny
iznos	iznos	Ncmsn
trošarine	trošarina	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Nadležni	nadležan	Agpmsny
carinski	carinski	Agpmsny
ured	ured	Ncmsn
neće	htjeti	Var3s
donijeti	donijeti	Vmn
rješenje	rješenje	Ncnsa
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ako	ako	Cs
bi	biti	Vaa3p
troškovi	trošak	Ncmpn
utvrđivanja	utvrđivanje	Ncnsg
i	i	Cc
naplate	naplata	Ncfsg
trošarine	trošarina	Ncfsg
bili	biti	Vap-pm
nerazmjerni	nerazmjeran	Agpmpny
