područja	područje	Ncnpa
i	i	Cc
koji	koji	Pi-mpn
su	biti	Var3p
,	,	Z
temeljem	temelj	Ncmsi
Odluke	odluka	Ncfsg
o	o	Sl
razvrstavanju	razvrstavanje	Ncnsl
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfpa
prema	prema	Sl
stupnju	stupanj	Ncmsl
razvijenosti	razvijenost	Ncfsg
,	,	Z
razvrstani	razvrstati	Appmpny
u	u	Sl
III	III	Ncfsl
.	.	Z
i	i	Cc
IV	IV	Mrc
.	.	Z
skupinu	skupina	Ncfsa
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
čija	čiji	Pi-fsn
je	biti	Var3s
vrijednost	vrijednost	Ncfsn
indeksa	indeks	Ncmsg
razvijenosti	razvijenost	Ncfsg
između	između	Sg
75	75	Mdc
%	%	Z
i	i	Cc
125	125	Mdc
%	%	Z
prosjeka	prosjeka	Ncfsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
udio	udjel	Ncmsn
u	u	Sl
porezu	porez	Ncmsl
na	na	Sa
dohodak	dohodak	Ncmsan
raspodjeljuje	raspodjeljivati	Vmr3s
se	sebe	Px--sa
na	na	Sa
:	:	Z

a	a	Cc
)	)	Z
udio	udjel	Ncmsn
općine	općina	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
grada	grad	Ncmsg
70,5	70,5	Mdc
%	%	Z
u	u	Sl
porezu	porez	Ncmsl
na	na	Sa
dohodak	dohodak	Ncmsan
uvećano	uvećati	Appnsny
za	za	Sa
dodatni	dodatan	Agpmsayn
udio	udjel	Ncmsan
u	u	Sl
porezu	porez	Ncmsl
na	na	Sa
dohodak	dohodak	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z

b	b	Npmsn
)	)	Z
udio	udjel	Ncmsan
županije	županija	Ncfsg
12	12	Mdc
%	%	Z
uvećano	uvećati	Agpnsny
za	za	Sa
dodatni	dodatan	Agpmsayn
udio	udjel	Ncmsan
u	u	Sl
porezu	porez	Ncmsl
na	na	Sa
dohodak	dohodak	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z

c	C	Npmsn
)	)	Z
udio	udjel	Ncmsan
za	za	Sa
decentralizirane	decentraliziran	Agpfpay
funkcije	funkcija	Ncfpa
6,0	6,0	Mdc
%	%	Z
,	,	Z

d	d	Npmsn
)	)	Z
udio	udjel	Ncmsan
pozicije	pozicija	Ncfsg
za	za	Sa
pomoći	pomoć	Ncfpa
izravnanja	izravnanje	Ncnsg
za	za	Sa
decentralizirane	decentraliziran	Agpfpay
funkcije	funkcija	Ncfpa
0,0	0,0	Mdc
%	%	Z
,	,	Z

e	e	I
)	)	Z
udio	udjel	Ncmsan
pozicije	pozicija	Ncfsg
za	za	Sa
pomoći	pomoć	Ncfpa
za	za	Sa
projekte	projekt	Ncmpa
sufinancirane	sufinancirati	Appmpay
sredstvima	sredstvo	Ncnpi
europskih	europski	Agpfpgy
strukturnih	strukturni	Agpfpgy
i	i	Cc
investicijskih	investicijski	Agpmpgy
fondova	fond	Ncmpg
čiji	čiji	Pi-mpn
su	biti	Var3p
nositelji	nositelj	Ncmpn
općine	općina	Ncfsg
,	,	Z
gradovi	grad	Ncmpn
i	i	Cc
županije	županija	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
pravne	pravni	Agpfpay
osobe	osoba	Ncfpa
u	u	Sl
njihovu	njihov	Agpnsly
većinskom	većinski	Agpnsly
vlasništvu	vlasništvo	Ncnsl
ili	ili	Cc
suvlasništvu	suvlasništvo	Ncnsl
i	i	Cc
ustanovama	ustanova	Ncfpi
čiji	čiji	Pi-mpn
su	biti	Var3p
osnivači	osnivač	Ncmpn
1,5	1,5	Mdc
%	%	Z
,	,	Z

f	f	Npmsn
)	)	Z
udio	udjel	Ncmsan
pozicije	pozicija	Ncfsg
za	za	Sa
pomoći	pomoć	Ncfpa
za	za	Sa
financiranje	financiranje	Ncnsa
kapitalnog	kapitalan	Agpmsgy
projekta	projekt	Ncmsg
od	od	Sg
interesa	interes	Ncmsg
za	za	Sa
razvoj	razvoj	Ncmsan
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
na	na	Sl
brdsko-planinskom	brdsko-planinski	Agpnsly
području	područje	Ncnsl
iz	iz	Sg
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
10,0	10,0	Mdc
%	%	Z
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Na	na	Sl
području	područje	Ncnsl
općine	općina	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
grada	grad	Ncmsg
na	na	Sl
otoku	otok	Ncmsl
,	,	Z
koji	koji	Pi-mpn
međusobno	međusobno	Rgp
zaključe	zaključiti	Vmr3p
sporazum	sporazum	Ncmsan
o	o	Sl
zajedničkom	zajednički	Agpnsly
financiranju	financiranje	Ncnsl
kapitalnog	kapitalan	Agpmsgy
projekta	projekt	Ncmsg
od	od	Sg
interesa	interes	Ncmsg
za	za	Sa
razvoj	razvoj	Ncmsan
otoka	otok	Ncmsg
,	,	Z
udio	udjel	Ncmsn
u	u	Sl
porezu	porez	Ncmsl
na	na	Sa
dohodak	dohodak	Ncmsan
raspodjeljuje	raspodjeljivati	Vmr3s
se	sebe	Px--sa
na	na	Sa
:	:	Z

a	a	Cc
)	)	Z
udio	udjel	Ncmsn
općine	općina	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
grada	grad	Ncmsg
60,0	60,0	Mdc
%	%	Z
u	u	Sl
porezu	porez	Ncmsl
na	na	Sa
dohodak	dohodak	Ncmsan
uvećano	uvećati	Appnsny
za	za	Sa
dodatni	dodatan	Agpmsayn
udio	udjel	Ncmsan
u	u	Sl
porezu	porez	Ncmsl
na	na	Sa
dohodak	dohodak	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z

b	b	Npmsn
)	)	Z
udio	udjel	Ncmsan
županije	županija	Ncfsg
16,5	16,5	Mdc
%	%	Z
uvećano	uvećati	Agpnsny
za	za	Sa
dodatni	dodatan	Agpmsayn
udio	udjel	Ncmsan
u	u	Sl
porezu	porez	Ncmsl
na	na	Sa
dohodak	dohodak	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
