53.	53.	Mdo

Upisnik	upisnik	Ncmsn
korisnika	korisnik	Ncmpg
usluge	usluga	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
45.	45.	Mdo
,	,	Z
stavka	stavak	Ncmsg
2.	2.	Mdo
sadrži	sadržati	Vmr3s
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z

1.	1.	Mdo
redni	redni	Agpmsayn
broj	broj	Ncmsan
,	,	Z

2.	2.	Mdo
osobno	osoban	Agpnsay
ime	ime	Ncnsa
korisnika	korisnik	Ncmpg
,	,	Z
osobni	osoban	Agpmsny
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
(	(	Z
OIB	OIB	Npmsn
)	)	Z
,	,	Z

3.	3.	Mdo
datum	datum	Ncmsan
primitka	primitak	Ncmsg
zahtjeva	zahtjev	Ncmpg
,	,	Z

4.	4.	Mdo
nadležni	nadležan	Agpmsayn
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
,	,	Z

5.	5.	Mdo
vrsta	vrsta	Ncfsn
usluge	usluga	Ncfsg
,	,	Z

6.	6.	Mdo
klasa	klasa	Ncfsn
,	,	Z
urudžbeni	urudžbeni	Agpmsny
broj	broj	Ncmsn
i	i	Cc
datum	datum	Ncmsan
izdavanja	izdavanje	Ncnsg
rješenja	rješenje	Ncnsg
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
,	,	Z

7.	7.	Mdo
datum	datum	Ncmsan
početka	početak	Ncmsg
pružanja	pružanje	Ncnsg
usluge	usluga	Ncfsg
,	,	Z

8.	8.	Mdo
datum	datum	Ncmsan
završetka	završetak	Ncmsg
pružanja	pružanje	Ncnsg
usluge	usluga	Ncfsg
.	.	Z

Sadržaj	sadržaj	Ncmsn
dokumentacije	dokumentacija	Ncfsg

Članak	članak	Ncmsn
54.	54.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pružatelj	pružatelj	Ncmsn
usluga	usluga	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
45.	45.	Mdo
,	,	Z
stavka	stavka	Ncfsn
1.	1.	Mdo
vodi	voditi	Vmr3s
dokumentaciju	dokumentacija	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
dosjea	dosje	Ncmsg
korisnika	korisnik	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Obveznu	obvezan	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
čini	činiti	Vmr3s
:	:	Z

1.	1.	Mdo
zahtjev	zahtjev	Ncmsan
za	za	Sa
pružanje	pružanje	Ncnsa
socijalne	socijalan	Agpfsgy
usluge	usluga	Ncfsg
,	,	Z

2.	2.	Mdo
rodni	rodan	Agpmsayn
list	list	Ncmsan
,	,	Z

3.	3.	Mdo
zdravstvena	zdravstven	Agpfsny
iskaznica	iskaznica	Ncfsn
(	(	Z
samo	samo	Rgp
za	za	Sa
smještaj	smještaj	Ncmsan
i	i	Cc
organizirano	organiziran	Agpnsny
stanovanje	stanovanje	Ncnsn
)	)	Z
,	,	Z

4.	4.	Mdo
socijalna	socijalan	Agpfsny
anamneza	anamneza	Ncfsn
,	,	Z

5.	5.	Mdo
zdravstvena	zdravstven	Agpfsny
dokumentacija	dokumentacija	Ncfsn
,	,	Z

6.	6.	Mdo
nalaz	nalaz	Ncmsan
i	i	Cc
mišljenje	mišljenje	Ncnsa
tijela	tijelo	Ncnsg
vještačenja	vještačenje	Ncnsg
,	,	Z

7.	7.	Mdo
rješenje	rješenje	Ncnsa
nadležnog	nadležan	Agpmsgy
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
o	o	Sl
priznavanju	priznavanje	Ncnsl
prava	pravo	Ncnsg
na	na	Sa
socijalnu	socijalan	Agpfsay
uslugu	usluga	Ncfsa
ili	ili	Cc
ugovor	ugovor	Ncmsan
,	,	Z

8.	8.	Mdo
rješenje	rješenje	Ncnsa
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
o	o	Sl
imenovanju	imenovanje	Ncnsl
skrbnika	skrbnik	Ncmpg
,	,	Z

9.	9.	Mdo
individualni	individualan	Agpmsayn
plan	plan	Ncmsan
,	,	Z

10.	10.	Mdo
lista	lista	Ncfsn
praćenja	praćenje	Ncnsg
,	,	Z

11.	11.	Mdo
ostali	ostali	Agpmpny
dokumenti	dokument	Ncmpn
vezani	vezati	Appmpny
uz	uz	Sa
prepisku	prepiska	Ncfsa
s	sa	Si
nadležnim	nadležan	Agpmsiy
centrom	centar	Ncmsi
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
,	,	Z
drugim	drugi	Mlofpl
ustanovama	ustanova	Ncfpl
,	,	Z
roditeljima	roditelj	Ncmpi
,	,	Z
skrbnicima	skrbnik	Ncmpi
,	,	Z
bilješka	bilješka	Ncfsn
o	o	Sl
kontaktima	kontakt	Ncmpl
s	sa	Si
roditeljima	roditelj	Ncmpi
i	i	Cc
drugim	drugi	Mlompl
članovima	član	Ncmpi
obitelji	obitelj	Ncfsg
,	,	Z
centrom	centar	Ncmsi
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
,	,	Z
sudom	sud	Ncmsi
