izmjeriti	izmjeriti	Vmn
,	,	Z
vrednuju	vrednovati	Vmr3p
se	sebe	Px--sa
po	po	Sl
trošku	trošak	Ncmsl
stjecanja	stjecanje	Ncnsg
,	,	Z
a	a	Cc
podložni	podložan	Agpmpny
su	biti	Var3p
procjeni	procjena	Ncfsl
o	o	Sl
postojanju	postojanje	Ncnsl
dokaza	dokaz	Ncmsg
ili	ili	Cc
okolnosti	okolnost	Ncfpg
vezanih	vezan	Agpfpgy
uz	uz	Sa
umanjenje	umanjenje	Ncnsa
vrijednosti	vrijednost	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
i	i	Cc
procjeni	procjena	Ncfsl
umanjenja	umanjenje	Ncnsg
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Depozitar	depozitar	Ncmsn
UCITS	UCITS	Npmsn
fonda	fond	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
provjeriti	provjeriti	Vmn
je	biti	Var3s
li	li	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
prilikom	prilikom	Sg
izrade	izrada	Ncfsg
procjena	procjena	Ncfpg
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
postupalo	postupati	Vmp-sn
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
stavcima	stavak	Ncmpi
5.	5.	Mdo
,	,	Z
7.	7.	Mdo
i	i	Cc
8.	8.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
o	o	Sl
tome	taj	Pd-nsl
je	biti	Var3s
dužan	dužan	Agpmsnn
voditi	voditi	Vmn
evidenciju	evidencija	Ncfsa
.	.	Z

Ostala	ostali	Agpfsny
imovina	imovina	Ncfsn
i	i	Cc
obveze	obveza	Ncfpn

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Fer	fer	Agpfsny
vrijednost	vrijednost	Ncfsn
valutne	valutni	Agpfsgy
spot	spot	Ncmsn
transakcije	transakcija	Ncfsg
za	za	Sa
dan	dan	Ncmsan
vrednovanja	vrednovanje	Ncnsg
,	,	Z
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
izračunom	izračun	Ncmsi
razlike	razlika	Ncfsg
između	između	Sg
ugovorenog	ugovoriti	Agpmsgy
tečaja	tečaj	Ncmsg
i	i	Cc
srednjeg	srednji	Agpmsgy
tečaja	tečaj	Ncmsg
Hrvatske	hrvatski	Agpfsgy
narodne	narodni	Agpfsgy
banke	banka	Ncfsg
ili	ili	Cc
tečaja	tečaj	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
za	za	Sa
dan	dan	Ncmsan
vrednovanja	vrednovanje	Ncnsg
imovine	imovina	Ncfsg
UCITS	UCITS	Ps3msg
fonda	fond	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ostala	ostali	Agpfsny
imovina	imovina	Ncfsn
i	i	Cc
obveze	obveza	Ncfpa
UCITS	UCITS	Sg
fonda	fond	Ncmsg
vrednuju	vrednovati	Vmr3p
se	sebe	Px--sa
po	po	Sl
amortiziranom	amortizirati	Agpmsly
trošku	trošak	Ncmsl
primjenom	primjena	Ncfsi
metode	metoda	Ncfsg
efektivne	efektivan	Agpfsgy
kamatne	kamatan	Agpfsgy
stope	stopa	Ncfsg
.	.	Z

Obračun	obračun	Ncmsn
naknada	naknada	Ncfsn

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Naknade	naknada	Ncfpa
društvu	društvo	Ncnsd
za	za	Sa
upravljanje	upravljanje	Ncnsa
i	i	Cc
depozitaru	depozitar	Ncmsl
obračunavaju	obračunavati	Vmr3p
se	sebe	Px--sa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Sg
učestalosti	učestalost	Ncfsg
vrednovanja	vrednovanje	Ncnsg
imovine	imovina	Ncfsg
UCITS	UCITS	Npmsn
fonda	fond	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
na	na	Sa
osnovicu	osnovica	Ncfsa
koju	koji	Pi-fsa
čini	činiti	Vmr3s
ukupna	ukupan	Agpfsny
imovina	imovina	Ncfsn
UCITS	ucii	Agpmsgy
fonda	fond	Ncmsg
umanjena	umanjiti	Appfsny
za	za	Sa
iznos	iznos	Ncmsan
obveza	obveza	Ncfpg
fonda	fond	Ncmsg
s	sa	Sg
osnove	osnova	Ncfsg
ulaganja	ulaganje	Ncnsg
u	u	Sa
financijske	financijski	Agpmpay
instrumente	instrument	Ncmpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Naknade	naknada	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
izračunavaju	izračunavati	Vmr3p
se	sebe	Px--sa
na	na	Sa
utvrđenu	utvrditi	Agpfsay
osnovicu	osnovica	Ncfsa
primjenom	primjena	Ncfsi
propisanih	propisati	Agpfpgy
stopa	stopa	Ncfpg
