pružatelju	pružatelj	Ncmsl
usluge	usluga	Ncfsg
za	za	Sa
korisnika	korisnik	Ncmpg
humanitarne	humanitaran	Agpfsgy
akcije	akcija	Ncfsg
,	,	Z
osim	osim	Sg
odgovarajućeg	odgovarajući	Agpmsgy
financijskog	financijski	Agpmsgy
dokumenta	dokument	Ncmsg
za	za	Sa
obavljenu	obaviti	Agpfsay
uslugu	usluga	Ncfsa
,	,	Z
pribaviti	pribaviti	Vmn
dokaz	dokaz	Ncmsan
o	o	Sl
pruženoj	pružiti	Agpfsly
usluzi	usluga	Ncfsl
.	.	Z

IV	IV	Mrc
.	.	Z

UVJETI	uvjet	Ncmpn
PRIKUPLJANJA	prikupljanje	Ncnsg
I	i	Cc
PRUŽANJA	pružanje	Ncnsg
HUMANITARNE	humanitaran	Agpfsgy
POMOĆI	pomoć	Ncfsg

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Neprofitna	neprofitan	Agpfsny
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
iz	iz	Sg
članka	članak	Ncmsg
9.	9.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
dužna	dužan	Agpfsny
je	biti	Var3s
prije	prije	Sg
početka	početak	Ncmsg
stalnog	stalan	Agpnsgy
prikupljanja	prikupljanje	Ncnsg
i	i	Cc
pružanja	pružanje	Ncnsg
humanitarne	humanitaran	Agpfsgy
pomoći	pomoć	Ncfsg
od	od	Sg
nadležnog	nadležan	Agpmsgy
ureda	ured	Ncmsg
pribaviti	pribaviti	Vmn
rješenje	rješenje	Ncnsa
kojim	koji	Pi-nsi
se	sebe	Px--sa
odobrava	odobravati	Vmr3s
stalno	stalan	Agpnsny
prikupljanje	prikupljanje	Ncnsn
i	i	Cc
pružanje	pružanje	Ncnsa
humanitarne	humanitaran	Agpfsgy
pomoći	pomoć	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Rješenje	rješenje	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
donijet	donijeti	Vmn
će	htjeti	Var3s
nadležni	nadležan	Agpmsny
ured	ured	Ncmsn
na	na	Sa
zahtjev	zahtjev	Ncmsan
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
9.	9.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
podstavaka	podstavak	Ncmpg
1.	1.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ako	ako	Cs
su	biti	Var3p
ispunjeni	ispuniti	Appmpny
sljedeći	sljedeći	Agpmpny
uvjeti	uvjet	Ncmpn
:	:	Z

–	i	Agpfsny
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
ima	imati	Vmr3s
program	program	Ncmsan
rada	rad	Ncmsg
za	za	Sa
razdoblje	razdoblje	Ncnsa
od	od	Sg
iduće	idući	Agpfsgy
tri	tri	Mlc
godine	godina	Ncfsg
od	od	Sg
dana	dan	Ncmsg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
iz	iz	Sg
kojeg	koji	Pi-msg
je	biti	Var3s
vidljivo	vidljiv	Agpnsny
da	da	Cs
su	biti	Var3p
planirane	planiran	Agpfpny
aktivnosti	aktivnost	Ncfpn
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
svrhom	svrha	Ncfsi
iz	iz	Sg
članka	članak	Ncmsg
2.	2.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

–	i	Agpfsny
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
ima	imati	Vmr3s
osigurane	osigurati	Agpmpay
izvršitelje	izvršitelj	Ncmpa
,	,	Z
prostor	prostor	Ncmsan
i	i	Cc
opremu	oprema	Ncfsa
potrebne	potreban	Agpfpny
za	za	Sa
provedbu	provedba	Ncfsa
programa	program	Ncmsg
rada	rad	Ncmsg
iz	iz	Sg
podstavka	podstavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg

–	i	Agpfsny
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
ispunila	ispuniti	Vmp-sf
je	biti	Var3s
obvezu	obveza	Ncfsa
plaćanja	plaćanje	Ncnsg
dospjelih	dospjeli	Agpfpgy
poreznih	porezni	Agpfpgy
obveza	obveza	Ncfpg
i	i	Cc
obveza	obveza	Ncfpg
za	za	Sa
mirovinsko	mirovinski	Agpnsay
i	i	Cc
zdravstveno	zdravstven	Agpnsny
osiguranje	osiguranje	Ncnsn

–	–	Z
ni	ni	Cc
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
ni	ni	Cc
odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
u	u	Sl
