propisane	propisati	Appfpny
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sud	sud	Ncmsn
će	htjeti	Var3s
rješenjem	rješenje	Ncnsi
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
odlučiti	odlučiti	Vmn
o	o	Sl
ostvarivanju	ostvarivanje	Ncnsl
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
s	sa	Si
djetetom	dijete	Ncnsi
,	,	Z
nadzoru	nadzor	Ncmsl
ili	ili	Cc
zabrani	zabrana	Ncfsl
ostvarivanja	ostvarivanje	Ncnsg
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
potrebno	potreban	Agpnsny
i	i	Cc
ako	ako	Cs
to	taj	Pd-nsn
predlaže	predlagati	Vmr3s
dijete	dijete	Ncnsa
,	,	Z
roditelj	roditelj	Ncmsn
ili	ili	Cc
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Rješenjem	rješenje	Ncnsi
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
sud	sud	Ncmsn
može	moći	Vmr3s
odrediti	odrediti	Vmn
upućivanje	upućivanje	Ncnsa
djeteta	dijete	Ncnsg
s	sa	Si
problemima	problem	Ncmpi
u	u	Sl
ponašanju	ponašanje	Ncnsl
ustanovi	ustanoviti	Vmr3s
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
ili	ili	Cc
udomiteljskoj	udomiteljski	Agpfsly
obitelji	obitelj	Ncfsl
vikendom	vikend	Ncmsi
,	,	Z
u	u	Sa
poludnevni	poludnevni	Agpmsayn
ili	ili	Cc
cjelodnevni	cjelodnevan	Agpmsayn
boravak	boravak	Ncmsan
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
postupku	postupak	Ncmsl
koji	koji	Pi-msn
prethodi	prethoditi	Vmr3s
donošenju	donošenje	Ncnsd
rješenja	rješenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
sud	sud	Ncmsn
može	moći	Vmr3s
odrediti	odrediti	Vmn
da	da	Cs
se	sebe	Px--sa
dijete	dijete	Ncnsn
uključi	uključiti	Vmr3s
u	u	Sa
multidisciplinarni	multidisciplinaran	Agpmsayn
dijagnostički	dijagnostički	Agpmsayn
postupak	postupak	Ncmsan
,	,	Z
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
potrebno	potreban	Agpnsny
radi	radi	Sg
donošenja	donošenje	Ncnsg
rješenja	rješenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Rješenje	rješenje	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
može	moći	Vmr3s
