starija	star	Agcfsny
najmanje	malo	Rgs
osamnaest	osamnaest	Mlc
godina	godina	Ncfpg
.	.	Z

Status	status	Ncmsn
posvojitelja	posvojitelj	Ncmsg

Članak	članak	Ncmsn
185.	185.	Mdo

Dijete	dijete	Ncnsn
mogu	moći	Vmr3p
posvojiti	posvojiti	Vmn
bračni	bračni	Agpmsayn
i	i	Cc
izvanbračni	izvanbračni	Agpmpny
drugovi	drug	Ncmpn
zajednički	zajednički	Agpmpny
,	,	Z
jedan	jedan	Mlcmsn
bračni	bračni	Agpmsny
ili	ili	Cc
izvanbračni	izvanbračni	Agpmsny
drug	drug	Ncmsn
ako	ako	Cs
je	biti	Var3s
drugi	drugi	Mlomsn
bračni	bračni	Agpmsny
ili	ili	Cc
izvanbračni	izvanbračni	Agpmsny
drug	drug	Ncmsn
roditelj	roditelj	Ncmsn
ili	ili	Cc
posvojitelj	posvojitelj	Ncmsn
djeteta	dijete	Ncnsg
,	,	Z
jedan	jedan	Mlcmsn
bračni	bračni	Agpmsny
,	,	Z
odnosno	odnosno	Rgp
izvanbračni	izvanbračni	Agpmsny
drug	drug	Ncmsn
uz	uz	Sa
pristanak	pristanak	Ncmsan
drugog	drugi	Mlomsg
bračnog	bračni	Agpnsgy
,	,	Z
odnosno	odnosno	Rgp
izvanbračnog	izvanbračni	Agpmsgy
druga	drugi	Mlofsn
te	te	Cc
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
nije	biti	Var3s
u	u	Sl
braku	brak	Ncmsl
ili	ili	Cc
izvanbračnoj	izvanbračni	Agpfsly
zajednici	zajednica	Ncfsl
.	.	Z

Državljanstvo	državljanstvo	Ncnsn
posvojitelja	posvojitelj	Ncmpg

Članak	članak	Ncmsn
186.	186.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Posvojiti	posvojiti	Vmn
dijete	dijete	Ncnsa
može	moći	Vmr3s
hrvatski	hrvatski	Agpmsny
državljanin	državljanin	Ncmsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iznimno	iznimno	Rgp
,	,	Z
posvojitelj	posvojitelj	Ncmsn
može	moći	Vmr3s
biti	biti	Van
i	i	Qo
strani	stran	Agpmsny
državljanin	državljanin	Ncmsn
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
u	u	Sl
najboljem	dobar	Agsmsly
interesu	interes	Ncmsl
djeteta	dijete	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
su	biti	Var3p
posvojitelj	posvojitelj	Ncmsn
ili	ili	Cc
dijete	dijete	Ncnsn
strani	stran	Agpmpny
državljani	državljanin	Ncmpn
,	,	Z
posvojenje	posvojenje	Ncnsn
se	sebe	Px--sa
može	moći	Vmr3s
zasnovati	zasnovati	Vmn
samo	samo	Rgp
uz	uz	Sa
prethodno	prethodan	Agpnsay
odobrenje	odobrenje	Ncnsa
ministarstva	ministarstvo	Ncnsg
nadležnog	nadležan	Agpnsgy
za	za	Sa
poslove	posao	Ncmpa
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
.	.	Z

Zabrane	zabrana	Ncfsg
za	za	Sa
posvojenje	posvojenje	Ncnsa
na	na	Sl
strani	strana	Ncfsl
posvojitelja	posvojitelj	Ncmpg

Članak	članak	Ncmsn
187.	187.	Mdo

Posvojiti	posvojiti	Vmn
