mjeri	mjeriti	Vmr3s
da	da	Cs
nije	biti	Var3s
trajno	trajan	Agpnsny
u	u	Sl
stanju	stanje	Ncnsl
ostvarivati	ostvarivati	Vmn
niti	niti	Qz
jedan	jedan	Mlcmsan
sadržaj	sadržaj	Ncmsan
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
i	i	Cc
nema	nemati	Vmr3s
izgleda	izgledati	Vmr3s
da	da	Cs
će	htjeti	Var3s
se	sebe	Px--sa
dijete	dijete	Ncnsn
podizati	podizati	Vmn
u	u	Sl
obitelji	obitelj	Ncfsl
bližih	blizak	Agcmpgy
srodnika	srodnik	Ncmpg
,	,	Z
a	a	Cc
posvojenje	posvojenje	Ncnsn
bi	biti	Vaa3s
bilo	biti	Vap-sn
za	za	Sa
dobrobit	dobrobit	Ncfsa
djeteta	dijete	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sud	sud	Ncmsn
će	htjeti	Var3s
odbaciti	odbaciti	Vmn
prijedlog	prijedlog	Ncmsan
za	za	Sa
donošenje	donošenje	Ncnsa
rješenja	rješenje	Ncnsg
koje	koji	Pi-nsn
nadomješta	nadomještati	Vmr3s
pristanak	pristanak	Ncmsn
roditelja	roditelj	Ncmpg
za	za	Sa
posvojenje	posvojenje	Ncnsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ako	ako	Cs
centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
roditelja	roditelj	Ncmpg
prethodno	prethodno	Rgp
nije	biti	Var3s
upozorio	upozoriti	Vmp-sm
,	,	Z
odnosno	odnosno	Rgp
upoznao	upoznati	Vmp-sm
s	sa	Si
mogućnošću	mogućnost	Ncfsi
izricanja	izricanje	Ncnsg
mjere	mjera	Ncfsg
intenzivne	intenzivan	Agpfsgy
stručne	stručan	Agpfsgy
pomoći	pomoć	Ncfsg
prema	prema	Sl
članku	članak	Ncmsl
189.	189.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ili	ili	Cc
ako	ako	Cs
od	od	Sg
dana	dan	Ncmpg
upozorenja	upozorenje	Ncnpn
nisu	biti	Var3p
protekla	protekao	Agpmsgn
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
ako	ako	Cs
od	od	Sg
prve	prvi	Mlofsg
radnje	radnja	Ncfsg
radi	radi	Sg
utvrđivanja	utvrđivanje	Ncnsg
adrese	adresa	Ncfsg
stanovanja	stanovanje	Ncnsg
roditelja	roditelj	Ncmpg
nisu	biti	Var3p
protekla	protekao	Agpmsgn
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
u	u	Sl
slučaju	slučaj	Ncmsl
kad	kad	Cs
nije	biti	Var3s
bilo	biti	Vap-sn
moguće	moguć	Agpnsny
dati	dati	Vmn
upozorenje	upozorenje	Ncnsa
zbog	zbog	Sg
nepoznate	nepoznat	Agpfsgy
adrese	adresa	Ncfsg
stanovanja	stanovanje	Ncnsg
roditelja	roditelj	Ncmpg
.	.	Z

Pristanak	pristanak	Ncmsn
djeteta	dijete	Ncnsg
i	i	Cc
pravo	pravo	Ncnsa
na	na	Sa
izražavanje	izražavanje	Ncnsa
mišljenja	mišljenje	Ncnsg

Članak	članak	Ncmsn
191.	191.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
dijete	dijete	Ncnsn
navršilo	navršiti	Vmp-sn
dvanaest	dvanaest	Mlc
godina	godina	Ncfpg
života	život	Ncmsg
,	,	Z
za	za	Sa
zasnivanje	zasnivanje	Ncnsa
posvojenja	posvojenje	Ncnsg
potreban	potreban	Agpmsnn
je	biti	Var3s
njegov	njegov	Ps3msn
pristanak	pristanak	Ncmsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Dijete	dijete	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
može	moći	Vmr3s
opozvati	opozvati	Vmn
svoj	svoj	Px-msan
pristanak	pristanak	Ncmsan
za	za	Sa
posvojenje	posvojenje	Ncnsa
sve	sav	Agpfsgy
do	do	Sg
pravomoćnosti	pravomoćnost	Ncfsg
rješenja	rješenje	Ncnsg
o	o	Sl
posvojenju	posvojenje	Ncnsl
.	.	Z

Izjavu	izjava	Ncfsa
o	o	Sl
povlačenju	povlačenje	Ncnsl
pristanka	pristanak	Ncmsg
dijete	dijete	Ncnsn
daje	davati	Vmr3s
osobno	osobno	Rgp
na	na	Sa
zapisnik	zapisnik	Ncmsan
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
dijete	dijete	Ncnsn
mlađe	mlado	Rgc
od	od	Sg
dvanaest	dvanaest	Mlc
godina	godina	Ncfpg
,	,	Z
dijete	dijete	Ncnsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
izraziti	izraziti	Vmn
svoje	svoj	Px-nsa
mišljenje	mišljenje	Ncnsa
o	o	Sl
posvojenju	posvojenje	Ncnsl
,	,	Z
a	a	Cc
djetetovo	djetetov	Agpnsay
mišljenje	mišljenje	Ncnsa
i	i	Cc
želje	želja	Ncfpn
uzimaju	uzimati	Vmr3p
se	sebe	Px--sa
u	u	Sa
obzir	obzir	Ncmsan
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
njegovom	njegov	Ps3fsi
dobi	dob	Ncfsg
i	i	Cc
zrelošću	zrelost	Ncfsi
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Dijete	dijete	Ncnsn
daje	davati	Vmr3s
