odobravanju	odobravanje	Ncnsl
plana	plan	Ncmsg
o	o	Sl
zajedničkoj	zajednički	Agpfsly
roditeljskoj	roditeljski	Agpfsly
skrbi	skrb	Ncfsl
sukladno	sukladno	Rgp
članku	članak	Ncmsd
106.	106.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ili	ili	Cc
sporazuma	sporazum	Ncmsg
o	o	Sl
ostvarivanju	ostvarivanje	Ncnsl
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
s	sa	Si
djetetom	dijete	Ncnsi
sukladno	sukladno	Rgp
članku	članak	Ncmsl
122.	122.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
osim	osim	Cs
ako	ako	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
izmjeni	izmjena	Ncfsl
plana	plan	Ncmsg
o	o	Sl
zajedničkoj	zajednički	Agpfsly
roditeljskoj	roditeljski	Agpfsly
skrbi	skrb	Ncfsl
ili	ili	Cc
sporazuma	sporazum	Ncmsg
o	o	Sl
ostvarivanju	ostvarivanje	Ncnsl
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
sukladno	sukladno	Rgp
članku	članak	Ncmsl
469.	469.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

4.	4.	Mdo
ostvarivanju	ostvarivanje	Ncnsl
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
105.	105.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

5.	5.	Mdo
zastupanju	zastupanje	Ncnsl
djeteta	dijete	Ncnsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
njegovim	njegov	Ncmpi
bitnim	bitan	Agpmpiy
osobnim	osoban	Agpmpiy
pravima	prav	Agpmpiy
sukladno	sukladno	Rgp
članku	članak	Ncmsd
100.	100.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
i	i	Cc
članku	članak	Ncmsl
108.	108.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

6.	6.	Mdo
sporu	spor	Ncmsl
između	između	Sg
maloljetnog	maloljetan	Agpmsgy
roditelja	roditelj	Ncmsg
ili	ili	Cc
roditelja	roditelj	Ncmpg
lišenog	lišen	Agpmsgy
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
i	i	Cc
djetetovog	djetetov	Aspmsgy
skrbnika	skrbnik	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
drugog	drugi	Mlomsg
roditelja	roditelj	Ncmsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
djetetovim	djetetov	Aspfply
bitnim	bitan	Agpmpiy
osobnim	osoban	Agpmpiy
pravima	prav	Agpmpiy
sukladno	sukladno	Rgp
članku	članak	Ncmsd
100.	100.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
i	i	Cc
članku	članak	Ncmsl
108.	108.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
dok	dok	Cs
traje	trajati	Vmr3s
mirovanje	mirovanje	Ncnsa
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
114.	114.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

7.	7.	Mdo
ostvarivanju	ostvarivanje	Ncnsl
prava	pravo	Ncnsg
na	na	Sa
informacije	informacija	Ncfpa
o	o	Sl
bitnim	bitan	Agpfply
okolnostima	okolnost	Ncfpl
vezanim	vezan	Agpfply
uz	uz	Sa
osobna	osoban	Agpnpay
prava	pravo	Ncnpa
djeteta	dijete	Cc
sukladno	sukladno	Rgp
članku	članak	Ncmsl
111.	111.	Mdo
i	i	Cc
članku	članak	Ncmsl
112.	112.	Mdo
stavku	stavak	Ncmsl
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
i	i	Cc

8.	8.	Mdo
ostvarivanju	ostvarivanje	Ncnsl
,	,	Z
