ono	onaj	Pd-nsn
važno	važan	Agpnsny
za	za	Sa
osiguranje	osiguranje	Ncnsa
jedinstvene	jedinstven	Agpfsgy
primjene	primjena	Ncfsg
prava	pravo	Ncnsg
i	i	Cc
ravnopravnosti	ravnopravnost	Ncfsl
svih	sav	Agpmpgy
u	u	Sl
njegovoj	njegov	Ps3fsl
primjeni	primjena	Ncfsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
rješenje	rješenje	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
donio	donijeti	Vmp-sm
u	u	Sl
povodu	povod	Ncmsl
žalbe	žalba	Ncfsg
Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
protiv	protiv	Sg
takvog	takav	Pd-nsg
rješenja	rješenje	Ncnsg
revizija	revizija	Ncfpg
nije	biti	Var3s
dopuštena	dopustiti	Appfsny
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
O	o	Sl
reviziji	revizija	Ncfsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
žalbi	žalba	Ncfsl
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
odlučuje	odlučivati	Vmr3s
Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
sastavu	sastav	Ncmsl
u	u	Sl
kojemu	koji	Ncfsl
odlučuje	odlučivati	Vmr3s
o	o	Sl
reviziji	revizija	Ncfsl
protiv	protiv	Sg
presude	presuda	Ncfsg
.	.	Z

Prijedlog	prijedlog	Ncmsn
za	za	Sa
preinaku	preinaka	Ncfsa
ili	ili	Cc
ukidanje	ukidanje	Ncnsa
rješenja	rješenje	Ncnsg

Članak	članak	Ncmsn
448.	448.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
izvanparničnom	izvanparnični	Agpmsly
postupku	postupak	Ncmsl
može	moći	Vmr3s
se	sebe	Px--sa
podnijeti	podnijeti	Vmn
prijedlog	prijedlog	Ncmsn
za	za	Sa
preinaku	preinaka	Ncfsa
ili	ili	Cc
ukidanje	ukidanje	Ncnsa
pravomoćnog	pravomoćan	Agpnsgy
rješenja	rješenje	Ncnsg
zbog	zbog	Sg
razloga	razlog	Ncmpg
zbog	zbog	Sg
kojih	koji	Pi-mpg
se	sebe	Px--sa
može	moći	Vmr3s
tražiti	tražiti	Vmn
ponavljanje	ponavljanje	Ncnsa
postupka	postupak	Ncmsg
prema	prema	Sl
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
parničnom	parnični	Agpmsly
postupku	postupak	Ncmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zbog	zbog	Sg
razloga	razlog	Ncmpg
iz	iz	Sg
