djeteta	dijete	Agpmsny
sud	sud	Ncmsn
može	moći	Vmr3s
odlučiti	odlučiti	Vmn
da	da	Cs
žalba	žalba	Ncfsn
protiv	protiv	Sg
te	taj	Pd-fsg
presude	presuda	Ncfsg
u	u	Sl
cijelosti	cijelost	Ncfsl
ili	ili	Cc
djelomice	djelomice	Rgp
ne	ne	Qz
zadržava	zadržavati	Vmr3s
provođenje	provođenje	Ncnsa
ovrhe	ovrha	Ncfsg
i	i	Cc
u	u	Sl
tom	taj	Pd-msl
slučaju	slučaj	Ncmsl
ukinuti	ukinuti	Vmn
rješenje	rješenje	Ncnsa
o	o	Sl
privremenoj	privremen	Agpfsly
mjeri	mjera	Ncfsl
,	,	Z
odnosno	odnosno	Rgp
može	moći	Vmr3s
odlučiti	odlučiti	Vmn
da	da	Cs
rješenje	rješenje	Ncnsn
o	o	Sl
privremenoj	privremen	Agpfsly
mjeri	mjera	Ncfsl
ostane	ostati	Vmr3s
na	na	Sl
snazi	snaga	Ncfsl
do	do	Sg
njezine	njezin	Ps3fsg
pravomoćnosti	pravomoćnost	Ncfsg
.	.	Z

Privremene	privremen	Agpfpay
mjere	mjera	Ncfpa
u	u	Sl
postupku	postupak	Ncmsl
radi	radi	Sg
prestanka	prestanak	Ncmsg
uzdržavanja	uzdržavanje	Ncnsg

Članak	članak	Ncmsn
541.	541.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
parnici	parnica	Ncfsl
radi	radi	Sg
prestanka	prestanak	Ncmsg
uzdržavanja	uzdržavanje	Ncnsg
sud	sud	Ncmsn
može	moći	Vmr3s
na	na	Sa
prijedlog	prijedlog	Ncmsan
tužitelja	tužitelj	Ncmpg
donijeti	donijeti	Vmn
privremenu	privremen	Agpfsay
mjeru	mjera	Ncfsa
o	o	Sl
zabrani	zabrana	Ncfsl
naplate	naplata	Ncfsg
uzdržavanja	uzdržavanje	Ncnsg
na	na	Sl
temelju	temelj	Ncmsl
ovršne	ovršni	Agpfsgy
isprave	isprava	Ncfsg
kojom	koji	Pi-fsi
je	biti	Var3s
ono	on	Pp3nsn
određeno	odrediti	Appnsny
do	do	Sg
pravomoćnog	pravomoćan	Agpnsgy
okončanja	okončanje	Ncnsg
spora	spor	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zabrana	zabrana	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
odnositi	odnositi	Vmn
samo	samo	Rgp
na	na	Sa
prisilne	prisilan	Agpfpay
naplate	naplata	Ncfpa
pojedinih	pojedini	Agpfpgy
tražbina	tražbina	Ncfpg
za	za	Sa
uzdržavanje	uzdržavanje	Ncnsa
nastalih	nastao	Agpmpgy
nakon	nakon	Sg
dana	dan	Ncmsg
podnošenja	podnošenje	Ncnsg
tužbe	tužba	Ncfsg
,	,	Z
s	sa	Si
tim	taj	Pd-nsi
da	da	Cs
sud	sud	Ncmsn
kao	kao	Cs
dan	dan	Ncmsn
na	na	Sa
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
zabrana	zabrana	Ncfsn
može	moći	Vmr3s
odrediti	odrediti	Vmn
i	i	Cc
koji	koji	Pi-msn
drugi	drugi	Mlomsan
dan	dan	Ncmsan
nakon	nakon	Sg
dana	dan	Ncmsg
podnošenja	podnošenje	Ncnsg
tužbe	tužba	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Na	na	Sl
temelju	temelj	Ncmsl
privremene	privremen	Agpfsgy
mjere	mjera	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
sud	sud	Ncmsn
koji	koji	Pi-msn
provodi	provoditi	Vmr3s
ovrhu	ovrha	Ncfsa
određenu	odrediti	Appfsay
radi	radi	Sg
naplate	naplata	Ncfsg
tražbine	tražbina	Ncfsg
za	za	Sa
uzdržavanje	uzdržavanje	Ncnsa
na	na	Sl
temelju	temelj	Ncmsl
ovršne	ovršni	Agpfsgy
isprave	isprava	Ncfsg
odgodit	odgoditi	Vmn
će	htjeti	Var3s
na	na	Sa
prijedlog	prijedlog	Ncmsan
tužitelja	tužitelj	Ncmpg
ovrhu	ovrha	Ncfsa
do	do	Sg
pravomoćnog	pravomoćan	Agpmsgy
dovršetka	dovršetak	Ncmsg
parničnog	parnični	Agpmsgy
postupka	postupak	Ncmsg
pokrenutog	pokrenuti	Agpmsgy
tužbom	tužba	Ncfsi
radi	radi	Sg
prestanka	prestanak	Ncmsg
uzdržavanja	uzdržavanje	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
do	do	Sg
ukidanja	ukidanje	Ncnsg
privremene	privremen	Agpfsgy
mjere	mjera	Ncfsg
prije	prije	Sg
toga	taj	Pd-nsg
,	,	Z
i	i	Qo
to	to	Qo
samo	samo	Rgp
radi	radi	Sg
naplate	naplata	Ncfsg
pojedinih	pojedini	Agpfpgy
tražbina	tražbina	Ncfpg
na	na	Sa
koje	koji	Pi-fpn
se	sebe	Px--sa
zabrana	zabrana	Ncfsn
iz	iz	Sg
privremene	privremen	Agpfsgy
mjere	mjera	Ncfsg
odnosi	odnositi	Vmr3s
.	.	Z

Privremene	privremen	Agpfpay
mjere	mjera	Ncfpa
u	u	Sl
postupku	postupak	Ncmsl
radi	radi	Sg
smanjenja	smanjenje	Ncnsg
uzdržavanja	uzdržavanje	Ncnsg

Članak	članak	Ncmsn
542.	542.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
parnici	parnica	Ncfsl
radi	radi	Sg
smanjenja	smanjenje	Ncnsg
uzdržavanja	uzdržavanje	Ncnsg
sud	sud	Ncmsn
može	moći	Vmr3s
na	na	Sa
prijedlog	prijedlog	Ncmsan
tužitelja	tužitelj	Ncmpg
donijeti	donijeti	Vmn
privremenu	privremen	Agpfsay
mjeru	mjera	Ncfsa
o	o	Sl
zabrani	zabrana	Ncfsl
naplate	naplata	Ncfsg
određenog	određen	Agpmsgy
dijela	dio	Ncmsg
uzdržavanja	uzdržavanje	Ncnsg
na	na	Sl
temelju	temelj	Ncmsl
ovršne	ovršni	Agpfsgy
isprave	isprava	Ncfsg
kojom	koji	Pi-fsi
je	biti	Var3s
ono	on	Pp3nsn
određeno	odrediti	Appnsny
do	do	Sg
pravomoćnog	pravomoćan	Agpnsgy
okončanja	okončanje	Ncnsg
spora	spor	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zabrana	zabrana	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
