područjima	područje	Ncnpl
(	(	Z
CIRCABC	CIRCABC	Npmsn
)	)	Z
i	i	Cc

–	–	Sg
zajedničkog	zajednički	Agpmsgy
sustava	sustav	Ncmsg
dinamičkih	dinamički	Agpmpgy
obrazaca	obrazac	Ncmpg
.	.	Z

III	III	Mrc
.	.	Z

OBVEZA	obveza	Ncfsn
KORIŠTENJA	korištenje	Ncnsg
USLUGA	usluga	Ncfpg
CDU	CD	Npmsl

Obveza	obveza	Ncfsn
korištenja	korištenje	Ncnsg
podatkovnog	podatkovni	Agpmsgy
centra	centar	Ncmsg

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
dijeljene	dijeliti	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
6.	6.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
podstavaka	podstavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
CDU	CD	Npmsl
će	htjeti	Var3s
osigurati	osigurati	Vmn
konfiguracijske	konfiguracijski	Agpmpay
resurse	resurs	Ncmpa
koji	koji	Pi-mpn
odgovaraju	odgovarati	Vmr3p
namjenama	namjena	Ncfpi
krajnjeg	krajnji	Agpmsgy
korisnika	korisnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Usluge	usluga	Ncfpa
korištenja	korištenje	Ncnsg
pouzdanog	pouzdan	Agpmsgy
smještaja	smještaj	Ncmsg
državne	državni	Agpfsgy
informacijske	informacijski	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
u	u	Sl
CDU-u	CDU	Npmsl
obvezna	obvezan	Agpnpny
su	biti	Var3p
koristiti	koristiti	Vmn
tijela	tijelo	Ncnsg
javnog	javan	Agpmsgy
sektora	sektor	Ncmsg
koja	koji	Pi-fsn
na	na	Sa
dan	dan	Ncmsan
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ove	ovaj	Pd-fsg
Uredbe	uredba	Ncfsg
ne	ne	Qz
raspolažu	raspolagati	Vmr3p
prostorom	prostor	Ncmsi
koji	koji	Pi-msn
zadovoljava	zadovoljavati	Vmr3s
zahtjeve	zahtjev	Ncmpa
sukladno	sukladno	Rgp
članku	članak	Ncmsd
6.	6.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
ove	ovaj	Pd-fsg
Uredbe	uredba	Ncfsg
.	.	Z

Korištenje	korištenje	Ncnsn
ostalih	ostali	Agpfpgy
usluga	usluga	Ncfpg
CDU-a	CDU	Npmsg

Članak	članak	Ncmsn
12.	12.	Mdo

Usluge	usluga	Ncfpn
iz	iz	Sg
članka	članak	Ncmsg
6.	6.	Mdo
ove	ovaj	Pd-fsg
Uredbe	uredba	Ncfsg
obvezna	obvezan	Agpnpny
su	biti	Var3p
koristiti	koristiti	Vmn
tijela	tijelo	Ncnsg
javnog	javan	Agpmsgy
sektora	sektor	Ncmsg
sukladno	sukladno	Rgp
Planu	plan	Ncmsl
integracije	integracija	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
7.	7.	Mdo
ove	ovaj	Pd-fsg
Uredbe	uredba	Ncfsg
.	.	Z

IV	IV	Mrc
.	.	Z

SIGURNOSNI	sigurnosni	Agpmpny
ZAHTJEVI	zahtjev	Ncmpn
DRŽAVNE	državni	Agpfsgy
INFORMACIJSKE	informacijski	Agpfsgy
INFRASTRUKTURE	infrastruktura	Ncfsg

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Državna	državni	Agpfsny
informacijska	informacijski	Agpfsny
infrastruktura	infrastruktura	Ncfsn
je	biti	Var3s
,	,	Z
u	u	Sl
pravilu	pravilo	Ncnsl
,	,	Z
neklasificirana	neklasificiran	Agpfsny
te	te	Cc
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
odgovarajuće	odgovarajući	Agpfpny
mjere	mjera	Ncfpn
i	i	Cc
standardi	standard	Ncmpn
utvrđeni	utvrditi	Appmpny
propisima	propis	Ncmpi
o	o	Sl
informacijskoj	informacijski	Agpfsly
sigurnosti	sigurnost	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Provođenje	provođenje	Ncnsn
sigurnosnih	sigurnosni	Agpfpgy
mjera	mjera	Ncfpg
i	i	Cc
standarda	standard	Ncmpg
nad	nad	Si
državnom	državni	Agpfsiy
informacijskoj	informacijski	Agpfsly
infrastrukturi	infrastruktura	Ncfsl
vrši	vršiti	Vmr3s
se	sebe	Px--sa
u	u	Sl
koordinaciji	koordinacija	Ncfsl
sa	sa	Si
Zavodom	zavod	Ncmsi
za	za	Sa
sigurnost	sigurnost	Ncfsa
informacijskih	informacijski	Agpmpgy
sustava	sustav	Ncmpg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
ZSIS	ZSIS	Npmsn
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
određivanje	određivanje	Ncnsa
tehničkih	tehnički	Agpmpgy
sigurnosnih	sigurnosni	Agpmpgy
uvjeta	uvjet	Ncmpg
i	i	Cc
aktivnosti	aktivnost	Ncfsg
nužnih	nužan	Agpmpgy
za	za	Sa
pokretanje	pokretanje	Ncnsa
,	,	Z
implementaciju	implementacija	Ncfsa
,	,	Z
razvoj	razvoj	Ncmsan
projekata	projekat	Ncmpg
povezanih	povezan	Agpmpgy
s	sa	Si
državnom	državni	Agpfsiy
informacijskom	informacijski	Agpfsiy
infrastrukturom	infrastruktura	Ncfsi
potrebno	potreban	Agpnsny
je	biti	Var3s
uključiti	uključiti	Vmn
ZSIS	zsi	Ncmpa
te	te	Cc
druge	drugi	Mlompa
stručnjake	stručnjak	Ncmpa
za	za	Sa
sigurnost	sigurnost	Ncfsa
radi	radi	Sg
usuglašavanja	usuglašavanje	Ncnsg
mjera	mjera	Ncfpg
i	i	Cc
standarda	standard	Ncmpg
potrebnih	potreban	Agpmpgy
za	za	Sa
određeni	određen	Agpmsayn
projekt	projekt	Ncmsan
tijekom	tijekom	Sg
pripreme	priprema	Ncfsg
,	,	Z
izrade	izrada	Ncfsg
i	i	Cc
postavljanja	postavljanje	Ncnsg
projekta	projekt	Ncmsg
s	sa	Si
trenutno	trenutno	Rgp
važećom	važeći	Agpfsiy
najboljom	dobar	Agpfsiy
sigurnosnom	sigurnosni	Agpfsiy
praksom	praksa	Ncfsi
,	,	Z
kibernetičkom	kibernetički	Agpfsiy
situacijom	situacija	Ncfsi
i	i	Cc
specifičnostima	specifičnost	Ncfpi
određenog	određen	Agpmsgy
projekta	projekt	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
ZSIS	ZSIS	Npmsn
će	htjeti	Var3s
provoditi	provoditi	Vmn
periodičke	periodički	Agpfpay
provjere	provjera	Ncfpa
sigurnosnih	sigurnosni	Agpfpgy
mjera	mjera	Ncfpg
nad	nad	Si
državnom	državni	Agpfsiy
informacijskom	informacijski	Agpfsiy
infrastrukturom	infrastruktura	Ncfsi
te	te	Cc
će	htjeti	Var3s
dati	dati	Vmn
obvezujuće	obvezujuć	Agpfpay
preporuke	preporuka	Ncfpa
za	za	Sa
usklađenje	usklađenje	Ncnsa
sigurnosti	sigurnost	Ncfsg
sustava	sustav	Ncmsg
,	,	Z
sukladno	sukladno	Rgp
zakonu	zakon	Ncmsl
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
sigurnosno-obavještajni	sigurnosno-obavještajni	Agpmsny
sustav	sustav	Ncmsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
.	.	Z

V.	V.	Mdo
ORGANIZACIJSKI	organizacijski	Agpmsny
I	i	Cc
TEHNIČKI	tehnički	Agpmpny
STANDARDI	standard	Ncmpn
SUSTAVA	sustav	Ncmsg
e-Građani	e-građana	Ncfsl
/	/	Z
e-Poslovanje	e-poslovanje	Ncnsn

Organizacijski	organizacijski	Agpmpny
standardi	standard	Ncmpn
za	za	Sa
uključivanje	uključivanje	Ncnsa
u	u	Sa
sustav	sustav	Ncmsan
e-Građani	e-građana	Ncfsl
/	/	Z
e-Poslovanje	e-poslovanje	Ncnsn

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ured	ured	Ncmsn
predsjednika	predsjednik	Ncmsg
Vlade	vlada	Ncfsg
Republike	republika	Ncfsg
