Gž-3	Gž-3	Mdm
/	/	Z
00	00	Mdc
-	-	Z
2	2	Mdc
od	od	Sg
11.	11.	Mdo
svibnja	svibanj	Ncmsg
2000.	2000.	Mdo
i	i	Cc
predmet	predmet	Ncmsn
je	biti	Var3s
vraćen	vratiti	Appmsnn
Vrhovnom	vrhovni	Agpmsly
sudu	sud	Ncmsl
na	na	Sa
ponovno	ponovan	Agpnsay
odlučivanje	odlučivanje	Ncnsa
.	.	Z

U	u	Sl
obrazloženju	obrazloženje	Ncnsl
navedene	naveden	Agpfsgy
odluke	odluka	Ncfsg
(	(	Z
točka	točka	Ncfsn
6.	6.	Mdo
)	)	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
je	biti	Var3s
istaknuo	istaknuti	Vmp-sm
:	:	Z

»	»	Z
Polazeći	polaziti	Rr
od	od	Sg
činjenice	činjenica	Ncfsg
da	da	Cs
je	biti	Var3s
za	za	Sa
odlučivanje	odlučivanje	Ncnsa
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
nadležan	nadležan	Agpmsnn
Upravni	upravan	Agpmsny
sud	sud	Ncmsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
a	a	Cc
imajući	imati	Rr
u	u	Sl
vidu	vid	Ncmsl
odredbe	odredba	Ncfsg
članka	članak	Ncmsg
16.	16.	Mdo

ZPP-a	ZPP	Npmsg
na	na	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
utemeljio	utemeljiti	Vmp-sm
osporavano	osporavati	Agpnsay
rješenje	rješenje	Ncnsa
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
utvrđuje	utvrđivati	Vmr3s
da	da	Cs
je	biti	Var3s
rješenje	rješenje	Ncnsn
Vrhovnog	vrhovni	Agpmsgy
suda	sud	Ncmsg
,	,	Z
u	u	Sl
povodu	povod	Ncmsl
kojeg	koji	Pi-msg
je	biti	Var3s
podnijeta	podnijeti	Appfsny
ustavna	ustavan	Agpfsny
tužba	tužba	Ncfsn
,	,	Z
donijeto	donijeti	Appnsny
suprotno	suprotno	Rgp
mjerodavnim	mjerodavan	Agpmpiy
propisima	propis	Ncmpi
.	.	Z
«	«	Z

Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
je	biti	Var3s
potom	potom	Rgp
rješenjem	rješenje	Ncnsi
broj	broj	Ncmsn
:	:	Z
Gž-5	Gž-5	Mds
/	/	Z
03	03	Mdc
-	-	Z
2	2	Mdc
od	od	Sg
19.	19.	Mdo
studenoga	studeni	Ncmsg
2003.	2003.	Mdo
ponovno	ponovno	Rgp
ukinuo	ukinuti	Vmp-sm
presudu	presuda	Ncfsa
Županijskog	županijski	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Varaždinu	Varaždin	Npmsl
broj	broj	Ncmsan
-1/98	-1/98	Mds
od	od	Sg
29.	29.	Mdo
studenoga	studeni	Ncmsg
1999.	1999.	Mdo
i	i	Cc
odredio	odrediti	Vmp-sm
da	da	Cs
se	sebe	Px--sa
predmet	predmet	Ncmsn
dostavlja	dostavljati	Vmr3s
nadležnom	nadležan	Agpmsly
Upravnom	upravan	Agpmsly
sudu	sud	Ncmsl
na	na	Sa
daljnje	daljnji	Agpnsay
postupanje	postupanje	Ncnsa
.	.	Z

Navedeno	naveden	Agpnsny
rješenje	rješenje	Ncnsn
Vrhovnog	vrhovni	Agpmsgy
suda	sud	Ncmsg
uručeno	uručiti	Appnsny
je	biti	Var3s
2.	2.	Mdo
siječnja	siječanj	Ncmsg
2004.	2004.	Mdo

Županijskom	županijski	Agpmsdy
sudu	sud	Ncmsd
u	u	Sl
Varaždinu	Varaždin	Npmsl
,	,	Z
međutim	međutim	Rgp
taj	taj	Pd-msn
sud	sud	Ncmsn
nije	biti	Var3s
predmet	predmet	Ncmsn
dostavio	dostaviti	Vmp-sm
Upravnom	upravan	Agpmsly
sudu	sud	Ncmsl
,	,	Z
niti	niti	Cc
je	biti	Var3s
rješenje	rješenje	Ncnsn
uručio	uručiti	Vmp-sm
podnositelju	podnositelj	Ncmsd
.	.	Z

Postupak	postupak	Ncmsan
za	za	Sa
zaštitu	zaštita	Ncfsa
ustavom	ustava	Ncfsi
zajamčenog	zajamčiti	Agpnsgy
prava	pravo	Ncnsg
i	i	Cc
slobode	sloboda	Ncfsg
čovjeka	čovjek	Ncmsg
i	i	Cc
građanina	građanin	Ncmsg
do	do	Sg
donošenja	donošenje	Ncnsg
odluke	odluka	Ncfsg
Ustavnog	ustavan	Agpmsgy
suda	sud	Ncmsg
nije	biti	Var3s
dovršen	dovršiti	Appmsnn
.	.	Z

II	ii	Mrc
.	.	Z

PRAVO	prav	Agpnsny
VAŽNO	važan	Agpnsny
ZA	za	Sa
USTAVNOSUDSKI	ustavnosudski	Agpmsayn
POSTUPAK	postupak	Ncmsan

3.	3.	Mdo
Članak	članak	Ncmsn
29.	29.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
Ustava	ustav	Ncmsg
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Članak	članak	Ncmsn
29.	29.	Mdo

Svatko	svatko	Pi3m-n
ima	imati	Vmr3s
pravo	pravo	Ncnsa
da	da	Cs
zakonom	zakon	Ncmsi
ustanovljeni	ustanoviti	Appmpny
neovisni	neovisan	Agpmpny
i	i	Cc
nepristrani	nepristran	Agpmsny
sud	sud	Ncmsn
pravično	pravično	Rgp
i	i	Cc
u	u	Sl
razumnom	razuman	Agpmsly
roku	rok	Ncmsl
odluči	odlučiti	Vmr3s
o	o	Sl
njegovim	njegov	Agpnply
pravima	pravo	Ncnpl
i	i	Cc
obvezama	obveza	Ncfpl
,	,	Z
ili	ili	Cc
o	o	Sl
sumnji	sumnja	Ncfsl
ili	ili	Cc
optužbi	optužba	Ncfpg
zbog	zbog	Sg
kažnjivog	kažnjiv	Agpnsgy
