izdavanja	izdavanje	Ncnsg
Odluka	odluka	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
Rang-lista	rang-lista	Ncfsn
će	htjeti	Var3s
se	sebe	Px--sa
izraditi	izraditi	Vmn
nakon	nakon	Sg
provedenog	provesti	Agpmsgy
postupka	postupak	Ncmsg
rješavanja	rješavanje	Ncnsg
po	po	Sl
prigovorima	prigovor	Ncmpl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Izrađena	izraditi	Appfsny
Rang-lista	rang-lista	Ncfsn
bit	biti	Van
će	htjeti	Var3s
dostupna	dostupan	Agpfsny
korisnicima	korisnik	Ncmpd
u	u	Sl
okviru	okvir	Ncmsl
Izvještaja	izvještaj	Ncmsg
o	o	Sl
provedenom	provesti	Agpmsly
Natječaju	natječaj	Ncmsl
.	.	Z

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
se	sebe	Px--sa
nakon	nakon	Sg
zaprimanja	zaprimanje	Ncnsg
svih	sav	Agpmpgy
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
i	i	Cc
provjere	provjera	Ncfpa
ukupnoga	ukupan	Agpmsgy
traženog	tražen	Agpmsgy
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
nema	nemati	Vmr3s
dovoljno	dovoljno	Rgp
raspoloživih	raspoloživ	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
sve	sav	Agpmpay
korisnike	korisnik	Ncmpa
,	,	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
izdati	izdati	Vmn
odluke	odluka	Ncfpa
nakon	nakon	Sg
završetka	završetak	Ncmsg
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
svih	sav	Agpmpgy
zaprimljenih	zaprimiti	Appmpgy
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
nakon	nakon	Sg
obrade	obrada	Ncfsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
donijeti	donijeti	Vmn
:	:	Z

a	a	Cc
)	)	Z
Odluku	odluka	Ncfsa
o	o	Sl
privremenoj	privremen	Agpfsly
raspodjeli	raspodjela	Ncfsl
sredstava	sredstvo	Ncnpg
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
ispunjavanja	ispunjavanje	Ncnsg
uvjeta	uvjet	Ncmpg
i	i	Cc
kriterija	kriterij	Ncmpg
propisanih	propisati	Appmpgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
i	i	Cc
Natječajem	Natječaj	Npmsi
.	.	Z

b	b	Npmsn
)	)	Z
Odluku	odluka	Ncfsa
o	o	Sl
