prethodni	prethodan	Agpmsayn
mjesec	mjesec	Ncmsan
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Izvješće	izvješće	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
dostavlja	dostavljati	Vmr3s
se	sebe	Px--sa
Agenciji	agencija	Ncfsl
za	za	Sa
plaćanja	plaćanje	Ncnpa
putem	put	Sg
web	web	Ncmsg
aplikacije	aplikacija	Ncfsg
ili	ili	Cc
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
koji	koji	Pi-msn
odredi	odrediti	Vmr3s
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
i	i	Cc
objavi	objaviti	Vmr3s
na	na	Sl
svojim	svoj	Agpfply
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
.	.	Z

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Proizvođač	proizvođač	Ncmsn
mlijeka	mlijeko	Ncnsg
obveznik	obveznik	Ncmsn
je	biti	Var3s
dostave	dostava	Ncfsg
godišnjeg	godišnji	Agpnsgy
izvješća	izvješće	Ncnsg
:	:	Z

–	–	Z
o	o	Sl
ukupnim	ukupan	Agpfply
količinama	količina	Ncfpl
mlijeka	mlijeko	Ncnsg
koje	koji	Pi-nsn
je	biti	Var3s
izravno	izravno	Rgp
prodao	prodati	Vmp-sm
u	u	Sl
prethodnoj	prethodan	Agpfsly
godini	godina	Ncfsl
i	i	Cc

–	–	Z
o	o	Sl
ukupnim	ukupan	Agpfply
količinama	količina	Ncfpl
mlijeka	mlijeko	Ncnsg
koje	koji	Pi-fpn
su	biti	Var3p
upotrijebljene	upotrijebiti	Appfpny
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
mliječnih	mliječan	Agpmpgy
proizvoda	proizvod	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
neposredno	neposredno	Rgp
prodani	prodati	Appmpny
u	u	Sl
prethodnoj	prethodan	Agpfsly
godini	godina	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Izvješće	izvješće	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
Agenciji	agencija	Ncfsl
za	za	Sa
plaćanja	plaćanje	Ncnpa
na	na	Sl
obrascu	obrazac	Ncmsl
,	,	Z
a	a	Cc
nalazi	nalaziti	Vmr3s
se	sebe	Px--sa
u	u	Sl
Prilogu	prilog	Ncmsl
III	III	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Rok	rok	Ncmsn
za	za	Sa
dostavu	dostava	Ncfsa
izvješća	izvješće	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
je	biti	Var3s
petnaesti	petnaesti	Mlomsan
dan	dan	Ncmsan
veljače	veljača	Ncfsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
za	za	Sa
prethodnu	prethodan	Agpfsay
godinu	godina	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Izviješće	izviješće	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
dostavlja	dostavljati	Vmr3s
se	sebe	Px--sa
Agenciji	agencija	Ncfsl
za	za	Sa
plaćanja	plaćanje	Ncnpa
putem	put	Sg
web-aplikacije	web-aplikacija	Ncfsg
ili	ili	Cc
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
koji	koji	Pi-msan
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
stavi	staviti	Vmr3s
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
.	.	Z

Vođenje	vođenje	Ncnsn
evidencije	evidencija	Ncfsg
i	i	Cc
čuvanje	čuvanje	Ncnsa
dokumentacije	dokumentacija	Ncfsg

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prvi	prvi	Mlomsn
otkupljivač	otkupljivač	Ncmsn
dužan	dužan	Agpmsnn
je	biti	Var3s
voditi	voditi	Vmn
evidenciju	evidencija	Ncfsa
o	o	Sl
količinama	količina	Ncfpl
mlijeka	mlijeko	Ncnsg
koje	koji	Pi-nsa
su	biti	Var3p
mu	on	Pp3msd
isporučene	isporučiti	Appfpny
i	i	Cc
o	o	Sl
kojima	koji	Pi-mpl
dostavlja	dostavljati	Vmr3s
izvješće	izvješće	Ncnsa
sukladno	sukladan	Agpnsay
člancima	članak	Ncmpd
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
te	te	Cc
čuvati	čuvati	Vmn
pripadajuću	pripadajući	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
najmanje	malo	Rgs
pet	pet	Mlc
godina	godina	Ncfpg
od	od	Sg
završetka	završetak	Ncmsg
godine	godina	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
nastala	nastati	Vmp-sf
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Proizvođač	proizvođač	Ncmsn
mlijeka	mlijeko	Ncnsg
dužan	dužan	Agpmsnn
je	biti	Var3s
voditi	voditi	Vmn
mjesečnu	mjesečan	Agpfsay
evidenciju	evidencija	Ncfsa
o	o	Sl
količinama	količina	Ncfpl
mlijeka	mlijeko	Ncnsg
koje	koji	Pi-nsa
je	biti	Var3s
isporučio	isporučiti	Vmp-sm
prvom	prvi	Mlomsl
otkupljivaču	otkupljivač	Ncmsl
koji	koji	Pi-msn
ima	imati	Vmr3s
sjedište	sjedište	Ncnsa
izvan	izvan	Sg
područja	područje	Ncnsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc
o	o	Sl
kojima	koji	Pi-mpl
dostavlja	dostavljati	Vmr3s
izvješće	izvješće	Ncnsa
sukladno	sukladan	Agpnsay
članku	članak	Ncmsl
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
te	te	Cc
čuvati	čuvati	Vmn
pripadajuću	pripadajući	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
najmanje	malo	Rgs
pet	pet	Mlc
godina	godina	Ncfpg
od	od	Sg
završetka	završetak	Ncmsg
godine	godina	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
nastala	nastati	Vmp-sf
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Proizvođač	proizvođač	Ncmsn
mlijeka	mlijeko	Ncnsg
dužan	dužan	Agpmsnn
je	biti	Var3s
voditi	voditi	Vmn
mjesečnu	mjesečan	Agpfsay
evidenciju	evidencija	Ncfsa
o	o	Sl
količinama	količina	Ncfpl
mlijeka	mlijeko	Ncnsg
koje	koji	Pi-fpn
su	biti	Var3p
neposredno	neposredno	Rgp
prodane	prodati	Appfpny
i	i	Cc
o	o	Sl
količinama	količina	Ncfpl
mlijeka	mlijeko	Ncnsg
koje	koji	Pi-fpn
su	biti	Var3p
upotrijebljene	upotrijebiti	Appfpny
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
mliječnih	mliječan	Agpmpgy
proizvoda	proizvod	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
neposredno	neposredno	Rgp
prodani	prodati	Appmpny
te	te	Cc
o	o	Sl
kojima	koji	Pi-fpl
dostavlja	dostavljati	Vmr3s
izvješće	izvješće	Ncnsa
sukladno	sukladan	Agpnsay
članku	članak	Ncmsl
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
kao	kao	Cs
i	i	Cc
čuvati	čuvati	Vmn
pripadajuću	pripadajući	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
najmanje	malo	Rgs
pet	pet	Mlc
godina	godina	Ncfpg
od	od	Sg
završetka	završetak	Ncmsg
godine	godina	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
nastala	nastati	Vmp-sf
.	.	Z

Viša	visok	Agcfsny
sila	sila	Ncfsn

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
više	mnogo	Rgc
sile	sila	Ncfsg
i	i	Cc
izvanrednih	izvanredan	Agpfpgy
okolnosti	okolnost	Ncfpg
,	,	Z
obveznici	obveznik	Ncmpn
dostave	dostava	Ncfsg
izvješća	izvješće	Ncnsg
prema	prema	Sl
ovome	ovaj	Pd-msl
Pravilniku	pravilnik	Ncmsl
dužni	dužan	Agpmpny
su	biti	Var3p
u	u	Sl
pisanom	pisan	Agpmsly
ili	ili	Cc
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
izvijestiti	izvijestiti	Vmn
Agenciju	agencija	Ncfsa
za	za	Sa
plaćanja	plaćanje	Ncnpa
o	o	Sl
nastupu	nastup	Ncmsl
više	mnogo	Rgc
sile	sila	Ncfsg
i	i	Cc
izvanrednih	izvanredan	Agpfpgy
okolnosti	okolnost	Ncfpg
zbog	zbog	Sg
kojih	koji	Pi-mpg
nisu	biti	Var3p
bili	biti	Vap-pm
u	u	Sl
mogućnosti	mogućnost	Ncfsl
dostaviti	dostaviti	Vmn
izvješće	izvješće	Ncnsa
,	,	Z
uz	uz	Sa
dostavljanje	dostavljanje	Ncnsa
odgovarajućeg	odgovarajući	Agpmsgy
dokaza	dokaz	Ncmsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
nastanka	nastanak	Ncmsg
događaja	događaj	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Viša	visok	Agpfsny
sila	sila	Ncfsn
i	i	Cc
izvanredne	izvanredan	Agpfsgy
okolnosti	okolnost	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
imaju	imati	Vmr3p
jednako	jednak	Agpnsay
značenje	značenje	Ncnsa
kao	kao	Cs
definicija	definicija	Ncfsn
korištena	koristiti	Appfsny
u	u	Sl
članku	članak	Ncmsl
2.	2.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1306/2013	1306/2013	Mdc
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
od	od	Sg
17.	17.	Mdo
prosinca	prosinac	Ncmsg
2013.	2013.	Mdo
o	o	Sl
financiranju	financiranje	Ncnsl
,	,	Z
upravljanju	upravljanje	Ncnsl
i	i	Cc
nadzoru	nadzor	Ncmsl
zajedničke	zajednički	Agpfsgy
poljoprivredne	poljoprivredni	Agpfsgy
politike	politika	Ncfsg
i	i	Cc
o	o	Sl
stavljanju	stavljanje	Ncnsl
izvan	izvan	Sg
snage	snaga	Ncfsg
uredbi	uredba	Ncfpg
Vijeća	vijeće	Ncnsg
(	(	Z
EEZ	EEZ	Npmsn
)	)	Z
br.	br.	Y
352/78	352/78	Mdc
,	,	Z
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
165/94	165/94	Mdc
,	,	Z
(	(	Z
