ostaju	ostajati	Vmr3p
stabilne	stabilan	Agpfpny
.	.	Z

Kućište	kućište	Ncnsn
mora	morati	Vmr3s
biti	biti	Van
konstruirano	konstruirati	Appnsny
tako	tako	Cs
da	da	Cs
su	biti	Var3p
glavne	glavni	Agpfsgy
komponente	komponenta	Ncfsg
mjerila	mjerilo	Ncnsg
zaštićene	zaštititi	Appfpny
od	od	Sg
prašine	prašina	Ncfsg
i	i	Cc
vlage	vlaga	Ncfsg
.	.	Z

Kada	kada	Cs
proces	proces	Ncmsn
mjerenja	mjerenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
upotrebu	upotreba	Ncfsa
mlina	mlin	Ncmsg
,	,	Z
mlin	mlin	Ncmsn
se	sebe	Px--sa
smatra	smatrati	Vmr3s
sastavnim	sastavan	Agpmsiy
dijelom	dio	Ncmsi
mjernog	mjerni	Agpmsgy
procesa	proces	Ncmsg
.	.	Z

Mlin	mlin	Ncmsn
mora	morati	Vmr3s
biti	biti	Van
konstruiran	konstruirati	Appmsnn
od	od	Sg
strane	strana	Ncfsg
istog	isti	Agpmsgy
proizvođača	proizvođač	Ncmsg
kao	kao	Cs
i	i	Qo
mjerilo	mjerilo	Ncnsn
.	.	Z

Mlin	mlin	Ncmsn
mora	morati	Vmr3s
biti	biti	Van
ispitan	ispitan	Agpmsnn
kao	kao	Cs
dio	dio	Ncmsn
mjernog	mjerni	Agpmsgy
procesa	proces	Ncmsg
i	i	Cc
naveden	navesti	Appmsnn
u	u	Sl
odobrenju	odobrenje	Ncnsl
tipa	tip	Ncmsg
mjerila	mjerilo	Ncnsg
.	.	Z

Infracrveni	infracrven	Agpmsny
analizator	analizator	Ncmsn
mora	morati	Vmr3s
biti	biti	Van
postavljen	postaviti	Appmsnn
na	na	Sa
ravnu	ravan	Agpfsay
površinu	površina	Ncfsa
i	i	Cc
s	sa	Si
mogućnošću	mogućnost	Ncfsi
namještanja	namještanje	Ncnsg
položaja	položaj	Ncmsg
ukoliko	ukoliko	Cs
položaj	položaj	Ncmsan
mjerila	mjerilo	Ncnsg
utječe	utjecati	Vmr3s
na	na	Sa
točnost	točnost	Ncfsa
mjerenja	mjerenje	Ncnsg
.	.	Z

1.5.	1.5.	Mdo

Označavanje	označavanje	Ncnsn
mjerila	mjerilo	Ncnsg

Infracrveni	infracrven	Agpmsny
analizator	analizator	Ncmsn
mora	morati	Vmr3s
imati	imati	Vmn
vidljivu	vidljiv	Agpfsay
natpisnu	natpisni	Agpfsay
pločicu	pločica	Ncfsa
sa	sa	Si
sljedećim	sljedeći	Agpmpiy
podacima	podatak	Ncmpi
:	:	Z

1.	1.	Mdo
ime	ime	Ncnsa
proizvođača	proizvođač	Ncmsg

2.	2.	Mdo
model	model	Ncmsan
mjerila	mjerilo	Ncnsg

3.	3.	Mdo
oznaka	oznaka	Ncfsn
odobrenja	odobrenje	Ncnsg
tipa	tip	Ncmsg
mjerila	mjerilo	Ncnsg

4.	4.	Mdo
taksativno	taksativno	Rgp
nabrojane	nabrojati	Agpfsgy
vrste	vrsta	Ncfsg
poljoprivrednih	poljoprivredni	Agpfpgy
vrsta	vrsta	Ncfpg
za	za	Sa
koje	koji	Pi-mpa
je	biti	Var3s
mjerilo	mjeriti	Vmp-sn
ovjereno	ovjeriti	Appnsny

5.	5.	Mdo
serijski	serijski	Agpmsayn
broj	broj	Ncmsan
mjerila	mjerilo	Ncnsg
.	.	Z

1.6.	1.6.	Mdo

Klimatski	klimatski	Agpmpny
uvjeti	uvjet	Ncmpn

Klimatski	klimatski	Agpmpny
uvjeti	uvjet	Ncmpn
su	biti	Var3p
okolišni	okolišni	Agpmpny
uvjeti	uvjet	Ncmpn
u	u	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
mjerilo	mjeriti	Vmp-sn
može	moći	Vmr3s
upotrebljavati	upotrebljavati	Vmn
i	i	Cc
definira	definirati	Vmr3s
ih	oni	Pp3-pa
proizvođač	proizvođač	Ncmsn
.	.	Z

1.7.	1.7.	Mdo

Temperatura	temperatura	Ncfsn
uzoraka	uzorak	Ncmpg

Radna	radni	Agpfsny
temperatura	temperatura	Ncfsn
uzoraka	uzorak	Ncmpg
je	biti	Var3s
definirana	definirati	Appfsny
kao	kao	Cs
temperaturni	temperaturni	Agpmsny
raspon	raspon	Ncmsn
(	(	Z
minimalna	minimalan	Agpfsny
i	i	Cc
maksimalna	maksimalan	Agpfsny
temperatura	temperatura	Ncfsn
)	)	Z
u	u	Sl
kojem	koji	Pi-msl
je	biti	Var3s
moguće	moguć	Agpnsny
mjeriti	mjeriti	Vmn
sadržaj	sadržaj	Ncmsan
proteina	protein	Ncmpg
u	u	Sl
uzorku	uzorak	Ncmsl
.	.	Z

Proizvođač	proizvođač	Ncmsn
mjerila	mjerilo	Ncnsg
navodi	navoditi	Vmr3s
u	u	Sl
tehničkoj	tehnički	Agpfsly
dokumentaciji	dokumentacija	Ncfsl
mjerila	mjeriti	Vmp-sf
temperaturni	temperaturni	Agpmsayn
raspon	raspon	Ncmsan
uzoraka	uzorak	Ncmpg
.	.	Z

Ukoliko	ukoliko	Cs
je	biti	Var3s
temperatura	temperatura	Ncfsn
uzorka	uzorak	Ncmsg
izvan	izvan	Sg
raspona	raspon	Ncmsg
mjerila	mjerilo	Ncnsg
,	,	Z
na	na	Sl
zaslonu	zaslon	Ncmsl
se	sebe	Px--sa
mora	morati	Vmr3s
pokazati	pokazati	Vmn
poruka	poruka	Ncfsn
o	o	Sl
pogrešci	pogreška	Ncfsl
(	(	Z
npr.	npr.	Y
error	error	Ncmsn
)	)	Z
.	.	Z

Mjerilo	mjerilo	Ncnsn
mora	morati	Vmr3s
imati	imati	Vmn
mogućnost	mogućnost	Ncfsa
izmjeriti	izmjeriti	Vmn
sadržaj	sadržaj	Ncmsan
proteina	protein	Ncmpg
u	u	Sl
uzorku	uzorak	Ncmsl
koji	koji	Pi-msn
nije	biti	Var3s
iste	isti	Agpfpay
temperature	temperatura	Ncfpa
kao	kao	Cs
okoliš	okoliš	Ncmsan
i	i	Cc
mjerilo	mjerilo	Ncnsn
.	.	Z

Maksimalna	maksimalan	Agpfsny
moguća	moguć	Agpfsny
razlika	razlika	Ncfsn
između	između	Sg
temperature	temperatura	Ncfsg
uzorka	uzorak	Ncmsg
i	i	Cc
mjerila	mjerilo	Ncnsg
mora	morati	Vmr3s
biti	biti	Van
navedena	navesti	Appfsny
u	u	Sl
tipnom	tipnoa	Ncfsl
odobrenju	odobrenje	Ncnsl
mjerila	mjerilo	Ncnsg
.	.	Z

1.8.	1.8.	Mdo

Period	period	Ncmsn
postizanja	postizanje	Ncnsg
radne	radni	Agpfsgy
temperature	temperatura	Ncfsg
mjerila	mjerilo	Ncnsg

Kada	kada	Rgp
je	biti	Var3s
uključen	uključiti	Appmsnn
,	,	Z
infracrveni	infracrven	Agpmsny
analizator	analizator	Ncmsn
ne	ne	Qz
mjeri	mjeriti	Vmr3s
i	i	Cc
ne	ne	Qz
pokazuje	pokazivati	Vmr3s
na	na	Sl
zaslonu	zaslon	Ncmsl
rezultate	rezultat	Ncmpa
mjerenja	mjerenje	Ncnsg
dok	dok	Cs
ne	ne	Qz
postigne	postići	Vmr3s
radnu	radni	Agpfsay
temperaturu	temperatura	Ncfsa
,	,	Z
osim	osim	Cs
ako	ako	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
mjerilu	mjerilo	Ncnsl
koje	koji	Pi-nsn
nema	nemati	Vmr3s
period	period	Ncmsn
zagrijavanja	zagrijavanje	Ncnsg
.	.	Z

1.9.	1.9.	Mdo

Poljoprivredne	poljoprivredni	Agpfpny
vrste	vrsta	Ncfpn
kojima	koji	Pi-fpi
se	sebe	Px--sa
mjeri	mjeriti	Vmr3s
sadržaj	sadržaj	Ncmsn
proteina	protein	Ncmsg

Proizvođač	proizvođač	Ncmsn
mjerila	mjerilo	Ncnsg
navodi	navoditi	Vmr3s
za	za	Sa
pojedini	pojedini	Agpmsayn
tip	tip	Ncmsan
mjerila	mjeriti	Vmp-sf
poljoprivredne	poljoprivredni	Agpfpay
vrste	vrsta	Ncfpa
koje	koji	Pi-fpn
su	biti	Var3p
pogodne	pogodan	Agpfpny
za	za	Sa
mjerenje	mjerenje	Ncnsa
sadržaja	sadržaj	Ncmsg
proteina	protein	Ncmsg
na	na	Sl
tom	taj	Pd-nsl
mjerilu	mjerilo	Ncnsl
te	te	Cc
definira	definirati	Vmr3s
mjerni	mjerni	Agpmsayn
raspon	raspon	Ncmsan
mjerila	mjerilo	Ncnsg
.	.	Z

1.10.	1.10.	Mdo

Mogućnosti	mogućnost	Ncfpn
odabira	odabir	Ncmsg
kalibracija	kalibracija	Ncfpg
na	na	Sl
mjerilu	mjerilo	Ncnsl

Na	na	Sl
mjerilu	mjerilo	Ncnsl
koje	koji	Pi-nsn
ima	imati	Vmr3s
više	mnogo	Rgc
različitih	različit	Agpfpgy
kalibracija	kalibracija	Ncfpg
za	za	Sa
svaku	svaki	Pi-fsa
poljoprivrednu	poljoprivredni	Agpfsay
vrstu	vrsta	Ncfsa
,	,	Z
mora	morati	Vmr3s
biti	biti	Van
moguće	moguć	Agpnsny
odabrati	odabrati	Vmn
odgovarajuću	odgovarajući	Agpfsay
i	i	Cc
odobrenu	odobren	Agpfsay
kalibraciju	kalibracija	Ncfsa
na	na	Sl
korisničkom	korisnički	Agpnsly
sučelju	sučelje	Ncnsl
.	.	Z

Odabrana	odabrati	Appfsny
kalibracija	kalibracija	Ncfsn
mora	morati	Vmr3s
biti	biti	Van
nedvosmislena	nedvosmislen	Agpfsny
i	i	Cc
vidljiva	vidljiv	Agpfsny
svim	sav	Agpfpiy
prisutnim	prisutan	Agpfpiy
stranama	strana	Ncfpi
,	,	Z
tj.	tj.	Y
ime	ime	Ncnsn
kalibracije	kalibracija	Ncfsg
mora	morati	Vmr3s
odgovarati	odgovarati	Vmn
imenu	ime	Ncnsl
poljoprivredne	poljoprivredni	Agpfsgy
vrste	vrsta	Ncfsg
kojoj	koji	Pi-fsd
se	sebe	Px--sa
mjeri	mjera	Ncfsl
udio	udjel	Ncmsn
proteina	protein	Ncmsg
.	.	Z

1.11.	1.11.	Mdo

Uzorci	uzorak	Ncmpn
i	i	Cc
minimalna	minimalan	Agpfsny
količina	količina	Ncfsn
uzorka	uzorak	Ncmsg

Minimalna	minimalan	Agpfsny
prihvatljiva	prihvatljiv	Agpfsny
količina	količina	Ncfsn
zrna	zrno	Ncnsg
za	za	Sa
mjerenje	mjerenje	Ncnsa
sadržaja	sadržaj	Ncmpg
proteina	protein	Ncmsg
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
manja	mali	Agcfsny
od	od	Sg
100	100	Mdc
g.	g.	Y

