edukativnim	edukativan	Agpfpiy
pločama	ploča	Ncfpi
/	/	Z
panoima	pano	Ncmpi
i	i	Cc
sl.	sl.	Y
)	)	Z

–	–	Agpmsny
seoski	seoski	Agpmsny
turizam	turizam	Ncmsn

–	i	Agpfpay
ugostiteljske	ugostiteljski	Agpfpay
usluge	usluga	Ncfpa
u	u	Sl
domaćinstvu	domaćinstvo	Ncnsl
i	i	Cc
seljačkom	seljački	Agpnsly
domaćinstvu	domaćinstvo	Ncnsl
,	,	Z
sukladno	sukladno	Rgp
posebnim	poseban	Agpmply
propisima	propis	Ncmpl
.	.	Z

Članak	članak	Ncmsn
70.	70.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Unutar	unutar	Sg
površina	površina	Ncfpg
za	za	Sa
razvoj	razvoj	Ncmsan
naselja	naselje	Ncnsg
moguće	moguć	Agpnsny
je	biti	Var3s
uređenje	uređenje	Ncnsn
građevina	građevina	Ncfpg
i	i	Cc
površina	površina	Ncfpg
koje	koji	Pi-fpn
služe	služiti	Vmr3p
za	za	Sa
nesmetano	nesmetan	Agpnsay
funkcioniranje	funkcioniranje	Ncnsa
naselja	naselje	Ncnsg
,	,	Z
a	a	Cc
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
uvjetima	uvjet	Ncmpi
uređenja	uređenje	Ncnsg
i	i	Cc
zaštite	zaštita	Ncfsg
okoliša	okoliš	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zgrade	zgrada	Ncfsg
i	i	Cc
građevine	građevina	Ncfsg
,	,	Z
arhitektonskim	arhitektonski	Agpnsiy
oblikovanjem	oblikovanje	Ncnsi
,	,	Z
visinom	visina	Ncfsi
i	i	Cc
izborom	izbor	Ncmsi
materijala	materijal	Ncmsg
trebaju	trebati	Vmr3p
biti	biti	Van
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
prostorom	prostor	Ncmsi
na	na	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
grade	graditi	Vmr3p
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Urbani	urban	Agpmsny
mobilijar	mobilijar	Ncmsn
(	(	Z
klupe	klupa	Ncfpn
,	,	Z
oglasne	oglasni	Agpfpny
ploče	ploča	Ncfpn
,	,	Z
paviljoni	paviljon	Ncmpn
,	,	Z
nadstrešnice	nadstrešnica	Ncfpn
,	,	Z
autobusna	autobusni	Agpnpay
stajališta	stajalište	Ncnpa
)	)	Z
te	te	Cc
drugi	drugi	Mlompn
slični	sličan	Agpmpny
sadržaji	sadržaj	Ncmpn
moraju	morati	Vmr3p
odgovarati	odgovarati	Vmn
prostoru	prostor	Ncmsd
uz	uz	Sa
odabir	odabir	Ncmsan
odgovarajućih	odgovarajući	Agpnpgy
tipskih	tipski	Agpnpgy
rješenja	rješenje	Ncnpg
.	.	Z

Članak	članak	Ncmsn
71.	71.	Mdo

Unutar	unutar	Sg
površina	površina	Ncfpg
za	za	Sa
razvoj	razvoj	Ncmsan
naselja	naselje	Ncnsg
ne	ne	Qz
mogu	moći	Vmr3p
se	sebe	Px--sa
graditi	graditi	Vmn
građevine	građevina	Ncfpa
i	i	Cc
zgrade	zgrada	Ncfpa
koje	koji	Pi-fpn
bi	biti	Vaa3p
svojom	svoj	Px-fsi
namjenom	namjena	Ncfsi
i	i	Cc
korištenjem	korištenje	Ncnsi
,	,	Z
posredno	posredno	Rgp
ili	ili	Cc
neposredno	neposredno	Rgp
,	,	Z
ugrožavale	ugrožavati	Vmp-pf
život	život	Ncmsan
i	i	Cc
rad	rad	Ncmsan
ljudi	čovjek	Ncmpg
u	u	Sl
naselju	naselje	Ncnsl
te	te	Cc
kulturne	kulturan	Agpfsgy
i	i	Cc
prirodne	prirodan	Agpfpay
vrijednosti	vrijednost	Ncfpa
Parka	park	Ncmsg
.	.	Z

Članak	članak	Ncmsn
72.	72.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Na	na	Sl
jednoj	jedan	Agpfsly
građevinskoj	građevinski	Agpfsly
čestici	čestica	Ncfsl
unutar	unutar	Sg
površine	površina	Ncfsg
naselja	naselje	Ncnsg
mogu	moći	Vmr3p
se	sebe	Px--sa
graditi	graditi	Vmn
stambene	stambeni	Agpfpny
,	,	Z
poslovne	poslovan	Agpmpay
,	,	Z
stambeno-poslovne	stambeno-poslovan	Agpfsgy
građevine	građevina	Ncfsg
te	te	Cc
uz	uz	Sa
njih	oni	Pp3-pa
gospodarske	gospodarski	Agpfsgy
i	i	Cc
pomoćne	pomoćan	Agpfpay
građevine	građevina	Ncfpa
koje	koji	Pi-fpn
s	sa	Si
ovima	ovaj	Pd-mpi
čine	činiti	Vmr3p
cjelinu	cjelina	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
obavljanje	obavljanje	Ncnsa
djelatnosti	djelatnost	Ncfsg
iz	iz	Sg
prethodnog	prethodan	Agpmsgy
stavka	stavak	Ncmsg
mogu	moći	Vmr3p
se	sebe	Px--sa
koristiti	koristiti	Vmn
i	i	Cc
prostori	prostor	Ncmpn
/	/	Z
građevine	građevina	Ncfpa
koji	koji	Pi-mpn
ranije	rano	Rgc
nisu	biti	Var3p
bili	biti	Vap-pm
namijenjeni	namijeniti	Appmpny
za	za	Sa
tu	taj	Pd-fsa
djelatnost	djelatnost	Ncfsa
u	u	Sl
cijelom	cijel	Agpmsly
ili	ili	Cc
dijelu	dio	Ncmsl
stambenog	stambeni	Agpnsgy
,	,	Z
pomoćnog	pomoćan	Agpmsgy
ili	ili	Cc
gospodarskog	gospodarski	Agpmsgy
prostora	prostor	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Sve	sav	Agpfpny
građevine	građevina	Ncfpn
na	na	Sl
građevinskoj	građevinski	Agpfsly
čestici	čestica	Ncfsl
moraju	morati	Vmr3p
biti	biti	Van
usklađeni	uskladiti	Appmpny
s	sa	Si
ambijentom	ambijent	Ncmsi
i	i	Cc
tradicijskim	tradicijski	Agpnsiy
oblikovanjem	oblikovanje	Ncnsi
okućnice	okućnica	Ncfsg
i	i	Cc
pojedinačnih	pojedinačan	Agpfpgy
građevina	građevina	Ncfpg
.	.	Z

Članak	članak	Ncmsn
73.	73.	Mdo

Rekonstrukcije	rekonstrukcija	Ncfpn
i	i	Cc
izgradnja	izgradnja	Ncfsn
građevina	građevina	Ncfpg
na	na	Sl
površinama	površina	Ncfpl
naselja	naselje	Ncnsg
osobito	osobito	Rgp
u	u	Sl
zoni	zona	Ncfsl
zaštite	zaštita	Ncfsg
kulturnog	kulturan	Agpnsgy
dobra	dobro	Ncnsg
provode	provoditi	Vmr3p
se	sebe	Px--sa
sukladno	sukladno	Rgp
Planu	Plan	Npmsd
i	i	Cc
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
.	.	Z

Članak	članak	Ncmsn
74.	74.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Stambenim	stambeni	Agpfply
građevinama	građevina	Ncfpl
smatraju	smatrati	Vmr3p
se	sebe	Px--sa
obiteljske	obiteljski	Agpfpny
kuće	kuća	Ncfpn
površine	površina	Ncfsg
