1.2	1.2	Mdc
1,5	1,5	Mdc
1,5	1,5	Mdc
1,5	1,5	Mdc
1,2	1,2	Mdc
1,5	1,5	Mdc
Maks	Maks	Npmsn
.	.	Z
broj	broj	Ncmsn
etaža	etaža	Ncfpg
(	(	Z
E	e	I
)	)	Z
Po	po	Sa
(	(	Z
S	sa	X
)	)	Z
+	+	Z
Pr	Pr	Y
+2	+2	Mdm
Po	po	Sa
(	(	Z
S	sa	X
)	)	Z
+	+	Z
Pr	pr	Agpnsny
+2	+2	Ncnsn
Po	po	Sl
+	a	Ncfsl
Pr	pr	Agpfsly
+1	+a	Ncfsl
+	+	Z
Pk	Pk	I
Po	po	Sa
(	(	Z
S	sa	X
)	)	Z
+	+	Z
Pr	Pr	Y
+2	+2	Mdm
Po	po	Sa
(	(	Z
S	sa	X
)	)	Z
+1	+	Ncmpi
+	+	Z
Pk	Pk	Y
/	/	Z
Po	po	Sl
+	a	Ncfsl
Pr	pr	Agpfsly
+2	+a	Ncfsl
Po	po	Sl
+	a	Ncfsl
Pr	Pr	Xf
+1	+1	Xf
+	+	Z
Pk	Pk	I
/	/	Z
Po	po	Sl
+	a	Ncfsl
Pr	pr	Agpfsly
+2	+a	Ncfsl
Po	po	Sl
+	i	Agpfsly
Pr	pa	Ncfsl
+2	+i	Agpnsny
Po	po	Sl
+	a	Ncfsl
Pr	pr	Agpfsly
+1	+a	Ncfsl
+	+	Z
Pk	Pk	I
Po	po	Sa
(	(	Z
S	sa	X
)	)	Z
+	+	Z
Pr	Pr	Xf
+2	+2	Xf
Maks	Maks	Npmsn
.	.	Z
visina	visina	Ncfsn
(	(	Z
m	m	Npfsn
)	)	Z
9,0	9,0	Mdc
9,0	9,0	Mdc
9,0	9,0	Mdc
8,2	8,2	Mdc
7,2	7,2	Mdc
7,2	7,2	Mdc
9,0	9,0	Mdc
Stambene	stambeni	Agpfsgy
građevine	građevina	Ncfsg
–	–	Z
neizgrađeni	neizgrađen	Agpmsny
dio	dio	Ncmsn
građevinskog	građevinski	Agpnsgy
područja	područje	Ncnsg
naselja	naselje	Ncnsg
Prostorni	prostoran	Agpmpny
pokazatelji	pokazatelj	Ncmpn
Grad	grad	Ncmsn
/	/	Z
općina	općina	Ncfsn
Makarska	makarski	Agpfsny
Vrgorac	Vrgorac	Npfsn
Brela	Brela	Npfsn
Šestanovac	Šestanovac	Npfsn
Zagvozd	Zagvozd	Npfsn
Podgora	Podgora	Npfsn
Baška	Baška	Npfsn
Voda	Voda	Npfsn
Min	Min	Npmsn
.	.	Z
parcela	parcela	Ncfpg
sl.	sl.	Y
stojeća	stojeći	Agpfsny
350	350	Mdc
500	500	Mdc
300	300	Mdc
300	300	Mdc
300	300	Mdc
500	500	Mdc
500	500	Mdc
dvojna	dvojni	Agpfsny
280	280	Mdc
500	500	Mdc
400	400	Mdc
250	250	Mdc
300	300	Mdc
400	400	Mdc
400	400	Mdc
kig	kig	Y
sl.	sl.	Y
stojeća	stojeći	Agpfsny
0,3	0,3	Mdc
0.3	0.3	Mdc
0.3	0.3	Mdc
0,3	0,3	Mdc
0,35	0,35	Mdc
0,3	0,3	Mdc
0,3	0,3	Mdc
dvojna	dvojni	Agpfsny
0,3	0,3	Mdc
0,3	0,3	Mdc
0,3	0,3	Mdc
0,35	0,35	Mdc
0,4	0,4	Mdc
0,3	0,3	Mdc
0,35	0,35	Mdc
kis	kis	Sg
sl.	sl.	Y
stojeća	stojeći	Agpfsny
1,2	1,2	Mdc
1,2	1,2	Mdc
0,9	0,9	Mdc
1,0	1,0	Mdc
1,0	1,0	Mdc
0,9	0,9	Mdc
1,0	1,0	Mdc
dvojna	dvojni	Agpfsny
1,2	1,2	Mdc
1,5	1,5	Mdc
0,9	0,9	Mdc
1,2	1,2	Mdc
1,2	1,2	Mdc
0,9	0,9	Mdc
1,2	1,2	Mdc
Maks	Maks	Npmsn
.	.	Z
broj	broj	Ncmsn
etaža	etaža	Ncfpg
(	(	Z
E	e	I
)	)	Z
Po	po	Sa
(	(	Z
S	sa	X
)	)	Z
+	+	Z
Pr	Pr	Y
+2	+2	Mdm
Po	po	Sa
(	(	Z
S	sa	X
)	)	Z
+	+	Z
Pr	pr	Agpnsny
+2	+2	Ncnsn
Po	po	Sl
+	a	Ncfsl
Pr	pr	Agpfsly
+1	+a	Ncfsl
+	+	Z
Pk	Pk	I
Po	po	Sa
(	(	Z
S	sa	X
)	)	Z
+	+	Z
Pr	Pr	Y
+2	+2	Mdm
Po	po	Sa
(	(	Z
S	sa	X
)	)	Z
+	+	Z
Pr	Pr	Xf
+1	+1	Xf
+	+	Z
Pk	Pk	I
/	/	Z
Po	po	Sl
+	i	Agpfsly
Pr	pa	Ncfsl
+2	+i	Agpnsny
Po	po	Sl
+	a	Ncfsl
(	(	Z
S	sa	X
)	)	Z
Pr	Pr	Y
+1	+1	Mdc
+	+	Z
Pk	Pk	I
/	/	Z
Po	po	Sl
+	a	Ncfsl
(	(	Z
S	sa	X
)	)	Z
Pr	Pr	Y
+2	+i	Agpnsny
Po	po	Sl
+	a	Ncfsl
(	(	Z
S	sa	X
)	)	Z
Pr	Pr	Y
+2	+i	Agpnsny
Po	po	Sl
+	a	Ncfsl
(	(	Z
S	sa	X
)	)	Z
Pr	Pr	Y
+2	+2	Npmsn
Maks	Maks	Npmsn
.	.	Z
visina	visina	Ncfsn
(	(	Z
m	m	Npfsn
)	)	Z
9,0	9,0	Mdc
9,0	9,0	Mdc
9,0	9,0	Mdc
8,2	8,2	Mdc
9,0	9,0	Mdc
9,0	9,0	Mdc
9,0	9,0	Mdc

Tablica	tablica	Ncfsn
8	8	Mdc
:	:	Z
Prostorni	prostoran	Agpmpny
pokazatelji	pokazatelj	Ncmpn
za	za	Sa
stambene	stambeni	Agpfpay
građevine	građevina	Ncfpa

Članak	članak	Ncmsn
86.	86.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Stambeno-poslovne	stambeno-poslovan	Agpfpay
građevine	građevina	Ncfpa
unutar	unutar	Sg
izgrađenog	izgraditi	Agpmsgy
dijela	dio	Ncmsg
građevinskog	građevinski	Agpnsgy
područja	područje	Ncnsg
naselja	naselje	Ncnsg
prema	prema	Sl
načinu	način	Ncmsl
i	i	Cc
obliku	oblik	Ncmsl
gradnje	gradnja	Ncfsg
mogu	moći	Vmr3p
biti	biti	Van
:	:	Z
slobodnostojeće	slobodnostojeće	Agpmpny
(	(	Z
otvoreni	otvoren	Agpmsny
tip	tip	Ncmsn
gradnje	gradnja	Ncfsg
)	)	Z
,	,	Z
dvojne	dvojni	Agpfpny
(	(	Z
poluotvoreni	poluotvoren	Agpmsny
tip	tip	Ncmsn
gradnje	gradnja	Ncfsg
)	)	Z
,	,	Z
a	a	Cc
u	u	Sl
neizgrađenom	neizgrađen	Agpnsly
djelu	djelo	Ncnsl
građevinskog	građevinski	Agpnsgy
područja	područje	Ncnsg
naselja	naselje	Ncnsg
mogu	moći	Vmr3p
se	sebe	Px--sa
graditi	graditi	Vmn
samo	samo	Rgp
kao	kao	Cs
slobodnostojeće	slobodnostojeći	Vmr2p
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
gradnju	gradnja	Ncfsa
stambeno-poslovnih	stambeno-poslovan	Agpfpgy
građevina	građevina	Ncfpg
unutar	unutar	Sg
građevinskog	građevinski	Agpnsgy
područja	područje	Ncnsg
