Norinska	Norinska	Npfsn
–	–	Z
Metković	Metković	Npmsn
(	(	Z
D9	D9	X
)	)	Z
ukupne	ukupan	Agpfsgy
duljine	duljina	Ncfsg
89,5	89,5	Mdc
km	km	Y
.	.	Z

Državna	državni	Agpfsny
cesta	cesta	Ncfsn
D62	D62	Npmsn
prolazi	prolaziti	Vmr3s
sjevernom	sjeverni	Agpfsiy
granicom	granica	Ncfsi
sve	sav	Agpnsay
do	do	Sg
zaseoka	zaselak	Ncmsg
Mucići	Mucići	Npnsn
,	,	Z
ima	imati	Vmr3s
dva	dva	Mlc
prometna	prometan	Agpmsgn
traka	trak	Ncmsg
širine	širina	Ncfsg
3,5	3,5	Mdc
m	m	Y

–	i	Agpfsny
Državna	državni	Agpfsny
cesta	cesta	Ncfsn
D76	D76	Npmsn
:	:	Z
Baško	baški	Agpnsny
Polje	polje	Ncnsn
(	(	Z
D8	D8	X
)	)	Z
–	–	Z
Zagvozd	Zagvozd	Npmsn
(	(	Z
D62	D62	X
)	)	Z
–	–	Z
Grubine	Grubina	Npfsg
(	(	Z
D60	D60	X
)	)	Z
–	–	Z
Imotski	imotski	Agpmsny
–	–	Z
G.	G.	Y
P.	P.	Y
Vinjani	vinjan	Agpmsny
Gornji	gornji	Agpmsny
(	(	Z
gr	gr	Ncmsn
.	.	Z

BiH	BiH	Npfsn
)	)	Z
.	.	Z

Ukupna	ukupan	Agpfsny
duljina	duljina	Ncfsn
ceste	cesta	Ncfsg
je	biti	Var3s
28,3	28,3	Mdc
km	km	Y
,	,	Z
a	a	Cc
dijelom	dio	Ncmsi
prolazi	prolaziti	Vmr3s
kroz	kroz	Sa
Park	park	Ncmsan

–	–	Agpmsny
Tunel	tunel	Ncmsn
Sv.	Sv.	Y
Ilija	Ilija	Npfsn
Biokovo	Biokovo	Npfsn
povezuje	povezivati	Vmr3s
naselja	naselje	Ncnpa
Bast	Bast	Npmsn
u	u	Sl
Općini	općina	Ncfsl
Baška	baški	Agpfsny
Voda	voda	Ncfsn
i	i	Cc
Rastovac	Rastovac	Npmsn
u	u	Sl
Općini	općina	Ncfsl
Zagvozd	Zagvozd	Npmsn
,	,	Z
a	a	Cc
nalazi	nalaziti	Vmr3s
se	sebe	Px--sa
na	na	Sl
trasi	trasa	Ncfsl
državne	državni	Agpfsgy
ceste	cesta	Ncfsg
D76	D76	Npmsn
.	.	Z

Tunel	tunel	Ncmsn
je	biti	Var3s
dugačak	dugačak	Agpmsnn
4249	4249	Mdc
m	m	Y
,	,	Z
ima	imati	Vmr3s
kolnik	kolnik	Ncmsan
širine	širina	Ncfsg
7,7	7,7	Mdc
m	m	Y
,	,	Z
kojim	koji	Pi-msi
se	sebe	Px--sa
promet	promet	Ncmsn
odvija	odvijati	Vmr3s
dvosmjerno	dvosmjerno	Rgp
i	i	Cc
servisnu	servisni	Agpfsay
cijev	cijev	Ncfsa
sa	sa	Sg
zapadne	zapadni	Agpfsgy
strane	strana	Ncfsg
dugu	duga	Ncfsa
4255	4255	Mdc
m	m	Y
i	i	Cc
širine	širina	Ncfsg
3,0	3,0	Mdc
m.	m.	Y
Tunel	tunel	Ncmsn
prolazi	prolaziti	Vmr3s
masivom	masiv	Ncmsi
Biokova	biokov	Aspmsgn
neposredno	neposredno	Rgp
ispod	ispod	Sg
jednog	jedan	Mlcmsg
od	od	Sg
najviših	visok	Agsmpgy
vrhova	vrh	Ncmpg
planine	planina	Ncfsg
Sv.	Sv.	Y
Ilija	Ilija	Npfsn
1640	1640	Mdc
m	m	Y
/	/	Z
nm	nm	Y
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Postojeći	postojeći	Agpmpny
koridori	koridor	Ncmpn
cestovne	cestovan	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
državnog	državni	Agpmsgy
značaja	značaj	Ncmsg
zadržavaju	zadržavati	Vmr3p
se	sebe	Px--sa
u	u	Sl
prostoru	prostor	Ncmsl
uz	uz	Sa
potrebnu	potreban	Agpfsay
obnovu	obnova	Ncfsa
i	i	Cc
rekonstrukciju	rekonstrukcija	Ncfsa
postojećih	postojeći	Agpfpgy
cesta	cesta	Ncfpg
.	.	Z

Kod	kod	Sg
rekonstrukcije	rekonstrukcija	Ncfsg
državnih	državni	Agpfpgy
cesta	cesta	Ncfpg
,	,	Z
manje	mali	Agcfsgy
korekcije	korekcija	Ncfsg
trase	trasa	Ncfsg
,	,	Z
uzdužnih	uzdužan	Agpfpgy
i	i	Cc
poprečnih	poprečan	Agpmpgy
profila	profil	Ncmpg
ceste	cesta	Ncfsg
neće	htjeti	Var3s
se	sebe	Px--sa
smatrati	smatrati	Vmn
izmjenom	izmjena	Ncfsi
Plana	plan	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Prometni	prometan	Agpmsny
pravac	pravac	Ncmsn
u	u	Sl
istraživanju	istraživanje	Ncnsl
,	,	Z
Čvor	čvor	Ncmsn
Rašćane	Rašćana	Npfsg
na	na	Sl
autocesti	autocesta	Ncfsl
A1	A1	Xf
–	–	Z
Gornje	gornji	Agpfpny
Igrane	igrani	Agpfpny
–	–	Z
Makarska	makarski	Agpfsny
je	biti	Var3s
alternativni	alternativan	Agpmsny
koridor	koridor	Ncmsn
koji	koji	Pi-msn
dijelom	dio	Ncmsi
prolazi	prolaziti	Vmr3s
kroz	kroz	Sa
Park	park	Ncmsan
.	.	Z

Članak	članak	Ncmsn
25.	25.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Postojeći	postojeći	Agpmpny
koridori	koridor	Ncmpn
cestovne	cestovan	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
županijskog	županijski	Agpmsgy
i	i	Cc
lokalnog	lokalan	Agpmsgy
značaja	značaj	Ncmsg
zadržavaju	zadržavati	Vmr3p
se	sebe	Px--sa
uz	uz	Sa
potrebnu	potreban	Agpfsay
obnovu	obnova	Ncfsa
i	i	Cc
rekonstrukciju	rekonstrukcija	Ncfsa
postojećih	postojeći	Agpmpgy
cestovnih	cestovan	Agpmpgy
pravaca	pravac	Ncmpg
,	,	Z
i	i	Cc
to	to	Qo
:	:	Z

–	i	Agpfsny
županijska	županijski	Agpfsny
cesta	cesta	Ncfsn
ŽC6199	ŽC6199	Mds
:	:	Z
Gr	Gr	Y
.	.	Z

BiH	BiH	Npfsn
–	–	Z
Slivno	slivni	Agpnsny
–	–	Z
Rašćani	rašćan	Agpmsny
Gornji	gornji	Agpmsny
–	–	Agpmsny
Rašćani	rašćan	Agpmsny
Donji	donji	Agpmsny
–	–	Z
Gornje	gornji	Agpfpny
Igrane	igrati	Appfpny
(	(	Z
D512	d51a	Ncfpn
)	)	Z
ukupne	ukupan	Agpfsgy
duljine	duljina	Ncfsg
30,1	30,1	Mdc
km	km	Y
koja	koji	Pi-fsn
ima	imati	Vmr3s
dva	dva	Mlc
prometna	prometan	Agpmsgn
traka	trak	Ncmsg
širine	širina	Ncfsg
