razlozi	razlog	Ncmpn
odstupanja	odstupanje	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
internim	interni	Agpmply
aktima	akt	Ncmpl
propisati	propisati	Vmn
proceduru	procedura	Ncfsa
izvještavanja	izvještavanje	Ncnsg
uprave	uprava	Ncfsg
i	i	Cc
višeg	visok	Agcnsgy
rukovodstva	rukovodstvo	Ncnsg
o	o	Sl
svim	sav	Agpfply
značajnim	značajan	Agpfply
transakcijama	transakcija	Ncfpl
koje	koji	Pi-fpn
nisu	biti	Var3p
dogovorene	dogovoriti	Appfpny
prema	prema	Sl
tržišnim	tržišni	Agpmply
uvjetima	uvjet	Ncmpl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
osigurati	osigurati	Vmn
da	da	Cs
se	sebe	Px--sa
trgovanje	trgovanje	Ncnsn
obavlja	obavljati	Vmr3s
samo	samo	Rgp
unutar	unutar	Sg
njezinih	njezin	Ps3fpg
poslovnih	poslovan	Agpfpgy
prostorija	prostorija	Ncfpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
internim	interni	Agpmsiy
aktom	akt	Ncmsi
definirati	definirati	Vmn
radnike	radnik	Ncmpa
ovlaštene	ovlastiti	Appmpay
za	za	Sa
ugovaranje	ugovaranje	Ncnsa
transakcija	transakcija	Ncfpg
,	,	Z
vrstu	vrsta	Ncfsa
i	i	Cc
veličinu	veličina	Ncfsa
transakcija	transakcija	Ncfpg
koje	koji	Pi-fpn
pojedini	pojedini	Agpmsny
radnik	radnik	Ncmsn
može	moći	Vmr3s
ugovarati	ugovarati	Vmn
,	,	Z
načine	način	Ncmpa
ugovaranja	ugovaranje	Ncnsg
transakcija	transakcija	Ncfpg
te	te	Cc
sustav	sustav	Ncmsn
izvještavanja	izvještavanje	Ncnsg
o	o	Sl
ugovorenim	ugovoriti	Agpfply
transakcijama	transakcija	Ncfpl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
transakcije	transakcija	Ncfpn
ugovaraju	ugovarati	Vmr3p
telefonom	telefon	Ncmsi
,	,	Z
kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
osigurati	osigurati	Vmn
snimanje	snimanje	Ncnsa
svih	sav	Agpmpgy
telefonskih	telefonski	Agpmpgy
razgovora	razgovor	Ncmpg
radnika	radnik	Ncmpg
ovlaštenih	ovlašten	Agpmpgy
za	za	Sa
ugovaranje	ugovaranje	Ncnsa
transakcija	transakcija	Ncfpg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
osigurati	osigurati	Vmn
da	da	Cs
za	za	Sa
svaku	svaki	Ncfsa
ugovorenu	ugovoriti	Agpfsay
transakciju	transakcija	Ncfsa
postoji	postojati	Vmr3s
pismena	pismen	Agpfsny
dokumentacija	dokumentacija	Ncfsn
koja	koji	Pi-fsn
sadržava	sadržavati	Vmr3s
sve	sav	Agpmpay
bitne	bitan	Agpmpay
elemente	element	Ncmpa
i	i	Cc
druge	drugi	Mlofpa
relevantne	relevantan	Agpfpay
informacije	informacija	Ncfpa
o	o	Sl
ugovorenoj	ugovoriti	Agpfsly
transakciji	transakcija	Ncfsl
.	.	Z

Potvrda	potvrda	Ncfsn
o	o	Sl
ugovorenoj	ugovoriti	Agpfsly
transakciji	transakcija	Ncfsl
i	i	Cc
pripadajuća	pripadajući	Agpfsny
dokumentacija	dokumentacija	Ncfsn
u	u	Sa
što	što	Pi3n-a
kraćem	kratak	Sl
razdoblju	razdoblje	Ncnsl
trebaju	trebati	Vmr3p
se	sebe	Px--sa
proslijediti	proslijediti	Vmn
funkciji	funkcija	Ncfsd
pozadinskih	pozadinski	Agpmpgy
poslova	posao	Ncmpg
riznice	riznica	Ncfsg
.	.	Z

Transakcije	transakcija	Ncfpn
zaključene	zaključiti	Appfpny
nakon	nakon	Sg
kraja	kraj	Ncmsg
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
funkcije	funkcija	Ncfsg
pozadinskih	pozadinski	Agpmpgy
poslova	posao	Ncmpg
riznice	riznica	Ncfsg
moraju	morati	Vmr3p
se	sebe	Px--sa
posebno	posebno	Rgp
označiti	označiti	Vmn
i	i	Cc
uključiti	uključiti	Vmn
u	u	Sa
dnevnu	dnevni	Agpfsay
poziciju	pozicija	Ncfsa
trgovanja	trgovanje	Ncnsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
osigurati	osigurati	Vmn
da	da	Cs
radnik	radnik	Ncmsn
ovlašten	ovlastiti	Appmsnn
za	za	Sa
ugovaranje	ugovaranje	Ncnsa
transakcija	transakcija	Ncfpg
unosi	unositi	Vmr3s
podatke	podatak	Ncmpa
o	o	Sl
transakciji	transakcija	Ncfsl
u	u	Sa
informacijski	informacijski	Agpmsayn
sustav	sustav	Ncmsan
pod	pod	Si
svojom	svoj	Px-fsi
vlastitom	vlastit	Agpfsiy
identifikacijskom	identifikacijski	Agpfsiy
oznakom	oznaka	Ncfsi
.	.	Z

Vrijeme	vrijeme	Ncnsn
unosa	unos	Ncmsg
podataka	podatak	Ncmpg
i	i	Cc
identifikacijska	identifikacijski	Agpfsny
oznaka	oznaka	Ncfsn
radnika	radnik	Ncmpg
moraju	morati	Vmr3p
biti	biti	Van
automatski	automatski	Rgp
generirani	generirati	Appmpny
.	.	Z

Evidentiranje	evidentiranje	Ncnsn
i	i	Cc
kontrola	kontrola	Ncfsn
transakcija	transakcija	Ncfpg

Članak	članak	Ncmsn
39.	39.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
osigurati	osigurati	Vmn
da	da	Cs
svaka	svaki	Pi-fsn
ugovorena	ugovoriti	Appfsny
transakcija	transakcija	Ncfsn
bude	biti	Var3s
evidentirana	evidentirati	Appfsny
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
i	i	Cc
da	da	Cs
bez	bez	Sg
odgode	odgoda	Ncfsg
bude	biti	Var3s
uključena	uključen	Agpfsny
u	u	Sa
interne	interni	Agpmpay
izvještaje	izvještaj	Ncmpa
o	o	Sl
ugovorenim	ugovoriti	Agpfply
transakcijama	transakcija	Ncfpl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
provjeriti	provjeriti	Vmn
da	da	Cs
su	biti	Var3p
potvrde	potvrda	Ncfpn
o	o	Sl
ugovorenim	ugovoriti	Agpfply
transakcijama	transakcija	Ncfpl
zaprimljene	zaprimiti	Appfpny
od	od	Sg
druge	drugi	Mlofsg
ugovorne	ugovoran	Agpfsgy
strane	strana	Ncfsg
pravodobne	pravodoban	Agpfsgy
i	i	Cc
cjelovite	cjelovit	Agpfpny
.	.	Z

Zaprimanje	zaprimanje	Ncnsn
potvrda	potvrda	Ncfpg
o	o	Sl
ugovorenim	ugovoriti	Agpfply
transakcijama	transakcija	Ncfpl
od	od	Sg
druge	drugi	Mlofsg
ugovorne	ugovoran	Agpfsgy
strane	strana	Ncfsg
trebaju	trebati	Vmr3p
biti	biti	Van
u	u	Sl
djelokrugu	djelokrug	Ncmsl
funkcije	funkcija	Ncfsg
pozadinskih	pozadinski	Agpmpgy
poslova	posao	Ncmpg
riznice	riznica	Ncfsg
.	.	Z

Kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
dužna	dužan	Agpfsny
