vezi	veza	Ncfsl
s	sa	Si
radom	rad	Ncmsi
muzejskog	muzejski	Agpnsgy
vijeća	vijeće	Ncnsg
uređuju	uređivati	Vmr3p
se	sebe	Px--sa
aktom	akt	Ncmsi
o	o	Sl
osnivanju	osnivanje	Ncnsl
i	i	Cc
statutom	statut	Ncmsi
javnog	javan	Agpmsgy
muzeja	muzej	Ncmsg
i	i	Cc
galerije	galerija	Ncfsg
.	.	Z

Članak	članak	Ncmsn
25.	25.	Mdo

Muzejsko	muzejski	Agpnsny
vijeće	vijeće	Ncnsn
:	:	Z

–	–	Z
donosi	donositi	Vmr3s
programe	program	Ncmpa
rada	rad	Ncmsg
i	i	Cc
razvoja	razvoj	Ncmsg
javnog	javan	Agpmsgy
muzeja	muzej	Ncmsg
i	i	Cc
galerije	galerija	Ncfsg
na	na	Sa
prijedlog	prijedlog	Ncmsan
ravnatelja	ravnatelj	Ncmsg
i	i	Cc
uz	uz	Sa
pribavljeno	pribaviti	Agpnsay
mišljenje	mišljenje	Ncnsa
stručnog	stručan	Agpnsgy
vijeća	vijeće	Ncnsg
,	,	Z
a	a	Cc
ako	ako	Cs
ono	onaj	Pd-nsn
nije	biti	Var3s
osnovano	osnovati	Appnsny
,	,	Z
uz	uz	Sa
mišljenje	mišljenje	Ncnsa
stručnog	stručan	Agpnsgy
muzejskog	muzejski	Agpnsgy
osoblja	osoblje	Ncnsg
,	,	Z
te	te	Cc
nadzire	nadzirati	Vmr3s
njihovo	njihov	Ps3nsn
izvršavanje	izvršavanje	Ncnsn

–	–	Z
usvaja	usvajati	Vmr3s
financijski	financijski	Agpmsayn
plan	plan	Ncmsan
i	i	Cc
godišnji	godišnji	Agpmsayn
obračun	obračun	Ncmsan
te	te	Cc
izvješće	izvješće	Ncnsn
o	o	Sl
izvršenju	izvršenje	Ncnsl
programa	program	Ncmsg
rada	rad	Ncmsg
i	i	Cc
razvoja	razvoj	Ncmsg
javnog	javan	Agpmsgy
muzeja	muzej	Ncmsg
i	i	Cc
galerije	galerija	Ncfsg

–	–	Z
donosi	donositi	Vmr3s
statut	statut	Ncmsan
uz	uz	Sa
prethodnu	prethodan	Agpfsay
suglasnost	suglasnost	Ncfsa
osnivača	osnivač	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
osnivača	osnivač	Ncmpg
s	sa	Si
većinskim	većinski	Agpmsiy
udjelom	udjel	Ncmsi

–	–	Z
donosi	donositi	Vmr3s
druge	drugi	Mlompa
opće	opći	Agpmpay
akte	akt	Ncmpa
javnog	javan	Agpmsgy
muzeja	muzej	Ncmsg
i	i	Cc
galerije	galerija	Ncfsg
sukladno	sukladan	Agpnsny
statutu	statut	Ncmsl

–	–	Z
obavlja	obavljati	Vmr3s
druge	drugi	Agpmpay
poslove	posao	Ncmpa
određene	određen	Agpmpay
zakonom	zakon	Ncmsi
,	,	Z
aktom	akt	Ncmsi
o	o	Sl
osnivanju	osnivanje	Ncnsl
i	i	Cc
statutom	statut	Ncmsi
.	.	Z

Članak	članak	Ncmsn
26.	26.	Mdo

(	(	Z
1	1	Mdc
