IV	IV	Mrc
.	.	Z
skupine	skupina	Ncfpn
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
na	na	Sa
medicinsku	medicinski	Agpfsay
,	,	Z
odnosno	odnosno	Rgp
fizikalnu	fizikalan	Agpfsay
rehabilitaciju	rehabilitacija	Ncfsa
ako	ako	Cs
im	oni	Pp3-pd
je	biti	Var3s
prijeko	prijeko	Rgp
potrebna	potreban	Agpfsny
u	u	Sl
svezi	sveza	Ncfsl
s	sa	Si
oštećenjem	oštećenje	Ncnsi
organizma	organizam	Ncmsg
koje	koji	Pi-fpn
su	biti	Var3p
zadobile	zadobiti	Vmp-pf
obavljajući	obavljati	Rr
poslove	posao	Ncmpa
dopunskog	dopunski	Agpmsgy
općeg	opći	Agpmsgy
izvida	izvid	Ncmsg
,	,	Z
tehničkog	tehnički	Agpmsgy
izvida	izvid	Ncmsg
,	,	Z
razminiranja	razminiranje	Ncnsg
,	,	Z
kontrole	kontrola	Ncfsg
kvalitete	kvaliteta	Ncfsg
,	,	Z
završne	završan	Agpfpay
kontrole	kontrola	Ncfpa
kvalitete	kvaliteta	Ncfsg
i	i	Cc
inspekcijskog	inspekcijski	Agpmsgy
nadzora	nadzor	Ncmsg
.	.	Z

Članak	članak	Ncmsn
117.	117.	Mdo

Osobe	osoba	Ncfpn
iz	iz	Sg
članka	članak	Ncmsg
107.	107.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
kod	kod	Sg
kojih	koji	Pi-mpg
,	,	Z
zbog	zbog	Sg
ozljede	ozljeda	Ncfsg
na	na	Sl
radu	rad	Ncmsl
ili	ili	Cc
profesionalne	profesionalan	Agpfsgy
bolesti	bolest	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
neposredna	neposredan	Agpfsny
posljedica	posljedica	Ncfsn
obavljanja	obavljanje	Ncnsg
poslova	posao	Ncmpg
dopunskog	dopunski	Agpmsgy
općeg	opći	Agpmsgy
izvida	izvid	Ncmsg
,	,	Z
tehničkog	tehnički	Agpmsgy
izvida	izvid	Ncmsg
,	,	Z
