izvedbene	izvedben	Agpmpay
planove	plan	Ncmpa
tehničkog	tehnički	Agpmsgy
izvida	izvid	Ncmsg
za	za	Sa
sljedeće	sljedeći	Agpnsay
jednogodišnje	jednogodišnji	Agpnsay
razdoblje	razdoblje	Ncnsa

–		Agpnply
područjima	područje	Ncnpl
i	i	Cc
/	/	Z
ili	ili	Cc
građevinama	građevina	Ncfpd
za	za	Sa
koje	koji	Pi-mpa
HCR	HCR	Npmsn
planira	planirati	Vmr3s
obaviti	obaviti	Vmn
opći	opći	Agpmsayn
izvid	izvid	Ncmsan
–	–	Z
analizu	analiza	Ncfsa
MSP-a	MSP	Npmsg
i	i	Cc
dopunski	dopunski	Agpmsny
opći	opći	Agpmsny
izvid	izvid	Ncmsn
za	za	Sa
sljedeće	sljedeći	Agpnsay
jednogodišnje	jednogodišnji	Agpnsay
razdoblje	razdoblje	Ncnsa

–	–	Sl
nazivu	naziv	Ncmsl
,	,	Z
veličini	veličina	Ncfsl
(	(	Z
površini	površina	Ncfsl
)	)	Z
,	,	Z
vrsti	vrsta	Ncfsl
poslova	posao	Ncmpg
(	(	Z
razminiranje	razminiranje	Ncnsn
,	,	Z
tehnički	tehnički	Agpmsayn
izvid	izvid	Ncmsan
)	)	Z
i	i	Cc
njihovoj	njihov	Ps3fsl
procijenjenoj	procijeniti	Agpfsly
vrijednosti	vrijednost	Ncfsl

–	i	Agpnsly
ukupnom	ukupan	Agpnsly
stanju	stanje	Ncnsl
MSP-a	MSP	Npmsg

–		Agpmpiy
rokovima	rok	Ncmpi
u	u	Sl
kojima	koji	Pi-mpl
će	htjeti	Var3s
se	sebe	Px--sa
izvršiti	izvršiti	Vmn
Plan	plan	Ncmsn

–	–	Sl
redoslijedu	redoslijed	Ncmsl
razminiranja	razminiranje	Ncnsg
i	i	Cc
drugih	drugi	Mlompg
poslova	posao	Ncmpg
protuminskog	protuminski	Agpnsgy
djelovanja	djelovanje	Ncnsg
u	u	Sl
tromjesečnom	tromjesečan	Agpmsly
,	,	Z
polugodišnjem	polugodišnji	Agpmsly
i	i	Cc
godišnjem	godišnji	Agpnsly
razdoblju	razdoblje	Ncnsl

–	–	Sl
potrebnim	potreban	Agpnply
financijskim	financijski	Agpnply
sredstvima	sredstvo	Ncnpl
za	za	Sa
provedbu	provedba	Ncfsa
Plana	plan	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
