voditelja	voditelj	Ncmpg
radilišta	radilište	Ncnsg
,	,	Z
najmanje	malo	Rgs
dva	dva	Mlc
pirotehničara	pirotehničar	Ncmsg
i	i	Cc
medicinskog	medicinski	Agpmsgy
tima	tim	Ncmsg
.	.	Z

Članak	članak	Ncmsn
16.	16.	Mdo

Ministarstvo	ministarstvo	Ncnsn
po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
pribavlja	pribavljati	Vmr3s
dokaze	dokaz	Ncmpa
o	o	Sl
ispunjenju	ispunjenje	Ncnsl
uvjeta	uvjet	Ncmpg
da	da	Cs
:	:	Z

–	–	Z
odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
u	u	Sl
pravnoj	pravni	Agpfsly
osobi	osoba	Ncfsl
,	,	Z
odnosno	odnosno	Rgp
obrtnik	obrtnik	Ncmsn
nije	biti	Var3s
pravomoćno	pravomoćan	Agpnsny
osuđivan	osuđivati	Appmsnn
ili	ili	Cc
se	sebe	Px--sa
protiv	protiv	Sg
njega	on	Pp3msg
ne	ne	Qz
vodi	voditi	Vmr3s
kazneni	kazneni	Agpmsayn
postupak	postupak	Ncmsan
za	za	Sa
kazneno	kazneni	Agpnsay
djelo	djelo	Ncnsa
za	za	Sa
koje	koji	Pi-nsa
se	sebe	Px--sa
postupak	postupak	Ncmsn
pokreće	pokretati	Vmr3s
po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
,	,	Z
osim	osim	Cs
za	za	Sa
kazneno	kazneni	Agpnsay
djelo	djelo	Ncnsa
izazivanja	izazivanje	Ncnsg
prometne	prometan	Agpfsgy
nesreće	nesreća	Ncfsg
iz	iz	Sg
nehaja	nehaj	Ncmsg
,	,	Z
koja	koji	Pi-fsn
za	za	Sa
posljedicu	posljedica	Ncfsa
ima	imati	Vmr3s
tjelesnu	tjelesni	Agpfsay
ozljedu	ozljeda	Ncfsa
ili	ili	Cc
materijalnu	materijalan	Agpfsay
