počinje	počinjati	Vmr3s
teći	teći	Vmn
od	od	Sg
27.	27.	Mdo
studenoga	studeni	Ncmsg
2015.	2015.	Mdo

(	(	Z
8	8	Mdc
)	)	Z
Stavci	stavak	Ncmpn
5.	5.	Mdo
,	,	Z
6.	6.	Mdo
i	i	Cc
7.	7.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
na	na	Sa
izdavatelja	izdavatelj	Ncmsay
koji	koji	Pi-msn
je	biti	Var3s
izabrao	izabrati	Vmp-sm
matičnu	matičan	Agpfsay
državu	država	Ncfsa
članicu	članica	Ncfsa
sukladno	sukladno	Rgp
stavku	stavka	Ncfsa
1.	1.	Mdo
točki	točka	Ncfsl
1.	1.	Mdo
podtočki	podtočka	Ncfsl
2.	2.	Mdo
ili	ili	Cc
stavku	stavak	Ncmsl
1.	1.	Mdo
točkama	točka	Ncfpl
2.	2.	Mdo
ili	ili	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
koji	koji	Pi-msn
je	biti	Var3s
o	o	Sl
njezinu	njezin	Ncmsl
izboru	izbor	Ncmsl
obavijestio	obavijestiti	Vmp-sm
nadležna	nadležan	Agpnpay
tijela	tijelo	Ncnpa
matične	matičan	Agpfsgy
države	država	Ncfsg
članice	članica	Ncfsg
prije	prije	Sg
27.	27.	Mdo
studenoga	studeni	Ncmsg
2015.	2015.	Mdo
,	,	Z
osim	osim	Cs
ako	ako	Cs
nakon	nakon	Sg
27.	27.	Mdo
studenoga	studeni	Ncmsg
2015.	2015.	Mdo
ne	ne	Ncfsg
izabere	izabrati	Vmr3s
drugu	drugi	Mlofsa
matičnu	matičan	Agpfsay
državu	država	Ncfsa
članicu	članica	Ncfsa
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
5.	5.	Mdo

U	u	Sl
članku	članak	Ncmsl
403.	403.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
pet	pet	Mlc
godina	godina	Ncfpg
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
deset	deset	Mlc
godina	godina	Ncfpg
«	«	Z
.	.	Z

Iza	iza	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
stavak	stavak	Ncmsn
5.	5.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
5	5	Mdc
)	)	Z
Godišnji	godišnji	Agpmsny
izvještaj	izvještaj	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
izrađuje	izrađivati	Vmr3s
se	sebe	Px--sa
sukladno	sukladno	Rgp
regulatornim	regulatoran	Agpmpiy
tehničkim	tehnički	Agpmpiy
standardima	standard	Ncmpi
koje	koji	Pi-mpa
izrađuje	izrađivati	Vmr3s
ESMA	ESMA	Npfsn
i	i	Cc
usvaja	usvajati	Vmr3s
Europska	europski	Agpfsny
komisija	komisija	Ncfsn
i	i	Cc
kojima	koji	Pi-fpl
se	sebe	Px--sa
određuje	određivati	Vmr3s
jedinstveni	jedinstven	Agpmsny
elektronički	elektronički	Agpmsny
format	format	Ncmsn
za	za	Sa
izvješćivanje	izvješćivanje	Ncnsa
,	,	Z
počevši	početi	Rr
od	od	Sg
1.	1.	Mdo
siječnja	siječanj	Ncmsg
2020.	2020.	Mdo
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
su	biti	Var3p
regulatorni	regulatoran	Agpmpny
tehnički	tehnički	Agpmpny
standardi	standard	Ncmpn
usvojeni	usvojiti	Appmpny
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
6.	6.	Mdo

U	u	Sl
članku	članak	Ncmsl
404.	404.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
riječ	riječ	Ncfsn
:	:	Z
»	»	Z
izvještajima	izvještaj	Ncmpi
«	«	Z
zamjenjuje	zamjenjivati	Vmr3s
se	sebe	Px--sa
riječju	riječ	Ncfsi
:	:	Z
»	»	Z
izvještaji	izvještaj	Ncmpn
«	«	Z
,	,	Z
a	a	Cc
riječi	riječ	Ncfpa
:	:	Z
»	»	Z
smatraju	smatrati	Vmr3p
se	sebe	Px--sa
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječju	riječ	Ncfsi
:	:	Z
»	»	Z
jesu	biti	Var3p
«	«	Z
.	.	Z

Članak	članak	Ncmsn
7.	7.	Mdo

Članak	članak	Ncmsn
406.	406.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Izdavatelj	izdavatelj	Ncmsn
vrijednosnih	vrijednosan	Agpmpgy
papira	papir	Ncmpg
koji	koji	Pi-msn
ima	imati	Vmr3s
sjedište	sjedište	Ncnsa
izvan	izvan	Sg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
državi	država	Ncfsl
članici	članica	Ncfsl
obvezan	obvezati	Appmsnn
je	biti	Var3s
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
403.	403.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
izrađivati	izrađivati	Vmn
prema	prema	Sl
sljedećim	sljedeći	Agpmply
zahtjevima	zahtjev	Ncmpl
:	:	Z

1.	1.	Mdo
kada	kada	Cs
je	biti	Var3s
izdavatelj	izdavatelj	Ncmsn
prema	prema	Sl
Direktivi	direktiva	Ncfsl
2013/34	2013/34	Mdc
/	/	Z
EU	E	Npmsd
obvezan	obvezan	Agpmsnn
izrađivati	izrađivati	Vmn
konsolidirane	konsolidirati	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
,	,	Z
njegovi	njegov	Ps3mpn
revidirani	revidirati	Agpmpny
financijski	financijski	Agpmpny
izvještaji	izvještaj	Ncmpn
obuhvaćaju	obuhvaćati	Vmr3p
konsolidirane	konsolidirati	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
izrađene	izraditi	Appfpny
sukladno	sukladno	Rgp
Uredbi	uredba	Ncfsl
(	(	Z
EZ-a	EZ	Npmsg
)	)	Z
broj	broj	Ncmsan
1606/2002	1606/2002	Mds
i	i	Cc
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
matičnog	matičan	Agpnsgy
društva	društvo	Ncnsg
izrađene	izraditi	Appfpny
sukladno	sukladno	Rgp
pravu	pravo	Ncnsd
države	država	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
