usmeni	usmen	Agpmsny
dio	dio	Ncmsn
ispita	ispitati	Vmr3s
sukladno	sukladno	Rgp
sljedećim	sljedeći	Agpmpiy
pravnim	pravni	Agpmpiy
izvorima	izvor	Ncmpi
:	:	Z

1.	1.	Mdo
za	za	Sa
radno	radni	Agpnsay
mjesto	mjesto	Ncnsa
tržišnog	tržišni	Agpmsgy
inspektora	inspektor	Ncmsg
:	:	Z

1.1.	1.1.	Mdo

Zakon	zakon	Ncmsn
o	o	Sl
zaštiti	zaštita	Ncfsl
potrošača	potrošač	Ncmpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
41/14	41/14	Mds
)	)	Z
;	;	Z

1.2.	1.2.	Mdo

Prekršajni	prekršajni	Agpmsny
zakon	zakon	Ncmsn
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
107/07	107/07	Mdc
,	,	Z
39/13	39/13	Mdc
i	i	Cc
157/13	157/13	Mdc
)	)	Z
;	;	Z

1.3.	1.3.	Mdo

Zakon	zakon	Ncmsn
o	o	Sl
potrošačkom	potrošački	Agpnsly
kreditiranju	kreditiranje	Ncnsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
75/09	75/09	Mds
,	,	Z
112/12	112/12	Mdc
,	,	Z
143/13	143/13	Mdc
i	i	Cc
147/13	147/13	Mdc
)	)	Z
;	;	Z

1.4.	1.4.	Mdo

Zakon	zakon	Ncmsn
o	o	Sl
vodama	voda	Ncfpl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
153/09	153/09	Mds
,	,	Z
63/11	63/11	Mdc
,	,	Z
130/11	130/11	Mdc
,	,	Z
56/13	56/13	Mdc
i	i	Cc
14/14	14/14	Mdc
)	)	Z
–	–	Z
samo	samo	Rgp
u	u	Sl
dijelu	dio	Ncmsl
obračuna	obračun	Ncmsg
i	i	Cc
naplate	naplata	Ncfsg
vodnih	vodni	Agpfpgy
usluga	usluga	Ncfpg
potrošačima	potrošač	Ncmpd
;	;	Z

1.5.	1.5.	Mdo

Zakon	zakon	Ncmsn
o	o	Sl
održivom	održiv	Agpnsly
gospodarenju	gospodarenje	Ncnsl
otpadom	otpad	Ncmsi
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
94/13	94/13	Mds
)	)	Z
–	–	Z
samo	samo	Rgp
u	u	Sl
dijelu	dio	Ncmsl
obračuna	obračun	Ncmsg
i	i	Cc
naplate	naplata	Ncfsg
javne	javan	Agpfsgy
usluge	usluga	Ncfsg
prikupljanja	prikupljanje	Ncnsg
miješanog	miješati	Agpmsgy
komunalnog	komunalan	Agpmsgy
otpada	otpad	Ncmsg
i	i	Cc
biorazgradivog	biorazgradiv	Agpmsgy
komunalnog	komunalan	Agpmsgy
otpada	otpad	Ncmsg
potrošačima	potrošač	Ncmpd
;	;	Z

1.6.	1.6.	Mdo

Zakon	zakon	Ncmsn
o	o	Sl
energiji	energija	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
120/12	120/12	Mds
i	i	Cc
14/14	14/14	Mds
)	)	Z
;	;	Z

1.7.	1.7.	Mdo

Zakon	zakon	Ncmsn
o	o	Sl
tržištu	tržište	Ncnsl
toplinske	toplinski	Agpfsgy
energije	energija	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
80/13	80/13	Mdc
,	,	Z
14/14	14/14	Mdc
i	i	Cc
102/14	102/14	Mdc
)	)	Z
–	–	Z
samo	samo	Rgp
u	u	Sl
dijelu	dio	Ncmsl
obračuna	obračun	Ncmsg
i	i	Cc
naplate	naplata	Ncfsg
toplinske	toplinski	Agpfsgy
energije	energija	Ncfsg
potrošačima	potrošač	Ncmpd
;	;	Z

1.8.	1.8.	Mdo

Zakon	zakon	Ncmsn
o	o	Sl
tržištu	tržište	Ncnsl
električne	električan	Agpfsgy
energije	energija	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
22/13	22/13	Mds
)	)	Z
–	–	Z
samo	samo	Rgp
u	u	Sl
dijelu	dio	Ncmsl
obračuna	obračun	Ncmsg
i	i	Cc
naplate	naplata	Ncfsg
električne	električan	Agpfsgy
energije	energija	Ncfsg
potrošačima	potrošač	Ncmpi
;	;	Z

1.9.	1.9.	Mdo

Zakon	zakon	Ncmsn
o	o	Sl
tržištu	tržište	Ncnsl
nafte	nafta	Ncfsg
i	i	Cc
naftnih	naftni	Agpmpgy
derivata	derivat	Ncmpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
19/14	19/14	Mds
)	)	Z
–	–	Z
samo	samo	Rgp
u	u	Sl
dijelu	dio	Ncmsl
obračuna	obračun	Ncmsg
i	i	Cc
naplate	naplata	Ncfpa
nafte	nafta	Ncfsg
i	i	Cc
naftnih	naftni	Agpmpgy
derivata	derivat	Ncmpg
potrošačima	potrošač	Ncmpd
;	;	Z

1.10.	1.10.	Mdo

Zakon	zakon	Ncmsn
o	o	Sl
tržištu	tržište	Ncnsl
plina	plin	Ncmsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
28/13	28/13	Mds
i	i	Cc
14/14	14/14	Mdc
)	)	Z
–	–	Z
samo	samo	Rgp
u	u	Sl
dijelu	dio	Ncmsl
obračuna	obračun	Ncmsg
i	i	Cc
naplate	naplata	Ncfsg
plina	plin	Ncmsg
potrošačima	potrošač	Ncmpd
;	;	Z

1.11.	1.11.	Mdo

Zakon	zakon	Ncmsan
o	o	Sl
tehničkim	tehnički	Agpmply
zahtjevima	zahtjev	Ncmpl
za	za	Sa
proizvode	proizvod	Ncmpa
i	i	Cc
