infrastrukturnih	infrastrukturni	Agpmpgy
podsustava	podsustav	Ncmpg
,	,	Z
kao	kao	Cs
i	i	Qo
zračni	zračan	Agpmsayn
prostor	prostor	Ncmsan
iznad	iznad	Sg
pruge	pruga	Ncfsg
u	u	Sl
visini	visina	Ncfsl
od	od	Sg
12	12	Mdc
m	m	Y
,	,	Z
odnosno	odnosno	Rgp
14	14	Mdc
m	m	Y
kod	kod	Sg
dalekovoda	dalekovod	Ncmpg
napona	napon	Ncmpg
većega	velik	Agcnsgy
od	od	Sg
220	220	Mdc
kV	k	Ncmpg
,	,	Z
mjereno	mjeriti	Appnsny
iznad	iznad	Sg
gornjega	gornji	Agpmsgy
ruba	rub	Ncmsg
tračnice	tračnica	Ncfsg
,	,	Z
a	a	Cc
u	u	Sl
prometno-tehnološkom	prometno-tehnološki	Agpmsly
smislu	smisao	Ncmsl
je	biti	Var3s
cjelina	cjelina	Ncfsn
koju	koji	Pi-fsa
čine	činiti	Vmr3p
kolodvori	kolodvor	Ncmpn
,	,	Z
kolodvorske	kolodvorski	Agpfpny
i	i	Cc
ostale	ostali	Agpfpay
službene	služben	Agpfpay
zgrade	zgrada	Ncfpa
u	u	Sl
funkciji	funkcija	Ncfsl
željezničke	željeznički	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
te	te	Cc
otvorena	otvoriti	Appfsny
pruga	pruga	Ncfsn
sa	sa	Si
svim	sav	Agpnpiy
službenim	služben	Agpnply
mjestima	mjesto	Ncnpl
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
»	»	Z
Željezničko-cestovni	željezničko-cestovan	Agpmsny
prijelaz	prijelaz	Ncmsn
«	«	Z
je	biti	Var3s
mjesto	mjesto	Ncnsn
križanja	križanje	Ncnsg
željezničke	željeznički	Agpfsgy
pruge	pruga	Ncfsg
ili	ili	Cc
industrijskoga	industrijski	Agpmsgy
kolosijeka	kolosijek	Ncmsg
i	i	Cc
ceste	cesta	Ncfsg
u	u	Sl
istoj	isti	Agpfsly
razini	razina	Ncfsl
,	,	Z
može	moći	Vmr3s
uključivati	uključivati	Vmn
i	i	Qo
križanje	križanje	Ncnsa
s	sa	Si
pješačkom	pješački	Agpfsiy
i	i	Cc
biciklističkom	biciklistički	Agpfsiy
stazom	staza	Ncfsi
ili	ili	Cc
drugim	drugi	Agpmpiy
putovima	put	Ncmpi
namijenjenim	namijenjen	Agpmpiy
prolasku	prolazak	Ncmsl
ljudi	čovjek	Ncmpg
,	,	Z
životinja	životinja	Ncfsn
,	,	Z
vozila	vozilo	Ncnsg
ili	ili	Cc
strojeva	stroj	Ncmpg
.	.	Z

II	ii	Mrc
.	.	Z

KRIŽANJE	križanje	Ncnsn
ŽELJEZNIČKE	željeznički	Agpfsgy
PRUGE	pruga	Ncfsg
I	i	Cc
CESTE	cesta	Ncfpa
IZVAN	izvan	Sg
RAZINE	razina	Ncfsg

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Križanje	križanje	Ncnsn
željezničke	željeznički	Agpfsgy
pruge	pruga	Ncfsg
i	i	Cc
ceste	cesta	Ncfsg
mora	morati	Vmr3s
biti	biti	Van
izvan	izvan	Sg
razine	razina	Ncfsg
u	u	Sl
sljedećim	sljedeći	Agpmply
slučajevima	slučaj	Ncmpl
