neko	neki	Agpnsay
pravo	pravo	Ncnsa
iz	iz	Sg
radnog	radni	Agpmsgy
odnosa	odnos	Ncmsg
može	moći	Vmr3s
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
15	15	Mdc
dana	dan	Ncmpg
od	od	Sg
dostave	dostava	Ncfsg
odluke	odluka	Ncfsg
kojom	koji	Pi-fsi
je	biti	Var3s
povrijeđeno	povrijediti	Appnsny
njegovo	njegov	Ps3nsn
pravo	pravo	Ncnsn
odnosno	odnosno	Rgp
od	od	Sg
dana	dan	Ncmpg
saznanja	saznanje	Ncnsg
za	za	Sa
povredu	povreda	Ncfsa
prava	pravo	Ncnpg
zahtijevati	zahtijevati	Vmn
od	od	Sg
poslodavca	poslodavac	Ncmsg
ostvarenje	ostvarenje	Ncnsa
tog	taj	Agpnsgy
prava	pravo	Ncnsg
.	.	Z

Pisane	pisan	Agpfpay
odluke	odluka	Ncfpa
o	o	Sl
ostvarivanju	ostvarivanje	Ncnsl
prava	pravo	Ncnsg
i	i	Cc
obveza	obveza	Ncfsn
radnika	radnik	Ncmpg
neposredno	neposredno	Rgp
se	sebe	Px--sa
uručuju	uručivati	Vmr3p
radniku	radnik	Ncmsd
ili	ili	Cc
dostavljaju	dostavljati	Vmr3p
preporučenom	preporučiti	Ncnsa
poštom	pošta	Ncfsi
na	na	Sa
posljednju	posljednji	Agpfsay
adresu	adresa	Ncfsa
koju	koji	Pi-fsa
je	biti	Var3s
radnik	radnik	Ncmsn
prijavio	prijaviti	Vmp-sm
poslodavcu	poslodavac	Ncmsd
.	.	Z

Radnik	radnik	Ncmsn
se	sebe	Px--sa
obvezuje	obvezivati	Vmr3s
u	u	Sl
slučaju	slučaj	Ncmsl
promjene	promjena	Ncfsg
adrese	adresa	Ncfsg
stanovanja	stanovanje	Ncnsg
odmah	odmah	Rgp
o	o	Sl
tome	taj	Pd-nsl
obavijestiti	obavijestiti	Vmn
poslodavca	poslodavac	Ncmsay
.	.	Z

Ukoliko	ukoliko	Cs
se	sebe	Px--sa
pismeno	pismeno	Rgp
poslodavca	poslodavac	Ncmsg
upućeno	uputiti	Appnsny
radniku	radnik	Ncmsd
na	na	Sa
adresu	adresa	Ncfsa
prijavljenu	prijaviti	Appfsay
poslodavcu	poslodavac	Ncfsa
od	od	Sg
strane	strana	Ncfsg
radnika	radnik	Ncmpg
vrati	vratiti	Vmr3s
nedostavljeno	nedostavljeno	Rgp
zbog	zbog	Sg
odbitka	odbitak	Ncmsg
primitka	primitak	Ncmsg
ili	ili	Cc
nepoznate	nepoznat	Agpfsgy
odnosno	odnosno	Rgp
netočno	netočno	Rgp
prijavljene	prijaviti	Agpfpay
adrese	adresa	Ncfpa
,	,	Z
pismeno	pismeno	Rgp
će	htjeti	Var3s
se	sebe	Px--sa
objaviti	objaviti	Vmn
na	na	Sl
oglasnoj	oglasni	Agpfsly
ploči	ploča	Ncfsl
u	u	Sl
prostorijama	prostorija	Ncfpl
Poslodavca	poslodavac	Ncmsg
,	,	Z
a	a	Cc
ugovorne	ugovoran	Agpfpny
stranke	stranka	Ncfpn
su	biti	Var3p
suglasne	suglasan	Agpfpny
da	da	Cs
se	sebe	Px--sa
time	taj	Pd-nsi
smatra	smatrati	Vmr3s
da	da	Cs
je	biti	Var3s
dostava	dostava	Ncfsn
radniku	radnik	Ncmsd
uredno	uredno	Rgp
obavljena	obaviti	Appfsny
.	.	Z

2.	2.	Mdo
Pritužbe	pritužba	Ncfsg
na	na	Sa
odnos	odnos	Ncmsan
prema	prema	Sl
radniku	radnik	Ncmsl

Članak	članak	Ncmsn
71.	71.	Mdo

Neovisno	neovisan	Agpnsny
od	od	Sg
postupka	postupak	Ncmsg
za	za	Sa
zaštitu	zaštita	Ncfsa
prava	pravo	Ncnpg
iz	iz	Sg
članka	članak	Ncmsg
70.	70.	Mdo
ovog	ovaj	Pd-msg
Ugovora	ugovor	Ncmsg
radnik	radnik	Ncmsn
koji	koji	Pi-msn
smatra	smatrati	Vmr3s
da	da	Cs
je	biti	Var3s
prema	prema	Sl
njemu	on	Pp3msl
nepravedno	nepravedno	Rgp
postupljeno	postupiti	Appnsny
od	od	Sg
strane	strana	Ncfsg
nadređenog	nadrediti	Agpmpgy
radnika	radnik	Ncmpg
,	,	Z
suradnika	suradnik	Ncmpg
ili	ili	Cc
uprave	uprava	Ncfsg
društva	društvo	Ncnsg
,	,	Z
može	moći	Vmr3s
se	sebe	Px--sa
na	na	Sa
postupanje	postupanje	Ncnsa
prema	prema	Sl
njemu	on	Pp3msl
žaliti	žaliti	Vmn
nadređenom	nadrediti	Agpmsdy
djelatniku	djelatnik	Ncmsd
ili	ili	Cc
upravi	uprava	Ncfsl
društva	društvo	Ncnsg
,	,	Z
a	a	Cc
može	moći	Vmr3s
se	sebe	Px--sa
obratiti	obratiti	Vmn
za	za	Sa
posredovanje	posredovanje	Ncnsa
i	i	Cc
radničkom	radnički	Agpnsly
vijeću	vijeće	Ncnsl
.	.	Z

3.	3.	Mdo
Zaštita	zaštita	Ncfsn
starijih	star	Agcmpgy
radnika	radnik	Ncmpg

Članak	članak	Ncmsn
72.	72.	Mdo

Radnik	radnik	Ncmsn
kojem	koji	Pi-msd
do	do	Sg
stjecanja	stjecanje	Ncnsg
prava	pravo	Ncnsg
na	na	Sa
starosnu	starosni	Agpfsay
mirovinu	mirovina	Ncfsa
nedostaje	nedostajati	Vmr3s
pet	pet	Mlc
godina	godina	Ncfpg
staža	staž	Ncmpg
ili	ili	Cc
godina	godina	Ncfpg
života	život	Ncmsg
,	,	Z
zadržava	zadržavati	Vmr3s
do	do	Sg
odlaska	odlazak	Ncmsg
u	u	Sa
mirovinu	mirovina	Ncfsa
osnovnu	osnovan	Agpfsay
plaću	plaća	Ncfsa
koju	koji	Pi-fsa
je	biti	Var3s
ostvario	ostvariti	Vmp-sm
ili	ili	Cc
bi	biti	Vaa3s
pod	pod	Si
normalnim	normalan	Agpmpiy
radnim	radni	Agpmpiy
uvjetima	uvjet	Ncmpi
ostvario	ostvariti	Vmp-sm
u	u	Sl
mjesecu	mjesec	Ncmsl
koji	koji	Pi-msn
prethodi	prethoditi	Vmr3s
mjesecu	mjesec	Ncmsd
u	u	Sl
kojem	koji	Pi-msl
su	biti	Var3p
se	sebe	Px--sa
stekle	steći	Vmp-pf
spomenute	spomenuti	Agpfpny
okolnosti	okolnost	Ncfpn
.	.	Z

4.	4.	Mdo
Zaštita	zaštita	Ncfsn
dostojanstva	dostojanstvo	Ncnsg
radnika	radnik	Ncmpg

Članak	članak	Ncmsn
73.	73.	Mdo

Poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
Pravilnikom	pravilnik	Ncmsi
o	o	Sl
radu	rad	Ncmsl
utvrditi	utvrditi	Vmn
postupak	postupak	Ncmsan
i	i	Cc
mjere	mjera	Ncfpn
zaštite	zaštita	Ncfsg
dostojanstva	dostojanstvo	Ncnsg
radnika	radnik	Ncmpg
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
Zakona	zakon	Ncmsg
o	o	Sl
radu	rad	Ncmsl
.	.	Z

5.	5.	Mdo
Mirenje	mirenje	Ncnsn
i	i	Cc
arbitraža	arbitraža	Ncfpg
u	u	Sl
individualnim	individualan	Agpmply
radnim	radni	Agpmply
sporovima	spor	Ncmpl

Članak	članak	Ncmsn
74.	74.	Mdo

Kolektivnim	kolektivan	Agpmply
ugovorima	ugovor	Ncmpl
na	na	Sl
razini	razina	Ncfsl
poslodavca	poslodavac	Ncmsg
sindikati	sindikat	Ncmpn
