palamidare	palamidari	Agpnsny
je	biti	Var3s
68	68	Mdc
milimetara	milimetar	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Maksimalna	maksimalan	Agpfsny
veličina	veličina	Ncfsn
oka	oko	Ncnsg
mrežnog	mrežni	Agpmsgy
tega	teg	Ncmsg
u	u	Sl
saki	saka	Ncfsl
plivarice	plivarica	Ncfsg
palamidare	palamidara	Ncfsg
je	biti	Var3s
79	79	Mdc
milimetara	milimetar	Ncmpg
.	.	Z

Plivarica	plivarica	Ncfsn
ciplarica	ciplarica	Ncfpg

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Plivarica	plivarica	Ncfsn
ciplarica	ciplarica	Ncfsn
namijenjena	namijeniti	Appfsny
je	biti	Var3s
za	za	Sa
ulov	ulov	Ncmsan
cipala	cipal	Ncmpg
(	(	Z
Mugilidae	Mugilidae	Xf
spp	spp	Xf
.	.	Z
)	)	Z
,	,	Z
salpe	salpa	Ncfsg
(	(	Z
Sarpa	sarp	Agpfsny
salpa	salpa	Ncfsn
)	)	Z
i	i	Cc
ušate	ušata	Ncfsg
(	(	Z
Oblada	Oblada	Npfsn
melanura	melanurati	Vmr3s
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Minimalna	minimalan	Agpfsny
veličina	veličina	Ncfsn
oka	oko	Ncnsg
mrežnog	mrežni	Agpmsgy
tega	teg	Ncmsg
plivarice	plivarica	Ncfsg
ciplarice	ciplarica	Ncfsg
je	biti	Var3s
52	52	Mdc
milimetara	milimetar	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Maksimalna	maksimalan	Agpfsny
veličina	veličina	Ncfsn
oka	oko	Ncnsg
mrežnog	mrežni	Agpmsgy
tega	teg	Ncmsg
u	u	Sl
saki	saka	Ncfsl
plivarice	plivarica	Ncfsg
ciplarice	ciplarica	Ncfsg
je	biti	Var3s
67	67	Mdc
milimetara	milimetar	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Maksimalna	maksimalan	Agpfsny
duljina	duljina	Ncfsn
plivarice	plivarica	Ncfsg
ciplarice	ciplarica	Ncfsg
je	biti	Var3s
700	700	Mdc
metara	metar	Ncmpg
.	.	Z

Plivarica	plivarica	Ncfsn
lokardara	lokardara	Ncfpg

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Plivarica	plivarica	Ncfsn
lokardara	lokardar	Ncmpg
namijenjena	namijeniti	Appfsny
je	biti	Var3s
za	za	Sa
ulov	ulov	Ncmsan
lokarde	lokarda	Ncfsg
ili	ili	Cc
plavice	plavica	Ncfpa
(	(	Z
Scomber	Scomber	Npmsn
japonicus	japonicus	Xf
)	)	Z
,	,	Z
skuše	skuša	Ncfpa
(	(	Z
Scomber	Scomber	Npmsn
scombrus	scombrus	Xf
)	)	Z
,	,	Z
šaruna	šarun	Ncmpg
(	(	Z
Trachurus	Trachurus	Xf
trachurus	trachurus	Xf
i	i	Cc
Trachurus	Trachurus	Npmsn
mediterraneus	mediterraneus	Xf
)	)	Z
,	,	Z
iglice	iglica	Ncfpa
(	(	Z
Belone	belon	Agpfpny
belone	belona	Ncfpn
)	)	Z
i	i	Cc
srdele	srdela	Ncfpa
goleme	golem	Agpfsgy
(	(	Z
Sardinella	Sardinella	Npfsn
aurita	aurit	Agpfsny
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Minimalna	minimalan	Agpfsny
veličina	veličina	Ncfsn
oka	oko	Ncnsg
mrežnog	mrežni	Agpmsgy
tega	teg	Ncmsg
plivarice	plivarica	Ncfsg
lokardare	lokardara	Ncfsg
je	biti	Var3s
20	20	Mdc
milimetara	milimetar	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Maksimalna	maksimalan	Agpfsny
veličina	veličina	Ncfsn
oka	oko	Ncnsg
mrežnog	mrežni	Agpmsgy
tega	teg	Ncmsg
u	u	Sl
saki	saka	Ncfsl
plivarice	plivarica	Ncfsg
lokardare	lokardara	Ncfsg
je	biti	Var3s
30	30	Mdc
milimetara	milimetar	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Maksimalna	maksimalan	Agpfsny
duljina	duljina	Ncfsn
plivarice	plivarica	Ncfsg
lokardare	lokardara	Ncfsg
je	biti	Var3s
250	250	Mdc
metara	metar	Ncmpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Za	za	Sa
vrijeme	vrijeme	Ncnsa
obavljanja	obavljanje	Ncnsg
ribolova	ribolov	Ncmsg
plivaricom	plivarica	Ncfsi
lokardarom	lokardaroa	Ncfsg
dozvoljeno	dozvoliti	Appnsny
je	biti	Var3s
korištenje	korištenje	Ncnsn
umjetne	umjetan	Agpfsgy
rasvjete	rasvjeta	Ncfsg
maksimalne	maksimalan	Agpfsgy
snage	snaga	Ncfsg
do	do	Sg
4	4	Mdc
000	000	Mdc
W.	W.	Y

Plivarica	plivarica	Ncfsn
igličara	igličar	Ncmpg

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Plivarica	plivarica	Ncfsn
igličara	igličar	Ncmpg
namijenjena	namijeniti	Appfsny
je	biti	Var3s
za	za	Sa
ulov	ulov	Ncmsan
iglice	iglica	Ncfsg
(	(	Z
Belone	belon	Agpfpny
belone	belon	Agpfpny
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Minimalna	minimalan	Agpfsny
veličina	veličina	Ncfsn
oka	oko	Ncnsg
mrežnog	mrežni	Agpmsgy
tega	teg	Ncmsg
plivarice	plivarica	Ncfsg
igličare	igličara	Ncfsg
je	biti	Var3s
20	20	Mdc
milimetara	milimetar	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Maksimalna	maksimalan	Agpfsny
veličina	veličina	Ncfsn
oka	oko	Ncnsg
mrežnog	mrežni	Agpmsgy
tega	teg	Ncmsg
u	u	Sl
saki	saka	Ncfsl
plivarice	plivarica	Ncfsg
igličare	igličara	Ncfsg
je	biti	Var3s
30	30	Mdc
milimetara	milimetar	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Maksimalna	maksimalan	Agpfsny
duljina	duljina	Ncfsn
plivarice	plivarica	Ncfsg
igličare	igličara	Ncfsg
je	biti	Var3s
250	250	Mdc
metara	metar	Ncmpg
.	.	Z

Plivarica	plivarica	Ncfsn
oližnica	oližnica	Ncfpg

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Plivarica	plivarica	Ncfsn
oližnica	oližnica	Ncfpg
namijenjena	namijeniti	Appfsny
je	biti	Var3s
za	za	Sa
ulov	ulov	Ncmsan
gavuna	gavun	Ncmpg
(	(	Z
Atherina	Atherin	Npmsg
hepsetus	hepsetus	Xf
)	)	Z
i	i	Cc
olige	oliga	Ncfsg
(	(	Z
Atherina	Atherina	Npfsn
boyeri	boyer	Ncmpn
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Minimalna	minimalan	Agpfsny
veličina	veličina	Ncfsn
oka	oko	Ncnsg
mrežnog	mrežni	Agpmsgy
tega	teg	Ncmsg
plivarice	plivarica	Ncfsg
oližnice	oližnica	Ncfsg
je	biti	Var3s
14	14	Mdc
milimetara	milimetar	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Maksimalna	maksimalan	Agpfsny
veličina	veličina	Ncfsn
oka	oko	Ncnsg
mrežnog	mrežni	Agpmsgy
tega	teg	Ncmsg
u	u	Sl
saki	saka	Ncfsl
plivarice	plivarica	Ncfsg
