respiratornog	respiratoran	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
100	100	Mdc
uzoraka	uzorak	Ncmpg
iz	iz	Sg
neuropatologije	neuropatologija	Ncfsg
,	,	Z
50	50	Mdc
uzoraka	uzorak	Ncmpg
iz	iz	Sg
lokomotornog	lokomotoran	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
50	50	Mdc
uzoraka	uzorak	Ncmpg
glave	glava	Ncfsg
i	i	Cc
vrata	vrata	Ncnpa
,	,	Z
50	50	Mdc
uzoraka	uzorak	Ncmpg
iz	iz	Sg
endokrinološkog	endokrinološki	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
50	50	Mdc
uzoraka	uzorak	Ncmpg
srca	srce	Ncnsg
i	i	Cc
krvnih	krvni	Agpfpgy
žila	žila	Ncfpg
,	,	Z
50	50	Mdc
uzoraka	uzorak	Ncmpg
iz	iz	Sg
nefropatologije	nefropatologija	Ncfsg
i	i	Cc
50	50	Mdc
uzoraka	uzorak	Ncmpg
iz	iz	Sg
dermatopatologije	dermatopatologija	Ncfsg
.	.	Z

Uz	uz	Sa
to	taj	Pd-nsa
je	biti	Var3s
potrebno	potreban	Agpnsny
obaviti	obaviti	Vmn
razliku	razlika	Ncfsa
broja	broj	Ncmsg
obdukcija	obdukcija	Ncfpg
do	do	Sg
170	170	Mdc
obdukcija	obdukcija	Ncfpg
,	,	Z
od	od	Sg
kojih	koji	Pi-mpg
najmanje	malo	Rgs
20	20	Mdc
iz	iz	Sg
područja	područje	Ncnsg
sudske	sudski	Agpfsgy
medicine	medicina	Ncfsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
22.	22.	Mdo

Specijalizanti	specijalizant	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
započeli	započeti	Vmp-pm
program	program	Ncmsan
specijalizacije	specijalizacija	Ncfsg
iz	iz	Sg
Priloga	prilog	Ncmsg
II	ii	Mrc
.	.	Z

Pravilnika	pravilnik	Ncmsg
točke	točka	Ncfsg
:	:	Z
»	»	Z
35.	35.	Mdo

Patologija	patologija	Ncfsn
«	«	Z
(	(	Z
s	sa	Si
akreditacijskim	akreditacijski	Agpnsiy
područjem	područje	Ncnsi
histopatologije	histopatologija	Ncfsg
/	/	Z
s	sa	Si
akreditacijskim	akreditacijski	Agpnsiy
područjem	područje	Ncnsi
citopatologije	citopatologija	Ncfsg
)	)	Z
,	,	Z
polagat	polagati	Vmn
će	htjeti	Var3s
specijalistički	specijalistički	Agpmsayn
ispit	ispit	Ncmsan
iz	iz	Sg
»	»	Z
Patologije	patologija	Ncfsg
«	«	Z
i	i	Cc
steći	steći	Vmn
naziv	naziv	Ncmsan
»	»	Z
specijalist	specijalist	Ncmsn
patologije	patologija	Ncfsg
«	«	Z
.	.	Z

Specijalisti	specijalist	Ncmpn
koje	koji	Pi-mpa
su	biti	Var3p
stekli	steći	Vmp-pm
naziv	naziv	Ncmsan
»	»	Z
specijalist	specijalist	Ncmsn
patologije	patologija	Ncfsg
«	«	Z
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
21.	21.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
imaju	imati	Vmr3p
ista	isti	Agpnpay
prava	pravo	Ncnpa
i	i	Cc
kompetencije	kompetencija	Ncfsg
kao	kao	Cs
i	i	Qo
»	»	Z
specijalisti	specijalist	Ncmpn
patologije	patologija	Ncfsg
i	i	Cc
citologije	citologija	Ncfsg
«	«	Z
,	,	Z
a	a	Cc
naziv	naziv	Ncmsn
»	»	Z
specijalist	specijalist	Ncmsn
patologije	patologija	Ncfsg
«	«	Z
jednakovrijedan	jednakovrijedan	Agpmsnn
je	biti	Var3s
nazivu	naziv	Ncmsd
»	»	Z
specijalist	specijalist	Ncmsn
patologije	patologija	Ncfsg
i	i	Cc
citologije	citologija	Ncfsg
«	«	Z
.	.	Z

Članak	članak	Ncmsn
23.	23.	Mdo

Specijalizanti	specijalizant	Ncmpn
uže	usko	Rgc
specijalizacije	specijalizacija	Ncfsg
iz	iz	Sg
pedijatrije	pedijatrija	Ncfsg
koji	koji	Pi-mpn
su	biti	Var3p
započeli	započeti	Vmp-pm
program	program	Ncmsan
uže	uže	Ncnsn
specijalizacije	specijalizacija	Ncfsg
iz	iz	Sg
Priloga	prilog	Ncmsg
I.	i	Aspmsgn
Pravilnika	pravilnik	Ncmsg
o	o	Sl
specijalističkom	specijalistički	Agpnsly
usavršavanju	usavršavanje	Ncnsl
doktora	doktor	Ncmpg
medicine	medicina	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
111/2009	111/2009	Mds
)	)	Z
,	,	Z
pod	pod	Si
naslovom	naslov	Ncmsi
:	:	Z
»	»	Z
UŽE	uže	Ncnsn
SPECIJALIZACIJE	specijalizacija	Ncfsg
IZ	iz	Sg
PEDIJATRIJE	pedijatrija	Ncfsg
:	:	Z
«	«	Z
,	,	Z
točka	točka	Ncfsn
:	:	Z
»	»	Z
10.	10.	Mdo
a	a	Cc
PEDIJATRIJSKA	pedijatrijski	Agpfsny
KARDIOLOGIJA	kardiologija	Ncfsn
«	«	Z
i	i	Cc
točka	točka	Ncfsn
:	:	Z
»	»	Z
10.	10.	Mdo
b	b	X
PEDIJATRIJSKA	pedijatrijski	Agpfsny
NEUROLOGIJA	neurologija	Ncfsn
«	«	Z
,	,	Z
završit	završiti	Vmn
će	htjeti	Var3s
užu	uzak	Agcfsay
specijalizaciju	specijalizacija	Ncfsa
sukladno	sukladan	Agpnsny
rješenju	rješenje	Ncnsd
o	o	Sl
odobrenju	odobrenje	Ncnsl
uže	uže	Ncnsa
specijalizacije	specijalizacija	Ncfsg
.	.	Z

Specijalizanti	specijalizant	Ncmpn
uže	usko	Rgc
specijalizacije	specijalizacija	Ncfsg
iz	iz	Sg
neurologije	neurologija	Ncfsg
koji	koji	Pi-mpn
su	biti	Var3p
započeli	započeti	Vmp-pm
program	program	Ncmsan
uže	uže	Ncnsn
specijalizacije	specijalizacija	Ncfsg
iz	iz	Sg
Priloga	prilog	Ncmsg
I.	i	Aspmsgn
Pravilnika	pravilnik	Ncmsg
o	o	Sl
specijalističkom	specijalistički	Agpnsly
usavršavanju	usavršavanje	Ncnsl
doktora	doktor	Ncmpg
medicine	medicina	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
111/2009	111/2009	Mds
)	)	Z
,	,	Z
pod	pod	Si
naslovom	naslov	Ncmsi
:	:	Z
»	»	Z
UŽA	uzak	Agcfsny
SPECIJALIZACIJA	specijalizacija	Ncfsn
IZ	iz	Sg
NEUROLOGIJE	neurologija	Ncfsg
:	:	Z
«	«	Z
,	,	Z
točka	točka	Ncfsn
:	:	Z
»	»	Z
11.	11.	Mdo
