regulacijsku	regulacijski	Agpfsay
godinu	godina	Ncfsa
t	t	Cc
prema	prema	Sl
formuli	formula	Ncfsl
:	:	Z

gdje	gdje	Rgp
je	biti	Var3s
:	:	Z

TU	tu	Rgp
,	,	Z
UPP	UPP	Npmsn
–	–	Z
tarifna	tarifan	Agpfsny
stavka	stavka	Ncfsn
za	za	Sa
ulaz	ulaz	Ncmsan
iz	iz	Sg
terminala	terminal	Ncmsg
za	za	Sa
UPP	UPP	Npmsan
u	u	Sl
regulacijskoj	regulacijski	Agpfsly
godini	godina	Ncfsl
t	t	X
(	(	Z
kn	KN	Ncmsn
/	/	Z
kWh	kWh	Qr
/	/	Z
dan	dan	Ncmsan
)	)	Z
,	,	Z

TU	tu	Rgp
,	,	Z
IN	in	Agpmsnn
–	–	Z
tarifna	tarifan	Agpfsny
stavka	stavka	Ncfsn
za	za	Sa
ulaz	ulaz	Ncmsan
na	na	Sl
interkonekciji	interkonekcija	Ncfsl
u	u	Sl
regulacijskoj	regulacijski	Agpfsly
godini	godina	Ncfsl
t	t	X
(	(	Z
kn	KN	Ncmsn
/	/	Z
kWh	kWh	Qr
/	/	Z
dan	dan	Ncmsan
)	)	Z
,	,	Z

kUPP	kUPP	Npmsn
–	–	Z
koeficijent	koeficijent	Ncmsn
sigurnosti	sigurnost	Ncfsg
za	za	Sa
ulaz	ulaz	Ncmsan
iz	iz	Sg
terminala	terminal	Ncmsg
za	za	Sa
UPP	UPP	Npmsan
.	.	Z
«	«	Z
.	.	Z

Dosadašnji	dosadašnji	Agpmpny
stavci	stavak	Ncmpn
4.	4.	Mdo
,	,	Z
5.	5.	Mdo
i	i	Cc
6.	6.	Mdo
postaju	postati	Vmr3p
stavci	stavak	Ncmpn
5.	5.	Mdo
,	,	Z
6.	6.	Mdo
i	i	Cc
7.	7.	Mdo

Dosadašnji	dosadašnji	Agpmsny
stavak	stavak	Ncmsn
7.	7.	Mdo
koji	koji	Pi-msn
postaje	postajati	Vmr3s
stavak	stavak	Ncmsan
8.	8.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
8	8	Mdc
)	)	Z
Koeficijent	koeficijent	Ncmsn
sigurnosti	sigurnost	Ncfsg
za	za	Sa
ulaz	ulaz	Ncmsan
iz	iz	Sg
proizvodnje	proizvodnja	Ncfsg
(	(	Z
kPR	kPR	Npmsn
)	)	Z
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
iznosi	iznositi	Vmr3s
0,90	0,90	Mdc
,	,	Z
koeficijent	koeficijent	Ncmsn
sigurnosti	sigurnost	Ncfsg
za	za	Sa
ulaz	ulaz	Ncmsan
iz	iz	Sg
sustava	sustav	Ncmsg
skladišta	skladište	Ncnsg
plina	plin	Ncmsg
(	(	Z
kSK	kSK	Npmsn
)	)	Z
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
0,10	0,10	Mdc
,	,	Z
koeficijent	koeficijent	Ncmsn
sigurnosti	sigurnost	Ncfsg
za	za	Sa
ulaz	ulaz	Ncmsan
iz	iz	Sg
terminala	terminal	Ncmsg
za	za	Sa
UPP	UPP	Npmsan
(	(	Z
kUPP	kUPP	Npmsn
)	)	Z
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
0,90	0,90	Mdc
,	,	Z
a	a	Cc
koeficijent	koeficijent	Ncmsn
sigurnosti	sigurnost	Ncfsg
za	za	Sa
izlaz	izlaz	Ncmsan
u	u	Sl
Hrvatskoj	Hrvatska	Npfsl
(	(	Z
kHR	kHR	Npmsn
)	)	Z
iz	iz	Sg
stavaka	stavak	Ncmpg
5.	5.	Mdo
i	i	Cc
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
0,15.	0,15.	Mdo
«	«	Z
.	.	Z

Članak	članak	Ncmsn
4.	4.	Mdo

Iza	iza	Sg
članka	članak	Ncmsg
31.	31.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
naslov	naslov	Ncmsn
i	i	Cc
članak	članak	Ncmsn
31.	31.	Mdo
a	a	Cc
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
Koeficijenti	koeficijent	Ncmpn
za	za	Sa
korištenje	korištenje	Ncnsa
stalnog	stalan	Agpmsgy
kapaciteta	kapacitet	Ncmsg
na	na	Sl
tromjesečnoj	tromjesečan	Agpfsly
razini	razina	Ncfsl

Članak	članak	Ncmsn
31	31	Mdc
a.	a.	Y

Koeficijenti	koeficijent	Ncmpn
za	za	Sa
korištenje	korištenje	Ncnsa
stalnog	stalan	Agpmsgy
kapaciteta	kapacitet	Ncmsg
transportnog	transportni	Agpmsgy
sustava	sustav	Ncmsg
na	na	Sl
tromjesečnoj	tromjesečan	Agpfsly
razini	razina	Ncfsl
(	(	Z
KTM	KTM	Npmsn
)	)	Z
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
koeficijenti	koeficijent	Ncmpn
za	za	Sa
tromjesečni	tromjesečan	Agpmsayn
kapacitet	kapacitet	Ncmsan
)	)	Z
za	za	Sa
svaki	svaki	Pi-msan
mjesec	mjesec	Ncmsan
u	u	Sl
pojedinom	pojedini	Agpnsly
tromjesečju	tromjesečje	Ncnsl
prikazani	prikazati	Appmpny
su	biti	Var3p
u	u	Sl
sljedećoj	sljedeći	Agpfsly
tablici	tablica	Ncfsl
:	:	Z

Tromjesečje	tromjesečje	Ncnsn
Koeficijenti	koeficijent	Ncmpn
za	za	Sa
tromjesečni	tromjesečan	Agpmsayn
kapacitet	kapacitet	Ncmsan
(	(	Z
KTM	KTM	Npmsn
)	)	Z
Siječanj	siječanj	Ncmsn
,	,	Z
veljača	veljača	Ncfsn
,	,	Z
ožujak	ožujak	Ncmsn
0,16	0,16	Mdc
Travanj	travanj	Ncmsn
,	,	Z
svibanj	svibanj	Ncmsn
,	,	Z
lipanj	lipanj	Ncmsn
0,10	0,10	Mdc
Srpanj	srpanj	Ncmsn
,	,	Z
kolovoz	kolovoz	Ncmsn
,	,	Z
rujan	rujan	Ncmsn
0,09	0,09	Mdc
Listopad	listopad	Ncmsn
,	,	Z
studeni	studeni	Ncmsn
,	,	Z
prosinac	prosinac	Ncmsn
0,15	0,15	Mdc

Članak	članak	Ncmsn
5.	5.	Mdo

Naslov	naslov	Ncmsn
iznad	iznad	Sg
članka	članak	Ncmsg
33.	33.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Koeficijenti	koeficijent	Ncmpn
za	za	Sa
korištenje	korištenje	Ncnsa
stalnog	stalan	Agpmsgy
kapaciteta	kapacitet	Ncmsg
na	na	Sl
dnevnoj	dnevni	Agpfsly
i	i	Cc
unutardnevnoj	unutardnevan	Agpfsly
razini	razina	Ncfsl
«	«	Z

Članak	članak	Ncmsn
33.	33.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Koeficijenti	koeficijent	Ncmpn
za	za	Sa
korištenje	korištenje	Ncnsa
