točke	točka	Ncfpn
ugovorit	ugovoriti	Vmn
će	htjeti	Var3p
se	sebe	Px--sa
uvjeti	uvjet	Ncmpn
za	za	Sa
realizaciju	realizacija	Ncfsa
Projekta	projekt	Ncmsg
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
uvjete	uvjet	Ncmpa
za	za	Sa
sklapanje	sklapanje	Ncnsa
ugovora	ugovor	Ncmsg
o	o	Sl
osnivanju	osnivanje	Ncnsl
prava	pravo	Ncnsg
građenja	građenje	Ncnsg
,	,	Z
ugovora	ugovor	Ncmsg
o	o	Sl
zakupu	zakup	Ncmsl
hotela	hotel	Ncmsg
Grand	Grand	Npmsn
i	i	Cc
ugovora	ugovor	Ncmsg
o	o	Sl
koncesiji	koncesija	Ncfsl
,	,	Z
sukladno	sukladno	Rgp
uvjetima	uvjet	Ncmpd
iz	iz	Sg
Javnog	javan	Agpmsgy
poziva	poziv	Ncmsg
za	za	Sa
sudjelovanje	sudjelovanje	Ncnsa
na	na	Sl
međunarodnom	međunarodni	Agpmsly
natječaju	natječaj	Ncmsl
za	za	Sa
javno	javan	Agpnsay
prikupljanje	prikupljanje	Ncnsa
ponuda	ponuda	Ncfpg
za	za	Sa
realizaciju	realizacija	Ncfsa
turističkog	turistički	Agpmsgy
razvojnog	razvojan	Agpmsgy
projekta	projekt	Ncmsg
Kupari	Kupara	Npfsl
na	na	Sl
lokaciji	lokacija	Ncfsl
Kupari	Kupara	Npfsl
I.	I.	Mro
u	u	Sl
Općini	općina	Ncfsl
Župa	župa	Ncfsn
Dubrovačka	dubrovački	Agpfsny
i	i	Cc
Ponudi	ponuda	Ncfsl
Investitora	investitor	Ncmsg
.	.	Z

II	ii	Mrc
.	.	Z

Projekt	projekt	Ncmsn
će	htjeti	Var3s
se	sebe	Px--sa
realizirati	realizirati	Vmn
na	na	Sl
česticama	čestica	Ncfpl
zemljišta	zemljište	Ncnsg
u	u	Sl
k.	ke	Ncnsl
o.	o.	Y
Brašina	Brašin	Npmsg
u	u	Sl
obuhvatu	obuhvat	Ncmsl
Urbanističkog	urbanistički	Agpmsgy
plana	plan	Ncmsg
uređenja	uređenje	Ncnsg
Kupari	Kupari	Npfsn
I.	I.	Y
označenim	označiti	Appnsiy
kao	kao	Cs
:	:	Z
k.	k.	Y
č.	č.	Y
br.	br.	Y
2326	2326	Mdc
,	,	Z
2324	2324	Mdc
,	,	Z
2334	2334	Mdc
,	,	Z
2321/1	2321/1	Mdc
,	,	Z
2322	2322	Mdc
,	,	Z
2320/1	2320/1	Mdc
,	,	Z
2325	2325	Mdc
,	,	Z
2321/2	2321/2	Mdc
,	,	Z
2329/1	2329/1	Mdc
,	,	Z
2329/2	2329/2	Mdc
,	,	Z
2320/7	2320/7	Mdc
,	,	Z
2328	2328	Mdc
,	,	Z
2323/2	2323/2	Mdc
,	,	Z
2330	2330	Mdc
,	,	Z
2332	2332	Mdc
,	,	Z
2329/3	2329/3	Mdc
,	,	Z
2320/5	2320/5	Mdc
,	,	Z
te	te	Cc
k.	k.	Y
č.	č.	Y
br.	br.	Y
2343	2343	Mdc
(	(	Z
u	u	Sl
dijelu	dio	Ncmsl
)	)	Z
,	,	Z
2344	2344	Mdc
i	i	Cc
2345/1	2345/1	Mdc
,	,	Z
pomorsko	pomorski	Agpnsny
dobro	dobar	Agpnsny
,	,	Z
koje	koji	Pi-nsn
će	htjeti	Var3s
biti	biti	Van
predmetom	predmet	Ncmsi
koncesije	koncesija	Ncfsg
u	u	Sa
svrhu	svrha	Ncfsa
izgradnje	izgradnja	Ncfsg
i	i	Cc
gospodarskog	gospodarski	Agpnsgy
korištenja	korištenje	Ncnsg
plaže	plaža	Ncfsg
na	na	Sl
dijelu	dio	Ncmsl
k.	ki	Agpmsly
o.	o	Ncmsl
Brašina	Brašin	Npmsg
.	.	Z

Na	na	Sl
česticama	čestica	Ncfpl
zemljišta	zemljište	Ncnsg
u	u	Sl
obuhvatu	obuhvat	Ncmsl
Urbanističkog	urbanistički	Agpmsgy
plana	plan	Ncmsg
uređenja	uređenje	Ncnsg
Kupari	Kupari	Npfsg
I.	I.	Npfsg
na	na	Sl
kojima	koji	Pi-fpl
će	htjeti	Var3s
se	sebe	Px--sa
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
akata	akt	Ncmpg
za	za	Sa
provedbu	provedba	Ncfsa
dokumenata	dokument	Ncmpg
prostornog	prostoran	Agpnsgy
uređenja	uređenje	Ncnsg
formirati	formirati	Vmn
građevne	građevni	Agpfpay
čestice	čestica	Ncfpa
za	za	Sa
izgradnju	izgradnja	Ncfsa
novih	nov	Agpmpgy
smještajnih	smještajan	Agpmpgy
i	i	Cc
pratećih	prateći	Agpfpgy
turističko-ugostiteljskih	turističko-ugostiteljski	Agpfpgy
građevina	građevina	Ncfpg
,	,	Z
u	u	Sa
korist	korist	Ncfsa
Investitora	investitor	Ncmsg
osnovat	osnovati	Vmn
će	htjeti	Var3s
se	sebe	Agpnsny
pravo	pravo	Ncnsn
građenja	građenje	Ncnsg
,	,	Z
na	na	Sa
rok	rok	Ncmsan
od	od	Sg
99	99	Mdc
godina	godina	Ncfpg
.	.	Z

Na	na	Sl
česticama	čestica	Ncfpl
zemljišta	zemljište	Ncnsg
u	u	Sl
obuhvatu	obuhvat	Ncmsl
Urbanističkog	urbanistički	Agpmsgy
plana	plan	Ncmsg
uređenja	uređenje	Ncnsg
Kupari	Kupari	Npfsg
I.	I.	Npfsg
na	na	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
neće	htjeti	Var3s
formirati	formirati	Vmn
građevinske	građevinski	Agpfpay
čestice	čestica	Ncfpa
za	za	Sa
izgradnju	izgradnja	Ncfsa
smještajnih	smještajan	Agpmpgy
kapaciteta	kapacitet	Ncmpg
ili	ili	Cc
drugih	drugi	Mlofpg
pratećih	prateći	Agpfpgy
građevina	građevina	Ncfpg
,	,	Z
u	u	Sa
korist	korist	Ncfsa
Investitora	investitor	Ncmsg
osnovat	osnovati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
pravo	pravo	Ncnsn
služnosti	služnost	Ncfsg
.	.	Z

III	III	Mrc
.	.	Z

Hotel	hotel	Ncmsn
Grand	Grand	Xf
predat	predati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
posjed	posjed	Agpmsly
Investitoru	investitor	Ncmsl
temeljem	temelj	Sg
ugovora	ugovor	Ncmsg
o	o	Sl
zakupu	zakup	Ncmsl
na	na	Sa
rok	rok	Ncmsan
od	od	Sg
99	99	Mdc
godina	godina	Ncfpg
,	,	Z
kojim	koji	Pi-msi
će	htjeti	Var3s
ga	on	Pp3msa
se	sebe	Px--sa
ovlastiti	ovlastiti	Vmn
i	i	Cc
obvezati	obvezati	Vmn
na	na	Sa
obnovu	obnova	Ncfsa
i	i	Cc
stavljanje	stavljanje	Ncnsa
u	u	Sa
funkciju	funkcija	Ncfsa
