289	289	Mdc
183,10	183,10	Mdc
4	4	Mdc
974	974	Mdc
419,25	419,25	Mdc
67	67	Mdc
289	289	Mdc
132,13	132,13	Mdc
4	4	Mdc
974	974	Mdc
517,54	517,54	Mdc
68	68	Mdc
289	289	Mdc
131,82	131,82	Mdc
4	4	Mdc
974	974	Mdc
517,80	517,80	Mdc
69	69	Mdc
289	289	Mdc
131,58	131,58	Mdc
4	4	Mdc
974	974	Mdc
518,14	518,14	Mdc
70	70	Mdc
289	289	Mdc
122,52	122,52	Mdc
4	4	Mdc
974	974	Mdc
522,45	522,45	Mdc
71	71	Mdc
289	289	Mdc
110,30	110,30	Mdc
4	4	Mdc
974	974	Mdc
528,26	528,26	Mdc
72	72	Mdc
289	289	Mdc
089,79	089,79	Mdc
4	4	Mdc
974	974	Mdc
537,96	537,96	Mdc
73	73	Mdc
289	289	Mdc
067,79	067,79	Mdc
4	4	Mdc
974	974	Mdc
548,35	548,35	Mdc
74	74	Mdc
288	288	Mdc
997,13	997,13	Mdc
4	4	Mdc
974	974	Mdc
581,58	581,58	Mdc
75	75	Mdc
288	288	Mdc
996,01	996,01	Mdc
4	4	Mdc
974	974	Mdc
581,53	581,53	Mdc
76	76	Mdc
288	288	Mdc
995,12	995,12	Mdc
4	4	Mdc
974	974	Mdc
582,20	582,20	Mdc
77	77	Mdc
288	288	Mdc
994,85	994,85	Mdc
4	4	Mdc
974	974	Mdc
583,29	583,29	Mdc
78	78	Mdc
288	288	Mdc
995,33	995,33	Mdc
4	4	Mdc
974	974	Mdc
584,30	584,30	Mdc
79	79	Mdc
288	288	Mdc
996,67	996,67	Mdc
4	4	Mdc
974	974	Mdc
604,02	604,02	Mdc
80	80	Mdc
288	288	Mdc
997,99	997,99	Mdc
4	4	Mdc
974	974	Mdc
619,86	619,86	Mdc
81	81	Mdc
288	288	Mdc
971,52	971,52	Mdc
4	4	Mdc
974	974	Mdc
622,95	622,95	Mdc
82	82	Mdc
288	288	Mdc
935,02	935,02	Mdc
4	4	Mdc
974	974	Mdc
625,21	625,21	Mdc
83	83	Mdc
288	288	Mdc
897,74	897,74	Mdc
4	4	Mdc
974	974	Mdc
623,15	623,15	Mdc
84	84	Mdc
288	288	Mdc
886,21	886,21	Mdc
4	4	Mdc
974	974	Mdc
621,47	621,47	Mdc
85	85	Mdc
288	288	Mdc
813,86	813,86	Mdc
4	4	Mdc
974	974	Mdc
616,37	616,37	Mdc
86	86	Mdc
288	288	Mdc
787,22	787,22	Mdc
4	4	Mdc
974	974	Mdc
552,05	552,05	Mdc
87	87	Mdc
288	288	Mdc
777,22	777,22	Mdc
4	4	Mdc
974	974	Mdc
527,89	527,89	Mdc
88	88	Mdc
288	288	Mdc
765,99	765,99	Mdc
4	4	Mdc
974	974	Mdc
501,83	501,83	Mdc
89	89	Mdc
288	288	Mdc
750,61	750,61	Mdc
4	4	Mdc
974	974	Mdc
468,39	468,39	Mdc
50	50	Mdc
