direktiva	direktiva	Ncfsn
Komisije	komisija	Ncfsg
2002/67	2002/67	Mdc
/	/	Z
EZ	EZ	Npmsn
i	i	Cc
2008/5	2008/5	Mdc
/	/	Z
EZ	EZ	Npmsn
i	i	Cc
Uredbe	uredba	Ncfpn
Komisije	komisija	Ncfsg
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
608/2004	608/2004	Mdc
(	(	Z
SL	SL	Npmsn
L	L	Npmsn
304	304	Mdc
,	,	Z
22.	22.	Mdo
11.	11.	Mdo
2011.	2011.	Mdo
)	)	Z
,	,	Z
kako	kako	Cs
je	biti	Var3s
posljednji	posljednji	Agpmsny
put	put	Ncmsn
izmijenjena	izmijeniti	Appfsny
Delegiranom	delegiran	Agpfsiy
Uredbom	uredba	Ncfsi
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
78/2014	78/2014	Mdc
оd	оd	Sg
22.	22.	Mdo
studenoga	studeni	Ncmsg
2013.	2013.	Mdo
o	o	Sl
izmjeni	izmjena	Ncfsl
priloga	prilog	Ncmsg
II	ii	Mrc
.	.	Z
i	i	Cc
III	III	Mrc
.	.	Z

Uredbi	uredba	Ncfsl
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1169/2011	1169/2011	Mdc
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
o	o	Sl
informiranju	informiranje	Ncnsl
potrošača	potrošač	Ncmpg
o	o	Sl
hrani	hrana	Ncfsl
,	,	Z
u	u	Sl
pogledu	pogled	Ncmsl
određenih	određen	Agpfpgy
žitarica	žitarica	Ncfpg
koje	koji	Pi-fpn
uzrokuju	uzrokovati	Vmr3p
alergije	alergija	Ncfpa
ili	ili	Cc
netolerancije	netolerancija	Ncfsg
i	i	Cc
hrane	hrana	Ncfsg
s	sa	Si
dodatkom	dodatak	Ncmsi
fitosterola	fitosterol	Ncmsg
,	,	Z
estera	ester	Ncmpg
fitosterola	fitosterol	Ncmsg
,	,	Z
fitostanola	fitostanol	Ncmsg
i	i	Cc
/	/	Z
ili	ili	Cc
estera	ester	Agpfsny
fitostanola	fitostanola	Ncfsn
(	(	Z
SL	SL	Npmsn
L	l	Y
27	27	Mdc
,	,	Z
30.	30.	Mdo
1.	1.	Mdo
2014.	2014.	Mdo
)	)	Z
,	,	Z
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
Uredba	uredba	Ncfsn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1169/2011	1169/2011	Mdc
)	)	Z
.	.	Z

Članak	članak	Ncmsn
3.	3.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Doniranje	doniranje	Ncnsn
hrane	hrana	Ncfsg
i	i	Cc
hrane	hrana	Ncfsg
za	za	Sa
životinje	životinja	Ncfpa
je	biti	Var3s
davanje	davanje	Ncnsn
hrane	hrana	Ncfsg
bez	bez	Sg
naknade	naknada	Ncfsg
odnosno	odnosno	Rgp
besplatno	besplatan	Agpnsny
davanje	davanje	Ncnsn
hrane	hrana	Ncfsg
krajnjim	krajnji	Agpmpdy
primateljima	primatelj	Ncmpd
te	te	Cc
se	sebe	Px--sa
smatra	smatrati	Vmr3s
stavljanjem	stavljanje	Ncnsi
hrane	hrana	Ncfsg
na	na	Sa
tržište	tržište	Ncnsa
sukladno	sukladan	Agpnsay
Uredbi	uredba	Ncfsl
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
178/2002.	178/2002.	Mds

(	(	Z
2	2	Mdc
)	)	Z
Donatori	donator	Ncmpn
i	i	Cc
posrednici	posrednik	Ncmpn
koji	koji	Pi-mpn
sudjeluju	sudjelovati	Vmr3p
u	u	Sl
lancu	lanac	Ncmsl
doniranja	doniranje	Ncnsg
hrane	hrana	Ncfsg
i	i	Cc
hrane	hrana	Ncfsg
za	za	Sa
životinje	životinja	Ncfpa
su	biti	Var3p
subjekti	subjekt	Ncmpn
u	u	Sl
poslovanju	poslovanje	Ncnsl
s	sa	Si
hranom	hrana	Ncfsi
odnosno	odnosno	Rgp
hranom	hrana	Ncfsi
za	za	Sa
životinje	životinja	Ncfpa
sukladno	sukladno	Rgp
Uredbi	uredba	Ncfsl
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
178/2002.	178/2002.	Mds

(	(	Z
3	3	Mdc
)	)	Z
Donatori	donator	Ncmpn
i	i	Cc
posrednici	posrednik	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
sudionici	sudionik	Ncmpn
u	u	Sl
lancu	lanac	Ncmsl
doniranja	doniranje	Ncnsg
hrane	hrana	Ncfsg
odgovorni	odgovoran	Agpmpny
su	biti	Var3p
za	za	Sa
sigurnost	sigurnost	Ncfsa
hrane	hrana	Ncfsg
u	u	Sl
fazama	faza	Ncfpl
koje	koji	Pi-fpn
su	biti	Var3p
pod	pod	Si
njihovom	njihov	Ps3fsi
kontrolom	kontrola	Ncfsi
sukladno	sukladan	Agpnsny
Uredbi	uredba	Ncfsl
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
178/2002	178/2002	Mdc
te	te	Cc
se	sebe	Px--sa
moraju	morati	Vmr3p
pridržavati	pridržavati	Vmn
općih	opći	Agpmpgy
zahtjeva	zahtjev	Ncmpg
vezanih	vezan	Agpmpgy
uz	uz	Sa
higijenu	higijena	Ncfsa
koji	koji	Pi-mpn
su	biti	Var3p
utvrđeni	utvrditi	Appmpny
u	u	Sl
Uredbi	uredba	Ncfsl
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
852/2004.	852/2004.	Mds

(	(	Z
4	4	Mdc
)	)	Z
Donatori	donator	Ncmpn
i	i	Cc
posrednici	posrednik	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
sudionici	sudionik	Ncmpn
u	u	Sl
lancu	lanac	Ncmsl
doniranja	doniranje	Ncnsg
hrane	hrana	Ncfsg
za	za	Sa
životinje	životinja	Ncfpa
odgovorni	odgovoran	Agpmpny
su	biti	Var3p
za	za	Sa
sigurnost	sigurnost	Ncfsa
hrane	hrana	Ncfsg
za	za	Sa
životinje	životinja	Ncfpa
u	u	Sl
fazama	faza	Ncfpl
koje	koji	Pi-fpn
su	biti	Var3p
pod	pod	Si
njihovom	njihov	Ps3fsi
kontrolom	kontrola	Ncfsi
sukladno	sukladan	Agpnsny
Uredbi	uredba	Ncfsl
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
178/2002	178/2002	Mdc
te	te	Cc
se	sebe	Px--sa
moraju	morati	Vmr3p
se	sebe	Px--sa
pridržavati	pridržavati	Vmn
općih	opći	Agpmpgy
zahtjeva	zahtjev	Ncmpg
vezanih	vezan	Agpmpgy
uz	uz	Sa
higijenu	higijena	Ncfsa
koji	koji	Pi-mpn
su	biti	Var3p
utvrđeni	utvrditi	Appmpny
u	u	Sl
Uredbi	uredba	Ncfsl
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
183/2005.	183/2005.	Mds

II	ii	Mrc
.	.	Z

UVJETI	uvjet	Ncmpn
,	,	Z
KRITERIJI	kriterij	Ncmpn
I	i	Cc
NAČINI	način	Ncmpn
