15.00	15.00	Mds
x30	x30	Mdc
Sva	sav	Agpnpay
nacionalna	nacionalan	Agpnpay
tržišta	tržište	Ncnpa
izvan	izvan	Sg
EU-a	EU	Npmsg

Članak	članak	Ncmsn
13.	13.	Mdo

Iza	iza	Sg
točke	točka	Ncfsg
130.	130.	Mdo

Upute	uputa	Ncfpn
u	u	Sl
tablici	tablica	Ncfsl
brišu	brisati	Vmr3p
se	sebe	Px--sa
sljedeći	sljedeći	Agpmpny
redci	redak	Ncmpn
:	:	Z

Izvještaj	izvještaj	Ncmsn
Tag	tag	Ncmsn
Tip	tip	Ncmsn
vrijednosti	vrijednost	Ncfsg
Opis	opis	Agpfsgy
vrijednosti	vrijednost	Ncfsg
Vrijednost	vrijednost	Ncfsn
(	(	Z
AN	AN	Npmsn
)	)	Z
C	C	X
06.02	06.02	Mdc
9999040	9999040	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
Opseg	opseg	Ncmsn
podataka	podatak	Ncmpg
:	:	Z
pojedinačno	pojedinačno	Rgp
potpuno	potpuno	Rgp
konsolidirana	konsolidirati	Appfsny
SF	SF	Npfsn
C	C	X
06.02	06.02	Mdc
9999040	9999040	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
Opseg	opseg	Ncmsn
podataka	podatak	Ncmpg
:	:	Z
pojedinačno	pojedinačno	Rgp
djelomično	djelomično	Rgp
konsolidirana	konsolidirati	Appfsny
SP	SP	Npfsn
C	C	X
06.02	06.02	Mdc
9999040	9999040	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
Opseg	opseg	Ncmsn
podataka	podatak	Ncmpg
:	:	Z
potkonsolidirana	potkonsolidirana	Ncfsn
SC	SC	Npfsn
P	P	Npfsn
03.00	03.00	Mdc
9999010	9999010	Mdc
Niz	niz	Ncmsn
znakova	znak	Ncmpg
Oznaka	oznaka	Ncfsn
(	(	Z
DZS	DZS	Npmsn
;	;	Z
interni	interni	Agpmsny
evidencijski	evidencijski	Agpmsny
broj	broj	Ncmsn
;	;	Z
OIB	OIB	Npmsn
)	)	Z
P	P	Y
03.00	03.00	Mdc
9999020	9999020	Mdc
Ključ	ključ	Ncmsn
LEI	le	Agpfpgy
oznaka	oznaka	Ncfpg
(	(	Z
utvrđeno	utvrditi	Appnsny
u	u	Sl
EU-u	EU	Npmsl
)	)	Z

Iza	iza	Sg
točke	točka	Ncfsg
130.	130.	Mdo

Upute	uputa	Ncfpn
u	u	Sl
tablici	tablica	Ncfsl
se	sebe	Px--sa
,	,	Z
iza	iza	Sg
zadnjeg	zadnji	Agpmsgy
retka	redak	Ncmsg
,	,	Z
dodaju	dodati	Vmr3p
novi	nov	Agpmpny
redci	redak	Ncmpn
,	,	Z
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

Izvještaj	izvještaj	Ncmsn
Tag	tag	Ncmsn
Tip	tip	Ncmsn
vrijednosti	vrijednost	Ncfsg
Opis	opis	Agpfsgy
vrijednosti	vrijednost	Ncfsg
Vrijednost	vrijednost	Ncfsn
(	(	Z
AN	AN	Npmsn
)	)	Z
C	C	X
06.02	06.02	Mdc
9999040	9999040	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
Opseg	opseg	Ncmsn
podataka	podatak	Ncmpg
:	:	Z
pojedinačno	pojedinačno	Rgp
potpuno	potpuno	Rgp
konsolidirana	konsolidirati	Appfsny
x29	x29	Mdc
C	C	X
06.02	06.02	Mdc
9999040	9999040	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
Opseg	opseg	Ncmsn
podataka	podatak	Ncmpg
:	:	Z
pojedinačno	pojedinačno	Rgp
djelomično	djelomično	Rgp
konsolidirana	konsolidirati	Appfsny
x32	x32	X
F	F	X
40.01	40.01	Mdc
9999140	9999140	Mdc
Šifra	šifra	Ncfsn
Puna	pun	Agpfsny
konsolidacija	konsolidacija	Ncfsn
x29	x29	Mdc
F	F	Y
40.01	40.01	Mdc
9999140	9999140	Mdc
Šifra	šifra	Ncfsn
Djelomična	djelomičan	Agpfsny
konsolidacija	konsolidacija	Ncfsn
x30	x30	Mdc
F	F	Y
40.01	40.01	Mdc
9999140	9999140	Mdc
Šifra	šifra	Ncfpg
Metoda	metoda	Ncfsn
udjela	udjel	Ncmsg
x31	x31	X
F	F	X
40.01	40.01	Mdc
9999140	9999140	Mdc
Šifra	Šifra	Npfsn
Ostalo	ostali	Agpnsny
(	(	Z
nije	biti	Var3s
puna	pun	Agpfsny
,	,	Z
djelomična	djelomičan	Agpfsny
konsolidacija	konsolidacija	Ncfsn
,	,	Z
metoda	metoda	Ncfsn
udjela	udjel	Ncmsg
)	)	Z
x32	x32	X
F	F	X
40.01	40.01	Mdc
9999150	9999150	Mdc
Niz	niz	Ncmsn
znakova	znak	Ncmpg
Računovodstveni	računovodstveni	Agpmsny
tretman	tretman	Ncmsn
[	[	Z
grupa	grupa	Ncfsn
CRR-a	CRR	Npmsg
]	]	Z
(	(	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
naziv	naziv	Ncmsn
do	do	Sg
100	100	Mdc
znakova	znak	Ncmpg
)	)	Z
P	P	X
03.00	03.00	Mdc
9999010	9999010	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
LEI	le	Agpfpgy
oznaka	oznaka	Ncfpg
(	(	Z
utvrđeno	utvrditi	Appnsny
u	u	Sl
EU-u	EU	Npmsl
)	)	Z
P		Npmsl
03.00	03.00	Mdc
9999020	9999020	Mdc
Ključ	ključ	Ncmsn
Oznaka	oznaka	Ncfsn
(	(	Z
DZS	DZS	Npmsn
;	;	Z
interni	interni	Agpmsny
evidencijski	evidencijski	Agpmsny
broj	broj	Ncmsn
;	;	Z
OIB	OIB	Npmsn
)	)	Z
C	C	X
27.00	27.00	Mdc
9999010	9999010	Mdc
Ključ	ključ	Ncmsn
Oznaka	oznaka	Ncfsn
(	(	Z
DZS	DZS	Npmsn
;	;	Z
interni	interni	Agpmsny
evidencijski	evidencijski	Agpmsny
broj	broj	Ncmsn
;	;	Z
OIB	OIB	Npmsn
)	)	Z
C	C	X
27.00	27.00	Mdc
9999020	9999020	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
Naziv	naziv	Ncmsn
(	(	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
naziv	naziv	Ncmsn
do	do	Sg
100	100	Mdc
znakova	znak	Ncmpg
)	)	Z
C	C	X
27.00	27.00	Mdc
9999030	9999030	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
LEI	le	Agpfpgy
oznaka	oznaka	Ncfpg
(	(	Z
utvrđeno	utvrditi	Appnsny
u	u	Sl
EU-u	EU	Npmsl
)	)	Z
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Oznaka	oznaka	Ncfsn
zemlje	zemlja	Ncfsg
upotrebljava	upotrebljavati	Vmr3s
se	sebe	Px--sa
dvoslovna	dvoslovan	Agpfsny
oznaka	oznaka	Ncfsn
zemlje	zemlja	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
abecednim	abecedni	Agpmsiy
popisom	popis	Ncmsi
država	država	Ncfpg
i	i	Cc
zemalja	zemlja	Ncfpg
i	i	Cc
njihovih	njihov	Ps3fpg
oznaka	oznaka	Ncfpg
iz	iz	Sg
podzakonskih	podzakonski	Agpmpgy
propisa	propis	Ncmpg
Hrvatske	hrvatski	Agpfsgy
narodne	narodni	Agpfsgy
banke	banka	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
Zakona	zakon	Ncmsg
o	o	Sl
platnom	platni	Agpmsly
prometu	promet	Ncmsl
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Ostale	ostali	Agpfsgy
zemlje	zemlja	Ncfsg
x28	x28	Mdc
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Međunarodne	međunarodni	Agpfsgy
organizacije	organizacija	Ncfsg
(	(	Z
kao	kao	Cs
pseudogeografsko	pseudogeografski	Agpnsny
područje	područje	Ncnsn
)	)	Z
_1A	_1	Ncmsg
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfpg
Organizacije	organizacija	Ncfsg
Ujedinjenih	ujediniti	Agpmpgy
naroda	narod	Ncmpg
_1B	_1B	Npmsn
C	C	Npmsn
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	Šifra	Npfsn
Međunarodni	međunarodni	Agpmsny
monetarni	monetaran	Agpmsny
fond	fond	Ncmsn
(	(	Z
MMF	MMF	Npmsn
)	)	Z
_1C	_1C	X
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Svjetska	svjetski	Agpfsny
trgovinska	trgovinski	Agpfsny
organizacija	organizacija	Ncfsn
(	(	Z
WTO	WTO	Npmsn
)	)	Z
_1D	_1D	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Međunarodna	međunarodni	Agpfsny
banka	banka	Ncfsn
za	za	Sa
obnovu	obnova	Ncfsa
i	i	Cc
razvoj	razvoj	Ncmsan
(	(	Z
IBRD	IBRD	Npmsn
)	)	Z
_1E	_1e	Ncnsn
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Međunarodno	međunarodni	Agpnsny
udruženje	udruženje	Ncnsn
za	za	Sa
razvoj	razvoj	Ncmsan
(	(	Z
IDA	Ida	Npfsn
)	)	Z
_1F	_1F	X
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Ostale	ostali	Agpfsgy
organizacije	organizacija	Ncfsg
UN-a	UN	Npmsg
(	(	Z
uključujući	uključivati	Rr
1	1	Mdc
H	h	Y
,	,	Z
1	1	Mdc
J	j	Y
–	–	Z
1	1	Mdc
T	T	X
)	)	Z
_1G	_1G	X
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfpg
Organizacija	organizacija	Ncfpg
Ujedinjenih	ujediniti	Appfpgy
naroda	narod	Ncmpg
za	za	Sa
obrazovanje	obrazovanje	Ncnsa
,	,	Z
znanost	znanost	Ncfsa
i	i	Cc
kulturu	kultura	Ncfsa
(	(	Z
UNESCO	UNESCO	Npmsn
)	)	Z
_1H	_1H	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Aspfsny
Organizacija	organizacija	Ncfsn
za	za	Sa
hranu	hrana	Ncfsa
i	i	Cc
poljoprivredu	poljoprivreda	Ncfsa
(	(	Z
FAO	FAO	Npmsn
)	)	Z
_1J	_1j	Ncnsn
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Svjetska	svjetski	Agpfsny
zdravstvena	zdravstven	Agpfsny
organizacija	organizacija	Ncfsn
(	(	Z
WHO	WHO	Npmsn
)	)	Z
_1K	_1K	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Međunarodni	međunarodni	Agpmsny
fond	fond	Ncmsn
za	za	Sa
razvoj	razvoj	Ncmsan
