niskogradnje	niskogradnja	Ncfsg
F42	F42	X
C	C	X
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
F43	F43	X
–	–	Z
Specijalizirane	specijaliziran	Agpfpny
građevinske	građevinski	Agpfpny
djelatnosti	djelatnost	Ncfpn
F43	F43	X
C	C	X
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
G	g	Appfsny
–	–	Z
TRGOVINA	trgovina	Ncfsn
NA	na	Sa
VELIKO	velik	Agpnsny
I	i	Cc
NA	na	Sa
MALO	mali	Agpnsay
;	;	Z
POPRAVAK	popravak	Ncmsan
MOTORNIH	motoran	Agpnpgy
VOZILA	vozilo	Ncnpg
I	i	Cc
MOTOCIKALA	MOTOCIKAL	Npmsg
G	g	Xf
C	C	Xf
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
G45	gti	Appfsny
–	–	Z
Trgovina	trgovina	Ncfsn
na	na	Sa
veliko	velik	Agpnsay
i	i	Cc
na	na	Sl
malo	malo	Rgp
motornim	motoran	Agpnply
vozilima	vozilo	Ncnpl
i	i	Cc
motociklima	motocik	Ncmpi
;	;	Z
popravak	popravak	Ncmsan
motornih	motoran	Agpnpgy
vozila	vozilo	Ncnpg
i	i	Cc
motocikala	motocik	Ncmpg
G45	G45	X
C	C	X
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
G46	gti	Appfsny
–	–	Z
Trgovina	trgovina	Ncfsn
na	na	Sa
veliko	veliko	Rgp
,	,	Z
osim	osim	Sg
trgovine	trgovina	Ncfsg
motornim	motoran	Agpnpiy
vozilima	vozilo	Ncnpi
i	i	Cc
motociklima	motocik	Ncmpi
G46	G46	X
C	C	X
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
G47	gti	Appfsny
–	–	Z
Trgovina	trgovina	Ncfsn
na	na	Sa
malo	malo	Rgp
,	,	Z
osim	osim	Sg
trgovine	trgovina	Ncfsg
motornim	motoran	Agpnpiy
vozilima	vozilo	Ncnpi
i	i	Cc
motociklima	motocik	Ncmpi
G47	G47	X
C	C	X
27.00	27.00	Mds
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
H	h	Y
–	–	Z
PRIJEVOZ	prijevoz	Ncmsan
I	i	Cc
SKLADIŠTENJE	skladištenje	Ncnsn
H	h	Xf
C	C	Xf
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
H49	H49	Mdc
–	–	Z
Kopneni	kopnen	Agpmsny
prijevoz	prijevoz	Ncmsn
i	i	Cc
cjevovodni	cjevovodni	Agpmsny
transport	transport	Ncmsn
H49	H49	X
C	C	X
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
H50	H50	Mdc
–	–	Z
Vodeni	voden	Agpmsny
prijevoz	prijevoz	Ncmsn
H50	H50	X
C	C	X
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
H51	H51	Mdc
–	–	Z
Zračni	zračan	Agpmsny
prijevoz	prijevoz	Ncmsn
H51	H51	X
C	C	X
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
H52	H52	X
–	–	Z
Skladištenje	skladištenje	Ncnsn
i	i	Cc
prateće	prateći	Agpfsgy
djelatnosti	djelatnost	Ncfsg
u	u	Sl
prijevozu	prijevoz	Ncmsl
H52	H52	Mdc
C	C	X
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
H53	H53	X
–	–	Z
Poštanske	poštanski	Agpfsgy
i	i	Cc
kurirske	kurirski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
H53	H53	Mdc
C	C	Xf
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
I	i	Cc
–	i	Agpfpny
DJELATNOSTI	djelatnost	Ncfpn
PRUŽANJA	pružanje	Ncnsg
