O1210	O1210	Mdc
XXX	xxx	Y
23	23	Mdc
31.	31.	Mdo
3.	3.	Mdo
2014.	2014.	Mdo
31.	31.	Mdo
12.	12.	Mdo
2015.	2015.	Mdo
iznos	iznos	Ncmsn
izloženosti	izloženost	Ncfsg
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
zbog	zbog	Sg
zamjene	zamjena	Ncfsg
izloženosti	izloženost	Ncfsg
smanjuje	smanjivati	Vmr3s
izloženost	izloženost	Ncfsa
prema	prema	Sl
izvornom	izvoran	Agpmsly
klijentu	klijent	Ncmsl
11963	11963	Mdc
AI	AI	Y
O1211	O1211	Mdc
XXX	xxx	Y
23	23	Mdc
31.	31.	Mdo
3.	3.	Mdo
2014.	2014.	Mdo
31.	31.	Mdo
12.	12.	Mdo
2015.	2015.	Mdo
iznos	iznos	Ncmsn
izloženosti	izloženost	Ncfsg
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
zbog	zbog	Sg
zamjene	zamjena	Ncfsg
izloženosti	izloženost	Ncfsg
smanjuje	smanjivati	Vmr3s
izloženost	izloženost	Ncfsa
prema	prema	Sl
izvornom	izvoran	Agpmsly
klijentu	klijent	Ncmsl
11964	11964	Mdc
AI	AI	Y
O1212	O1212	Mdc
XXX	xxx	Y
23	23	Mdc
31.	31.	Mdo
3.	3.	Mdo
2014.	2014.	Mdo
31.	31.	Mdo
12.	12.	Mdo
2015.	2015.	Mdo
iznos	iznos	Ncmsn
izloženosti	izloženost	Ncfsg
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
zbog	zbog	Sg
zamjene	zamjena	Ncfsg
izloženosti	izloženost	Ncfsg
smanjuje	smanjivati	Vmr3s
izloženost	izloženost	Ncfsa
prema	prema	Sl
izvornom	izvoran	Agpmsly
klijentu	klijent	Ncmsl
11965	11965	Mdc
AI	AI	Y
Z2001	Z2001	Mdc
XXX	xxx	Y
23	23	Mdc
31.	31.	Mdo
3.	3.	Mdo
2014.	2014.	Mdo
31.	31.	Mdo
12.	12.	Mdo
2015.	2015.	Mdo
iznos	iznos	Ncmsn
izloženosti	izloženost	Ncfsg
i	i	Cc
izuzeća	izuzeće	Ncnsg
od	od	Sg
ograničenja	ograničenje	Ncnsg
potrebnih	potreban	Agpfpgy
za	za	Sa
izračun	izračun	Ncmsan
izloženosti	izloženost	Ncfsg
11966	11966	Mdc
AI	AI	Y
Z2002	Z2002	Mdc
XXX	xxx	Y
23	23	Mdc
31.	31.	Mdo
3.	3.	Mdo
2014.	2014.	Mdo
31.	31.	Mdo
12.	12.	Mdo
2015.	2015.	Mdo
iznos	iznos	Ncmsn
izloženosti	izloženost	Ncfsg
i	i	Cc
izuzeća	izuzeće	Ncnsg
od	od	Sg
ograničenja	ograničenje	Ncnsg
potrebnih	potreban	Agpfpgy
za	za	Sa
izračun	izračun	Ncmsan
izloženosti	izloženost	Ncfsg
11967	11967	Mdc
AI	AI	Y
Z2003	Z2003	Mdc
XXX	xxx	Y
23	23	Mdc
31.	31.	Mdo
3.	3.	Mdo
2014.	2014.	Mdo
31.	31.	Mdo
12.	12.	Mdo
2015.	2015.	Mdo
iznos	iznos	Ncmsn
izloženosti	izloženost	Ncfsg
i	i	Cc
izuzeća	izuzeće	Ncnsg
od	od	Sg
ograničenja	ograničenje	Ncnsg
potrebnih	potreban	Agpfpgy
za	za	Sa
izračun	izračun	Ncmsan
izloženosti	izloženost	Ncfsg
11968	11968	Mdc
AI	AI	Y
Z2004	Z2004	Mdc
XXX	xxx	Y
23	23	Mdc
31.	31.	Mdo
3.	3.	Mdo
2014.	2014.	Mdo
31.	31.	Mdo
12.	12.	Mdo
2015.	2015.	Mdo
iznos	iznos	Ncmsn
izloženosti	izloženost	Ncfsg
i	i	Cc
izuzeća	izuzeće	Ncnsg
od	od	Sg
ograničenja	ograničenje	Ncnsg
potrebnih	potreban	Agpfpgy
za	za	Sa
izračun	izračun	Ncmsan
izloženosti	izloženost	Ncfsg
11969	11969	Mdc
AI	AI	Y
Z2005	Z2005	Mdc
XXX	xxx	Y
23	23	Mdc
31.	31.	Mdo
3.	3.	Mdo
2014.	2014.	Mdo
31.	31.	Mdo
12.	12.	Mdo
2015.	2015.	Mdo
iznos	iznos	Ncmsn
izloženosti	izloženost	Ncfsg
i	i	Cc
izuzeća	izuzeće	Ncnsg
od	od	Sg
ograničenja	ograničenje	Ncnsg
potrebnih	potreban	Agpfpgy
za	za	Sa
izračun	izračun	Ncmsan
izloženosti	izloženost	Ncfsg
11970	11970	Mdc
AI	AI	Y
Z2006	Z2006	Mdc
XXX	xxx	Y
23	23	Mdc
31.	31.	Mdo
3.	3.	Mdo
2014.	2014.	Mdo
31.	31.	Mdo
12.	12.	Mdo
2015.	2015.	Mdo
iznos	iznos	Ncmsn
izloženosti	izloženost	Ncfsg
i	i	Cc
izuzeća	izuzeće	Ncnsg
od	od	Sg
ograničenja	ograničenje	Ncnsg
potrebnih	potreban	Agpfpgy
za	za	Sa
izračun	izračun	Ncmsan
izloženosti	izloženost	Ncfsg
11971	11971	Mdc
AI	AI	Y
Z2007	Z2007	Mdc
XXX	xxx	Y
23	23	Mdc
31.	31.	Mdo
3.	3.	Mdo
2014.	2014.	Mdo
31.	31.	Mdo
12.	12.	Mdo
2015.	2015.	Mdo
iznos	iznos	Ncmsn
izloženosti	izloženost	Ncfsg
i	i	Cc
izuzeća	izuzeće	Ncnsg
od	od	Sg
ograničenja	ograničenje	Ncnsg
potrebnih	potreban	Agpfpgy
za	za	Sa
izračun	izračun	Ncmsan
izloženosti	izloženost	Ncfsg
11972	11972	Mdc
AI	AI	Y
Z2008	Z2008	Mdc
XXX	xxx	Y
23	23	Mdc
31.	31.	Mdo
3.	3.	Mdo
2014.	2014.	Mdo
31.	31.	Mdo
12.	12.	Mdo
2015.	2015.	Mdo
iznos	iznos	Ncmsn
izloženosti	izloženost	Ncfsg
i	i	Cc
izuzeća	izuzeće	Ncnsg
od	od	Sg
ograničenja	ograničenje	Ncnsg
potrebnih	potreban	Agpfpgy
za	za	Sa
izračun	izračun	Ncmsan
izloženosti	izloženost	Ncfsg
11973	11973	Mdc
AI	AI	Y
Z2009	Z2009	Mdc
XXX	xxx	Y
23	23	Mdc
31.	31.	Mdo
3.	3.	Mdo
2014.	2014.	Mdo
31.	31.	Mdo
12.	12.	Mdo
2015.	2015.	Mdo
iznos	iznos	Ncmsn
izloženosti	izloženost	Ncfsg
i	i	Cc
izuzeća	izuzeće	Ncnsg
od	od	Sg
ograničenja	ograničenje	Ncnsg
potrebnih	potreban	Agpfpgy
za	za	Sa
izračun	izračun	Ncmsan
izloženosti	izloženost	Ncfsg
11974	11974	Mdc
AI	AI	Y
Z2010	Z2010	Mdc
XXX	xxx	Y
23	23	Mdc
