Odlukom	odluka	Ncfsi
o	o	Sl
statističkom	statistički	Agpmsly
i	i	Cc
bonitetnom	bonitetni	Agpnsly
izvješćivanju	izvješćivanje	Ncnsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
35/2010.	35/2010.	Mds
,	,	Z
95/2010.	95/2010.	Mds
,	,	Z
146/2010.	146/2010.	Mdo
,	,	Z
68/2011.	68/2011.	Mdo
,	,	Z
37/2012.	37/2012.	Mdo
,	,	Z
121/2013.	121/2013.	Mds
,	,	Z
41	41	Mdc
A	a	Cc
/	/	Z
2014.	2014.	Mdo
,	,	Z
127/2014.	127/2014.	Mdo
i	i	Cc
67/2015.	67/2015.	Mdo
)	)	Z
,	,	Z
tj.	tj.	Y
ne	ne	Qz
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
članke	članak	Ncfsg
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
,	,	Z
3.	3.	Mdo
,	,	Z
6.	6.	Mdo
,	,	Z
7.	7.	Mdo
,	,	Z
8.	8.	Mdo
,	,	Z
9.	9.	Mdo
,	,	Z
12.	12.	Mdo
,	,	Z
13.	13.	Mdo
,	,	Z
14.	14.	Mdo
,	,	Z
15.	15.	Mdo
,	,	Z
16.	16.	Mdo
,	,	Z
17.	17.	Mdo
,	,	Z
18.	18.	Mdo
,	,	Z
19.	19.	Mdo
,	,	Z
20.	20.	Mdo
,	,	Z
22.	22.	Mdo
,	,	Z
23.	23.	Mdo
,	,	Z
24.	24.	Mdo
,	,	Z
28.	28.	Mdo
,	,	Z
29.	29.	Mdo
,	,	Z
31.	31.	Mdo
,	,	Z
32.	32.	Mdo
i	i	Cc
33.	33.	Mdo
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
,	,	Z
obveznici	obveznik	Ncmpn
izvješćivanja	izvješćivanje	Ncnsg
dužni	dužan	Agpmpny
su	biti	Var3p
izraditi	izraditi	Vmn
sa	sa	Si
stanjem	stanje	Ncnsi
na	na	Sa
dan	dan	Ncmsan
31.	31.	Mdo
prosinca	prosinac	Ncmsg
2015.	2015.	Mdo
i	i	Cc
dostaviti	dostaviti	Vmn
Hrvatskoj	Hrvatska	Npfsd
narodnoj	narodni	Agpfsly
banci	banka	Ncfsl
,	,	Z
i	i	Cc
to	to	Qo
u	u	Sl
sljedećim	sljedeći	Agpmply
rokovima	rok	Ncmpl
:	:	Z

1	1	Mdc
)	)	Z
tromjesečna	tromjesečan	Agpnpny
izvješća	izvješće	Ncnpn
najkasnije	kasno	Rgs
do	do	Sg
11.	11.	Mdo
veljače	veljača	Ncfsg
2016.	2016.	Mdo
,	,	Z

2	2	Mdc
)	)	Z
nekonsolidirana	nekonsolidiran	Agpfsny
revidirana	revidirati	Ncfsn
izvješća	izvješće	Ncnsg
