vrijednosti	vrijednost	Ncfpa
iznosa	iznos	Ncmsg
predujma	predujam	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Bankarska	bankarski	Agpfsny
garancija	garancija	Ncfsn
mora	morati	Vmr3s
vrijediti	vrijediti	Vmn
od	od	Sg
trenutka	trenutak	Ncmsg
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
do	do	Sg
isteka	istek	Ncmsg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
nakon	nakon	Sg
krajnjeg	krajnji	Agpmsgy
roka	rok	Ncmsg
za	za	Sa
podnošenje	podnošenje	Ncnsa
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
plaćanja	plaćanje	Ncnsg
predujma	predujam	Ncmsg
korisnik	korisnik	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
podnijeti	podnijeti	Vmn
samo	samo	Rgp
posljednji	posljednji	Agpmsny
Zahtjev	zahtjev	Ncmsn
za	za	Sa
isplatu	isplata	Ncfsa
sukladno	sukladno	Rgp
članku	članak	Ncmsd
10.	10.	Mdo
stavku	stavak	Ncmsl
14.	14.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Isplaćeni	isplatiti	Agpmsny
predujam	predujam	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
opravdava	opravdavati	Vmr3s
se	sebe	Px--sa
plaćenim	platiti	Appmpdy
računima	račun	Ncmpi
za	za	Sa
ulaganja	ulaganje	Ncnpa
odobrena	odobriti	Appfsny
Odlukom	odluka	Ncfsi
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
pri	pri	Sl
podnošenju	podnošenje	Ncnsl
konačnog	konačan	Agpmsgy
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Garancija	garancija	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
vraća	vraćati	Vmr3s
se	sebe	Px--sa
korisniku	korisnik	Ncmsd
sukladno	sukladno	Rgp
stavku	stavak	Ncmsl
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
temeljem	temelj	Ncmsi
Odluke	odluka	Ncfsg
o	o	Sl
jamstvu	jamstvo	Ncnsl
,	,	Z
ako	ako	Cs
korisnik	korisnik	Ncmsn
dokaže	dokazati	Vmr3s
izvršenje	izvršenje	Ncnsa
ulaganja	ulaganje	Ncnsg
odobrenih	odobren	Agpmpgy
Odlukom	odluka	Ncfsi
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Garancija	garancija	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
aktivira	aktivirati	Vmr3s
se	sebe	Px--sa
temeljem	temelj	Ncmsi
Odluke	odluka	Ncfsg
o	o	Sl
jamstvu	jamstvo	Ncnsl
radi	radi	Sg
povrata	povrat	Ncmsg
sredstava	sredstvo	Ncnpg
isplaćenog	isplatiti	Agpmsgy
predujma	predujam	Ncmsg
u	u	Sl
slučaju	slučaj	Ncmsl
neispunjavanja	neispunjavanje	Ncnsg
uvjeta	uvjet	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
Izvještaj	izvještaj	Ncmsan
o	o	Sl
napretku	napredak	Ncmsl
svakih	svaki	Agpmpgy
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
,	,	Z
počevši	početi	Rr
od	od	Sg
dana	dan	Ncmpg
izdavanja	izdavanje	Ncnsg
Odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
nakon	nakon	Sg
završenog	završen	Agpmsgy
projekta	projekt	Ncmsg
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
u	u	Sl
elektronskom	elektronski	Agpmsly
obliku	oblik	Ncmsl
putem	put	Sg
AGRONET-a	AGRONET	Npmsg
koji	koji	Pi-msn
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
na	na	Sl
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
(	(	Z
www.apprrr.hr	www.apprrr.hr	X
)	)	Z
.	.	Z

Način	način	Ncmsn
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
pojašnjen	pojasniti	Appmsnn
je	biti	Var3s
u	u	Sl
Vodiču	vodič	Ncmsl
za	za	Sa
korisnike	korisnik	Ncmpa
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Prilikom	prilikom	Sg
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
/	/	Z
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
korisnici	korisnik	Ncmpn
su	biti	Var3p
obvezni	obvezan	Agpmpny
učitati	učitati	Vmn
u	u	Sa
AGRONET	AGRONET	Npmsan
svu	sav	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
propisanu	propisati	Appfsay
natječajem	natječaj	Ncmsi
.	.	Z

Natječajem	natječaj	Ncmsi
se	sebe	Px--sa
propisuje	propisivati	Vmr3s
dokumentacija	dokumentacija	Ncfsn
koju	koji	Pi-fsa
je	biti	Var3s
obvezno	obvezno	Rgp
dostaviti	dostaviti	Vmn
i	i	Qo
u	u	Sl
originalu	original	Ncmsl
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Nakon	nakon	Sg
podnošenja	podnošenje	Ncnsg
elektronskog	elektronski	Agpmsgy
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
/	/	Z
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
u	u	Sl
AGRONET-u	AGRONET	Npmsl
,	,	Z
korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
neposredno	neposredno	Rgp
ili	ili	Cc
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
u	u	Sl
roku	rok	Ncmsl
određenom	određen	Agpmsly
natječajem	natječaj	Ncmsi
dostaviti	dostaviti	Vmn
