kinematičkih	kinematički	Agpmpgy
profila	profil	Ncmpg
GA	on	Pp3msa
,	,	Z
GB	GB	Npmsn
,	,	Z
GB1	GB	Npmsl
,	,	Z
GB2	gbi	Agpnsny
,	,	Z
GC	GC	Npmsn
i	i	Cc
GI3	gii	Agpnsny
,	,	Z

3.	3.	Mdo
UIC	UIC	Npmsn
540	540	Mdc
–	–	Z
Kočnice	kočnica	Ncfpn
–	–	Z
Zračne	zračan	Agpfsgy
kočnice	kočnica	Ncfsg
za	za	Sa
vlakove	vlak	Ncmpa
za	za	Sa
prijevoz	prijevoz	Ncmsan
tereta	teret	Ncmsg
i	i	Cc
putnika	putnik	Ncmpg
,	,	Z

4.	4.	Mdo
UIC	UIC	Npmsn
541	541	Mdc
-	-	Z
00	00	Mdc
–	–	Z
Izdavanje	izdavanje	Ncnsn
UIC	UI	Npmsg
pečata	pečat	Ncmsg
odobrenja	odobrenje	Ncnsg
/	/	Z
UIC		Agcfpay
oznake	oznaka	Ncfpa
za	za	Sa
dijelove	dio	Ncmpa
vozila	vozilo	Ncnpa
,	,	Z

5.	5.	Mdo
UIC	UIC	Npmsn
541	541	Mdc
-	-	Z
03	03	Mdc
–	–	Z
Kočnice	kočnica	Ncfpn
–	–	Z
Propisi	propis	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
tiču	ticati	Vmr3p
izrade	izrada	Ncfpn
različitih	različit	Agpmpgy
dijelova	dio	Ncmpg
kočnice	kočnica	Ncfsg
–	–	Z
Kočnik	Kočnik	Npmsn
,	,	Z

6.	6.	Mdo
UIC	UIC	Npmsn
543	543	Mdc
–	–	Z
Kočnica	kočnica	Ncfsn
–	–	Z
Propisi	propis	Ncmpn
koji	koji	Pi-mpn
reguliraju	regulirati	Vmr3p
opremu	oprema	Ncfsa
vučenih	vući	Agpnpgy
vozila	vozilo	Ncnpg
,	,	Z

7.	7.	Mdo
UIC	UIC	Npmsn
545	545	Mdc
–	–	Z
Kočnice	kočnica	Ncfpn
–	–	Z
Natpisi	natpis	Ncmpn
,	,	Z
znakovi	znak	Ncmpn
i	i	Cc
oznake	oznaka	Ncfpn
,	,	Z

8.	8.	Mdo
UIC	UIC	Npmsn
553	553	Mdc
–	–	Z
Grijanje	grijanje	Ncnsn
,	,	Z
ventilacija	ventilacija	Ncfsn
i	i	Cc
klimatizacija	klimatizacija	Ncfpg
u	u	Sl
putničkim	putnički	Agpmply
vagonima	vagon	Ncmpl
,	,	Z

9.	9.	Mdo
UIC	UIC	Npmsn
560	560	Mdc
–	–	Z
Vrata	vrata	Ncnpn
,	,	Z
oslonci	oslonac	Ncmpn
za	za	Sa
noge	noga	Ncfpa
,	,	Z
prozori	prozor	Ncmpn
,	,	Z
stube	stuba	Ncfpn
,	,	Z
ručke	ručka	Ncfpn
i	i	Cc
rukohvati	rukohvat	Ncmpn
putničkih	putnički	Agpmpgy
i	i	Cc
prtljažnih	prtljažni	Agpmpgy
vagona	vagon	Ncmpg
,	,	Z

10.	10.	Mdo

UIC	UIC	Npmsn
572	572	Mdc
–	–	Z
Vagoni	vagon	Ncmpn
sastavljeni	sastaviti	Appmpny
od	od	Sg
stalno	stalno	Rgp
kvačenih	kvačiti	Agpfpgy
jedinica	jedinica	Ncfpg
(	(	Z
višestruki	višestruk	Agpmpny
vagoni	vagon	Ncmpn
)	)	Z
i	i	Cc
zglobni	zglobni	Agpmpny
vagoni	vagon	Ncmpn
.	.	Z

PRILOG	prilog	Ncmsn
2.	2.	Mdo

Popis	popis	Ncmsn
TSI-jeva	TSI-jev	Npmsg

1.	1.	Mdo
LOC	LOC	Npmsn
&	&	Z
PAS	pas	Ncmsn
TSI	TSI	Npmsn
:	:	Z
Uredba	uredba	Ncfsn
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
