VI	VI	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
u	u	Sl
dostatnom	dostatan	Agpmsly
broju	broj	Ncmsl
istovjetnih	istovjetan	Agpmpgy
tiskanih	tiskati	Agpmpgy
i	i	Cc
digitalnih	digitalan	Agpmpgy
primjeraka	primjerak	Ncmpg
.	.	Z

Po	po	Sl
izdavanju	izdavanje	Ncnsl
dozvole	dozvola	Ncfsg
,	,	Z
dva	dva	Mlc
digitalna	digitalan	Agpmsgn
i	i	Cc
dva	dva	Ncfsn
ovjerena	ovjeriti	Appfsny
pisana	pisan	Agpmsgn
primjerka	primjerak	Ncmsg
Elaborata	elaborat	Ncmsg
zadržava	zadržavati	Vmr3s
tijelo	tijelo	Ncnsa
koje	koji	Pi-nsn
rješava	rješavati	Vmr3s
o	o	Sl
zahtjevu	zahtjev	Ncmsl
za	za	Sa
dozvolu	dozvola	Ncfsa
,	,	Z
jedan	jedan	Mlcmsn
ovjereni	ovjeriti	Appmpny
pisani	pisati	Appmpny
i	i	Cc
jedan	jedan	Mlcmsn
digitalni	digitalan	Agpmsny
primjerak	primjerak	Ncmsn
Elaborata	elaborat	Ncmpg
se	sebe	Px--sa
dostavlja	dostavljati	Vmr3s
podnositelju	podnositelj	Ncmsd
zahtjeva	zahtjev	Ncmpg
,	,	Z
i	i	Cc
po	po	Sa
jedan	jedan	Mlcmsan
digitalni	digitalan	Agpmsny
primjerak	primjerak	Ncmsn
se	sebe	Px--sa
dostavlja	dostavljati	Vmr3s
ostalim	ostali	Agpfpiy
strankama	stranka	Ncfpi
u	u	Sl
postupku	postupak	Ncmsl
,	,	Z
tijelu	tijelo	Ncnsl
nadležnom	nadležan	Agpmsly
za	za	Sa
inspekcijski	inspekcijski	Agpmsayn
nadzor	nadzor	Ncmsan
i	i	Cc
Hrvatskoj	hrvatski	Agpfsly
agenciji	agencija	Ncfsl
za	za	Sa
okoliš	okoliš	Ncmsan
i	i	Cc
prirodu	priroda	Ncfsa
.	.	Z
«	«	Z
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
2.	2.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
podataka	podatak	Ncmpg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
»	»	Z
i	i	Cc
tablica	tablica	Ncfpg
iz	iz	Sg
točke	točka	Ncfsg
II	ii	Mrc
.	.	Z

Obrasca	obrazac	Ncmsg
dozvole	dozvola	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
djelatnosti	djelatnost	Ncfsg
gospodarenja	gospodarenje	Ncnsg
otpadom	otpad	Ncmsi
iz	iz	Sg
Dodatka	dodatak	Ncmsg
V	V	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
ispunjena	ispuniti	Appfsny
sukladno	sukladno	Rgp
podacima	podatak	Ncmpd
navedenim	naveden	Agpmsiy
Tablicom	tablica	Ncmsi
3.	3.	Mdo
Elaborata	elaborat	Ncmsg
gospodarenja	gospodarenje	Ncnsg
otpadom	otpad	Ncmsi
,	,	Z
u	u	Sl
odgovarajućem	odgovarajući	Agpmsly
digitalnom	digitalan	Agpmsly
tabličnom	tablični	Agpmsly
formatu	format	Ncmsl
(	(	Z
csv	csv	Ncmsn
,	,	Z
xls	xl	Agpmpgy
,	,	Z
ili	ili	Cc
dr.	dr.	Y
)	)	Z
«	«	Z
.	.	Z

Stavak	stavak	Ncmsn
5.	5.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Elaborat	elaborat	Ncmsn
se	sebe	Px--sa
ovjerava	ovjeravati	Vmr3s
službenim	služben	Agpmsiy
pečatom	pečat	Ncmsi
tijela	tijelo	Ncnsg
koje	koji	Pi-nsn
rješava	rješavati	Vmr3s
o	o	Sl
zahtjevu	zahtjev	Ncmsl
za	za	Sa
ishođenje	ishođenje	Ncnsa
dozvole	dozvola	Ncfsg
za	za	Sa
gospodarenje	gospodarenje	Ncnsa
otpadom	otpad	Ncmsi
radi	radi	Sg
