istočne	istočni	Agpfpny
i	i	Cc
južne	južan	Agpfsgy
strane	strana	Ncfsg
,	,	Z
i	i	Cc
to	to	Qo
dijelom	dio	Ncmsi
,	,	Z
kako	kako	Cs
je	biti	Var3s
označeno	označiti	Appnsny
na	na	Sl
prerisu	preris	Ncmsl
katastarskog	katastarski	Agpmsgy
plana	plan	Ncmsg
:	:	Z
cca	cca	Rgp
100	100	Mdc
metara	metar	Ncmpg
:	:	Z
od	od	Sg
južnog	južan	Agpmsgy
ruba	rub	Ncmsg
čestica	čestica	Ncfpg
1723/2	1723/a	Ncfsg
,	,	Z
1723/3	1723/3	Mdc
,	,	Z
1723/4	1723/4	Mdc
,	,	Z
1723/5	1723/5	Mdc
,	,	Z
1674/19	1674/19	Mdc
,	,	Z
1674/18	1674/18	Mdc
,	,	Z
cca	cca	Rgp
100	100	Mdc
metara	metar	Ncmpg
od	od	Sg
zapadnog	zapadni	Agpmsgy
ruba	rub	Ncmsg
čestica	čestica	Ncfpg
1674/17	1674/17	Mds
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
225/1	225/1	Mdc
,	,	Z
1674/25	1674/25	Mdc
,	,	Z
1674/7	1674/7	Mdc
,	,	Z
1674/2	1674/2	Mdc
,	,	Z
1674/5	1674/5	Mdc
,	,	Z
1674/1	1674/1	Mdc
,	,	Z
1684/6	1684/6	Mdc
,	,	Z
1684/4	1684/4	Mdc
,	,	Z
1684/3	1684/3	Mdc
,	,	Z
1684/2	1684/2	Mdc
,	,	Z
cca	cca	Rgp
100	100	Mdc
metara	metar	Ncmpg
od	od	Sg
sjevernog	sjeverni	Agpmsgy
ruba	rub	Ncmsg
čestica	čestica	Ncfpg
1683/4	1683/a	Ncfsg
,	,	Z
1683/3	1683/3	Mdc
,	,	Z
1683/2	1683/2	Mdc
,	,	Z
1683/1	1683/1	Mdc
,	,	Z
potom	potom	Rgp
prostor	prostor	Ncmsn
između	između	Sg
čestica	čestica	Ncfpg
1682/4	1682/4	Mdc
,	,	Z
1682/3	1682/3	Mdc
,	,	Z
1682/2	1682/2	Mdc
,	,	Z
1682/1	1682/1	Mdc
,	,	Z
1673	1673	Mdc
i	i	Cc
čestica	čestica	Ncfsn
1686	1686	Mdc
,	,	Z
1691	1691	Mdc
,	,	Z
1697	1697	Mdc
,	,	Z
1692/1	1692/1	Mdc
,	,	Z
1692/2	1692/2	Mdc
,	,	Z
1692/3	1692/3	Mdc
,	,	Z
sve	sav	Agpnsny
k.	k.	Y
o.	o.	Y
Voštane	voštan	Agpfpny
.	.	Z

Voštane	voštan	Agpfpny
Datum	datum	Ncmsn
:	:	Z
15.09.2015	15.09.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
11	11	Mdc
-	-	Z
06/0749	06/0749	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
2	2	Mdc
Z-5419	z-5419	Agpmsny
Grad	grad	Ncmsn
VRGORAC	VRGORAC	Npfsn
Dusina	Dusina	Npfsn
Ruralna	ruralan	Agpfsny
cjelina	cjelina	Ncfsn
Mihaljevići	Mihaljević	Npmpn
Mihaljevići	Mihaljević	Npmpn
u	u	Sl
brigu	brig	Ncmsl
:	:	Z
potpuna	potpun	Agpfsny
zaštita	zaštita	Ncfsn
povijesnih	povijesni	Agpfpgy
struktura	struktura	Ncfpg
(	(	Z
zona	zona	Ncfsn
A	a	Cc
)	)	Z
:	:	Z
5251	5251	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
443	443	Mdc
,	,	Z
5234	5234	Mdc
,	,	Z
5235	5235	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
445	445	Mdc
,	,	Z
5232	5232	Mdc
,	,	Z
5233	5233	Mdc
,	,	Z
5231/2	5231/2	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
444	444	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
446	446	Mdc
,	,	Z
5231/1	5231/i	Agpnsny
,	,	Z
5236	5236	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
448/1	448/1	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
448/2	448/2	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
447	447	Mdc
,	,	Z
5250	5250	Mdc
,	,	Z
5239	5239	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
442/1	442/1	Mdc
,	,	Z
5240	5240	Mdc
,	,	Z
5241	5241	Mdc
,	,	Z
5238	5238	Mdc
,	,	Z
5242	5242	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
442/2	442/2	Mdc
,	,	Z
5249	5249	Mdc
,	,	Z
5244/2	5244/2	Mdc
,	,	Z
5244/5	5244/5	Mdc
,	,	Z
5244/4	5244/4	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
440	440	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
439	439	Mdc
,	,	Z
5244/1	5244/i	Agpnsny
,	,	Z
5243	5243	Mdc
,	,	Z
5248	5248	Mdc
,	,	Z
5229	5229	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
452	452	Mdc
,	,	Z
5227/3	5227/i	Agpnsny
,	,	Z
5227/1	5227/1	Mdc
,	,	Z
5227/2	5227/2	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
451	451	Mdc
,	,	Z
5226/2	5226/2	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
450/2	450/2	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
450/1	450/1	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
449	449	Mdc
,	,	Z
5237	5237	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
448/3	448/3	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
441/3	441/3	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
441/2	441/2	Mdc
,	,	Z
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
441/1	441/1	Mdc
,	,	Z
5226/1	5226/1	Mdc
,	,	Z
dio	dio	Ncmsn
5275/25	5275/25	Mdc
,	,	Z
5230	5230	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Dusina	Dusina	Npfsn
;	;	Z
djelomična	djelomičan	Agpfsny
zaštita	zaštita	Ncfsn
povijesnih	povijesni	Agpfpgy
struktura	struktura	Ncfpg
(	(	Z
zona	zona	Ncfsn
B	b	X
)	)	Z
:	:	Z
5265	5265	Mdc
,	,	Z
5253	5253	Mdc
,	,	Z
5254/1	5254/1	Mdc
,	,	Z
5254/2	5254/2	Mdc
,	,	Z
5255	5255	Mdc
,	,	Z
5252	5252	Mdc
,	,	Z
5247/3	5247/3	Mdc
,	,	Z
5247/2	5247/2	Mdc
,	,	Z
5247/1	5247/1	Mdc
,	,	Z
5245/3	5245/3	Mdc
,	,	Z
5245/2	5245/2	Mdc
,	,	Z
5245/1	5245/1	Mdc
,	,	Z
5256	5256	Mdc
,	,	Z
5264/2	5264/2	Mdc
,	,	Z
5264/1	5264/1	Mdc
,	,	Z
5257	5257	Mdc
,	,	Z
5258	5258	Mdc
,	,	Z
5263	5263	Mdc
,	,	Z
5262/1	5262/1	Mdc
,	,	Z
5262/2	5262/2	Mdc
,	,	Z
5262/3	5262/3	Mdc
,	,	Z
5260	5260	Mdc
,	,	Z
5259	5259	Mdc
,	,	Z
5261/1	5261/1	Mdc
,	,	Z
5261/2	5261/2	Mdc
,	,	Z
5261/3	5261/3	Mdc
,	,	Z
5246	5246	Mdc
,	,	Z
5211/1	5211/1	Mdc
,	,	Z
5211/2	5211/2	Mdc
,	,	Z
5211/3	5211/3	Mdc
,	,	Z
5211/4	5211/4	Mdc
,	,	Z
5211/5	5211/5	Mdc
,	,	Z
5211/6	5211/6	Mdc
,	,	Z
5211/7	5211/7	Mdc
,	,	Z
5211/8	5211/8	Mdc
,	,	Z
dio	dio	Ncmsn
5275/25	5275/25	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Dusina	Dusin	Npmsg
.	.	Z

Mihaljevići	Mihaljević	Npmpn
na	na	Sl
brigu	brig	Ncmsl
:	:	Z
potpuna	potpun	Agpfsny
zaštita	zaštita	Ncfsn
povijesnih	povijesni	Agpfpgy
struktura	struktura	Ncfpg
(	(	Z
zona	zona	Ncfsn
A	a	Cc
)	)	Z
:	:	Z
4979/1	4979/1	Mdc
,	,	Z
4488/1	4488/1	Mdc
,	,	Z
4488/3	4488/3	Mdc
,	,	Z
4488/2	4488/2	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Dusina	Dusina	Npfsn
;	;	Z
djelomična	djelomičan	Agpfsny
zaštita	zaštita	Ncfsn
povijesnih	povijesni	Agpfpgy
struktura	struktura	Ncfpg
(	(	Z
zona	zona	Ncfsn
B	b	X
)	)	Z
:	:	Z
4979/2	4979/2	Mdc
,	,	Z
4979/5	4979/5	Mdc
,	,	Z
4979/6	4979/6	Mdc
,	,	Z
4974/1	4974/1	Mdc
,	,	Z
4974/2	4974/2	Mdc
,	,	Z
4974/3	4974/3	Mdc
,	,	Z
4978	4978	Mdc
,	,	Z
4977	4977	Mdc
,	,	Z
4976	4976	Mdc
,	,	Z
4973	4973	Mdc
,	,	Z
4975	4975	Mdc
,	,	Z
4489/11	4489/11	Mdc
,	,	Z
4489/10	4489/10	Mdc
,	,	Z
4489/9	4489/9	Mdc
,	,	Z
4489/8	4489/8	Mdc
,	,	Z
4489/7	4489/7	Mdc
,	,	Z
4489/6	4489/6	Mdc
,	,	Z
4489/5	4489/5	Mdc
,	,	Z
4489/4	4489/4	Mdc
,	,	Z
4489/3	4489/3	Mdc
,	,	Z
4489/2	4489/2	Mdc
,	,	Z
4489/1	4489/1	Mdc
,	,	Z
4487/8	4487/8	Mdc
,	,	Z
4487/7	4487/7	Mdc
,	,	Z
4487/6	4487/6	Mdc
,	,	Z
4487/5	4487/5	Mdc
,	,	Z
4487/4	4487/4	Mdc
,	,	Z
4487/3	4487/3	Mdc
,	,	Z
4487/2	4487/2	Mdc
,	,	Z
4487/1	4487/1	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Dusina	Dusin	Npmsg
.	.	Z

Dusina	dusina	Agpmsny
Datum	datum	Ncmsn
:	:	Z
17.08.2015	17.08.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0149	06/0149	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6580	z-6580	Agpmsny
Grad	grad	Ncmsn
KOMIŽA	KOMIŽ	Npmsg
Komiža	Komiž	Npmsg
Spomenički	spomenički	Agpmsny
sklop	sklop	Ncmsn
crkve	crkva	Ncfsg
i	i	Cc
samostana	samostan	Ncmsg
sv.	sv.	Y
Nikole	Nikola	Npmsg
Mustera	Muster	Npmsg
k.	k.	Y
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1699/1	1699/1	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
3455	3455	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1699/2	1699/2	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
3461	3461	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1696	1696	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
4428	4428	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1698/1	1698/1	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
1200	1200	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1691	1691	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
1200	1200	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1694	1694	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
134	134	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1692	1692	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
602	602	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1702/2	1702/2	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
543	543	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
7835/1	7835/1	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
176	176	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1576/3	1576/3	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2704	2704	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1576/2	1576/2	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2739	2739	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1576/4	1576/4	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2704	2704	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1576/1	1576/1	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2738	2738	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1560/7	1560/7	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
468	468	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1560/9	1560/9	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2003	2003	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1560/8	1560/8	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
468	468	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1560/10	1560/10	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2003	2003	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1560/4	1560/4	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
468	468	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1560/3	1560/3	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
468	468	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1561	1561	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
468	468	Mdc
)	)	Z
,	,	Z
9999/46	9999/46	Mdc
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1559	1559	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
378	378	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1558	1558	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
468	468	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1560/1	1560/1	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2774	2774	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1560/6	1560/6	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2523	2523	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1556/1	1556/1	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2821	2821	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1555	1555	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2275	2275	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1580	1580	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2345	2345	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1579	1579	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2345	2345	Mdc
)	)	Z
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
1582	1582	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
1680	1680	Mdc
)	)	Z
,	,	Z
č.	č.	Y
