8284/1	8284/1	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2071	2071	Mdc
,	,	Z
552	552	Mdc
m²	m²	Y
)	)	Z
,	,	Z
8272	8272	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
14070	14070	Mdc
,	,	Z
3217	3217	Mdc
m²	m	Ncmpg
)	)	Z
,	,	Z
8303/1	8303/1	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
4720	4720	Mdc
,	,	Z
886	886	Mdc
m²	m²	Y
)	)	Z
,	,	Z
8304/1	8304/1	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2078	2078	Mdc
,	,	Z
481	481	Mdc
m²	m²	Y
)	)	Z
,	,	Z
8271	8271	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
12857	12857	Mdc
,	,	Z
3100	3100	Mdc
m²	m	Ncmpg
)	)	Z
,	,	Z
8305/1	8305/1	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2029	2029	Mdc
,	,	Z
733	733	Mdc
m²	m²	Y
)	)	Z
,	,	Z
9383/2	9383/2	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
15845	15845	Mdc
,	,	Z
697	697	Mdc
m²	m²	Y
)	)	Z
,	,	Z
8306	8306	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
15590	15590	Mdc
,	,	Z
2154	2154	Mdc
m²	m²	Npfpg
)	)	Z
,	,	Z
7841	7841	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
4719	4719	Mdc
,	,	Z
1007	1007	Mdc
m²	m²	Y
)	)	Z
,	,	Z
7840	7840	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
13907	13907	Mdc
,	,	Z
2135	2135	Mdc
m²	m²	Npfpg
)	)	Z
,	,	Z
7839	7839	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
4914	4914	Mdc
,	,	Z
1704	1704	Mdc
m²	m²	Y
)	)	Z
,	,	Z
7838	7838	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
1828	1828	Mdc
,	,	Z
1412	1412	Mdc
m²	m²	Y
)	)	Z
,	,	Z
7837	7837	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
9213	9213	Mdc
,	,	Z
1654	1654	Mdc
m²	m²	Y
)	)	Z
,	,	Z
7833	7833	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2923	2923	Mdc
,	,	Z
1594	1594	Mdc
m²	m²	Y
)	)	Z
,	,	Z
8319	8319	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2482	2482	Mdc
,	,	Z
2055	2055	Mdc
m²	m²	Y
)	)	Z
,	,	Z
7816/2	7816/2	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
14414	14414	Mdc
,	,	Z
121	121	Mdc
m²	m²	Y
)	)	Z
,	,	Z
7816/1	7816/1	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
14414	14414	Mdc
,	,	Z
24994	24994	Mdc
m²	m	Ncmpg
)	)	Z
,	,	Z
8322	8322	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
9214	9214	Mdc
,	,	Z
1635	1635	Mdc
m²	m²	Y
)	)	Z
,	,	Z
8323	8323	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
9431	9431	Mdc
,	,	Z
2185	2185	Mdc
m²	m²	Y
)	)	Z
,	,	Z
8325	8325	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
5131	5131	Mdc
,	,	Z
1181	1181	Mdc
m²	m²	Y
)	)	Z
,	,	Z
8326	8326	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2196	2196	Mdc
,	,	Z
1501	1501	Mdc
m²	m²	Y
)	)	Z
,	,	Z
8330	8330	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
14165	14165	Mdc
,	,	Z
594	594	Mdc
m²	m²	Y
)	)	Z
,	,	Z
8332	8332	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2744	2744	Mdc
,	,	Z
764	764	Mdc
m²	m²	Y
)	)	Z
,	,	Z
8333	8333	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2524	2524	Mdc
,	,	Z
972	972	Mdc
m²	m²	Y
)	)	Z
,	,	Z
8334	8334	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
3601	3601	Mdc
,	,	Z
839	839	Mdc
m²	m²	Y
)	)	Z
,	,	Z
7812	7812	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
12452	12452	Mdc
,	,	Z
842	842	Mdc
m²	m²	Y
)	)	Z
,	,	Z
7811	7811	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
1767	1767	Mdc
,	,	Z
543	543	Mdc
m²	m²	Y
)	)	Z
,	,	Z
7809	7809	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
1763	1763	Mdc
,	,	Z
928	928	Mdc
m²	m²	Y
)	)	Z
,	,	Z
7808	7808	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
12564	12564	Mdc
,	,	Z
1149	1149	Mdc
m²	m²	Npfpg
)	)	Z
,	,	Z
7807	7807	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
12576	12576	Mdc
,	,	Z
1106	1106	Mdc
m²	m²	Npfpg
)	)	Z
,	,	Z
7806	7806	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
12550	12550	Mdc
,	,	Z
685	685	Mdc
m²	m²	Y
)	)	Z
,	,	Z
7800	7800	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
1723	1723	Mdc
,	,	Z
1643	1643	Mdc
m²	m²	Y
)	)	Z
,	,	Z
7798	7798	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
12607	12607	Mdc
,	,	Z
257	257	Mdc
m²	m²	Y
)	)	Z
,	,	Z
7797	7797	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
12544	12544	Mdc
,	,	Z
1018	1018	Mdc
m²	m²	Npfpg
)	)	Z
,	,	Z
7796	7796	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
4582	4582	Mdc
,	,	Z
1928	1928	Mdc
m²	m²	Y
)	)	Z
,	,	Z
7756	7756	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2787	2787	Mdc
,	,	Z
3042	3042	Mdc
m²	m²	Y
)	)	Z
,	,	Z
7795	7795	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
1717	1717	Mdc
,	,	Z
727	727	Mdc
m²	m²	Y
)	)	Z
,	,	Z
7794	7794	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2922	2922	Mdc
,	,	Z
888	888	Mdc
m²	m²	Y
)	)	Z
,	,	Z
7787	7787	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2092	2092	Mdc
,	,	Z
178	178	Mdc
m²	m²	Y
)	)	Z
,	,	Z
7786/1	7786/1	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
1763	1763	Mdc
,	,	Z
756	756	Mdc
m²	m²	Y
)	)	Z
Zadar	Zadar	Npmsn
Datum	datum	Ncmsn
:	:	Z
09.09.2015	09.09.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
14	14	Mdc
-	-	Z
06/0085	06/0085	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
9	9	Mdc
Z-6257	Z-6257	Mdc
Zagrebačka	zagrebački	Agpfsny
županija	županija	Ncfsn
Grad	grad	Ncmsn
ZAPREŠIĆ	ZAPREŠIĆ	Npmsn
Zaprešić	Zaprešić	Npmsn
Tvornica	tvornica	Ncfsn
Karbon	karbon	Ncmsn
,	,	Z
Maršala	Maršal	Npmsg
Tita	Tit	Npmsg
94	94	Mdc
k.	k.	Y
č.	č.	Y
5840/1	5840/1	Mdc
,	,	Z
5840/10	5840/10	Mdc
,	,	Z
5840/16	5840/16	Mdc
Zaprešić	Zaprešić	Npmsn
Datum	Datum	Npmsn
:	:	Z
14.07.2015	14.07.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0144	06/0144	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6576	Z-6576	Pi-fsn
Općina	općina	Ncfsn
BISTRA	BISTRA	Npfsn
Poljanica	Poljanica	Npfsn
Bistranska	bistranski	Agpfsny
Zgrada	zgrada	Ncfsn
stare	star	Agpfsgy
škole	škola	Ncfsg
2862	2862	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
102	102	Mdc
)	)	Z
,	,	Z
2859	2859	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
102	102	Mdc
)	)	Z
,	,	Z
2860/4	2860/4	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
1670	1670	Mdc
)	)	Z
,	,	Z
2863	2863	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
102	102	Mdc
)	)	Z
,	,	Z
2969/1	2969/1	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
102	102	Mdc
)	)	Z
Donja	donji	Agpfsny
Bistra	bistar	Agpfsny
Datum	datum	Ncmsn
:	:	Z
15.04.2015	15.04.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0081	06/0081	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/3	02/3	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6513	Z-6513	Mdc

(	(	Z
B	b	X
)	)	Z
PODVODNA	podvodan	Agpnpay
ARHEOLOŠKA	arheološki	Agpnpay
NALAZIŠTA	nalazište	Ncnpa

Područje	područje	Ncnsn
Kulturno	kulturan	Agpnsny
dobro	dobro	Ncnsn
Geografske	geografski	Agpfsgy
koordinate	koordinata	Ncfsg
Rješenje	rješenje	Ncnsn
Broj	broj	Ncmsn
registra	registar	Ncmsg
Dubrovačko-neretvanska	dubrovačko-neretvanski	Agpfsny
županija	županija	Ncfsn
Općina	općina	Ncfsn
:	:	Z
LASTOVO	lastovi	Agpnsny
Lastovo	lastovo	Ncnsn
Podmorska	podmorski	Agpfsny
arheološka	arheološki	Agpfsny
zona	zona	Ncfsn
otoka	otok	Ncmsg
Lastova	Lastov	Npmsg
,	,	Z
Kopišta	Kopišt	Npmsg
i	i	Cc
Sušca	Sušc	Npmsay
,	,	Z
te	te	Cc
svih	sav	Agpmpgy
otoka	otok	Ncmpg
arhipelag	arhipelag	Ncmsan
Lastovnjaci	Lastovnjaca	Npfsl
(	(	Z
Donji	donji	Agpmpny
Škoji	škoj	Ncmpn
)	)	Z
morski	morski	Agpmsny
pojas	pojas	Ncmsn
širine	širina	Ncfsg
300	300	Mdc
m	m	Y
od	od	Sg
obale	obala	Ncfsg
otoka	otok	Ncmsg
Lastova	Lastov	Npmsg
,	,	Z
Kopišta	Kopišt	Npmsg
i	i	Cc
Sušca	Sušc	Npmsg
,	,	Z
kao	kao	Cs
i	i	Cc
svih	sav	Agpmpgy
ostalih	ostali	Agpmpgy
otočića	otočić	Ncmpg
i	i	Cc
hridi	hrid	Ncfsg
arhipelaga	arhipelag	Ncmsg
Lastovnjaci	Lastovnjaci	Npmsn
(	(	Z
Donji	donji	Agpmpny
Škoji	škoj	Ncmpn
)	)	Z
na	na	Sl
udaljenosti	udaljenost	Ncfsl
do	do	Sg
2000	2000	Mdc
m	m	Ncmpg
od	od	Sg
navedenih	naveden	Agpmpgy
otoka	otok	Ncmpg
Datum	datum	Ncmsn
:	:	Z
06.07.2015	06.07.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
612	612	Mdc
-	-	Z
08/15	08/15	Mdc
-	-	Z
06/0128	06/0128	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
