Kalnička	kalnički	Agpfsny
Datum	datum	Ncmsn
:	:	Z
10.09.2015	10.09.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
05/0247	05/0247	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
08/3	08/3	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
P-5132	P-5132	Mdc
10.9.2018	10.9.2018	Mdc
Zadarska	zadarski	Agpfsny
županija	županija	Ncfsn
Grad	grad	Ncmsn
BENKOVAC	BENKOVAC	Npmsn
Donje	donji	Agpfsgy
Biljane	Biljana	Npfsg
Crkva	Crkva	Npfsn
i	i	Cc
arheološko	arheološki	Agpnsny
nalazište	nalazište	Ncnsn
u	u	Sl
Veljanima	Veljan	Npmpl
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
3	3	Mdc
(	(	Z
z.	z.	Xf
k.	k.	Xf
ul	UL	Xf
.	.	Z
371	371	Mdc
)	)	Z
,	,	Z
k.	k.	Y
č.	č.	Y
zemljišta	zemljište	Ncnsg
:	:	Z
1275	1275	Mdc
(	(	Z
z.	z.	Y
k.	k.	Y
ul	UL	Xf
.	.	Z
371	371	Mdc
)	)	Z
,	,	Z
1418	1418	Mdc
(	(	Z
z.	z.	Y
k.	k.	Y
ul	UL	Ncmsan
.	.	Z
371	371	Mdc
,	,	Z
334	334	Mdc
m²	m²	Y
)	)	Z
,	,	Z
1419/1	1419/1	Mdc
(	(	Z
z.	z.	Y
k.	k.	Y
ul	UL	Ncmsan
.	.	Z
89	89	Mdc
)	)	Z
,	,	Z
1420/2	1420/2	Mdc
(	(	Z
z.	z.	Y
k.	k.	Y
ul	UL	Ncmsan
.	.	Z
89	89	Mdc
)	)	Z
,	,	Z
1420/1	1420/1	Mdc
(	(	Z
z.	z.	Y
k.	k.	Y
ul	UL	Ncmsan
.	.	Z
96	96	Mdc
)	)	Z
,	,	Z
1427/1	1427/1	Mdc
(	(	Z
z.	z.	Y
k.	k.	Y
ul	UL	Ncmsan
.	.	Z
96	96	Mdc
)	)	Z
,	,	Z
1772	1772	Mdc
(	(	Z
z.	z.	Y
k.	k.	Y
ul	UL	Xf
.	.	Z
371	371	Mdc
)	)	Z
,	,	Z
